time,latitude,longitude,bearing,speed,accuracy,altitude,acc_x,acc_y,acc_z,is_Stable
1576789305,35.2183793,-97.42298551,91.1,11.17,3,336,-1.739,1.132,9.139,0
1576789306,35.21837798,-97.4228592,91.3,11.540005,3,336,-2.155,1.42,9.076,0
1576789307,35.21837484,-97.42273315,91.4,11.97,3,336,-1.811,0.642,9.327,0
1576789308,35.21837297,-97.42259452,91.3,12.340065,3,336,-2.059,1.072,9.234,0
1576789309,35.21837109,-97.42245557,91,12.7200985,3,336,-1.426,1.047,9.668,0
1576789310,35.21836967,-97.42231788,90.8,12.900248,3,337,-1.928,0.988,9.578,0
1576789311,35.21836813,-97.42217416,90.7,13.030034,3,337,-1.887,0.757,9.37,0
1576789312,35.21836693,-97.42203253,90.7,13.44,3,337,-1.912,1.344,9.123,0
1576789313,35.21836611,-97.42187718,90.3,13.810015,3,337,-1.793,0.909,9.609,0
1576789314,35.21836546,-97.42172133,90.3,14.21,3,337,-1.765,1.117,8.023,0
1576789315,35.21836524,-97.42156729,90.2,14.470056,3,337,-0.802,0.798,9.623,0
1576789316,35.21836396,-97.42140395,90.5,14.230087,3,337,-1.544,0.784,9.113,0
1576789317,35.21836401,-97.42125182,90,14.210056,3,337,-1.752,0.964,9.585,0
1576789318,35.21836366,-97.4210921,90,14.34,3,337,-1.6,1.182,10.435,0
1576789319,35.21836352,-97.42093548,90.1,14.510014,3,337,-1.662,1.255,10.058,0
1576789320,35.21836333,-97.42077621,90.2,14.600123,3,338,-1.968,0.989,9.451,0
1576789321,35.21836236,-97.42061044,90.5,14.880164,3,338,-1.954,0.892,9.849,0
1576789322,35.21836167,-97.42044339,90.3,15.2,3,338,-1.326,0.851,10.087,0
1576789323,35.2183606,-97.4202816,90.4,15.050054,3,338,-1.504,0.875,8.793,0
1576789325,35.21835849,-97.41995267,90.3,14.590086,3,338,-1.769,0.519,10.068,0
1576789326,35.21835726,-97.41979462,90.2,14.630004,3,338,-1.286,0.994,9.349,0
1576789327,35.21835496,-97.41963494,90.6,14.51,3,338,-1.921,0.546,10.275,0
1576789328,35.21835391,-97.41947828,90.8,14.410087,3,338,-1.698,1.307,10.436,0
1576789329,35.21835117,-97.41931505,91,14.191705,3,338,-1.357,1.089,9.147,0
1576789330,35.21834947,-97.419162,91.1,13.810815,3,339,-1.054,1.105,9.602,0
1576789331,35.21834747,-97.41901507,90.9,13.431076,3,339,-1.433,0.889,9.666,0
1576789332,35.21834677,-97.41886771,90.3,13.191516,3,340,-1.194,1.481,9.753,0
1576789333,35.21834565,-97.41872185,90.4,12.901549,3,340,-1.525,0.974,9.552,0
1576789334,35.21834563,-97.41858578,90.3,12.601433,3,340,-1.455,1.061,9.525,0
1576789335,35.21834583,-97.41844774,90.2,12.411612,3,341,-1.17,1.138,9.629,1
1576789336,35.21834508,-97.4183188,90.3,11.951673,3,341,-1.076,1.015,9.317,1
1576789337,35.21834533,-97.4181866,90.3,11.43158,3,341,-0.14,0.987,9.722,0
1576789338,35.21834548,-97.41807344,90.2,10.151596,3,341,-1.142,1.191,9.564,1
1576789339,35.21834557,-97.41796384,90,9.611504,3,341,-0.582,1.097,9.33,0
1576789340,35.21834586,-97.41786402,89.8,8.261549,3,342,-0.356,1.076,9.613,0
1576789341,35.21834544,-97.41778318,89.7,7.0212035,3,342,-0.817,1.102,9.485,0
1576789342,35.21834529,-97.41771181,89.9,6.151374,3,342,-0.958,1.026,9.747,0
1576789343,35.21834608,-97.41765009,90,5.501536,3,342,-1.017,1.122,9.565,1
1576789344,35.21834592,-97.41759269,90.2,5.051426,3,343,-2.078,1.117,9.483,0
1576789345,35.21834436,-97.4175335,90.4,5.331585,3,342,-2.219,1.1,9.534,0
1576789346,35.218343,-97.41747399,90.4,5.741472,3,342,-2.077,1.083,9.566,0
1576789347,35.21834335,-97.41740816,90,6.1111784,3,343,-2.808,1.136,9.27,0
