Time,Latitude,Longitude,Accuracy,Speed
1583096817,35.21777,-97.423542,5,1.58
1583096818,35.217788,-97.423543,5,2.56
1583096819,35.217816,-97.423544,5,3.75
1583096820,35.217856,-97.423545,5,4.9
1583096821,35.217907,-97.423545,5,6.38
1583096822,35.217969,-97.423546,5,7.03
1583096823,35.218037,-97.423545,5,7.38
1583096824,35.218102,-97.423546,5,7.37
1583096825,35.218167,-97.423547,5,7.19
1583096826,35.218228,-97.423539,5,6.6
1583096827,35.218283,-97.423511,5,6.29
1583096828,35.218315,-97.423438,5,6.71
1583096829,35.218328,-97.423339,5,8.99
1583096830,35.218335,-97.423202,5,12.51
1583096831,35.218328,-97.423046,5,14.86
1583096832,35.218315,-97.422872,5,16.16
1583096833,35.218306,-97.422687,5,16.84
1583096840,35.218309,-97.421356,5,17.83
1583096841,35.218316,-97.421164,5,17.83
1583096842,35.218323,-97.420969,5,18.07
1583096845,35.21833,-97.420384,5,17.34
1583096846,35.218328,-97.420199,5,16.860001
1583096847,35.218329,-97.420021,5,16.42
1583096848,35.218329,-97.419843,5,16.049999
1583096850,35.218326,-97.419506,5,14.98
1583096852,35.218323,-97.419189,5,14.54
1583096854,35.21832,-97.418878,5,14.82
1583096856,35.218318,-97.418538,5,15.96
1583096857,35.218319,-97.418365,5,16.4
1583096858,35.21832,-97.418186,5,16.889999
1583096860,35.218322,-97.417811,5,17.58
1583096862,35.218321,-97.417417,5,18.110001
1583096863,35.218323,-97.417215,5,18.34
1583096864,35.218321,-97.417011,5,18.610001
1583096865,35.218325,-97.416806,5,18.860001
1583096868,35.218322,-97.416205,5,17.84
1583096869,35.218319,-97.416015,5,17.280001
1583096870,35.218316,-97.415829,5,16.9
1583096871,35.218312,-97.415646,5,16.709999
1583096872,35.218312,-97.415461,5,16.66
1583096873,35.218313,-97.415281,5,16.530001
1583096874,35.218313,-97.415101,5,16.18
1583096877,35.218309,-97.414607,5,14.96
1583096878,35.21831,-97.414445,5,14.48
1583096879,35.218308,-97.414285,5,14.25
1583096880,35.218309,-97.414128,5,14.13
1583096883,35.21831,-97.413634,5,16.190001
1583096884,35.218314,-97.413452,5,16.84
1583096887,35.218313,-97.412856,5,18.379999
1583096888,35.21831,-97.412648,5,18.629999
1583096889,35.218308,-97.412444,5,18.68
1583096890,35.218312,-97.41225,5,18.52
1583096914,35.218288,-97.407064,5,19.34
1583096915,35.218282,-97.406848,5,19.389999
1583096916,35.218275,-97.406631,5,19.440001
1583096917,35.218265,-97.406424,5,19.33
1583096922,35.218243,-97.405346,5,19.75
1583096925,35.218245,-97.404689,5,20.09
1583096926,35.218245,-97.404472,5,20.030001
1583096927,35.218246,-97.404259,5,19.870001
1583096928,35.218245,-97.404046,5,19.75
1583096929,35.218248,-97.403831,5,19.530001
1583096930,35.218248,-97.403619,5,19.42
1583096931,35.218253,-97.403405,5,19.43
1583096933,35.218254,-97.402976,5,19.5
1583096934,35.218255,-97.402763,5,19.540001
1583096936,35.218251,-97.402337,5,19.57
1583096937,35.218249,-97.402122,5,19.65
1583096939,35.218243,-97.401693,5,19.59
1583096941,35.218247,-97.401271,5,19.65
1583096943,35.218247,-97.400836,5,19.68
1583096945,35.218245,-97.400406,5,19.41
1583096946,35.218239,-97.400199,5,19.450001
1583096947,35.21824,-97.399987,5,19.290001
1583096948,35.218241,-97.399769,5,19.370001
1583096949,35.218242,-97.399556,5,19.559999
1583096950,35.218243,-97.39934,5,19.6
1583096951,35.218241,-97.399128,5,19.629999
1583096952,35.218238,-97.398909,5,19.67
1583096953,35.218256,-97.398699,5,20.08
1583096954,35.218261,-97.398485,5,20
1583096955,35.218266,-97.398264,5,20.41
1583096956,35.218262,-97.398055,5,20.58
1583096957,35.218275,-97.397844,5,20.620001
1583096958,35.218264,-97.397623,5,21.01
1583096959,35.218266,-97.397393,5,21.01
1583096960,35.218267,-97.39716,5,21
1583096961,35.218268,-97.396938,5,21.23
1583096962,35.218272,-97.396688,10,21.4
1583096963,35.218285,-97.396443,10,21.1
1583096964,35.218288,-97.396207,10,20.82
1583096965,35.218294,-97.395971,10,20.67
1583096966,35.218292,-97.395734,10,20.5
1583096967,35.218289,-97.395509,10,20.450001
1583096968,35.218285,-97.39529,10,20.42
1583096969,35.218289,-97.395062,10,20.389999
1583096970,35.21829,-97.394845,10,20.33
1583096971,35.218289,-97.394623,10,20.290001
1583096972,35.218287,-97.394393,10,20.58
1583096973,35.218283,-97.394166,10,20.76
1583096974,35.21828,-97.393935,10,21.030001
1583096975,35.218281,-97.393702,10,21.219999
1583096976,35.218281,-97.393465,10,21.32
1583096977,35.218281,-97.393228,10,21.24
1583096978,35.218279,-97.392991,10,21.139999
1583096979,35.218277,-97.392762,10,20.98
1583096980,35.218268,-97.392535,10,20.959999
1583096981,35.218266,-97.392315,10,20.690001
1583096982,35.218273,-97.392087,5,20.549999
1583096983,35.218275,-97.391871,5,20.389999
1583096984,35.218266,-97.391637,5,20.58
1583096985,35.218257,-97.391421,5,20.27
1583096986,35.218259,-97.391187,5,20.389999
1583096987,35.218265,-97.390968,5,20.27
1583096988,35.218269,-97.390754,5,20.09
1583096989,35.218263,-97.390528,5,20.1
1583096990,35.218266,-97.390294,5,20.120001
1583096991,35.21825,-97.390086,5,20.040001
1583096992,35.218248,-97.389864,5,20.120001
1583096993,35.218249,-97.38964,5,20.08
1583096994,35.218255,-97.389426,5,19.870001
1583096995,35.218251,-97.389208,5,19.84
1583096996,35.218251,-97.389003,5,19.66
1583096997,35.218251,-97.388779,5,19.98
1583096998,35.218243,-97.388563,5,19.629999
1583096999,35.218244,-97.388354,5,19.780001
1583097000,35.218243,-97.38812,5,19.82
1583097001,35.21822,-97.38791,5,19.799999
1583097002,35.218223,-97.387712,5,19.879999
1583097003,35.218217,-97.3875,5,20.01
1583097004,35.218218,-97.38727,5,20.459999
1583097005,35.218219,-97.387047,5,20.77
1583097006,35.218223,-97.386816,5,21.040001
1583097007,35.218229,-97.386588,5,21.02
1583097008,35.218229,-97.386357,5,21.16
1583097009,35.218233,-97.386121,5,21.35
1583097010,35.218233,-97.38589,5,21.610001
1583097011,35.218236,-97.385661,5,20.959999
1583097012,35.218241,-97.385422,5,21.450001
1583097013,35.218243,-97.385177,5,21.860001
1583097014,35.218243,-97.384933,5,22.16
1583097015,35.218243,-97.384673,5,22.41
1583097016,35.21824,-97.384424,5,22.57
1583097017,35.218261,-97.384186,5,22.610001
1583097018,35.218265,-97.383934,10,22.690001
1583097019,35.218295,-97.383635,10,23.65
1583097020,35.218283,-97.383383,10,22.98
1583097021,35.218287,-97.383133,5,23.24
1583097022,35.218294,-97.382867,5,23.290001
1583097023,35.21827,-97.382665,5,23.030001
1583097024,35.218276,-97.382405,5,23.299999
1583097025,35.218261,-97.382153,5,23.09
1583097026,35.21826,-97.381883,5,23.290001
1583097027,35.218249,-97.381621,5,24.09
1583097028,35.218244,-97.381357,5,23.389999
1583097029,35.218247,-97.381095,5,23.280001
1583097030,35.218236,-97.380841,5,23.049999
1583097031,35.218233,-97.380581,5,23.120001
1583097032,35.218218,-97.380329,5,23.059999
1583097033,35.218229,-97.380082,5,22.709999
1583097034,35.218224,-97.37983,5,22.65
1583097035,35.218223,-97.379577,5,22.15
1583097036,35.218245,-97.37931,10,22.16
1583097037,35.21823,-97.379072,10,21.860001
1583097038,35.218241,-97.378815,10,21.959999
1583097039,35.218242,-97.378564,10,21.92
1583097040,35.218259,-97.378331,5,21.889999
1583097041,35.218249,-97.378095,5,22.370001
1583097042,35.218256,-97.377873,5,21.889999
1583097043,35.21825,-97.377639,5,21.860001
