time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
1555249564,35.20468771,-97.41884159,0,0,3,338,7.068,0.845,-6.755,1
1555249565,35.20469072,-97.41882649,0,0,4,336,7.075,0.995,-6.687,1
1555249566,35.20469072,-97.41882649,0,0,4,336,7.123,1.125,-6.782,1
1555249567,35.20469072,-97.41882649,0,0,4,336,7.027,1.201,-6.718,1
1555249568,35.20470213,-97.41882363,0,0,4,334,7.129,1.732,-6.522,1
1555249569,35.20470213,-97.41882363,0,0,4,334,7.31,1.425,-6.358,1
1555249570,35.20470213,-97.41882363,0,0,4,334,7.127,1.474,-6.635,1
1555249571,35.20470213,-97.41882363,0,0,4,334,7.018,1.525,-6.679,1
1555249572,35.20470213,-97.41882363,0,0,4,334,7.041,1.767,-6.588,1
1555249573,35.20470213,-97.41882363,0,0,4,334,7.093,2.237,-6.464,1
1555249574,35.20470213,-97.41882363,0,0,4,334,7.156,2.22,-6.467,1
1555249575,35.20470213,-97.41882363,0,0,4,334,7.067,2.259,-6.415,1
1555249576,35.20470213,-97.41882363,0,0,4,334,7.543,1.717,-6.118,1
1555249577,35.20470213,-97.41882363,0,0,4,334,7.657,1.527,-6.082,1
1555249578,35.20470213,-97.41882363,0,0,4,334,7.451,1.535,-6.104,1
1555249579,35.20470213,-97.41882363,0,0,4,334,7.562,1.591,-6.084,1
1555249580,35.20470213,-97.41882363,0,0,4,334,7.452,1.695,-6.22,1
1555249581,35.20470213,-97.41882363,0,0,4,334,7.126,1.859,-6.588,1
1555249582,35.20470213,-97.41882363,0,0,4,334,7.222,1.746,-6.635,1
1555249583,35.20470213,-97.41882363,0,0,4,334,7.176,1.908,-6.525,1
1555249584,35.20470213,-97.41882363,0,0,4,334,7.103,2.045,-6.482,1
1555249585,35.20456223,-97.41890123,179.1,2.5615816,4,326,7.18,1.832,-6.653,1
1555249586,35.20453243,-97.41890645,186.9,2.6100764,4,326,6.951,1.736,-6.707,1
1555249587,35.20450099,-97.41889345,177.6,2.5419676,4,326,6.872,1.779,-6.794,1
1555249588,35.20447648,-97.41890046,190.3,2.612757,4,328,6.822,1.781,-6.93,1
1555249590,35.20444252,-97.4189071,190.9,2.9200685,6,328,6.544,2.03,-7.018,1
1555249591,35.20442834,-97.41893652,214.6,3.0523596,8,327,6.716,2.056,-7.08,0
1555249592,35.20442233,-97.41894599,215.7,2.863931,6,327,6.849,2.108,-7.126,0
1555249593,35.20437797,-97.41896323,209.1,3.2544432,6,326,6.843,2.024,-6.988,0
1555249594,35.20435939,-97.41899581,216.8,3.2705505,6,326,6.678,1.948,-7.008,0
1555249595,35.20435263,-97.41902519,239.1,3.094576,5,326,6.633,1.949,-7.019,0
1555249596,35.20434526,-97.41905657,239.2,3.100258,5,326,6.797,1.996,-7.069,0
1555249597,35.20434023,-97.41908282,240,2.8801563,6,325,6.827,1.795,-6.993,0
1555249598,35.20433724,-97.41910938,244.4,2.8701568,7,325,6.882,2.081,-6.794,0
1555249599,35.20433501,-97.41914094,251.2,3.1719081,9,326,7.013,2.141,-6.762,0
1555249600,35.20433708,-97.41916677,258.8,2.4712954,10,325,7.127,2.032,-6.76,0
1555249601,35.2043518,-97.41919711,272,3.1605697,10,325,7.305,2.026,-6.582,0
1555249602,35.204365,-97.41924258,279.6,4.0907826,12,325,7.423,1.834,-6.375,0
1555249603,35.20438919,-97.41928864,280.5,4.6113124,8,326,7.29,1.532,-6.414,0
1555249604,35.20439864,-97.41934896,275.4,4.96122,8,326,7.292,1.459,-6.614,0
1555249605,35.20440118,-97.41940658,272.3,4.7106795,10,326,7.129,1.748,-6.506,0
1555249606,35.20440814,-97.41944849,273.2,3.77,12,326,7.19,1.805,-6.553,0
1555249607,35.20441903,-97.4195,276.4,4.95,14,326,6.936,1.844,-6.778,0
1555249608,35.20444087,-97.4195461,285.7,4.29,14,326,6.844,1.736,-6.805,0
1555249609,35.20446499,-97.41964256,285.2,4.772054,14,325,6.86,1.503,-6.874,0
1555249610,35.20446399,-97.41969547,275.7,4.860504,13,326,7.059,1.318,-6.591,0
1555249611,35.20447128,-97.41974214,276.4,4.360734,12,325,7.071,1.71,-6.404,0
1555249612,35.20446699,-97.41978869,274.2,4.4400454,11,325,7.459,1.602,-6.753,0
1555249613,35.20446287,-97.4198083,274.6,2.1128652,10,323,7.125,1.737,-6.71,0
1555249614,35.2044623,-97.41983316,269.1,3.25,11,324,7.058,1.71,-6.496,0
1555249615,35.20446357,-97.41986024,272,2.6404736,7,323,7.156,1.599,-6.415,0
1555249616,35.2044674,-97.41988444,275.6,2.3103461,6,324,6.948,1.19,-6.923,0
1555249617,35.20446927,-97.41990168,276.9,1.6007811,6,322,6.889,1.411,-6.933,0
1555249618,35.20446927,-97.41990168,276.9,1.6007811,6,322,7.04,1.824,-6.758,0
1555249619,35.20446892,-97.4199169,273.8,0.85702974,6,321,6.97,2.039,-6.651,0
1555249620,35.20446892,-97.4199169,273.8,0.85702974,6,321,7.619,2.934,-5.696,0
1555249621,35.20446262,-97.41994053,259,1.66,9,321,8.792,2.198,-4.391,0
