time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
1555249568,35.20469163,-97.41884348,0,0,6.068,331,-0.191,1.621,9.509,1
1555249569,35.20469163,-97.41884348,0,0,6.068,331,-0.176,1.621,9.506,1
1555249570,35.20469163,-97.41884348,0,0,6.068,331,-0.191,1.624,9.505,1
1555249571,35.20469163,-97.41884348,0,0,6.068,331,-0.187,1.62,9.502,1
1555249572,35.20469163,-97.41884348,0,0,6.068,331,-0.19,1.62,9.504,1
1555249573,35.20469163,-97.41884348,0,0,6.068,331,-0.189,1.622,9.51,1
1555249574,35.20469163,-97.41884348,0,0,6.068,331,-0.185,1.62,9.509,1
1555249575,35.20469163,-97.41884348,0,0,6.068,331,-0.182,1.624,9.511,1
1555249576,35.20469163,-97.41884348,0,0,6.068,331,-0.193,1.63,9.501,1
1555249577,35.20469163,-97.41884348,0,0,6.068,331,-0.179,1.877,9.438,1
1555249578,35.20469163,-97.41884348,0,0,6.068,331,-0.174,1.931,9.427,1
1555249579,35.20469163,-97.41884348,0,0,6.068,331,-0.256,2.028,9.405,1
1555249580,35.20469163,-97.41884348,0,0,6.068,331,-0.561,1.942,9.412,1
1555249581,35.2046758,-97.41885516,234.7,1.61,7.585,332,-0.759,1.787,9.499,1
1555249582,35.20467379,-97.41890051,215.1,1.92,6.068,333,-0.793,1.722,9.505,1
1555249583,35.20467137,-97.41891602,195.2,1.91,6.068,331,-0.816,1.731,9.52,1
1555249584,35.20464706,-97.41890946,180.8,1.95,6.068,333,-0.693,1.797,9.476,1
1555249585,35.20462497,-97.41891195,179.8,1.94,6.068,334,-0.305,1.757,9.453,1
1555249586,35.20460744,-97.41891192,179.9,1.94,6.068,333,-0.103,1.748,9.466,1
1555249587,35.20458743,-97.41890467,179.3,2.04,6.068,334,-0.101,1.795,9.45,1
1555249588,35.20456694,-97.41890214,178.5,2.36,6.068,335,-0.122,1.992,9.391,1
1555249589,35.20454466,-97.41889965,180.8,2.55,6.068,335,-0.14,1.873,9.462,1
1555249590,35.20452165,-97.41889803,180.2,2.49,6.068,335,-0.133,1.704,9.465,1
1555249591,35.20449778,-97.41889765,181.2,2.55,6.068,335,-0.001,1.609,9.48,1
1555249592,35.20447448,-97.4188992,183.3,2.38,6.068,335,0.05,1.614,9.519,1
1555249593,35.20445417,-97.41890247,192.5,2.33,4.5509996,336,0.195,1.698,9.495,1
1555249594,35.20443486,-97.41890856,201.4,2.3,4.5509996,335,0.309,1.875,9.459,1
1555249595,35.20441753,-97.41891806,212.9,2.31,4.5509996,336,0.364,1.919,9.441,1
1555249596,35.20440145,-97.41893153,227.7,2.96,4.5509996,333,0.314,1.899,9.41,1
1555249597,35.2043854,-97.41895379,224.9,2.89,4.5509996,334,0.351,1.79,9.455,1
1555249598,35.20437304,-97.41898091,236.2,2.97,4.5509996,333,0.315,1.775,9.499,1
1555249599,35.20436508,-97.41901322,246.9,3.13,4.5509996,334,0.165,1.907,9.475,1
1555249600,35.20436245,-97.41904964,258.9,3.38,4.5509996,333,0.099,1.703,9.456,1
1555249601,35.20436406,-97.41908769,265.2,3.32,4.5509996,333,0.047,1.728,9.493,1
1555249602,35.20436778,-97.41912525,270.5,3.35,4.5509996,334,-0.095,1.989,9.388,1
1555249604,35.20437347,-97.41916648,273.7,3.8,4.5509996,334,-0.093,2.033,9.423,1
1555249605,35.20438173,-97.41921153,276.8,4.11,4.5509996,333,-0.149,2.047,9.402,1
1555249606,35.20439124,-97.41926046,278.4,4.39,4.5509996,331,-0.281,2.019,9.458,1
1555249607,35.20440122,-97.41931321,277.2,4.76,4.5509996,332,-0.319,1.876,9.381,1
1555249608,35.20440924,-97.41936878,275.9,4.91,4.5509996,332,-0.349,1.541,9.582,1
1555249609,35.20441533,-97.41942403,276,4.77,4.5509996,332,-0.336,1.638,9.536,1
1555249610,35.20441927,-97.41947604,274.7,4.42,4.5509996,332,-0.297,1.708,9.492,1
1555249611,35.20442222,-97.41952646,272.9,4.5,4.5509996,332,-0.211,1.711,9.503,1
1555249612,35.20442386,-97.41957706,271.6,4.47,4.5509996,332,-0.093,1.727,9.512,1
1555249613,35.20442452,-97.41962643,271,4.42,4.5509996,333,-0.039,1.502,9.536,1
1555249614,35.20442491,-97.41967419,271.5,4.13,4.5509996,333,-0.102,1.371,9.51,1
1555249615,35.20442606,-97.41971711,271.8,3.62,4.5509996,333,-0.157,1.326,9.527,1
1555249616,35.20442757,-97.41975598,272.4,3.42,4.5509996,334,-0.188,1.482,9.589,1
1555249617,35.20442847,-97.41979257,272.2,3.17,4.5509996,334,-0.253,1.394,9.611,1
1555249618,35.20443004,-97.41982773,272,3,4.5509996,334,-0.311,1.458,9.601,1
1555249619,35.20443039,-97.41986098,268.9,2.67,4.5509996,333,-0.226,1.516,9.554,1
1555249620,35.20443038,-97.41989142,269.2,2.55,4.5509996,333,-0.2,1.179,9.658,1
1555249621,35.20443074,-97.41991845,269.7,2.2,4.5509996,333,-0.184,1.147,9.56,1
1555249622,35.2044314,-97.41993774,273.9,1.37,4.5509996,333,-0.106,1.312,9.582,1
1555249623,35.20443295,-97.41995133,273.8,1.19,4.5509996,333,-0.049,1.607,9.502,1
1555249624,35.20443295,-97.41995133,273.8,1.19,4.5509996,333,-0.091,2.519,9.226,1
1555249625,35.20443484,-97.41997327,262.4,1.15,4.5509996,333,-0.868,3.068,9.146,1
1555249626,35.20443143,-97.41999929,259.2,3.16,4.5509996,333,-2.228,2.989,9.307,0
1555249627,35.20441416,-97.42003962,241.9,4.61,4.5509996,332,-2.589,2.704,9.105,0
1555249628,35.20434659,-97.42006096,203.1,5.85,4.5509996,331,-1.701,2.56,9.329,0
1555249629,35.20428505,-97.42007759,189.4,6.88,4.5509996,331,-1.083,1.822,9.451,0
1555249630,35.20421568,-97.42008689,187.2,7.22,4.5509996,330,-0.704,1.553,9.582,0
1555249631,35.204152,-97.42009316,184.9,7.1,6.068,331,-0.583,0.669,9.757,0
1555249632,35.20410318,-97.42009857,181.9,6.01,4.5509996,330,-0.48,0.375,9.835,0
1555249633,35.20406396,-97.42009376,180.5,4.84,4.5509996,330,-0.424,0.411,9.852,0
1555249634,35.20403898,-97.42009339,182.3,3.28,4.5509996,330,-0.364,1.107,9.641,0
1555249635,35.20401671,-97.42009773,185.1,2.2,4.5509996,331,0.027,2.458,9.263,0
1555249636,35.20398668,-97.42010391,187.3,2.71,4.5509996,331,0.912,2.719,9.209,1
1555249637,35.20393983,-97.42012631,208.9,4.4,6.068,330,2.361,2.508,9.248,1
1555249638,35.20390508,-97.42014966,208.9,4.4,6.068,330,3.164,2.581,9.055,1
1555249639,35.20387427,-97.42014491,206.1,4.12,9.101999,329,1.058,3.104,9.036,1
1555249640,35.20390941,-97.42030914,270.5,8.62,6.068,327,0.054,3.019,9.009,1
1555249641,35.20391005,-97.42040381,270.5,8.62,7.585,327,-0.421,2.885,9.174,1
1555249642,35.20390569,-97.4205792,267.8,11.27,6.068,322,-0.63,2.769,9.213,1
1555249643,35.20390185,-97.42070294,267.8,11.27,7.585,322,-0.615,2.67,9.32,1
1555249644,35.20389645,-97.42085685,264.5,13.18,7.585,322,-0.48,2.606,9.272,1
1555249645,35.20387927,-97.42101472,264.3,14.28,7.585,322,0.036,2.447,9.105,1
1555249646,35.20388468,-97.42117528,266.2,15.22,7.585,321,0.204,1.851,9.387,1
1555249647,35.2038829,-97.42134516,268,15.23,7.585,320,0.155,1.419,9.551,1
