time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
1555696515,35.23760095,-97.48230728,0,0,3,349,8.33,2.93,-4.346,0
1555696516,35.23760095,-97.48230728,0,0,3,349,8.352,2.929,-4.429,0
1555696517,35.23760095,-97.48230728,0,0,3,349,8.31,2.888,-4.402,1
1555696518,35.23760095,-97.48230728,0,0,3,349,8.333,2.86,-4.396,1
1555696519,35.23760095,-97.48230728,0,0,3,349,8.323,2.855,-4.454,1
1555696520,35.23760095,-97.48230728,0,0,3,349,8.33,2.864,-4.45,1
1555696521,35.23760095,-97.48230728,0,0,3,349,8.34,2.871,-4.418,1
1555696522,35.23760095,-97.48230728,0,0,3,349,8.281,2.836,-4.446,1
1555696524,35.23760095,-97.48230728,0,0,3,349,8.298,2.91,-4.484,1
1555696525,35.23760095,-97.48230728,0,0,3,349,8.311,2.875,-4.482,1
1555696526,35.23760095,-97.48230728,0,0,3,349,8.235,2.936,-4.496,1
1555696527,35.23760095,-97.48230728,0,0,3,349,8.293,2.988,-4.505,1
1555696528,35.23760095,-97.48230728,0,0,3,349,8.314,2.943,-4.493,1
1555696529,35.23760095,-97.48230728,0,0,3,349,8.272,3.02,-4.504,1
1555696530,35.23760095,-97.48230728,0,0,3,349,8.303,3.047,-4.448,1
1555696531,35.23760095,-97.48230728,0,0,3,349,8.256,2.975,-4.384,1
1555696532,35.23760095,-97.48230728,0,0,3,349,8.33,2.862,-4.303,1
1555696533,35.23760095,-97.48230728,0,0,3,349,8.317,2.826,-4.38,1
1555696534,35.23760095,-97.48230728,0,0,3,349,8.219,3.282,-4.696,0
1555696535,35.23760095,-97.48230728,0,0,3,349,8.402,3.75,-4.176,0
1555696536,35.23760095,-97.48230728,0,0,3,349,8.786,4.142,-3.181,0
1555696537,35.23760095,-97.48230728,0,0,3,349,8.534,4.107,-3.338,0
1555696538,35.23760095,-97.48230728,0,0,3,349,8.244,3.899,-4.168,0
1555696539,35.23760159,-97.48232852,9.4,0.9243917,6,350,8.351,3.52,-4.186,0
1555696540,35.23772738,-97.48234028,343,5.315073,6,344,8.202,3.315,-4.55,0
1555696541,35.23777295,-97.48238942,345.6,5.8904157,6,345,8.089,3.221,-4.513,0
1555696542,35.23781587,-97.48242488,345.1,6.85,6,345,8.269,2.786,-4.421,0
1555696543,35.23787731,-97.48244832,346.4,7.010114,6,342,8.322,2.82,-4.455,0
1555696544,35.23793262,-97.48245296,349.9,7.060708,7,344,7.839,2.45,-4.458,0
1555696545,35.23798298,-97.48247223,349.1,6.9210405,7,345,8.367,1.616,-4.778,0
1555696546,35.23803422,-97.48248704,347.3,6.4707723,6,346,9.018,1.725,-3.871,0
1555696547,35.23809964,-97.48254457,334.1,4.030608,5,342,8.92,2.307,-3.185,0
1555696548,35.23812905,-97.48257455,313.9,3.7510798,5,343,9.045,2.892,-3.005,0
1555696549,35.23815205,-97.48263672,301.1,4.570044,5,343,8.952,3.429,-3.005,0
1555696550,35.2381497,-97.48269948,279.8,4.7933807,5,342,8.645,3.513,-3.439,0
1555696551,35.23815917,-97.48277217,274.2,5.5615196,6,337,8.323,3.178,-4.153,0
1555696552,35.23816412,-97.48282637,271.7,5.8706894,6,337,8.587,2.921,-4.352,0
1555696553,35.23815753,-97.48289437,269.8,5.9502096,6,336,8.237,2.872,-4.465,0
1555696554,35.23814268,-97.4829583,268.7,5.8100085,7,335,8.38,2.847,-4.458,0
1555696555,35.23814748,-97.48301723,272,5.53,8,335,8.687,1.845,-4.585,0
1555696556,35.2381525,-97.48305105,273,4.4300113,8,339,8.565,1.48,-4.649,0
1555696557,35.23816295,-97.48308111,278.1,3.4001324,9,339,8.53,1.442,-4.659,0
1555696558,35.23816295,-97.48308111,278.1,3.4001324,9,339,8.287,2.78,-4.823,0
1555696559,35.23818054,-97.48310106,287.5,2.1539268,11,337,7.812,3.805,-5.214,0
1555696560,35.23819153,-97.4831243,289.8,2.1502094,11,337,7.284,3.621,-6.124,0
1555696561,35.23821637,-97.48311852,337.3,2.7935102,11,338,7.511,4.077,-5.574,0
1555696564,35.23828806,-97.48312366,359.8,5.070158,11,337,8.09,4.015,-4.173,0
1555696565,35.23837063,-97.48308404,6.1,6.0513964,11,334,8.238,3.15,-4.333,0
1555696566,35.23842598,-97.48308736,3,6.8116517,10,334,8.483,2.835,-4.312,0
1555696567,35.2384814,-97.48310383,3.9,7.280556,10,335,8.327,2.817,-4.217,0
1555696568,35.23853124,-97.48310264,2.5,7.0501137,10,335,8.199,2.397,-4.346,0
1555696569,35.23859744,-97.48309488,359.1,6.7618933,10,334,8.261,1.638,-4.31,0
1555696570,35.23864083,-97.48309501,0.6,5.030994,10,335,8.188,2.389,-4.629,0
1555696571,35.23865403,-97.48309196,1.4,3.9103196,10,335,8.321,1.719,-4.792,0
