Time,Latitude,Longitude,Accuracy,Speed
1583016308,35.189528,-97.376573,10,23.219999
1583016309,35.18953,-97.37681,10,23.190001
1583016310,35.189538,-97.377071,10,23.27
1583016311,35.189537,-97.37732,10,23.290001
1583016312,35.189533,-97.377573,10,23.379999
1583016313,35.189537,-97.377831,10,23.52
1583016314,35.189539,-97.378089,10,23.73
1583016315,35.189539,-97.378356,10,23.92
1583016316,35.189539,-97.378626,10,24.16
1583016317,35.189545,-97.378894,10,24.25
1583016318,35.189544,-97.379159,10,23.93
1583016319,35.189544,-97.379424,10,23.82
1583016320,35.189545,-97.379696,10,23.83
1583016321,35.189552,-97.379956,10,23.84
1583016322,35.189556,-97.380215,10,23.959999
1583016323,35.189561,-97.380482,10,24.15
1583016324,35.189562,-97.380752,10,24.200001
1583016325,35.189562,-97.381023,10,24.469999
1583016326,35.189562,-97.381283,10,24.65
1583016327,35.189558,-97.381545,10,24.879999
1583016328,35.189563,-97.381819,10,25.08
1583016329,35.189552,-97.382096,10,25.01
1583016330,35.189557,-97.382368,10,24.690001
1583016331,35.189558,-97.382644,10,24.469999
1583016332,35.189557,-97.382916,10,24.190001
1583016333,35.189556,-97.383182,10,23.98
1583016334,35.189556,-97.383435,10,23.690001
1583016335,35.189566,-97.383694,10,23.49
1583016336,35.189567,-97.383951,10,23.23
1583016337,35.189566,-97.384199,10,22.870001
1583016338,35.189569,-97.384448,10,22.66
1583016339,35.189571,-97.384693,10,22.52
1583016340,35.18957,-97.384928,10,22.299999
1583016341,35.189569,-97.385178,10,21.959999
1583016342,35.189576,-97.385415,10,21.690001
1583016343,35.189577,-97.385657,10,21.610001
1583016344,35.189579,-97.385881,10,21.73
1583016345,35.189588,-97.386125,10,21.780001
1583016346,35.189593,-97.386363,10,21.719999
1583016347,35.189597,-97.386605,10,21.700001
1583016348,35.18959,-97.386845,10,21.719999
1583016349,35.189592,-97.387093,10,21.84
1583016350,35.189594,-97.387331,10,21.76
1583016351,35.189598,-97.387571,10,21.73
1583016352,35.189595,-97.387813,10,21.74
1583016353,35.189598,-97.388048,10,21.77
1583016354,35.189614,-97.388298,10,21.959999
1583016355,35.189614,-97.388529,10,21.85
