Time,Latitude,Longitude,Accuracy,Speed
1583016308,35.189531,-97.376559,5,23.23
1583016309,35.189533,-97.376813,5,23.209999
1583016310,35.189546,-97.377064,5,23.24
1583016311,35.189551,-97.377319,5,23.23
1583016312,35.189574,-97.377582,5,23.370001
1583016313,35.189587,-97.377839,5,23.530001
1583016314,35.189599,-97.378097,5,23.67
1583016315,35.189598,-97.378359,5,23.93
1583016316,35.189596,-97.37863,5,24.15
1583016317,35.189594,-97.378897,5,23.969999
1583016318,35.189599,-97.379162,5,23.690001
1583016319,35.189606,-97.379425,5,23.67
1583016320,35.189614,-97.379685,5,23.700001
1583016321,35.189613,-97.379949,5,23.68
1583016322,35.189618,-97.380217,5,23.959999
1583016323,35.189631,-97.380474,5,24
1583016324,35.189642,-97.380738,5,24.32
1583016325,35.189642,-97.381008,5,24.540001
1583016326,35.189642,-97.381276,5,24.780001
1583016327,35.18964,-97.381548,5,24.969999
1583016328,35.189654,-97.381819,5,25.1
1583016329,35.189651,-97.382093,5,24.84
1583016330,35.189655,-97.382367,5,24.59
1583016331,35.189649,-97.382637,5,24.35
1583016332,35.189646,-97.382903,5,24.219999
1583016333,35.189647,-97.383166,5,23.860001
1583016334,35.189652,-97.383419,5,23.709999
1583016335,35.189652,-97.383669,5,23.219999
1583016336,35.189647,-97.383929,5,23.219999
1583016337,35.189642,-97.384182,5,22.809999
1583016338,35.189649,-97.384436,5,22.639999
1583016339,35.189644,-97.384686,5,22.52
1583016340,35.189652,-97.384933,5,22.040001
1583016341,35.189646,-97.385173,5,21.93
1583016342,35.189643,-97.38541,5,21.65
1583016343,35.189642,-97.38565,5,21.76
1583016344,35.189648,-97.385881,5,21.75
1583016345,35.189643,-97.38612,5,21.77
1583016346,35.189642,-97.386363,5,21.469999
1583016347,35.189644,-97.386607,5,21.83
1583016348,35.189643,-97.386853,5,21.860001
1583016349,35.189641,-97.387096,5,21.84
1583016350,35.189644,-97.387341,5,21.82
1583016351,35.189656,-97.387583,5,21.780001
1583016352,35.189671,-97.387821,5,21.790001
1583016353,35.189665,-97.388064,5,21.92
1583016354,35.189665,-97.388298,5,21.950001
1583016355,35.189661,-97.388534,5,21.91
1583016356,35.189655,-97.388776,5,22.200001
1583016357,35.189652,-97.389021,5,22.09
1583016358,35.189651,-97.389263,5,22.18
1583016359,35.189658,-97.389499,5,22.26
1583016360,35.189672,-97.389742,5,22.280001
1583016361,35.189673,-97.389987,5,22.27
1583016362,35.189668,-97.390243,5,22.23
1583016363,35.189666,-97.390481,5,22.129999
1583016364,35.189666,-97.390724,5,22.129999
1583016365,35.189674,-97.390972,5,22.110001
1583016366,35.189677,-97.391214,5,22.110001
1583016367,35.189676,-97.391452,5,21.83
1583016368,35.18969,-97.391697,5,22.08
1583016369,35.189688,-97.391936,5,22.139999
1583016370,35.18969,-97.392179,5,22.139999
1583016371,35.18969,-97.392428,5,22.43
1583016372,35.189689,-97.392672,5,22.559999
1583016373,35.189692,-97.392919,5,22.549999
1583016374,35.189694,-97.393175,5,22.790001
1583016375,35.189692,-97.393426,5,22.879999
1583016376,35.189692,-97.393679,5,22.98
1583016377,35.189694,-97.393931,5,23.059999
1583016378,35.189692,-97.394184,5,23.139999
1583016379,35.189701,-97.39444,5,23.190001
1583016380,35.189709,-97.394693,5,23.18
1583016381,35.189712,-97.394948,5,23.18
1583016382,35.189715,-97.395204,5,22.780001
1583016383,35.189726,-97.395452,5,22.68
1583016384,35.189734,-97.3957,5,22.59
1583016385,35.189732,-97.395949,5,22.549999
1583016386,35.189743,-97.396196,5,22.57
1583016387,35.189741,-97.396445,5,22.620001
1583016388,35.189735,-97.396692,5,22.6
1583016389,35.189736,-97.396933,5,22.15
1583016390,35.189729,-97.397182,5,22.68
1583016391,35.189719,-97.397432,5,22.790001
1583016392,35.189703,-97.397689,5,22.77
1583016393,35.189689,-97.397945,5,23.08
1583016394,35.18967,-97.398201,5,23.129999
1583016395,35.189656,-97.398461,5,23.360001
1583016396,35.189647,-97.39872,5,23.559999
1583016397,35.189631,-97.39898,5,23.58
1583016398,35.189613,-97.39924,5,23.58
1583016399,35.189592,-97.399498,5,23.530001
1583016400,35.189574,-97.399753,5,23.309999
1583016401,35.189562,-97.400004,5,22.93
1583016402,35.189537,-97.400252,5,22.23
1583016403,35.189512,-97.400503,5,22.219999
1583016404,35.189486,-97.400745,5,22.16
1583016405,35.189457,-97.400977,5,21.889999
1583016406,35.189426,-97.401218,5,21.940001
1583016407,35.189392,-97.40146,5,21.709999
1583016408,35.189367,-97.401684,5,21.559999
1583016409,35.189337,-97.401919,5,21.49
1583016410,35.189308,-97.402149,5,21.41
1583016411,35.189272,-97.40238,5,21.190001
1583016412,35.189239,-97.402608,5,20.99
1583016413,35.189199,-97.402829,5,20.5
1583016414,35.189172,-97.403037,5,19.959999
1583016415,35.189137,-97.403251,5,19.459999
1583016416,35.189107,-97.403445,5,18.98
1583016417,35.189076,-97.403648,5,18.58
1583016418,35.189044,-97.403827,5,18.110001
1583016419,35.189011,-97.40401,5,17.35
1583016420,35.188977,-97.404185,5,15.82
1583016421,35.188948,-97.404347,5,13.98
1583016422,35.188927,-97.404465,5,11.13
1583016423,35.188907,-97.404566,5,9.01
1583016424,35.18889,-97.404662,5,8.6
1583016425,35.188866,-97.404754,5,8.17
1583016426,35.188845,-97.404842,5,8.37
1583016427,35.188824,-97.40493,5,8.94
1583016428,35.188808,-97.405035,5,9.46
1583016429,35.188782,-97.40514,5,9.91
1583016430,35.188758,-97.405254,5,10.6
1583016431,35.188723,-97.405371,5,11.41
1583016432,35.188694,-97.405498,5,11.86
1583016433,35.18866,-97.405627,5,12.54
1583016434,35.188627,-97.405773,5,13.69
1583016435,35.188593,-97.405922,5,14.34
1583016436,35.18856,-97.406075,5,14.72
1583016437,35.188523,-97.406235,5,15.37
1583016438,35.188484,-97.406396,5,15.88
1583016439,35.188446,-97.406567,5,16.450001
1583016440,35.188404,-97.406745,5,16.4
1583016441,35.188361,-97.406926,5,16.92
1583016442,35.188314,-97.407103,5,17.67
1583016443,35.188264,-97.407292,5,18.51
1583016444,35.188211,-97.407491,5,19.35
1583016445,35.188155,-97.407697,5,19.75
1583016446,35.188101,-97.407912,5,20.290001
1583016447,35.188041,-97.408131,5,20.690001
1583016448,35.187977,-97.40835,5,21.17
1583016449,35.187913,-97.408565,5,21.16
1583016450,35.187842,-97.408786,5,21.07
1583016451,35.187773,-97.409,5,21.190001
1583016452,35.187705,-97.409218,5,21.74
1583016453,35.187633,-97.409444,5,21.68
1583016454,35.187565,-97.409669,5,21.889999
1583016455,35.18749,-97.409895,5,22.16
1583016456,35.187416,-97.410121,5,22.17
1583016457,35.187342,-97.410343,5,21.889999
1583016458,35.18727,-97.410574,5,21.92
1583016459,35.187197,-97.410797,5,22.040001
1583016460,35.18714,-97.411032,5,22.52
1583016461,35.18705,-97.411252,5,23.02
1583016462,35.18697,-97.41149,5,23.48
1583016463,35.186885,-97.411726,5,23.98
1583016464,35.18677,-97.41196,5,24.440001
1583016465,35.186668,-97.412206,5,24.92
1583016466,35.186576,-97.412452,5,24.93
1583016467,35.186461,-97.412697,5,24.75
1583016468,35.186365,-97.412924,5,24.709999
1583016469,35.186266,-97.413169,5,24.549999
1583016470,35.186187,-97.413419,5,24.15
1583016471,35.186085,-97.413652,5,23.709999
1583016472,35.185983,-97.413875,5,23.35
1583016473,35.185882,-97.414101,5,23.23
1583016474,35.185785,-97.414323,5,23.379999
1583016475,35.185692,-97.414561,5,23.57
1583016476,35.185606,-97.414807,5,23.91
1583016477,35.185506,-97.415042,5,24.27
1583016478,35.185416,-97.415289,5,24.6
1583016479,35.185311,-97.415535,5,24.889999
1583016480,35.185224,-97.415788,5,25.1
1583016481,35.185118,-97.416038,5,25.34
1583016482,35.185014,-97.416287,5,25.549999
1583016483,35.184901,-97.416529,5,25.68
1583016484,35.184798,-97.416791,5,25.9
1583016485,35.184688,-97.417047,5,25.950001
1583016486,35.18458,-97.417299,5,25.98
1583016487,35.184471,-97.417547,5,26.280001
1583016488,35.184363,-97.417799,5,26.33
1583016489,35.184249,-97.418059,5,26.719999
1583016490,35.184146,-97.418319,5,26.67
1583016491,35.184029,-97.418581,5,26.440001
1583016492,35.183914,-97.418839,5,26.280001
1583016493,35.183805,-97.419102,5,26.27
1583016494,35.183692,-97.41936,5,26.01
1583016495,35.183588,-97.419607,5,25.860001
1583016496,35.183483,-97.419855,5,25.5
1583016497,35.183369,-97.420088,5,25.09
1583016498,35.183272,-97.420333,5,24.790001
1583016499,35.183171,-97.420559,5,23.280001
1583016500,35.18308,-97.420776,5,21.48
1583016501,35.182996,-97.420987,5,21.43
1583016502,35.182915,-97.421197,5,21.02
1583016503,35.182831,-97.42142,5,21.219999
1583016504,35.182738,-97.421631,5,21.48
1583016505,35.182649,-97.421845,5,21.67
1583016506,35.182559,-97.422062,5,22.15
1583016507,35.182468,-97.422277,5,22.48
1583016508,35.182379,-97.422493,5,22.719999
1583016509,35.182286,-97.422738,5,25.15
1583016510,35.18219,-97.422994,5,25.91
1583016511,35.182082,-97.423243,5,25.879999
1583016512,35.181968,-97.423494,5,25.809999
1583016513,35.181858,-97.423744,5,25.66
1583016514,35.181748,-97.423991,5,25.49
1583016515,35.181644,-97.424237,5,25.280001
1583016516,35.181536,-97.424485,5,25.059999
1583016517,35.181425,-97.424729,5,24.83
1583016518,35.181329,-97.424974,5,24.809999
1583016519,35.181229,-97.425221,5,24.870001
1583016520,35.181127,-97.425461,5,24.9
1583016521,35.181022,-97.425705,5,24.959999
1583016522,35.180922,-97.425953,5,25.120001
1583016523,35.180821,-97.426204,5,25.42
1583016524,35.180724,-97.426464,5,25.82
1583016525,35.180624,-97.426721,5,26.18
1583016526,35.18053,-97.426986,5,26.41
1583016527,35.180445,-97.427254,5,26.290001
1583016528,35.180359,-97.42751,5,26.110001
1583016529,35.180276,-97.427776,5,26.110001
1583016530,35.180196,-97.42804,5,26.17
1583016531,35.180119,-97.428315,5,26.27
1583016532,35.180045,-97.428588,5,26.34
1583016533,35.179973,-97.428859,5,26.379999
1583016534,35.179908,-97.429136,5,26.43
1583016535,35.179845,-97.42942,5,26.48
1583016536,35.179789,-97.4297,5,26.530001
1583016537,35.179739,-97.429989,5,26.549999
1583016538,35.179694,-97.430276,5,26.620001
