Time,Latitude,Longitude,Accuracy,Speed
1583013727,35.218342,-97.417909,5,15.59
1583013728,35.218337,-97.417731,5,16
1583013729,35.218336,-97.41755,5,16.219999
1583013730,35.218335,-97.417362,5,16.549999
1583013731,35.218336,-97.417176,5,16.92
1583013732,35.21834,-97.416988,5,17.309999
1583013733,35.218342,-97.416795,5,17.75
1583013734,35.218338,-97.416595,5,18.200001
1583013735,35.218341,-97.41639,5,18.66
1583013736,35.218338,-97.416178,5,19.129999
1583013737,35.218335,-97.415961,5,19.549999
1583013738,35.218335,-97.415745,5,19.49
1583013739,35.218337,-97.415533,5,19.139999
1583013740,35.218336,-97.415324,5,18.950001
1583013741,35.218329,-97.41512,5,18.65
1583013742,35.218324,-97.414917,5,18.299999
1583013743,35.218321,-97.414719,5,18
1583013744,35.218318,-97.414524,5,17.75
1583013745,35.218317,-97.41433,5,17.620001
1583013746,35.218315,-97.414139,5,17.440001
1583013747,35.218316,-97.413956,5,17.110001
1583013748,35.218322,-97.41377,5,16.82
1583013749,35.218324,-97.413591,5,16.51
1583013750,35.218326,-97.413415,5,16.209999
1583013751,35.218325,-97.41324,5,15.91
1583013752,35.218326,-97.413069,5,15.59
1583013753,35.218325,-97.412901,5,15.29
1583013754,35.218326,-97.412736,5,14.98
1583013755,35.218327,-97.412581,5,14.17
1583013756,35.218328,-97.412446,5,12.31
1583013757,35.218333,-97.412341,5,10.04
1583013758,35.218332,-97.412251,5,8.18
1583013759,35.218332,-97.412181,5,6.43
1583013760,35.218329,-97.412112,5,5.99
1583013761,35.218327,-97.412049,5,5.66
1583013762,35.218325,-97.411988,5,5.46
1583013763,35.218322,-97.411928,5,5.64
1583013764,35.218319,-97.411855,5,6.79
1583013765,35.218321,-97.411768,5,7.7
1583013766,35.218319,-97.411677,5,8.15
1583013767,35.218319,-97.411574,5,8.89
1583013768,35.218326,-97.411463,5,9.84
1583013769,35.218326,-97.411345,5,10.67
1583013770,35.218324,-97.411216,5,11.42
1583013771,35.218323,-97.41108,5,12.17
1583013772,35.218322,-97.410937,5,12.94
1583013773,35.21832,-97.410786,5,13.68
1583013774,35.218317,-97.410626,5,14.35
1583013775,35.218317,-97.410462,5,14.91
1583013776,35.21832,-97.410296,5,15.01
1583013777,35.218322,-97.410133,5,15.3
1583013778,35.218317,-97.40996,5,15.52
1583013779,35.21832,-97.409791,5,15.53
1583013780,35.218315,-97.409624,5,15.67
1583013781,35.218312,-97.409454,5,15.38
1583013782,35.218311,-97.409288,5,15.08
1583013783,35.218312,-97.409126,5,14.85
1583013784,35.218311,-97.408968,5,14.5
1583013785,35.218316,-97.408811,5,14.05
1583013786,35.218308,-97.408663,5,13.59
1583013787,35.218304,-97.408521,5,13.16
1583013788,35.218308,-97.408382,5,12.71
1583013789,35.218308,-97.408246,5,12.41
1583013790,35.218307,-97.408112,5,12.17
1583013791,35.218305,-97.407979,5,12.02
1583013792,35.218304,-97.407847,5,12.16
1583013793,35.218301,-97.407711,5,12.41
1583013794,35.218301,-97.407575,5,12.52
1583013795,35.2183,-97.407443,5,12
1583013796,35.218304,-97.407332,5,10.14
1583013797,35.218306,-97.407232,5,9.01
1583013798,35.218298,-97.407134,5,8.85
1583013799,35.218304,-97.407035,5,9.29
1583013800,35.218301,-97.406914,5,10.53
1583013801,35.218297,-97.406787,5,11.58
1583013802,35.218296,-97.406647,5,12.55
1583013803,35.218297,-97.406496,5,13.46
1583013804,35.218298,-97.406342,5,14.38
1583013805,35.2183,-97.406174,5,15.23
1583013806,35.218298,-97.405998,5,16.15
1583013807,35.218298,-97.405813,5,16.99
1583013808,35.218298,-97.405614,5,17.879999
1583013809,35.218297,-97.405412,5,18.35
1583013810,35.218298,-97.405212,5,18.389999
1583013811,35.218297,-97.405008,5,18.379999
1583013812,35.218299,-97.404806,5,18.389999
1583013813,35.2183,-97.404606,5,18.41
1583013814,35.2183,-97.404401,5,18.6
1583013815,35.2183,-97.404191,5,19.040001
1583013816,35.218304,-97.403974,5,19.52
1583013817,35.218313,-97.403757,5,19.950001
1583013818,35.218314,-97.403534,5,20.459999
1583013819,35.218306,-97.403303,5,20.860001
1583013820,35.218304,-97.40307,5,21.139999
1583013821,35.218302,-97.402835,5,21.379999
1583013822,35.2183,-97.402601,5,21.540001
1583013823,35.218295,-97.402364,5,21.67
1583013824,35.21829,-97.40212,5,21.790001
1583013825,35.218287,-97.401877,5,21.92
1583013826,35.218287,-97.401638,5,22.040001
1583013827,35.218287,-97.401393,5,22.17
1583013828,35.218285,-97.401145,5,22.280001
1583013829,35.218288,-97.400903,5,22.370001
1583013830,35.218286,-97.400655,5,22.5
1583013831,35.218282,-97.400407,5,22.66
1583013832,35.218284,-97.40016,5,22.59
1583013833,35.218284,-97.399918,5,22.040001
1583013834,35.218283,-97.39968,5,21.440001
1583013835,35.218281,-97.399448,5,20.85
1583013836,35.218282,-97.399227,5,20.25
1583013837,35.218282,-97.399014,5,19.65
1583013838,35.218282,-97.398808,5,19.049999
1583013839,35.218283,-97.398608,5,18.450001
1583013840,35.218284,-97.398413,5,17.91
1583013841,35.218283,-97.398221,5,17.610001
1583013842,35.218281,-97.398026,5,17.59
1583013843,35.21828,-97.39783,5,17.6
1583013844,35.218278,-97.397637,5,17.639999
1583013845,35.218277,-97.397442,5,17.68
1583013846,35.218283,-97.397245,5,17.75
1583013847,35.218286,-97.397045,5,17.85
1583013848,35.218287,-97.396848,5,18
1583013849,35.218288,-97.39665,5,18
