Time,Latitude,Longitude,Accuracy,Speed
1583013727,35.218362,-97.417984,10,14.84
1583013728,35.218338,-97.417825,10,15.33
1583013729,35.218316,-97.41764,10,15.82
1583013730,35.218316,-97.417469,10,17.059999
1583013731,35.21832,-97.417273,10,17.120001
1583013732,35.218304,-97.417079,10,17.219999
1583013733,35.218303,-97.416884,10,17.51
1583013734,35.2183,-97.416661,10,18.34
1583013735,35.218299,-97.416477,10,18.860001
1583013736,35.218303,-97.416275,10,19.709999
1583013737,35.218305,-97.416056,10,19.74
1583013738,35.218307,-97.415842,10,19.610001
1583013739,35.218295,-97.415625,10,19.440001
1583013740,35.218294,-97.415404,10,19.26
1583013741,35.218295,-97.415203,10,18.559999
1583013742,35.218278,-97.41501,10,18.200001
1583013743,35.218266,-97.414807,10,18.549999
1583013744,35.21826,-97.414604,10,17.68
1583013745,35.218257,-97.414415,10,17.57
1583013746,35.218268,-97.414233,10,17.450001
1583013747,35.218274,-97.414038,10,17.549999
1583013748,35.218279,-97.413856,10,16.77
1583013749,35.218293,-97.413692,10,16.639999
1583013750,35.218296,-97.413504,10,16.24
1583013751,35.218299,-97.413323,10,15.83
1583013752,35.218301,-97.413144,10,15.66
1583013753,35.218295,-97.412975,10,15.29
1583013754,35.218289,-97.412808,10,15.04
1583013755,35.218291,-97.412639,10,14.15
1583013756,35.218293,-97.412531,10,12.37
1583013757,35.218287,-97.412419,10,10.24
1583013758,35.218291,-97.412326,10,8.45
1583013759,35.218291,-97.412251,10,6.68
1583013760,35.218291,-97.41218,10,5.82
1583013761,35.218294,-97.412135,10,5.26
1583013762,35.218299,-97.412079,10,5.27
1583013763,35.218304,-97.412015,10,5.68
1583013764,35.218314,-97.411933,10,6.5
1583013765,35.218318,-97.411849,10,7.38
1583013766,35.218298,-97.411755,10,7.96
1583013767,35.218287,-97.411661,10,8.67
1583013768,35.218288,-97.411567,10,9.25
1583013769,35.218283,-97.411454,10,9.93
1583013770,35.218288,-97.411338,10,11.2
1583013771,35.218284,-97.411195,10,11.88
1583013772,35.21827,-97.411042,10,12.78
1583013773,35.218274,-97.4109,10,13.21
1583013774,35.218276,-97.410735,10,14.55
1583013775,35.218276,-97.410568,10,14.89
1583013776,35.218271,-97.410406,10,14.83
1583013777,35.218256,-97.41024,10,14.96
1583013778,35.218276,-97.410087,10,15.34
1583013779,35.218291,-97.409918,10,15.04
1583013780,35.218297,-97.40973,10,15.88
1583013781,35.2183,-97.409549,10,15.5
1583013782,35.218309,-97.409384,10,15.07
1583013783,35.218309,-97.409216,10,14.88
1583013784,35.218306,-97.409039,10,14.97
1583013785,35.218295,-97.408869,10,14.45
1583013786,35.218289,-97.408712,10,14.21
1583013787,35.21828,-97.408565,10,13.44
1583013788,35.218282,-97.40842,10,12.89
1583013789,35.218294,-97.408292,10,12.73
1583013790,35.218296,-97.408142,10,12.6
1583013791,35.218296,-97.408002,10,12.45
1583013792,35.21828,-97.407859,10,12.29
1583013793,35.218292,-97.407739,10,12.31
1583013794,35.218276,-97.407593,10,12.55
1583013795,35.218284,-97.407477,10,12.25
1583013796,35.218288,-97.407374,10,10.5
1583013797,35.218307,-97.407299,10,9.02
1583013798,35.218312,-97.407202,10,8.74
1583013799,35.218308,-97.407093,10,9.03
1583013800,35.218302,-97.406967,10,10.13
1583013801,35.2183,-97.406834,10,11.09
1583013802,35.218309,-97.406699,10,12.17
1583013803,35.218295,-97.406536,10,13.27
1583013804,35.218287,-97.406367,10,14.45
1583013805,35.218288,-97.406203,10,15.21
1583013806,35.218288,-97.406016,10,16.33
1583013807,35.218286,-97.405825,10,16.93
1583013808,35.218291,-97.405623,10,17.959999
1583013809,35.218293,-97.405418,10,18.209999
1583013810,35.218293,-97.40523,10,18.4
1583013811,35.218291,-97.405017,10,18.66
1583013812,35.218292,-97.404825,10,18.129999
1583013813,35.21829,-97.40462,10,18.58
1583013814,35.218282,-97.404407,10,18.6
1583013815,35.218291,-97.404194,10,19.030001
1583013816,35.21829,-97.403967,10,19.469999
1583013817,35.218297,-97.403757,10,19.719999
1583013818,35.218293,-97.403526,10,20.01
1583013819,35.218299,-97.403293,10,20.84
1583013820,35.218286,-97.403061,10,20.790001
1583013821,35.218291,-97.402828,10,21.030001
1583013822,35.218288,-97.402596,10,20.77
1583013823,35.218288,-97.402363,10,21.17
1583013824,35.21828,-97.402122,10,21.59
1583013825,35.218274,-97.401892,10,21.17
1583013826,35.218264,-97.401654,10,21.42
1583013827,35.21825,-97.401403,10,21.65
1583013828,35.218261,-97.40115,10,22.49
1583013829,35.218257,-97.400889,10,22.549999
1583013830,35.218261,-97.400635,10,22.59
1583013831,35.218261,-97.400393,10,22.49
1583013832,35.218271,-97.400158,10,22.129999
1583013833,35.218264,-97.399921,10,21.559999
1583013834,35.218281,-97.39969,10,21.49
1583013835,35.218279,-97.399458,10,20.690001
1583013836,35.21827,-97.39923,10,19.950001
1583013837,35.218273,-97.399008,10,19.6
1583013838,35.218273,-97.398788,10,19.15
1583013839,35.218272,-97.398585,10,18.57
1583013840,35.218282,-97.398397,10,18.16
