Time,Latitude,Longitude,Accuracy,Speed
1583018880,35.223804,-97.439922,5,7.54
1583018881,35.223763,-97.4399,5,5.86
1583018882,35.223723,-97.439884,5,5.27
1583018883,35.223681,-97.439874,5,4.91
1583018884,35.223639,-97.439901,5,4.9
1583018885,35.223609,-97.43996,5,6.26
1583018886,35.223572,-97.440035,5,7.96
1583018887,35.223531,-97.440127,5,9.29
1583018888,35.223486,-97.440232,5,10.51
1583018889,35.223437,-97.440344,5,11.3
1583018890,35.223394,-97.440463,5,11.88
1583018891,35.223341,-97.44058,5,12.14
1583018892,35.22329,-97.440701,5,12.21
1583018893,35.223241,-97.440822,5,12.22
1583018894,35.223192,-97.440942,5,12.11
1583018895,35.223143,-97.441055,5,12.08
1583018896,35.223094,-97.441169,5,12.03
1583018897,35.223042,-97.44128,5,11.7
1583018898,35.222998,-97.441388,5,11.35
1583018899,35.222953,-97.441501,5,11.43
1583018900,35.222905,-97.441619,5,11.82
1583018901,35.222858,-97.441731,5,11.75
1583018902,35.222813,-97.441842,5,11.61
1583018903,35.222764,-97.441959,5,11.64
1583018904,35.222718,-97.442074,5,11.68
1583018905,35.222671,-97.442187,5,11.74
1583018906,35.222625,-97.442305,5,11.87
1583018907,35.222573,-97.442431,5,12.33
1583018908,35.22252,-97.442553,5,12.45
1583018909,35.222469,-97.442677,5,12.77
1583018910,35.222412,-97.442804,5,13.1
1583018911,35.222354,-97.442931,5,13.38
1583018912,35.2223,-97.443065,5,13.68
1583018913,35.222242,-97.443196,5,14.01
1583018914,35.222181,-97.44334,5,14.26
1583018915,35.222128,-97.443478,5,14.42
1583018916,35.222068,-97.443619,5,14.53
1583018917,35.222009,-97.443759,5,14.47
1583018918,35.221947,-97.443897,5,14.27
1583018919,35.221891,-97.44403,5,13.85
1583018920,35.221839,-97.444164,5,13.59
1583018921,35.221786,-97.444285,5,13.16
1583018922,35.221729,-97.44441,5,12.97
1583018923,35.221666,-97.444538,5,13.25
1583018924,35.221606,-97.444669,5,13.56
1583018925,35.221547,-97.444794,5,13.59
1583018926,35.221488,-97.444921,5,13.48
1583018927,35.221429,-97.445052,5,13.33
1583018928,35.221372,-97.445177,5,13.08
1583018929,35.221316,-97.445299,5,13
1583018930,35.221256,-97.445419,5,12.65
1583018931,35.221194,-97.445536,5,12.14
1583018932,35.221144,-97.445631,5,10.43
1583018933,35.221109,-97.445717,5,9
1583018934,35.221086,-97.44579,5,7.87
1583018935,35.22106,-97.445846,5,6.52
1583018936,35.221017,-97.445886,5,5.61
1583018937,35.220956,-97.445896,5,5.87
1583018938,35.220901,-97.44589,5,6.01
1583018939,35.220837,-97.445865,5,6.8
1583018940,35.220765,-97.445826,5,7.9
1583018941,35.220705,-97.445781,5,8.02
1583018942,35.220639,-97.44573,5,7.78
1583018943,35.220579,-97.445685,5,7.34
1583018944,35.220527,-97.445656,5,6.6
1583018945,35.220484,-97.445632,5,5.22
1583018946,35.220452,-97.445603,5,4.03
1583018947,35.220426,-97.445588,5,3.2
1583018948,35.220405,-97.445576,5,2.59
1583018949,35.220394,-97.445565,5,1.9
1583018950,35.220386,-97.44556,5,0.91
1583018952,35.220378,-97.445553,5,0.59
1583018953,35.220371,-97.445547,5,0.62
1583018954,35.220365,-97.445542,5,0.71
1583018955,35.220356,-97.445534,5,1.13
1583018956,35.220344,-97.445526,5,1.47
1583018957,35.220329,-97.445515,5,1.78
1583018958,35.220313,-97.445504,5,1.74
1583018959,35.220298,-97.445494,5,1.59
1583018960,35.220281,-97.445484,5,2.04
1583018961,35.220257,-97.44547,5,2.71
1583018962,35.220196,-97.445432,5,5.2
1583018963,35.220139,-97.445397,5,6.49
1583018964,35.220077,-97.445361,5,7.27
1583018965,35.220009,-97.445323,5,8.15
1583018966,35.219935,-97.445275,5,8.75
1583018967,35.219866,-97.445229,5,8.62
1583018968,35.219797,-97.445187,5,8.3
1583018969,35.219732,-97.445146,5,8.03
1583018970,35.219671,-97.445107,5,7.71
1583018971,35.219617,-97.445074,5,7.42
1583018972,35.219553,-97.445036,5,7.89
1583018973,35.219474,-97.444978,5,8.68
1583018974,35.219399,-97.444933,5,9.38
1583018975,35.219319,-97.44488,5,9.95
1583018976,35.219236,-97.444825,5,10.65
1583018977,35.219144,-97.444764,5,11.34
1583018978,35.219048,-97.4447,5,11.41
1583018979,35.218954,-97.44464,5,11.19
1583018980,35.218871,-97.444592,5,11.14
1583018981,35.218782,-97.444534,5,11.36
1583018982,35.218688,-97.444475,5,11.35
1583018983,35.218602,-97.444418,5,11.09
1583018984,35.218514,-97.44436,5,10.74
1583018985,35.218435,-97.444309,5,9.82
1583018986,35.218368,-97.444267,5,8.6
1583018987,35.218325,-97.444242,5,5.77
1583018988,35.218303,-97.44423,5,3.42
1583018990,35.218291,-97.444227,5,1.43
1583018991,35.218258,-97.444207,5,3.93
1583018992,35.21822,-97.444194,5,4.69
1583018993,35.218178,-97.444207,5,4.76
1583018994,35.218181,-97.444278,5,5.59
1583018995,35.218151,-97.444352,5,7.26
1583018996,35.218114,-97.444443,5,8.8
1583018997,35.218075,-97.444538,5,10.22
1583018998,35.218029,-97.444654,5,11.53
1583018999,35.217978,-97.444779,5,12.48
1583019000,35.217928,-97.444902,5,12.74
1583019001,35.217877,-97.445019,5,12.59
1583019002,35.217824,-97.445144,5,12.64
1583019003,35.217772,-97.445262,5,11.61
1583019004,35.217732,-97.445342,5,8.45
1583019005,35.217713,-97.445388,5,4.8
1583019006,35.217706,-97.445402,5,1.23
1583019007,35.217712,-97.445397,5,0.19
1583019009,35.217678,-97.445474,5,5.07
1583019010,35.217644,-97.445549,5,7.34
1583019011,35.217606,-97.445636,5,9.32
1583019012,35.217565,-97.445734,5,10.78
1583019013,35.217522,-97.445852,5,12.12
1583019014,35.217472,-97.44597,5,12.73
1583019015,35.217422,-97.446092,5,12.9
1583019016,35.217366,-97.446219,5,12.78
1583019017,35.217313,-97.446345,5,12.52
1583019018,35.217264,-97.446455,5,12.25
1583019019,35.217224,-97.446566,5,11.11
1583019020,35.217184,-97.446655,5,8.85
1583019021,35.217156,-97.446716,5,6.11
1583019022,35.217143,-97.446751,5,3.39
1583019024,35.217139,-97.446767,5,1.54
1583019025,35.217123,-97.446798,5,3.04
1583019026,35.217092,-97.446837,5,5.2
1583019027,35.217033,-97.446851,5,5.68
1583019028,35.216981,-97.44684,5,5.73
1583019029,35.216912,-97.446808,5,7.07
1583019030,35.216852,-97.446771,5,8.08
1583019031,35.216785,-97.446727,10,8.59
1583019032,35.216714,-97.446687,10,8.26
1583019033,35.216647,-97.446638,10,7.96
1583019034,35.216594,-97.446603,10,6.5
1583019035,35.216555,-97.446574,10,4.98
1583019036,35.216515,-97.446552,10,5.14
1583019037,35.216476,-97.446527,10,4.74
1583019038,35.216441,-97.446508,10,3.97
1583019039,35.216418,-97.446492,10,3.49
1583019040,35.216393,-97.446478,10,3.07
1583019041,35.216375,-97.446464,10,2.87
1583019042,35.216354,-97.446453,10,3.07
1583019043,35.216333,-97.446439,10,2.72
1583019044,35.216314,-97.446427,10,2.12
1583019045,35.216294,-97.446413,10,2.54
1583019046,35.216276,-97.446402,10,2.04
1583019047,35.216269,-97.446398,10,0.61
1583019050,35.216253,-97.44639,10,2.65
1583019051,35.216198,-97.446363,10,5.66
1583019052,35.216131,-97.446317,10,7.79
1583019053,35.216056,-97.446271,10,8.91
1583019054,35.215987,-97.446228,10,9.61
1583019055,35.21591,-97.446171,5,10.11
1583019056,35.215823,-97.446112,5,10.56
1583019057,35.215731,-97.446053,5,10.84
1583019058,35.215648,-97.446005,5,10.8
1583019059,35.215569,-97.445955,5,10.79
1583019060,35.215481,-97.445901,5,10.53
1583019061,35.215396,-97.445847,5,10.44
1583019062,35.215307,-97.44579,5,10.31
1583019063,35.215218,-97.445739,5,10.6
1583019064,35.215128,-97.445704,5,10.82
1583019065,35.215034,-97.445685,5,10.75
1583019066,35.214929,-97.445675,5,11.38
1583019067,35.214818,-97.44567,5,11.97
1583019068,35.21471,-97.44567,5,12.53
1583019069,35.214589,-97.445673,5,13.05
1583019070,35.214465,-97.44567,5,13.52
1583019071,35.214341,-97.445672,5,13.61
1583019072,35.214216,-97.445672,5,13.35
1583019073,35.214101,-97.445676,5,13.01
1583019074,35.213985,-97.445678,5,12.7
1583019075,35.213879,-97.445679,5,12.35
1583019076,35.213772,-97.445675,5,11.99
1583019077,35.213669,-97.445675,5,11.7
1583019078,35.213562,-97.445679,5,11.42
1583019079,35.213463,-97.445678,5,11.11
1583019080,35.213369,-97.445678,5,10.69
1583019081,35.213281,-97.44568,5,10.34
1583019082,35.213185,-97.44568,5,10.4
1583019083,35.21309,-97.44568,5,10.67
1583019084,35.212989,-97.445679,5,11.02
1583019085,35.212897,-97.445679,5,10.85
1583019086,35.212802,-97.445681,5,10.73
1583019087,35.2127,-97.445683,5,11.14
1583019088,35.212596,-97.445681,5,11.6
1583019089,35.212492,-97.445683,5,11.95
1583019090,35.212387,-97.445684,5,12.02
1583019091,35.212275,-97.445684,5,11.78
1583019092,35.21217,-97.445681,5,11.45
1583019093,35.212067,-97.445679,5,11.29
1583019094,35.211966,-97.445679,5,11.21
1583019095,35.211871,-97.445679,5,11.09
1583019096,35.211769,-97.445676,5,10.87
1583019097,35.211677,-97.445671,5,10.39
1583019098,35.211594,-97.445672,5,9.43
1583019099,35.211518,-97.445674,5,8.42
1583019100,35.211459,-97.445674,5,6.6
1583019101,35.211423,-97.445677,5,4.02
1583019102,35.211411,-97.445679,5,2.22
1583019157,35.211407,-97.445666,10,0.64
1583019158,35.211394,-97.445667,10,1.28
1583019159,35.211373,-97.445667,10,2.15
1583019160,35.211341,-97.445667,10,3.17
1583019161,35.21132,-97.445669,10,1.75
1583019162,35.211299,-97.445673,10,2.08
1583019163,35.211263,-97.445669,10,3.9
1583019164,35.211221,-97.445651,10,4.54
1583019165,35.211166,-97.445597,10,6.61
1583019166,35.21114,-97.445516,10,7.67
1583019167,35.211132,-97.445422,10,8.62
1583019168,35.21113,-97.445311,10,9.71
1583019169,35.21113,-97.445199,10,10.56
1583019170,35.211127,-97.445076,10,11.52
1583019171,35.211127,-97.444941,10,12.04
1583019183,35.211173,-97.444077,65,-1
1583019186,35.211193,-97.443934,65,-1
1583019195,35.211257,-97.444013,65,-1
1583019202,35.21123,-97.444027,65,-1
1583019230,35.21109,-97.443878,10,0.15
1583019232,35.211088,-97.443823,10,3.56
1583019233,35.211087,-97.443703,10,5.47
1583019234,35.211078,-97.443581,10,9.5
1583019235,35.211074,-97.443396,10,13.24
1583019236,35.211076,-97.443196,10,15.55
1583019237,35.211088,-97.44304,10,16.34
1583019238,35.211092,-97.442875,10,16.860001
1583019239,35.211089,-97.442682,10,16.91
1583019270,35.211099,-97.44147,10,0
1583019287,35.211099,-97.44147,5,0
1583019310,35.211098,-97.441447,5,1.56
1583019311,35.211096,-97.441409,5,3.28
1583019312,35.211085,-97.44134,5,5.34
1583019313,35.211072,-97.441213,5,8.7
1583019314,35.211079,-97.440989,5,15
1583019315,35.211086,-97.440766,5,17.809999
1583019316,35.211084,-97.440539,5,19.76
1583019317,35.211085,-97.440321,5,19.67
1583019318,35.211081,-97.440108,5,19.370001
1583019319,35.211075,-97.439901,5,19
1583019335,35.211003,-97.437068,219.813152,-1
1583019350,35.211049,-97.437692,5,0
1583019413,35.21105,-97.437668,5,1.53
1583019414,35.211053,-97.437644,5,2.67
1583019415,35.211054,-97.437607,5,3.66
1583019416,35.211055,-97.437564,5,3.98
1583019417,35.211059,-97.437518,5,4.87
