Time,Latitude,Longitude,Accuracy,Speed
1583018880,35.223828,-97.439917,10,7.57
1583018881,35.223781,-97.439886,10,6.14
1583018882,35.223737,-97.439866,10,5.39
1583018883,35.223688,-97.439856,10,5.22
1583018884,35.223651,-97.439894,10,4.31
1583018885,35.223616,-97.439951,10,6.23
1583018886,35.223589,-97.44004,5,7.9
1583018887,35.223551,-97.440121,5,9.16
1583018889,35.223502,-97.440218,5,9.97
1583018890,35.22345,-97.440342,5,11.32
1583018891,35.223406,-97.440471,5,11.7
1583018892,35.223348,-97.440596,5,12.18
1583018893,35.223296,-97.440714,5,12.2
1583018894,35.223247,-97.440834,5,12.21
1583018895,35.223193,-97.440957,5,12.23
1583018896,35.223135,-97.441066,5,12.1
1583018897,35.223082,-97.441178,5,11.99
1583018898,35.223038,-97.441263,5,11.52
1583018899,35.222998,-97.441361,5,11.37
1583018900,35.222946,-97.441478,5,11.52
1583018901,35.222885,-97.441589,5,11.72
1583018902,35.222832,-97.441711,5,11.83
1583018903,35.222783,-97.441838,5,11.65
1583018904,35.222728,-97.441953,5,11.65
1583018905,35.222676,-97.442069,5,11.66
1583018906,35.222628,-97.442185,5,11.72
1583018907,35.22258,-97.442296,5,11.85
1583018908,35.222532,-97.442417,5,12.31
1583018909,35.222481,-97.442544,5,12.45
1583018910,35.222434,-97.442674,5,12.72
1583018911,35.222383,-97.442802,5,13.07
1583018912,35.222326,-97.442933,5,13.37
1583018913,35.222268,-97.443067,5,13.63
1583018914,35.222207,-97.443202,5,13.94
1583018915,35.222155,-97.443352,5,14.63
1583018916,35.222093,-97.443488,5,14.41
1583018917,35.222028,-97.443637,5,14.54
1583018918,35.221962,-97.443781,5,14.45
1583018919,35.221904,-97.44392,5,14.26
1583018920,35.221849,-97.444054,5,13.9
1583018921,35.221787,-97.444181,5,13.6
1583018922,35.221739,-97.444322,5,13.16
1583018923,35.221678,-97.444449,5,13.02
1583018924,35.221619,-97.444571,5,13.34
1583018925,35.221556,-97.444708,5,13.79
1583018926,35.221499,-97.444834,5,13.69
1583018927,35.221439,-97.444952,5,13.49
1583018928,35.22138,-97.445079,5,13.43
1583018929,35.221327,-97.4452,5,12.95
1583018930,35.221274,-97.445316,5,12.73
1583018931,35.221215,-97.445434,5,12.32
1583018932,35.221159,-97.445548,5,11.74
1583018933,35.221112,-97.445642,5,9.39
1583018934,35.22107,-97.445731,5,9.37
1583018935,35.221047,-97.445794,5,7.03
1583018936,35.221011,-97.44584,5,5.86
1583018937,35.220976,-97.445873,5,5.57
1583018938,35.220922,-97.445877,5,6.08
1583018939,35.220867,-97.445872,5,6.05
1583018940,35.220806,-97.445828,5,7.22
1583018941,35.220739,-97.445791,5,8.07
1583018942,35.220684,-97.445746,5,7.88
1583018943,35.220617,-97.445705,5,7.63
1583018944,35.220559,-97.445673,5,7.26
1583018945,35.220497,-97.445635,5,6.23
1583018946,35.220455,-97.445617,5,4.82
1583018947,35.220417,-97.445593,5,4.82
1583018948,35.220404,-97.44558,5,3.18
1583018949,35.220379,-97.445564,5,3.18
1583018950,35.220376,-97.445557,5,1.6
1583018951,35.220373,-97.44555,5,0.64
1583018952,35.220368,-97.445546,5,0.58
1583018953,35.220362,-97.445544,5,0.73
1583018954,35.220357,-97.445543,5,0.57
1583018955,35.220349,-97.445539,5,0.77
1583018956,35.220343,-97.445535,5,1.09
1583018957,35.220332,-97.445527,5,1.57
1583018958,35.220316,-97.445517,5,1.8
1583018959,35.220306,-97.445509,5,0.75
1583018960,35.220293,-97.4455,5,1.58
1583018961,35.220272,-97.445484,5,2.6
1583018962,35.220238,-97.44546,5,4.6
1583018963,35.220177,-97.445435,5,6.06
1583018964,35.220121,-97.445396,5,6.91
1583018965,35.220063,-97.445363,5,7.44
1583018966,35.220002,-97.445324,5,8.28
1583018967,35.219939,-97.445282,5,8.62
1583018968,35.219873,-97.445238,5,8.47
1583018969,35.219808,-97.445184,5,8.25
1583018970,35.219762,-97.445162,5,7.78
1583018971,35.219709,-97.44513,5,7.51
1583018972,35.219652,-97.445106,5,7.36
1583018973,35.219578,-97.445058,5,8.19
1583018974,35.219515,-97.445014,5,9.16
1583018975,35.219437,-97.444974,5,9.66
1583018976,35.21935,-97.444919,5,10.21
1583018977,35.219259,-97.444867,5,10.92
1583018978,35.219174,-97.444801,5,11.65
1583018979,35.219079,-97.444751,5,11.31
1583018980,35.218999,-97.44469,5,11.1
1583018981,35.218907,-97.444632,5,11.31
1583018982,35.218823,-97.444572,5,11.37
1583018983,35.218732,-97.444507,5,11.42
1583018984,35.218651,-97.444446,5,11.15
1583018985,35.218558,-97.444392,5,10.7
1583018986,35.21848,-97.444343,5,9.53
1583018987,35.218418,-97.444305,5,7.99
1583018988,35.218346,-97.444255,5,7.79
1583018989,35.218284,-97.444213,5,7.79
1583018990,35.218313,-97.444241,5,2.61
1583018991,35.218288,-97.444225,5,2.44
1583018992,35.218252,-97.444202,5,4.22
1583018993,35.218219,-97.444182,10,4.57
1583018994,35.21819,-97.444194,10,3.98
1583018995,35.218152,-97.444266,10,5.34
1583018996,35.218117,-97.444337,10,6.86
1583018997,35.218079,-97.444404,10,7.14
1583018998,35.218038,-97.44447,10,7.48
