time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
1545665167,35.20391611,-97.4207634,269.1,11.640069,3,327,-0.703,2.889,9.79,0
1545665168,35.20391489,-97.42089363,269.1,11.880105,3,327,-0.99,2.811,9.476,0
1545665169,35.20391162,-97.42102945,268.4,12.580779,3,327,-0.889,3.563,9.193,0
1545665170,35.20390773,-97.42117956,268.1,14.740054,3,327,-0.805,4.695,9.179,0
1545665171,35.20390476,-97.42135723,269.2,17.430002,3,327,-0.695,5.111,9.91,0
1545665172,35.20390375,-97.4215658,269.7,19.930304,3,327,-1.121,4.713,8.868,0
1545665173,35.2039032,-97.42180521,269.9,22.240036,3,327,-0.635,2.379,8.013,0
1545665174,35.2039038,-97.42204488,270.2,22.15001,3,327,-1.299,1.882,9.244,0
1545665175,35.20390293,-97.42228455,270,21.810001,3,327,-0.64,1.971,8.988,0
1545665177,35.20390175,-97.42252555,270,21.640036,3,326,-0.679,2.666,10.249,0
1545665178,35.20390267,-97.42276464,270.3,21.630148,3,326,-0.262,4.065,9.44,0
1545665179,35.20390329,-97.42301013,270.5,23.140106,3,326,-0.771,4.486,9.064,0
1545665180,35.20390504,-97.42327718,270.5,24.940008,3,326,-0.443,4.136,8.192,0
1545665181,35.20390831,-97.4235637,271.2,26.69048,3,326,-0.84,1.386,6.434,0
1545665182,35.20391353,-97.42385642,271.5,26.480091,3,326,-1.688,0.722,10.962,0
1545665183,35.20391622,-97.42413295,270.6,24.910242,3,326,-0.72,-0.183,8.869,0
1545665184,35.20391724,-97.42438559,270.3,22.520435,3,325,-1.112,-0.032,10.128,0
1545665185,35.20391909,-97.42461544,270.4,20.110039,3,325,-1.294,1.941,9.413,0
1545665186,35.20391945,-97.42482705,270.1,18.820066,3,325,-1.284,1.96,9.795,0
1545665187,35.20391896,-97.42503392,269.3,18.540043,3,325,-1.001,2.145,9.99,0
1545665188,35.20391632,-97.4252324,268.8,18.160135,3,324,-0.899,2.136,10.637,0
1545665189,35.20391199,-97.4254325,268.5,17.8901,3,324,-0.782,2.099,9.835,0
1545665190,35.20390904,-97.42562835,269.1,17.620344,3,324,-1.025,2.97,10.097,0
1545665191,35.20390749,-97.42582255,269.5,17.93007,3,324,-1.069,3.738,9.323,0
1545665192,35.20390698,-97.42602779,269.8,19.181261,3,324,-1.03,3.285,8.967,0
1545665193,35.20390718,-97.42625171,269.9,20.451918,3,324,-1.155,3.538,9.634,0
1545665194,35.20390769,-97.42648781,270.2,21.521338,3,323,-0.896,3.398,9.794,0
1545665195,35.20390766,-97.42672965,270.2,22.550142,3,323,-1.084,3.07,9.946,0
1545665196,35.20390891,-97.42698206,270.2,23.330019,3,323,-1.019,2.581,9.465,0
1545665197,35.2039104,-97.42724416,270.3,23.760412,3,324,-0.975,2.306,10.08,0
1545665198,35.20391104,-97.42750792,270.4,23.870472,3,324,-1.453,2.186,9.549,0
1545665199,35.2039112,-97.42776583,270.2,23.600172,3,324,-0.862,2.095,9.571,0
1545665200,35.20390987,-97.42802404,269.9,23.290174,3,324,-1.294,2.05,9.803,0
1545665201,35.2039087,-97.42827915,269.7,22.990177,3,324,-0.721,2.351,9.212,0
1545665202,35.2039066,-97.42853037,269.4,22.640055,3,324,-1.131,2.259,9.751,0
1545665203,35.20390793,-97.42902421,270.4,22.500143,3,324,-1.044,2.036,9.723,0
1545665204,35.20390944,-97.42927122,270.4,22.111095,3,323,-1.152,1.972,9.985,0
1545665205,35.20391038,-97.42951756,270.2,21.822346,3,323,-0.762,0.236,8.893,0
1545665206,35.20391232,-97.42974061,270.7,20.034616,3,323,-1.282,-0.179,9.49,0
1545665207,35.20391456,-97.42994324,271.1,17.8845,3,322,-0.968,0.035,9.728,0
1545665208,35.20391721,-97.43012957,271.2,16.351759,3,321,-0.778,1.081,9.644,0
1545665209,35.20392089,-97.43030696,271.2,15.824191,3,320,-0.937,0.214,10.43,0
1545665210,35.20392323,-97.43046462,271.1,14.1867895,3,320,-1.053,0.45,9.388,0
1545665211,35.20392535,-97.43061168,270.9,13.438769,3,319,-1.187,0.088,9.668,0
1545665212,35.20392636,-97.43074824,270.6,11.688088,3,318,-1.052,-0.141,9.691,0
1545665213,35.20392746,-97.43086222,270.5,9.575809,3,318,-0.947,1.727,9.219,0
1545665215,35.20392837,-97.4309639,270.4,8.864114,3,317,-0.967,-0.197,9.904,0
1545665216,35.20392841,-97.43104428,270.4,6.609274,3,317,-0.765,1.564,9.065,0
1545665217,35.20392842,-97.43111307,270.2,5.7454414,3,317,-0.856,-0.101,10.305,0
1545665218,35.20392714,-97.43116116,269.9,3.7634027,3,317,-1.031,1.967,9.259,0
1545665219,35.20392714,-97.43119726,269.6,3.150143,3,317,-0.594,3.958,9.662,0
1545665220,35.20392853,-97.4312372,269.4,4.22,3,317,-0.104,3.717,9.522,0
1545665221,35.20393247,-97.43129323,274.8,5.64,3,317,1.415,3.816,9.284,0
1545665222,35.20395196,-97.43136041,290.8,7.180028,3,317,0.963,4.756,9.116,0
1545665223,35.20399185,-97.43144142,302.5,9.560424,3,317,0.748,4.761,9.356,0
1545665224,35.20405174,-97.4315324,311.1,11.880005,3,317,-0.499,4.343,9.295,0
1545665225,35.20413022,-97.43163831,314.5,13.58,3,317,-0.34,3.5,9.527,0
1545665226,35.20422246,-97.43174743,316.5,14.730013,3,317,-0.915,3.161,9.094,0
1545665227,35.20432093,-97.43185836,317.6,15.5203905,3,318,-0.569,3.539,9.025,0
1545665228,35.20442886,-97.43197484,319.1,16.641588,3,318,0.052,3.599,9.419,0
1545665229,35.2045495,-97.43209617,320.7,17.54292,3,318,-0.494,3.792,9.428,0
1545665230,35.20468079,-97.43222026,322.5,18.614515,3,319,-0.439,3.735,9.238,0
1545665231,35.2048196,-97.43234453,323.9,19.606377,3,319,0.07,1.928,9.549,0
1545665232,35.20496739,-97.43246809,326,19.76583,3,320,-0.131,1.915,9.412,0
1545665233,35.20511358,-97.43258392,327.6,19.119417,3,320,-0.701,2.005,9.55,0
1545665234,35.20525827,-97.43269174,329.2,18.527021,3,320,-0.121,1.706,9.7,0
1545665235,35.20539889,-97.43278953,330.9,18.006943,3,321,-0.625,2.017,9.653,0
1545665236,35.20553725,-97.43287963,332.3,17.424824,3,321,-0.727,1.952,9.269,0
1545665237,35.20567676,-97.43296765,332.8,16.903221,3,322,-2.053,1.779,8.446,0
1545665238,35.20581113,-97.43305101,332.4,16.45394,3,322,-1.401,2.829,9.793,0
1545665239,35.20594034,-97.43313288,332.1,16.312944,3,323,-0.996,2.129,9.462,0
1545665240,35.20606764,-97.4332151,331.9,16.012627,3,323,-0.877,2.907,9.795,0
1545665241,35.20619563,-97.43329441,332.5,15.771269,3,323,-0.884,2.983,9.557,0
1545665242,35.2063241,-97.43337582,332.4,16.0507,3,323,-0.858,2.054,9.076,0
1545665243,35.20657772,-97.43353874,332.2,15.87126,3,324,-0.637,2.243,9.394,1
1545665244,35.20670625,-97.43362102,332.4,15.641998,3,324,-0.863,2.172,8.786,0
1545665245,35.20683088,-97.43370058,332.5,15.42073,3,324,-0.687,2.061,9.004,0
1545665246,35.20695073,-97.43377633,332.6,15.030748,3,324,-0.983,2.067,9.306,0
1545665247,35.20706883,-97.43385035,332.9,14.700085,3,324,-0.76,2.093,9.397,0
1545665248,35.20718645,-97.43392232,333.5,14.380282,3,324,-0.54,2.008,9.559,0
1545665249,35.20730289,-97.43398995,334.3,14.060128,3,324,-3.163,1.339,9.881,0
1545665250,35.20740342,-97.43407422,322.7,13.330375,3,324,-5.861,1.566,9.161,0
1545665251,35.20747393,-97.43418493,302.2,12.950062,3,324,-5.527,1.473,10.167,0
1545665252,35.20750798,-97.43431061,282.3,12.290005,3,324,-2.586,1.873,9.627,0
1545665253,35.20751926,-97.43444203,272,11.990017,3,325,-0.904,2.048,9.765,0
1545665255,35.2075215,-97.43456913,269.3,11.58073,3,325,-0.554,1.856,8.871,0
1545665256,35.20752118,-97.43469291,269.6,11.311278,3,324,-1.228,3.035,9.151,0
1545665257,35.20752063,-97.43482245,268.2,11.660841,3,325,-0.77,3,9.037,0
1545665258,35.20751906,-97.43495274,267.5,11.851688,3,325,-0.624,1.925,9.412,0
1545665259,35.20751679,-97.43507982,268.7,11.511568,3,325,-0.314,1.85,9.06,0
