time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
0,35.20935221,-97.43961105,74.8,2.09,4.5509996,321,0.82,2.576,9.154,1
1,35.20936702,-97.43958322,68.9,2.4,4.5509996,320,0.623,3.142,8.964,1
2,35.20937144,-97.43954679,84.7,3.27,4.5509996,321,0.655,3.04,8.994,1
3,35.20937313,-97.4394414,92.2,4.99,4.5509996,320,0.696,3.009,8.99,1
4,35.2093745,-97.43935032,88.2,5.54,4.5509996,321,0.792,2.731,9.009,1
5,35.20937649,-97.43930103,83.7,5.37,4.5509996,320,0.69,1.896,9.34,1
6,35.20936784,-97.43925855,88.7,4.35,4.5509996,319,0.646,2.123,9.283,1
7,35.20936376,-97.4392161,90.1,4.27,4.5509996,320,0.623,2.226,9.283,1
8,35.20936296,-97.43916857,87.1,4.38,4.5509996,320,-0.139,2.147,9.396,1
9,35.20937248,-97.43912784,70.9,3.99,4.5509996,321,-1.106,1.746,9.804,0
10,35.20939192,-97.43910389,50.1,3.32,4.5509996,322,-0.962,2.014,9.301,0
11,35.20942022,-97.43909333,24.3,3.27,4.5509996,322,-1.413,2.104,9.698,0
12,35.20943993,-97.43909555,9.3,2.71,4.5509996,323,-0.553,2.605,9.076,0
13,35.20946611,-97.43908881,3.7,3.1,4.5509996,324,-0.581,2.854,9.137,0
14,35.20949864,-97.43909674,350.4,3.03,4.5509996,323,-0.869,2.859,9.138,0
15,35.20952845,-97.43911888,329.4,3.77,4.5509996,322,-1.519,2.471,9.35,0
16,35.20954749,-97.4391511,305.2,3.43,4.5509996,324,-1.391,2.185,9.428,0
17,35.20955569,-97.43918763,281,3.48,4.5509996,324,-0.529,2.423,9.236,0
18,35.20955807,-97.43922501,285.2,3.25,4.5509996,325,0.024,2.673,9.126,0
19,35.20955943,-97.43926351,273.2,3.55,4.5509996,325,0.26,2.808,9.114,0
20,35.20955676,-97.43930544,269.1,3.83,4.5509996,325,0.365,2.688,9.096,1
22,35.2095532,-97.43934917,269.2,3.93,4.5509996,326,0.453,2.355,9.262,1
