time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
0,35.20511215,-97.45899378,180,1.1011358,3,323,-0.023,1.385,9.71,1
1,35.20511215,-97.45899378,180,1.1011358,3,323,-0.005,1.817,9.586,1
2,35.20511215,-97.45899378,180,1.1011358,3,323,-0.002,1.776,9.615,1
3,35.20511215,-97.45899378,180,1.1011358,3,323,0.003,1.762,9.635,1
4,35.20511215,-97.45899378,180,1.1011358,3,323,-0.003,1.774,9.605,1
5,35.20511215,-97.45899378,180,1.1011358,3,323,-0.003,1.78,9.65,1
6,35.20511215,-97.45899378,180,1.1011358,3,323,-0.002,1.772,9.65,1
7,35.20511215,-97.45899378,180,1.1011358,3,323,-0.007,1.777,9.652,1
8,35.20511215,-97.45899378,180,1.1011358,3,323,-0.02,1.78,9.606,1
9,35.20511215,-97.45899378,180,1.1011358,3,323,-0.012,1.787,9.626,1
10,35.20511215,-97.45899378,180,1.1011358,3,323,-0.044,2.277,9.583,1
11,35.20510241,-97.45899202,179.9,0.26019225,3,324,0.014,1.706,9.672,1
12,35.20510241,-97.45899202,179.9,0.26019225,3,324,-0.024,1.975,9.652,1
13,35.20510241,-97.45899202,179.9,0.26019225,3,324,-0.014,1.973,9.659,1
14,35.20510241,-97.45899202,179.9,0.26019225,3,324,0.04,1.79,9.674,1
15,35.20510241,-97.45899202,179.9,0.26019225,3,324,0.047,1.758,9.607,1
16,35.20509348,-97.45898773,0,0.01,3,324,0.061,1.77,9.612,1
17,35.20509348,-97.45898773,0,0.01,3,324,0.031,1.784,9.632,1
18,35.20509348,-97.45898773,0,0.01,3,324,0.031,1.812,9.591,1
19,35.20509348,-97.45898773,0,0.01,3,324,0.029,1.8,9.604,1
20,35.20509348,-97.45898773,0,0.01,3,324,0.014,1.806,9.59,1
21,35.20509348,-97.45898773,0,0.01,3,324,0.027,1.805,9.628,1
22,35.20509348,-97.45898773,0,0.01,3,324,0.034,1.778,9.661,1
23,35.20509348,-97.45898773,0,0.01,3,324,0.026,1.801,9.599,1
24,35.20509348,-97.45898773,0,0.01,3,324,0.034,2.306,9.514,1
25,35.20509348,-97.45898773,0,0.01,3,324,-0.02,2.52,9.565,1
26,35.20509348,-97.45898773,0,0.01,3,324,0.038,2.358,9.464,0
27,35.20507829,-97.45898721,179.5,1.2601587,3,324,0.018,2.295,9.678,0
28,35.20506403,-97.45898687,179.5,1.8,3,324,0.082,2.977,9.328,0
