time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
1556369855,35.28824102,-97.42363347,0.1,23.713373,9,318,7.558,0.957,-6.278,0
1556369856,35.28845131,-97.42362138,0,23.77093,9,318,7.602,0.927,-6.181,0
1556369857,35.28866663,-97.42362676,359.8,23.850605,9,319,7.741,0.89,-6.139,0
1556369858,35.28888192,-97.42362569,0,23.820135,9,318,7.571,0.702,-6.386,0
1556369859,35.28908676,-97.42362135,0.2,23.38002,10,317,7.419,0.156,-6.44,0
1556369860,35.28928471,-97.42361831,0.7,22.760109,10,317,7.573,-0.604,-6.466,0
1556369861,35.28946715,-97.42361053,0.9,21.090239,9,318,7.6,-0.812,-6.181,0
1556369862,35.28964019,-97.42360269,0.8,19.580002,9,319,7.298,-0.917,-6.387,0
1556369863,35.28981182,-97.42359865,0.9,17.780003,9,320,7.266,-1.25,-6.499,0
1556369864,35.29007957,-97.42360119,0.6,13.520015,9,320,7.29,-1.313,-6.584,0
1556369865,35.29016444,-97.42360612,0.3,11.370744,9,320,7.239,-1.081,-6.619,0
1556369866,35.29024123,-97.42360486,0.2,9.64042,9,320,7.452,0.234,-6.2,0
1556369867,35.29032364,-97.42359968,0.1,9.220049,9,319,7.639,0.635,-6.141,0
1556369868,35.29039908,-97.42359672,0.1,8.530023,9,319,7.416,0.022,-6.256,1
1556369869,35.29046404,-97.42360213,0.1,7.1300282,9,319,7.271,-0.488,-6.387,1
1556369870,35.29050963,-97.42359898,0.3,5.5604405,9,319,7.336,-0.171,-6.264,1
1556369871,35.29054454,-97.42359723,0.2,4.220959,9,319,7.581,-0.423,-6.35,1
1556369872,35.2905717,-97.42359934,359.9,2.8314307,9,318,7.464,0.087,-6.346,1
1556369873,35.29058778,-97.42359797,0.2,2.0711832,9,318,7.555,0.231,-6.285,1
1556369874,35.29058778,-97.42359797,0.2,2.0711832,9,318,7.501,0.359,-6.274,1
1556369875,35.29060185,-97.42359632,0.4,1.112205,9,318,7.469,0.343,-6.324,1
1556369876,35.29058795,-97.42359846,0,0,9,318,7.583,0.818,-6.195,1
1556369877,35.29058795,-97.42359846,0,0,9,318,7.954,1.292,-5.88,0
1556369878,35.29058795,-97.42359846,0,0,9,318,8.026,4.058,-5.465,0
1556369879,35.29058795,-97.42359846,0,0,9,318,7.984,3.907,-5.497,0
1556369880,35.2906827,-97.42360137,0.4,7.245412,9,318,8.028,3.708,-5.587,0
1556369881,35.29077509,-97.42359658,0.7,9.884554,9,318,8.082,3.894,-5.376,0
