time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
0,35.34674902,-97.47549006,279.5,3.323387,5,348,8.348,0.986,-4.918,0
1,35.34675249,-97.47555669,279.6,3.9708061,5,348,8.309,0.486,-4.861,0
2,35.34677243,-97.4756066,278.8,4.110012,5,348,8.244,0.387,-5.1,1
3,35.34678425,-97.47565342,282.5,3.790013,6,349,8.274,0.142,-4.912,1
4,35.34679468,-97.47569546,277.8,3.8113122,6,348,8.257,0.303,-5.035,1
5,35.34680783,-97.47574636,282.6,3.820327,6,350,8.264,0.73,-5.053,1
6,35.34682294,-97.47579021,289,4.01,6,350,8.1,0.858,-5.385,1
7,35.34683872,-97.47587049,283.8,4.0300126,6,345,8.477,0.887,-5.035,1
8,35.34684912,-97.47592289,288.9,4.3501034,6,346,8.413,0.833,-5.164,1
9,35.34685214,-97.47596682,286.6,4.23,7,347,8.253,0.964,-5.195,1
10,35.3468655,-97.47601751,289.3,4.74,7,347,8.379,0.861,-4.901,1
11,35.34688554,-97.47606751,290.6,4.8312526,6,347,8.84,0.497,-4.081,1
12,35.34691463,-97.4761303,285.3,5.18,6,345,8.826,0.488,-3.608,1
13,35.34694106,-97.47619638,282,5.440331,6,347,8.85,0.441,-4.113,1
14,35.34697164,-97.4762758,280.1,5.9502096,6,350,8.262,0.794,-4.879,1
15,35.34699131,-97.47633879,279.7,5.970008,7,349,8.415,0.468,-5.092,1
16,35.34699698,-97.47640515,277.9,5.840548,7,351,8.263,0.584,-4.734,1
17,35.34700871,-97.47646542,278.6,5.8100777,8,351,8.089,-0.651,-5.193,1
18,35.34703583,-97.47655756,283,6.31,10,351,8.145,-0.022,-4.923,1
19,35.34704219,-97.47660763,283,5.85,12,350,8.527,1.164,-4.815,1
20,35.34702153,-97.47666207,275.8,5.520009,14,350,8.495,1.275,-4.862,1
21,35.34697935,-97.47664947,262.5,4.140048,15,350,8.314,0.948,-4.951,1
22,35.34699751,-97.4766419,269.5,3.13,14,352,8.386,0.575,-4.941,1
23,35.34704656,-97.47668186,274.6,3.6739624,10,353,8.317,0.688,-4.905,1
24,35.34701185,-97.47667697,262.1,2.4924285,9,354,8.457,0.727,-4.737,1
25,35.34701991,-97.47669361,278.2,2.0312064,9,355,8.136,0.093,-5.102,1
26,35.34703065,-97.47671709,292,1.5394155,8,355,8.204,0.29,-5.115,1
27,35.34703647,-97.47669781,308.6,0.67416614,8,356,8.217,0.413,-5.127,1
28,35.34705285,-97.47671318,303.5,0.6726812,8,355,8.263,0.378,-5.096,1
30,35.34704528,-97.47670445,202.2,0.24515301,8,356,8.271,0.627,-5.055,1
31,35.34704689,-97.47673466,173,0.54120237,7,356,8.478,1.713,-4.949,1
32,35.34704689,-97.47673466,173,0.54120237,7,356,7.804,2.022,-6.59,0
33,35.34705337,-97.47675405,280.8,2.4110165,6,348,6.624,2.102,-7.896,0
34,35.34705626,-97.47678376,280.4,2.32,10,351,7.046,2.15,-7.197,0
35,35.34708621,-97.47681157,317.9,4.8901634,10,352,8.365,1.931,-5.207,0
36,35.34718711,-97.47681821,350.7,5.09,10,354,8.77,1.619,-4.31,0
37,35.34723865,-97.47680501,356.5,5.753834,10,354,8.699,1.369,-4.201,0
38,35.34732537,-97.47683248,358.6,7.191363,10,352,8.859,-0.046,-4.211,0
39,35.34740769,-97.47682427,0.5,7.9300566,10,351,8.543,0.188,-4.841,0
40,35.34750404,-97.47681763,0.2,8.7900915,11,352,8.394,-0.474,-4.517,0
41,35.34758946,-97.47682822,0.1,8.9400215,11,351,8.337,-1.372,-4.379,0
42,35.34771331,-97.47680884,2.8,9.980124,12,350,8.365,-1.833,-4.778,0
43,35.34782555,-97.47679122,8.2,8.06,13,347,8.441,-1.297,-4.498,1
44,35.34799316,-97.4767408,10.1,10.100005,13,347,8.657,-0.325,-4.422,1
45,35.34805008,-97.47665428,17.7,8.68,13,346,8.544,0.595,-4.607,1
46,35.34802967,-97.47673787,2.1,5.7505565,12,345,8.744,1.431,-4.438,1
47,35.348038,-97.47676718,358.1,5.16,11,344,8.697,1.325,-4.514,1
48,35.34804878,-97.47681592,357.6,5.212456,11,340,8.487,1.185,-4.574,1
49,35.34805544,-97.47683467,357.6,5.271603,11,339,8.521,1.13,-4.619,1
50,35.34812221,-97.47682502,359.4,7.3319707,11,339,8.671,1.081,-4.704,1
51,35.34821057,-97.47685213,358.2,8.063573,11,337,8.747,0.6,-4.542,1
52,35.3482818,-97.47685733,358.9,8.230607,11,337,8.449,0.638,-4.538,1
53,35.34842408,-97.47686325,357.3,9.380021,11,339,8.538,0.455,-4.387,1
54,35.34848408,-97.4768529,359.4,8.82,11,338,8.414,0.446,-4.426,1
55,35.3485595,-97.47683808,359.9,9.040089,10,339,8.344,-0.298,-4.576,1
56,35.34865802,-97.47683605,358.9,8.22,10,340,7.766,-0.385,-5.328,1
57,35.34872289,-97.47682932,3,7.390061,10,340,6.458,-0.115,-7.762,0
58,35.3487727,-97.47679131,26.6,6.240969,10,343,6.317,1.242,-8.273,0
59,35.34881826,-97.47672299,54.5,6.3513303,10,342,6.885,1.994,-7.921,0
60,35.34883091,-97.47664031,74.2,7.5701056,10,343,7.469,1.727,-6.27,0
61,35.34884483,-97.47652587,82.6,9.34,10,343,8.108,1.56,-6.022,0
62,35.34883069,-97.47639635,88.7,11.05,10,341,8.3,1.274,-5.388,0
63,35.34882842,-97.47625952,90.7,11.931073,10,341,8.517,1.161,-4.965,0
64,35.34882299,-97.47611184,90.1,13.331215,10,341,8.498,1.09,-4.652,0
65,35.34882564,-97.47595106,88.9,14.160014,10,341,8.481,0.773,-4.758,0
66,35.34883103,-97.47578187,88.9,15.170013,10,341,8.422,0.81,-5.119,0
68,35.34883466,-97.47561014,87.7,15.25003,10,342,8.421,0.839,-5.508,0
69,35.34883626,-97.47542267,90.1,15.830382,10,341,8.672,0.73,-5.16,0
70,35.34881494,-97.475236,91.8,16.530077,10,341,8.404,0.743,-4.663,0
71,35.34880943,-97.47505259,89.8,16.890001,10,340,8.381,0.674,-4.708,0
