time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
0,35.36139589,-97.49464091,359.6,30.69,6.068,355,-0.142,1.629,9.567,1
1,35.3616798,-97.49463065,359.6,30.55,7.585,354,-0.1,1.628,9.538,1
2,35.36196691,-97.49463714,359.5,30.55,7.585,355,-0.153,1.611,9.334,1
3,35.36224394,-97.494643,359.3,30.39,7.585,356,-0.265,1.595,9.24,1
4,35.36251183,-97.49464702,359.4,30.48,7.585,356,-0.243,1.56,9.293,1
5,35.36277679,-97.49465117,359.4,30.25,9.101999,357,-0.28,1.419,9.129,1
6,35.36304947,-97.49465453,359.4,30.25,10.6189995,357,-0.154,1.507,9.16,1
7,35.36332222,-97.49466426,359.3,30.46,7.585,357,-0.144,1.622,9.455,1
8,35.36360189,-97.49466896,359.7,30.57,7.585,356,-0.131,1.576,9.168,1
9,35.36389192,-97.49466938,359.8,31.3,7.585,356,-0.21,1.603,9.367,1
10,35.36417793,-97.49467525,359.1,31.29,7.585,356,-0.233,1.46,9.288,1
11,35.36446605,-97.49468101,358.7,31.33,9.101999,356,-0.184,1.43,9.424,1
12,35.36475293,-97.4946921,359.1,31.55,7.585,356,-0.123,1.407,9.605,1
13,35.36501487,-97.49470358,359.4,31.66,7.585,355,-0.166,1.322,9.688,1
14,35.36530002,-97.49470956,359.9,31.33,9.101999,355,-0.209,1.338,9.73,1
15,35.36557651,-97.49471157,359.7,31.57,9.101999,354,-0.22,1.348,9.649,1
16,35.36585445,-97.49472116,359.5,31.17,9.101999,354,-0.211,1.382,9.699,1
17,35.36613312,-97.49471908,358.8,31.37,7.585,354,-0.277,1.388,9.606,1
18,35.36641479,-97.49472504,359.2,30.87,9.101999,355,-0.162,1.433,9.546,1
19,35.36668498,-97.49474175,359,30.64,9.101999,356,-0.154,1.37,9.491,1
20,35.36695926,-97.49474896,358.8,30.47,9.101999,357,-0.111,1.191,9.521,1
21,35.36722404,-97.49474061,358.9,30.2,7.585,357,-0.198,1.139,9.564,1
22,35.3674901,-97.49474977,359.5,29.39,7.585,358,-0.134,1.154,9.529,1
25,35.36827434,-97.4947602,359.4,28.07,7.585,359,-0.238,1.179,9.524,1
26,35.36853221,-97.49476929,359.1,27.63,7.585,359,-0.207,1.278,9.492,1
27,35.36878123,-97.49477394,359.1,27.63,10.6189995,359,-0.142,1.175,9.49,1
28,35.36899905,-97.49475322,359.4,26.67,7.585,359,-0.169,1.278,9.417,1
29,35.3692394,-97.49475648,359.4,26.66,10.6189995,359,-0.141,1.378,9.424,1
30,35.36947844,-97.49475741,359.6,26.27,7.585,361,-0.143,1.513,9.396,1
31,35.36971525,-97.49475938,359.6,26.27,9.101999,361,-0.172,1.835,9.31,1
32,35.3699673,-97.4947631,359,26.96,7.585,361,-0.201,1.931,9.334,1
33,35.37021031,-97.4947685,359,26.96,9.101999,361,-0.184,1.943,9.338,1
34,35.37046632,-97.49476524,358.9,27.73,7.585,360,-0.018,1.753,9.353,1
35,35.37071622,-97.49477124,358.9,27.73,9.101999,360,-0.236,1.776,9.401,1
36,35.37096689,-97.49476706,359.2,28.01,7.585,360,-0.154,1.784,9.432,1
37,35.37121934,-97.49477154,359.2,28.01,10.6189995,360,0.022,1.362,9.428,1
38,35.37148052,-97.49476884,358.9,28.44,9.101999,360,-0.078,1.114,9.53,1
39,35.37174625,-97.49476709,359.5,27.83,7.585,361,-0.184,1.234,9.541,1
40,35.37200206,-97.49477804,359.2,27.46,6.068,361,-0.143,1.108,9.58,1
41,35.37224958,-97.49478252,359.2,27.46,9.101999,362,-0.156,1.075,9.575,1
42,35.37248137,-97.49479128,359.5,26.51,6.068,362,-0.174,1.085,9.602,1
43,35.37272035,-97.4947938,359.5,26.51,9.101999,362,-0.131,1.082,9.544,1
44,35.37294562,-97.49480458,359.5,25.84,7.585,362,0.131,1.096,9.575,1
45,35.37317483,-97.49480831,1.2,25.14,7.585,364,0.04,1.415,9.506,1
46,35.37339257,-97.49480058,1.2,25.22,7.585,364,-0.155,1.385,9.481,1
47,35.37362147,-97.49479448,1,25.16,7.585,365,-0.286,1.165,9.498,1
48,35.37384561,-97.49480968,0.7,24.89,7.585,365,-0.257,1.398,9.516,1
49,35.37406047,-97.4947853,0.5,24.69,7.585,364,-0.207,1.628,9.401,1
50,35.37428543,-97.49478305,0.1,24.97,7.585,365,-0.459,1.716,9.491,1
51,35.37450891,-97.49478724,359.8,25.27,7.585,364,-0.468,1.675,9.479,1
52,35.37473628,-97.49477924,359.8,25.3,7.585,364,-0.252,1.695,9.549,1
53,35.37494801,-97.494781,359.7,25.19,15.17,364,-0.15,1.744,9.508,1
54,35.3751726,-97.49477662,359.9,25.54,15.17,365,-0.202,1.655,9.582,1
55,35.3753993,-97.49477892,359.9,25.41,15.17,366,-0.223,1.68,9.497,1
56,35.37562505,-97.49477376,359.9,25.3,15.17,366,-0.151,1.971,9.344,1
57,35.37585769,-97.49477497,359.9,25.55,16.687,367,-0.149,2.074,9.228,1
58,35.37609543,-97.49478988,359.8,26.13,16.687,367,-0.166,2.157,9.284,1
59,35.37633324,-97.49479102,0,26.48,15.17,368,-0.172,2.133,9.306,1
60,35.37658377,-97.49479785,359.9,27.16,15.17,368,-0.201,2.106,9.196,1
61,35.3768304,-97.49479801,359.9,27.58,15.17,369,-0.291,1.6,9.196,1
62,35.37708217,-97.49480613,359.7,27.7,15.17,369,-0.093,1.249,9.453,1
63,35.3773315,-97.49481043,359.9,27.57,15.17,369,-0.139,1.151,9.42,1
64,35.3778149,-97.49480901,359.8,26.95,15.17,370,-0.26,1.128,9.288,1
65,35.3780601,-97.49480932,359.9,26.69,15.17,369,-0.324,1.17,9.473,1
66,35.37830432,-97.49481584,359.6,26.7,15.17,368,-0.382,1.195,9.462,1
67,35.3785427,-97.49482195,359.5,26.43,15.17,368,-0.381,1.196,9.45,1
68,35.37878408,-97.49482108,359.6,26.3,15.17,368,-0.407,0.905,9.502,1
69,35.37901347,-97.49482935,359.3,25.55,15.17,367,-0.356,0.59,9.613,1
70,35.37924218,-97.49482712,359.7,25.11,15.17,367,-0.183,1.023,9.572,1
71,35.37944316,-97.49484709,359.8,25.11,15.17,367,-0.126,1.214,9.619,1
72,35.37967138,-97.49482896,0,25.09,15.17,366,-0.253,1.287,9.687,1
73,35.37990464,-97.49483525,0,25.32,15.17,363,-0.266,1.6,9.49,1
74,35.38014523,-97.49481223,359.8,25.86,15.17,362,-0.105,1.863,9.482,1
75,35.38038645,-97.49480431,0.7,26.19,15.17,362,0.235,1.855,9.368,1
76,35.38062606,-97.49480737,2,26.66,15.17,363,0.166,1.688,9.386,1
77,35.38086656,-97.49480369,2.1,26.61,15.17,363,-0.226,1.293,9.477,1
78,35.38111863,-97.49479331,1.6,26.46,15.17,363,-0.335,1.223,9.568,1
79,35.38136114,-97.49477811,0.9,26.41,15.17,361,-0.48,1.17,9.415,1
80,35.38159832,-97.49478459,359.8,26.1,15.17,360,-0.164,1.134,9.377,1
81,35.38183317,-97.49478692,359.6,25.81,15.17,361,-0.208,1.17,9.452,1
82,35.38207498,-97.49479519,359.5,26.01,15.17,359,-0.199,1.17,9.433,1
84,35.38230654,-97.49480527,359.8,26,15.17,359,-0.023,1.173,9.432,1
85,35.38254936,-97.49480382,359.5,25.97,15.17,359,-0.152,1.157,9.439,1
86,35.38278347,-97.49480417,359.8,26.1,15.17,358,-0.133,1.18,9.507,1
87,35.38302104,-97.49480802,359.9,26.19,13.653,358,-0.135,1.174,9.515,1
88,35.38325746,-97.49480977,359.6,26.34,13.653,357,-0.161,1.174,9.563,1
89,35.38350467,-97.494812,359.5,26.41,13.653,356,-0.151,1.181,9.576,1
90,35.38374241,-97.4948156,359.5,26.55,13.653,355,-0.134,1.183,9.59,1
91,35.3839792,-97.49481643,359.6,26.63,13.653,354,-0.079,1.183,9.646,1
92,35.38421926,-97.49481979,359.6,26.69,13.653,355,-0.111,0.705,9.833,1
