time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
0,35.20468399,-97.41999164,1.9,5.65,4.5509996,325,-0.115,1.711,9.432,1
1,35.20473574,-97.41999082,359.7,5.62,4.5509996,326,-0.128,1.689,9.352,1
2,35.20483101,-97.41998558,0.3,5.37,4.5509996,326,-0.119,1.668,9.374,1
3,35.20488452,-97.41998261,0,5.59,4.5509996,325,-0.084,2.455,9.273,1
4,35.20494504,-97.41997852,1.2,6.28,4.5509996,325,-0.133,2.339,9.23,1
5,35.20500932,-97.41997924,0.2,6.9,4.5509996,325,-0.164,2.249,9.366,1
6,35.20508064,-97.41997685,359.5,7.27,4.5509996,324,-0.195,2.125,9.309,1
7,35.20514911,-97.41997754,0.6,7.53,4.5509996,325,-0.15,2.07,9.389,1
8,35.20521817,-97.41998138,0.2,7.61,4.5509996,325,-0.128,1.915,9.385,1
9,35.20529219,-97.41998275,359.7,7.82,4.5509996,325,-0.164,1.769,9.359,1
10,35.20536448,-97.41998396,359.7,7.63,4.5509996,325,-0.162,0.924,9.712,1
11,35.20542058,-97.41998461,357.8,6.13,4.5509996,323,-0.197,0.478,9.734,1
12,35.20546664,-97.41997255,349.4,5.05,4.5509996,322,-1.478,1.263,9.649,1
13,35.20550732,-97.41998917,322.9,5.15,4.5509996,321,-2.39,1.409,9.599,1
14,35.20553614,-97.42003956,300.8,5.93,6.068,323,-2.054,1.752,9.432,1
15,35.20556264,-97.42010439,288.7,5.96,7.585,322,-1.33,2.254,9.358,0
16,35.2055808,-97.42017009,276.4,5.7,6.068,321,-0.69,2.419,9.252,0
17,35.20559493,-97.42024084,273.8,6.21,6.068,320,-0.412,2.42,9.171,0
18,35.20560234,-97.42034044,273.2,6.96,6.068,320,-0.224,2.468,9.218,0
19,35.20560451,-97.42043416,271.9,7.02,7.585,322,-0.228,1.943,9.307,0
20,35.20560474,-97.42050371,271.1,6.88,7.585,321,-0.208,1.802,9.485,0
21,35.20560296,-97.42058651,270.7,6.89,7.585,322,-0.143,2.032,9.259,0
22,35.20560372,-97.42066227,270.7,6.89,9.101999,321,-0.186,2.389,9.236,0
23,35.2055999,-97.42075545,269.7,8.04,7.585,321,-0.128,2.331,9.276,0
24,35.20560318,-97.42085254,269.3,8.3,7.585,319,-0.137,2.231,9.278,1
25,35.20560288,-97.42094159,270,8.69,7.585,319,-0.044,2.1,9.277,1
26,35.20560292,-97.42103703,270,8.69,9.101999,319,-0.094,2.072,9.363,1
27,35.20560079,-97.42113847,271,9.18,7.585,319,0.146,1.874,9.314,1
29,35.20560299,-97.42125111,270.9,9.16,9.101999,319,-0.277,1.863,9.375,1
30,35.20560151,-97.4213534,269.8,9.16,7.585,319,-0.296,1.851,9.38,1
31,35.20559803,-97.4214506,269.1,8.9,7.585,319,-0.214,1.813,9.487,1
32,35.2055956,-97.42154563,268.6,9.01,6.068,318,-0.076,1.829,9.491,1
33,35.20559347,-97.42164411,269.2,9,6.068,319,-0.033,1.814,9.422,1
34,35.20559619,-97.42172792,269.3,8.9,6.068,318,-0.032,1.796,9.402,1
35,35.20559256,-97.42183065,269.3,9.01,6.068,318,0.001,1.714,9.326,1
36,35.20559586,-97.42192603,269.6,8.79,6.068,318,-0.219,1.748,9.297,1
37,35.20558999,-97.42202454,267.1,8.86,4.5509996,318,-0.391,1.664,9.344,1
38,35.20558457,-97.42211548,265.1,8.78,4.5509996,318,-0.186,1.677,9.398,1
39,35.20557428,-97.42221205,264.5,8.65,4.5509996,319,0.318,1.643,9.425,1
40,35.20556933,-97.42230178,268.4,8.5,4.5509996,320,0.544,1.648,9.433,1
41,35.20557779,-97.42239384,272.8,8.54,4.5509996,319,0.677,1.684,9.53,1
42,35.20557663,-97.42248796,274.6,8.37,4.5509996,318,0.263,1.701,9.371,1
43,35.20558215,-97.42256825,273.7,8.25,6.068,317,-0.188,1.792,9.372,1
44,35.20557939,-97.42266322,272.3,8.44,6.068,317,-0.223,1.806,9.412,1
48,35.20558507,-97.42303682,269.6,8.24,6.068,316,-0.052,1.639,9.453,1
49,35.20557389,-97.42314313,269.6,8,6.068,317,-0.094,1.068,9.606,1
50,35.20557332,-97.42323102,269.6,8,7.585,317,-0.152,0.967,9.605,1
51,35.20557614,-97.42329725,270,6.22,6.068,317,-0.117,0.912,9.724,1
52,35.20557559,-97.42335455,269.8,5.51,4.5509996,317,-0.112,0.583,9.749,1
53,35.20557374,-97.42339631,270.8,4.85,4.5509996,316,-0.133,0.473,9.82,1
54,35.20557198,-97.42342717,270.5,3.63,6.068,315,-0.096,1.106,9.614,1
55,35.20556972,-97.42344607,270.5,2.38,6.068,314,-0.003,1.148,9.568,1
56,35.20557448,-97.42347201,272.1,1.91,6.068,315,0.096,1.711,9.408,1
57,35.20557544,-97.42349524,269.1,2.07,6.068,316,0.171,1.696,9.442,1
58,35.20558252,-97.42352558,279.5,2.45,6.068,315,1.194,2.255,9.186,1
59,35.20558619,-97.42355213,279.5,2.45,10.6189995,315,2.437,2.792,8.996,1
60,35.20564672,-97.42357861,326.9,4.56,9.101999,315,2.066,3.215,8.875,1
61,35.20570913,-97.42357719,353.7,6.2,7.585,315,0.711,3.359,8.932,1
62,35.20577344,-97.42359148,359.3,7.93,7.585,321,-0.013,3.119,9.015,1
63,35.20584498,-97.4235926,359.3,7.93,9.101999,321,-0.097,2.973,9.094,1
64,35.20593548,-97.42358146,2.5,9.15,12.136,320,-0.171,2.827,9.086,1
65,35.20603694,-97.42358303,1.3,11.08,10.6189995,320,-0.164,2.735,9.112,1
66,35.20613677,-97.42358034,1.3,11.07,15.17,319,-0.174,2.748,9.196,1
67,35.20628015,-97.42360531,359,13.27,9.101999,318,-0.054,2.758,9.158,1
68,35.20639974,-97.42360781,359,13.27,12.136,318,-0.054,2.675,9.149,1
69,35.20653836,-97.42361735,0.6,14.37,12.136,317,-0.125,2.623,9.207,1
70,35.20670304,-97.42362439,0.3,16.02,7.585,315,-0.14,2.574,9.239,1
71,35.20684743,-97.42362359,0.3,16.02,9.101999,315,-0.142,2.523,9.19,1
72,35.20699546,-97.42360768,1.2,16.71,9.101999,314,-0.324,2.477,9.188,1
73,35.20716161,-97.42359862,0.9,17.89,7.585,314,-0.575,2.46,9.22,1
74,35.20733038,-97.42358936,1,18.21,7.585,314,-0.511,2.425,9.288,1
75,35.2075045,-97.4235965,358.8,18.92,7.585,314,-0.143,2.363,9.233,1
76,35.20768516,-97.42360604,358.4,19.84,9.101999,316,-0.033,2.348,9.227,1
77,35.20786079,-97.42359873,357.7,20.62,7.585,318,0.263,2.303,9.242,1
78,35.20804653,-97.4236077,357.7,20.62,7.585,318,0.119,2.292,9.26,1
79,35.20826111,-97.42362943,359.9,21.67,7.585,314,0.003,1.829,9.444,1
80,35.20845997,-97.42362838,0.2,21.78,7.585,314,-0.15,1.445,9.485,1
81,35.20864278,-97.42361918,0,21.34,7.585,319,-0.216,1.336,9.534,1
82,35.20883263,-97.42361281,359.8,21.03,7.585,316,-0.136,1.299,9.537,1
83,35.20901552,-97.42361273,359.7,20.49,7.585,315,-0.166,1.296,9.539,1
84,35.20918792,-97.42361008,0,19.88,6.068,314,-0.203,1.296,9.52,1
85,35.20936281,-97.42361226,359.9,19.58,6.068,312,-0.207,1.309,9.528,1
86,35.20953066,-97.42359881,359.9,18.74,6.068,312,-0.132,1.303,9.531,1
87,35.20970302,-97.42360524,359.6,18.54,6.068,312,-0.09,1.315,9.533,1
88,35.20986528,-97.42361038,359.8,17.99,7.585,313,-0.105,1.323,9.515,1
89,35.21002598,-97.42361575,359.9,17.66,7.585,313,-0.098,1.33,9.505,1
90,35.21018691,-97.42362006,359.8,17.32,7.585,313,-0.083,1.732,9.404,1
91,35.21048706,-97.42360929,1.3,17.17,6.068,316,-0.104,1.939,9.318,1
92,35.21064175,-97.42360489,1.3,17.16,7.585,315,-0.147,1.969,9.338,1
93,35.21080653,-97.42361319,1,17.67,6.068,313,-0.293,1.926,9.356,1
94,35.2109658,-97.42360987,1,17.67,7.585,312,-0.333,1.796,9.391,1
95,35.21113086,-97.42361265,359.9,17.84,6.068,310,-0.254,1.774,9.374,1
96,35.21129404,-97.42361851,359.8,17.97,6.068,310,-0.126,1.77,9.417,1
97,35.21146019,-97.42362428,359.9,18.09,6.068,310,-0.083,1.774,9.448,1
98,35.21162527,-97.4236242,0.4,18.23,7.585,311,-0.076,1.771,9.437,1
99,35.21178961,-97.4236227,0.4,18.23,9.101999,311,-0.195,1.766,9.399,1
100,35.21194764,-97.42363344,359.9,18.38,9.101999,311,-0.219,1.777,9.384,1
101,35.21212458,-97.42363251,359.7,18.61,7.585,310,-0.161,1.806,9.407,1
102,35.21228783,-97.42362051,0.1,18.86,7.585,312,-0.059,1.839,9.387,1
103,35.21245783,-97.42362012,0.1,18.86,9.101999,312,-0.092,1.81,9.364,1
104,35.21264465,-97.42363321,0.3,19.15,9.101999,312,-0.09,1.818,9.399,1
105,35.21281093,-97.42363644,0.4,19.34,7.585,313,-0.143,1.817,9.41,1
106,35.21298368,-97.42362096,0.6,19.33,7.585,313,-0.16,1.805,9.376,1
107,35.21315793,-97.42361887,0.6,19.33,9.101999,313,-0.173,1.802,9.426,1
108,35.21330862,-97.42359098,0.3,19.76,7.585,312,-0.196,1.788,9.437,1
109,35.21349343,-97.42359102,359.9,19.84,7.585,314,-0.247,1.511,9.536,1
110,35.2136633,-97.4235882,359.8,19.46,9.101999,314,-0.292,1.351,9.477,1
112,35.21383684,-97.42358569,359.7,19.09,10.6189995,315,-0.222,1.391,9.744,1
113,35.21400037,-97.42357832,359.7,18.78,9.101999,316,-0.207,1.344,9.586,1
114,35.21417697,-97.42360285,359.8,18.28,9.101999,316,-0.204,1.362,9.64,1
115,35.21433803,-97.42360809,359.8,17.94,9.101999,316,-0.186,1.814,9.421,1
116,35.21449972,-97.42360862,359.8,17.93,10.6189995,316,-0.195,1.684,9.388,1
117,35.21468991,-97.42360485,359.8,17.73,9.101999,312,-0.158,1.426,9.473,1
118,35.21485026,-97.42360594,359.6,17.48,7.585,313,-0.195,1.405,9.466,1
119,35.21500259,-97.42359813,359.9,17.17,7.585,314,-0.227,1.591,9.311,1
120,35.2151471,-97.42358548,0.4,16.9,7.585,312,-0.22,1.399,9.452,1
121,35.21530575,-97.42359732,0,16.76,7.585,311,-0.205,1.346,9.478,1
122,35.21545712,-97.42359965,0.2,16.41,7.585,312,-0.2,1.338,9.528,1
123,35.2155861,-97.42359145,0.1,16.19,7.585,312,-0.18,1.555,9.492,1
124,35.21572835,-97.42359717,0.2,16.22,7.585,311,-0.2,1.693,9.494,1
125,35.21587722,-97.42359709,0,16.24,7.585,311,-0.193,1.532,9.521,1
126,35.2160216,-97.42360351,0.1,16.21,7.585,312,-0.172,1.401,9.552,1
127,35.21617302,-97.42359571,0.1,15.85,6.068,312,-0.191,1.36,9.552,1
128,35.21629818,-97.42358248,0,15.23,6.068,311,-0.153,1.348,9.544,1
129,35.21643294,-97.42358464,359.8,14.94,6.068,312,-0.114,1.352,9.554,1
130,35.21654673,-97.42357397,0.4,14.31,6.068,312,-0.141,1.354,9.585,1
131,35.21666504,-97.42356349,0.4,13.94,6.068,313,-0.148,1.35,9.52,1
132,35.21679108,-97.42356204,0,13.56,7.585,311,-0.051,1.324,9.514,1
133,35.21691169,-97.42355502,0.2,13.26,7.585,310,-0.122,1.337,9.543,1
134,35.21703123,-97.42355462,0.2,13.26,10.6189995,310,-0.163,1.336,9.562,1
135,35.21712594,-97.42355512,359.7,12.11,9.101999,310,-0.161,1.322,9.568,1
136,35.2172351,-97.42355575,359.7,12.11,10.6189995,310,-0.156,1.294,9.521,1
137,35.21734555,-97.42357127,359.4,11.16,9.101999,308,-0.163,1.133,9.647,1
138,35.21744616,-97.42357262,359.4,11.16,10.6189995,308,-0.155,0.493,9.728,1
139,35.21751848,-97.42358498,358.6,8.8,9.101999,309,-0.181,0.601,9.687,1
140,35.21759779,-97.4235873,358.6,8.8,10.6189995,309,-0.11,0.997,9.578,1
141,35.21766328,-97.42359045,358.5,6.91,9.101999,307,-0.08,1.447,9.494,1
142,35.21772556,-97.42359241,358.5,6.91,12.136,307,-0.093,1.522,9.468,1
143,35.21779026,-97.42360227,359.5,5.75,9.101999,309,-0.109,2.118,9.326,1
144,35.21784215,-97.42360283,359.5,5.75,10.6189995,309,-0.107,2.531,9.217,1
145,35.21790807,-97.42362024,0.5,6.68,9.101999,311,-0.075,2.595,9.161,1
146,35.21796832,-97.42361963,0.5,6.68,12.136,311,-0.102,2.79,9.137,1
147,35.21804851,-97.42362779,0.6,7.73,12.136,311,-0.184,2.749,9.122,1
148,35.21815127,-97.42363539,359.3,9.51,9.101999,311,0.011,2.693,9.137,1
149,35.21823701,-97.4236366,359.3,9.51,10.6189995,311,-0.002,2.682,9.137,1
150,35.21834934,-97.42364207,359.5,10.5,10.6189995,311,0.059,2.37,9.022,1
151,35.21846998,-97.42363903,0.9,11.79,7.585,312,0.023,1.906,9.295,1
152,35.2185658,-97.42362415,0.7,11.96,6.068,313,-0.131,1.997,9.422,1
153,35.21867482,-97.4236125,0.6,12.2,6.068,313,-0.079,2.057,9.363,1
154,35.21878476,-97.42361111,0.6,12.19,7.585,313,-0.163,1.768,9.405,1
155,35.21889441,-97.42360972,359.8,12.5,6.068,312,-0.136,1.556,9.485,1
156,35.21900285,-97.42361445,0.3,12.26,6.068,313,-0.072,1.504,9.475,1
157,35.21911339,-97.42361375,0.3,12.26,7.585,313,-0.065,1.504,9.494,1
158,35.21922558,-97.42361781,0.1,11.94,6.068,310,-0.062,0.786,9.724,1
159,35.21932342,-97.42359735,0.3,11,7.585,309,-0.077,0.423,9.787,1
160,35.21940622,-97.42360095,359.3,9.59,7.585,308,-0.087,0.212,9.796,1
161,35.21944641,-97.42358084,0.3,7.55,7.585,308,-0.065,0.534,9.741,1
162,35.21950709,-97.42358481,358.5,6.79,7.585,308,-0.105,1.23,9.569,1
163,35.21956361,-97.42357673,0.5,6.23,7.585,309,-0.092,0.655,9.724,1
164,35.21960935,-97.42357894,357.6,5.14,9.101999,309,-0.074,0.571,9.704,1
165,35.21964679,-97.42358071,358.7,4.27,9.101999,309,-0.059,0.638,9.705,1
166,35.21967973,-97.42358643,356.7,3.5,9.101999,309,-0.038,0.995,9.614,1
167,35.21969525,-97.42357995,355.4,2.24,7.585,310,-0.007,1.305,9.527,1
168,35.21970776,-97.42358867,356.2,1.57,7.585,310,-0.016,1.385,9.496,1
169,35.21971705,-97.4235957,355.9,1.1,9.101999,310,-0.015,1.221,9.546,1
170,35.21971705,-97.4235957,355.9,1.1,9.101999,310,-0.012,1.42,9.505,1
171,35.21971284,-97.42358569,0,0,7.585,311,-0.006,1.674,9.435,1
172,35.21971284,-97.42358569,0,0,7.585,311,-0.004,1.734,9.423,1
173,35.21971284,-97.42358569,0,0,7.585,311,0.001,1.748,9.416,1
174,35.21971284,-97.42358569,0,0,7.585,311,-0.002,1.757,9.413,1
175,35.21971284,-97.42358569,0,0,7.585,311,0,1.959,9.36,1
176,35.21973166,-97.42358709,1.5,1.53,7.585,311,0.02,3.118,9.042,1
177,35.21975275,-97.42358494,1.9,2.56,7.585,312,0.02,3.417,8.966,1
178,35.21979258,-97.4235801,5.9,3.91,7.585,313,0.03,3.685,8.946,1
179,35.21984782,-97.42356878,2.9,6.03,6.068,314,-0.025,3.437,8.998,1
180,35.21992505,-97.42356313,1,8.72,6.068,315,-0.105,3.071,9.103,1
181,35.2200037,-97.42356145,1,8.72,7.585,316,-0.154,2.749,9.145,1
182,35.22012473,-97.42358951,0,10.62,7.585,315,-0.19,2.411,9.264,1
183,35.22022048,-97.42358954,0,10.62,7.585,315,-0.242,2.389,9.221,1
184,35.2203348,-97.42358567,359.9,12.11,7.585,313,-0.195,2.321,9.243,1
185,35.22044568,-97.42358706,0,12.95,7.585,313,-0.147,2.29,9.283,1
186,35.22056131,-97.42358584,0.6,13.45,7.585,314,-0.15,2.246,9.278,1
187,35.22068258,-97.42358429,0.6,13.45,9.101999,314,-0.191,2.251,9.304,1
188,35.22079537,-97.4235819,0.2,14.69,7.585,313,-0.22,2.223,9.258,1
189,35.22092749,-97.42357036,359.5,15.61,7.585,314,-0.353,2.223,9.266,1
190,35.22108506,-97.42357061,358.9,16.16,7.585,313,-0.424,2.181,9.312,1
191,35.22123817,-97.42357127,359,16.44,7.585,313,-0.125,2.136,9.32,1
192,35.22137862,-97.42355613,359.5,17.13,7.585,312,0.124,2.116,9.308,1
193,35.22153511,-97.42355902,359.9,17.72,7.585,312,-0.091,1.668,9.507,1
195,35.22167808,-97.42354266,0.4,17.24,7.585,311,-0.161,1.249,9.503,1
196,35.221826,-97.4235409,0.2,17,7.585,311,-0.174,1.416,9.478,1
197,35.22198202,-97.42353898,0.5,16.97,7.585,312,-0.252,1.549,9.443,1
198,35.22213504,-97.4235374,0.5,16.97,9.101999,312,-0.186,1.62,9.458,1
199,35.2222864,-97.42353628,0.4,17.19,7.585,312,-0.193,1.456,9.469,1
200,35.2224414,-97.42353502,0.4,17.19,9.101999,312,-0.113,1.197,9.53,1
201,35.22259311,-97.42354385,0.8,16.51,7.585,314,-0.076,1.385,9.514,1
202,35.22274126,-97.42354605,1.2,16.32,7.585,314,-0.11,1.285,9.49,1
203,35.22287993,-97.42353864,1.5,15.98,7.585,315,-0.174,1.434,9.47,1
204,35.22301984,-97.42353257,1.2,16.01,7.585,314,-0.271,1.311,9.513,1
205,35.22316296,-97.42353198,0.7,15.88,7.585,315,-0.241,1.509,9.469,1
206,35.22330313,-97.42353938,0.7,15.69,7.585,316,-0.202,1.646,9.43,1
207,35.22344689,-97.42353769,0.6,15.79,7.585,317,-0.207,1.248,9.534,1
208,35.22358322,-97.42353908,0.7,15.32,7.585,316,-0.227,1.161,9.585,1
209,35.22371697,-97.42354215,0.7,14.97,7.585,316,-0.245,1.134,9.593,1
210,35.22385123,-97.42354106,0.4,14.76,7.585,316,-0.237,1.123,9.568,1
211,35.22398533,-97.4235354,0.6,14.27,7.585,316,-0.248,1.109,9.555,1
212,35.22410926,-97.4235378,0.2,13.69,6.068,317,-0.235,1.095,9.558,1
213,35.22423729,-97.42353207,0.7,13.06,6.068,316,-0.24,1.096,9.571,1
214,35.22435092,-97.42352929,0.6,12.61,6.068,316,-0.272,1.107,9.579,1
215,35.2244523,-97.42353398,0.7,12.13,7.585,316,-0.297,1.099,9.558,1
216,35.22456165,-97.42353236,0.7,12.13,9.101999,316,-0.246,1.093,9.588,1
217,35.22466403,-97.4235368,359.5,11.24,7.585,316,-0.179,1.095,9.58,1
218,35.22476537,-97.42353797,359.5,11.24,10.6189995,316,-0.161,1.079,9.581,1
219,35.22486857,-97.42353377,0.2,10.36,9.101999,318,-0.175,1.06,9.577,1
220,35.22496203,-97.42353333,0.2,10.36,10.6189995,318,-0.237,0.403,9.77,1
221,35.22501626,-97.42355358,0.8,8.11,9.101999,317,-0.231,0.213,9.775,1
222,35.22508307,-97.42355285,0.3,6.82,9.101999,317,-0.22,0.846,9.639,1
223,35.22513814,-97.42355571,359.5,6.43,9.101999,317,-0.216,1.128,9.574,1
224,35.22519616,-97.42355631,359.5,6.43,13.653,317,-0.234,0.563,9.714,1
225,35.22525467,-97.42354505,2.8,6.14,15.17,315,-0.227,0.329,9.761,1
226,35.22526706,-97.42356679,356.7,3.72,10.6189995,313,-0.236,0.364,9.754,1
227,35.22529239,-97.42357187,3,2.44,9.101999,313,-0.229,0.721,9.668,1
228,35.2253007,-97.42356532,2.9,1.39,9.101999,314,-0.227,1.154,9.559,1
229,35.22531304,-97.42356307,2.9,1.04,7.585,313,-0.211,1.377,9.508,1
230,35.22532249,-97.42356321,3,1.04,9.101999,313,-0.205,1.405,9.501,1
231,35.22533555,-97.42355535,3.1,1.06,10.6189995,314,-0.202,1.348,9.51,1
232,35.22534719,-97.4235535,3.1,0.64,7.585,315,-0.199,1.372,9.505,1
233,35.22534719,-97.4235535,3.1,0.64,7.585,315,-0.194,1.393,9.497,1
234,35.22534719,-97.4235535,3.1,0.64,7.585,315,-0.189,1.428,9.491,1
235,35.22535916,-97.42354606,0,0,7.585,315,-0.188,1.533,9.461,1
236,35.22535916,-97.42354606,0,0,7.585,315,-0.182,1.738,9.416,1
239,35.22536014,-97.42355082,1.2,1.57,9.101999,314,-0.138,3.01,9.092,1
240,35.22538791,-97.42354858,358.2,2.89,10.6189995,315,-0.125,3.144,9.066,1
241,35.225414,-97.42354957,358.2,2.89,10.6189995,315,-0.093,3.181,9.037,1
242,35.22549544,-97.42353235,0.3,6.14,9.101999,316,-0.099,2.927,9.126,1
243,35.22556985,-97.42352794,0,7.74,9.101999,315,-0.139,2.744,9.15,1
244,35.22563962,-97.4235279,0,7.74,10.6189995,315,-0.105,2.631,9.197,1
245,35.22571284,-97.42351627,0.5,9.49,9.101999,315,-0.121,2.736,9.161,1
246,35.22579844,-97.42351532,0.5,9.49,10.6189995,315,-0.148,2.611,9.156,1
247,35.22593348,-97.42350498,0.6,12.21,7.585,311,-0.18,2.537,9.205,1
248,35.22604854,-97.42350759,0.8,13.25,7.585,312,-0.146,2.484,9.233,1
249,35.22616796,-97.42350567,0.8,13.24,7.585,312,-0.175,2.416,9.243,1
250,35.22630903,-97.42350333,0.3,15.03,6.068,313,-0.257,2.376,9.262,1
251,35.22645423,-97.42350934,0.5,15.88,6.068,313,-0.263,2.316,9.228,1
252,35.22674765,-97.42350522,359.9,16.62,7.585,313,-0.243,1.906,9.374,1
253,35.22674765,-97.42350522,359.9,16.62,7.585,313,-0.232,1.81,9.39,1
254,35.22689881,-97.42351708,0.1,17.08,6.068,314,-0.296,1.776,9.381,1
255,35.22722382,-97.42350854,0.6,17.72,7.585,314,-0.114,1.789,9.384,1
256,35.22738353,-97.42350643,0.6,17.71,9.101999,314,-0.115,1.804,9.394,1
257,35.22754079,-97.4235019,0.6,17.99,7.585,315,-0.204,1.475,9.483,1
258,35.22770364,-97.42350574,0.4,17.7,7.585,315,-0.21,1.296,9.542,1
259,35.22786705,-97.42350879,0.6,17.68,7.585,315,-0.192,1.401,9.493,1
260,35.22802703,-97.42351258,0.7,17.4,7.585,314,-0.143,1.449,9.508,1
261,35.22818387,-97.4235104,0.7,17.4,9.101999,314,-0.251,1.465,9.485,1
262,35.22833391,-97.42351833,0.4,17.23,7.585,316,-0.365,1.468,9.485,1
263,35.22849554,-97.42351364,359.4,17.21,7.585,316,-0.537,1.469,9.492,1
264,35.22865126,-97.42351565,358.6,17.27,7.585,316,-0.26,1.543,9.405,1
265,35.2288069,-97.42352022,358.6,17.27,9.101999,316,-0.092,1.795,9.436,1
266,35.22897693,-97.42352498,359.5,17.77,7.585,317,-0.018,1.836,9.379,1
267,35.2291477,-97.42351253,0.2,18.11,7.585,317,-0.044,1.846,9.367,1
268,35.22930298,-97.42351771,0.6,18.25,7.585,318,-0.066,1.831,9.418,1
269,35.2294694,-97.42351348,0.4,18.61,7.585,316,-0.172,1.798,9.378,1
270,35.22963076,-97.423508,0.5,18.86,7.585,316,-0.124,1.787,9.39,1
