time,latitude,longitude,bearing,speed,accuracy,altitude,acc_x,acc_y,acc_z,is_Stable
1584527554,35.20443935,-97.41892518,221.8,1.85,3.7900925,328.7314453,0.666581511,9.548975945,1.910021186,1
1584527555,35.20443257,-97.41894384,237.9,1.9,3.7900925,328.3354492,2.03032732,9.55807972,0.736236691,1
1584527556,35.20442794,-97.41897161,252.6,2.64,3.7900925,328.2429199,0.629212022,9.93776226,1.438591003,0
1584527557,35.20442529,-97.41901169,264.8,3.66,3.7900925,327.9326172,0.125682443,9.816431046,1.36636734,0
1584527558,35.20442506,-97.41906433,268.4,4.67,3.7900925,327.9707642,0.572439253,9.602396011,2.003803968,0
1584527559,35.2044233,-97.41913007,269.9,5.19,3.7900925,328.3201904,0.420565903,9.506696701,2.32252264,0
1584527560,35.20442147,-97.4191866,269.9,5.09,3.7900925,328.210083,0.611964583,9.426088333,2.402172565,0
1584527561,35.20442157,-97.41924081,269.3,4.85,3.7900925,327.9040527,0.435058504,9.608264923,1.948708177,0
1584527562,35.20441921,-97.41929296,269.1,4.69,3.7900925,327.873291,0.786235571,9.48094368,2.007158041,0
1584527563,35.20442272,-97.41935478,270.1,4.82,3.7900925,327.847168,0.623223364,9.611257553,2.01961422,0
1584527564,35.20442019,-97.41941104,270.5,4.95,3.7900925,328.2891846,0.175149098,9.764807701,1.988593102,0
1584527565,35.2044189,-97.41946668,271.2,4.99,3.7900925,328.6573486,0.610766828,9.564666748,2.068362236,1
1584527566,35.20442162,-97.41952847,271.6,5.21,3.7900925,328.3855591,0.731738448,9.472919464,2.345040083,1
1584527567,35.20442312,-97.41959039,272.1,5.09,3.7900925,328.3139648,0.606933951,9.481304169,2.435948849,1
1584527568,35.20442317,-97.4196482,272.4,4.8,3.7900925,328.4280396,0.750902414,9.417464256,2.309826851,1
1584527569,35.20442373,-97.41969629,273,4.41,3.7900925,328.4500732,0.351935387,9.581675529,2.647708654,1
1584527570,35.2044257,-97.41973975,273.7,4.07,3.7900925,327.8040161,1.334920049,8.891656876,2.134716988,0
1584527571,35.2044261,-97.41977884,273.8,3.77,3.7900925,327.4572754,0.680954397,9.411235809,3.315208912,0
1584527573,35.20442917,-97.41984454,275,2.55,3.7900925,327.5499878,0.712095559,9.344041824,2.395225048,0
1584527574,35.20443129,-97.41986836,275.4,2.18,3.7900925,327.0820313,0.824802756,9.347517014,2.279763222,0
1584527575,35.2044335,-97.41988875,275.7,1.87,3.7900925,327.1588745,0.806477427,9.428483963,2.474635363,0
1584527576,35.20443473,-97.41990403,275.6,1.41,3.7900925,327.1252441,0.740482032,9.508133888,2.490325928,0
1584527577,35.20443498,-97.41991541,275.6,1.05,3.7900925,327.3015137,0.898463845,9.36560154,2.657530308,0
1584527583,35.20443281,-97.41992683,275.5,0.43,3.7900925,327.4805908,0.933677375,9.535323143,1.900798798,0
1584527587,35.20443702,-97.41996104,278.8,2.54,3.7900925,326.69104,0.707544148,9.688511848,1.973740816,0
1584527588,35.20444697,-97.41999177,292.8,3.09,3.7900925,326.4802246,2.145789385,9.218520164,1.297856569,0
1584527589,35.20447125,-97.42001835,321.7,3.73,3.7900925,327.0933228,3.194410086,9.33110714,1.011956215,0
1584527590,35.20451476,-97.42003029,352.6,4.78,3.7900925,326.4188232,1.12256074,9.791278839,0.475728422,0
1584527591,35.20457628,-97.42003289,3.6,6.02,3.7900925,327.0511475,0.544531822,9.60898304,1.023215055,0
1584527592,35.20464194,-97.42003012,4.8,7.33,3.7900925,326.5838623,0.396251738,10.44680023,1.672988534,0
1584527593,35.20471462,-97.42002604,4,8.16,3.7900925,326.6688232,0.405234814,10.09658337,2.12741065,0
1584527594,35.20478915,-97.42002637,3.1,8.9,3.7900925,327.1777954,0.286179483,9.793434143,1.942839265,0
