Time,Latitude,Longitude,Accuracy,Speed
1584527554,35.204524,-97.418955,10,2.02
1584527555,35.20451,-97.41898,10,2.02
1584527556,35.204496,-97.419021,10,2.85
1584527557,35.204485,-97.419072,10,3.82
1584527558,35.204475,-97.419133,10,5.19
1584527559,35.204469,-97.419197,10,5.41
1584527560,35.204468,-97.419263,10,5.41
1584527561,35.204457,-97.419344,10,5.18
1584527562,35.204431,-97.419397,10,5.12
1584527563,35.204413,-97.419459,10,5.35
1584527564,35.204393,-97.419511,10,5.4
1584527565,35.204384,-97.419535,10,5
1584527566,35.204411,-97.419576,10,4.81
1584527567,35.204444,-97.41961,10,4.56
1584527568,35.204444,-97.419673,10,4.71
1584527569,35.204534,-97.419696,10,4.56
1584527570,35.204486,-97.419749,10,4.09
1584527571,35.204385,-97.419789,10,3.94
1584527572,35.204419,-97.419804,10,2.91
1584527573,35.204433,-97.419831,10,2.3
1584527574,35.204434,-97.419864,10,1.95
1584527575,35.204431,-97.419878,10,1.41
1584527576,35.204432,-97.419885,10,1.01
1584527577,35.204437,-97.419889,10,0.63
1584527581,35.204442,-97.419893,10,0.41
1584527583,35.204441,-97.419903,10,0.36
1584527585,35.204436,-97.41991,10,0.83
1584527586,35.204436,-97.419921,10,1.15
1584527587,35.204445,-97.419946,10,3.06
1584527588,35.204459,-97.419979,10,3.03
1584527589,35.204482,-97.420008,10,3.5
1584527590,35.204515,-97.420032,10,3.85
1584527591,35.204654,-97.419991,10,6.85
1584527592,35.204723,-97.419992,10,7.98
1584527593,35.204805,-97.419992,10,8.78
1584527594,35.204883,-97.419994,10,9.27
1584527595,35.204987,-97.419985,10,9.95
1584527596,35.205071,-97.419994,10,10.06
1584527597,35.205152,-97.419993,10,9.46
1584527598,35.205237,-97.42,10,9.53
1584527599,35.205317,-97.419994,10,8.74
1584527600,35.205368,-97.420004,10,7.38
1584527601,35.205427,-97.419997,10,6.54
1584527602,35.205486,-97.42002,10,6.41
1584527603,35.205558,-97.420054,10,6.9
1584527604,35.205548,-97.42013,10,5.72
1584527605,35.205557,-97.420185,10,5.85
1584527606,35.205552,-97.420255,10,6.25
1584527607,35.205549,-97.420337,10,6.96
1584527608,35.205545,-97.420446,10,7.82
1584527609,35.20556,-97.420538,10,8.43
1584527610,35.205552,-97.420631,10,8.93
1584527611,35.205543,-97.420725,10,9.01
1584527612,35.205534,-97.420827,10,8.83
1584527613,35.20552,-97.420925,10,8.74
1584527614,35.205482,-97.42103,10,8.92
1584527615,35.20548,-97.421126,10,8.84
1584527616,35.205489,-97.421225,10,8.77
1584527617,35.205547,-97.421288,10,8.08
1584527618,35.20549,-97.421391,10,8.32
1584527619,35.205496,-97.421502,10,8.71
1584527620,35.205564,-97.421567,10,8.17
1584527621,35.205583,-97.421657,10,8.18
1584527622,35.205574,-97.421749,10,8.29
1584527623,35.205555,-97.421857,10,8.23
1584527624,35.20558,-97.421937,10,8.11
1584527625,35.205569,-97.422032,10,8.11
1584527626,35.205592,-97.422123,10,8.33
1584527627,35.205551,-97.422223,10,8.58
1584527628,35.205548,-97.422311,10,8.42
1584527629,35.205546,-97.422417,10,9.02
1584527630,35.205562,-97.422507,10,8.58
1584527631,35.205542,-97.422595,10,8.42
1584527632,35.20554,-97.422698,10,8.92
1584527633,35.205531,-97.422793,10,8.92
1584527634,35.20553,-97.422902,10,8.82
1584527635,35.205535,-97.422996,10,8.51
1584527636,35.205541,-97.423094,10,8.31
1584527637,35.205531,-97.423192,10,8.3
1584527638,35.205535,-97.423263,10,7.64
1584527639,35.205535,-97.423321,10,6.14
1584527640,35.205524,-97.423375,10,4.74
1584527641,35.205525,-97.423417,10,3.94
1584527642,35.205502,-97.423448,10,2.89
1584527643,35.2055,-97.423466,10,2.14
1584527644,35.205493,-97.423479,10,1.61
1584527645,35.205493,-97.423497,10,1.46
1584527646,35.205491,-97.423511,10,1.25
1584527647,35.205491,-97.423529,10,1.2
1584527648,35.205508,-97.423552,10,2.47
1584527649,35.205515,-97.423576,10,2.38
1584527650,35.205551,-97.423592,10,3.86
1584527651,35.205596,-97.423609,10,4.38
1584527652,35.20572,-97.423617,10,7.2
1584527653,35.20581,-97.423614,10,9.83
1584527654,35.205942,-97.423605,10,11.26
1584527655,35.206038,-97.4236,10,11.93
1584527656,35.20616,-97.423589,10,13.21
1584527657,35.206287,-97.423599,10,14.94
1584527658,35.206427,-97.423596,10,15.4
1584527659,35.206585,-97.423595,10,16.870001
