time,latitude,longitude,bearing,speed,accuracy,altitude,acc_x,acc_y,acc_z,is_Stable
1584527554,35.20440731,-97.4189275,219.5,1.9500257,3,332,-3.970942497,0.886157274,9.244775772,0
1584527555,35.2043982,-97.41894316,239.5,1.7310401,3,331,-3.535048962,1.475332141,8.540639877,0
1584527556,35.20439272,-97.41896654,256.4,2.4240463,3,331,-3.736230612,0.617915094,9.489068031,0
1584527557,35.20438876,-97.41900587,255.9,3.8195548,3,331,-3.42487812,0.613125026,9.101074219,0
1584527558,35.20438765,-97.41905826,262.6,4.5635514,3,332,-2.280058622,0.613125026,9.340576172,0
1584527560,35.20440698,-97.41920595,270,5.214643,3,332,-2.457290173,1.020278335,9.283096313,0
1584527561,35.20440299,-97.41926082,266.2,4.9100914,3,331,-2.246528387,0.311352551,8.631650925,0
1584527562,35.20440488,-97.41931051,268.3,4.7105203,3,331,-2.869233608,0.479003936,8.507109642,0
1584527563,35.20440167,-97.41935943,269.2,4.780042,3,331,-2.682421923,0.775986373,9.623188972,0
1584527564,35.20440267,-97.41941182,269.7,4.8500414,3,331,-2.692002058,0.819096744,9.235196114,0
1584527565,35.20440125,-97.41946563,269.2,4.870041,3,331,-2.270478725,0.076640628,9.910591125,0
1584527566,35.20440152,-97.41952489,270.2,5.180473,3,331,-1.710044026,-0.014370117,8.823252678,0
1584527567,35.20440397,-97.41958118,270.3,5.08,3,331,-1.872905374,0.838256896,8.861572266,0
1584527568,35.20440741,-97.4196337,270.4,4.8826222,3,330,-2.543510914,0.790356457,9.493857384,0
1584527569,35.20440736,-97.4196838,272.7,4.550176,3,331,-2.155517578,-0.110170901,8.923843384,0
1584527570,35.20440551,-97.41972924,272.2,4.060012,3,331,-2.102827311,0.440683603,10.14530277,0
1584527571,35.20440808,-97.41977338,273.6,3.8821774,3,332,-1.954336047,0.249082044,9.608819008,0
1584527572,35.20440664,-97.419809,273.1,3.45071,3,332,-1.939965844,0.742456079,9.489068031,0
1584527573,35.20441081,-97.41983594,277.4,2.6368542,3,332,-2.08366704,0.570014656,9.584868431,0
1584527574,35.20441423,-97.41985914,276.1,2.2002046,3,332,-2.05971694,0.23471193,9.259145737,0
1584527575,35.20441206,-97.41987934,273.2,1.8400272,3,332,-2.074086905,0.459843755,10.3560648,0
1584527576,35.20441428,-97.41989165,273,1.5021318,3,331,-1.868115306,0.244292006,8.919053078,0
1584527577,35.20442113,-97.41990095,273.5,1.1652038,3,331,-1.63340342,0.301772475,9.503437996,0
1584527582,35.20442817,-97.41991094,274,0.38948685,3,330,-2.557880878,0.60354495,9.206455231,0
1584527584,35.20442814,-97.41992279,274,0.38626418,3,330,-2.557880878,0.431103528,9.192085266,0
1584527586,35.20442962,-97.4199347,274,0.7746612,3,329,-3.501518726,1.825004935,10.05908203,0
1584527587,35.20442976,-97.41995539,275,2.3000216,3,330,-2.577041149,2.572251081,9.062754631,0
1584527588,35.20443348,-97.41998578,279.5,2.7311718,3,330,-2.917133808,2.519560575,9.436377525,0
1584527589,35.20444832,-97.42001969,297.6,3.6406732,3,330,-4.354145527,0.981958032,8.823252678,0
1584527590,35.20448237,-97.42004967,348.4,4.840661,3,328,-3.271596909,0.661025405,8.147856712,0
1584527591,35.20457555,-97.42003432,359.1,6.1308155,3,328,-2.241738319,0.847836971,8.430469513,0
1584527592,35.20463771,-97.42003007,2,6.680748,3,328,-4.023633003,0.354462892,8.636441231,0
1584527593,35.20472169,-97.42003165,1.1,8.140006,3,327,-3.099155426,0.704135776,8.152647018,0
1584527594,35.20479928,-97.42003047,0.4,8.540147,3,328,-2.203418016,0.004790039,8.301137924,0
1584527595,35.20489018,-97.42002962,0.3,9.610254,3,328,-2.232158184,1.518442392,9.014853477,0
1584527596,35.20498426,-97.42003061,0.4,9.950126,3,328,-2.189048052,0.2921924,10.2602644,0
1584527597,35.20507525,-97.42003018,0.4,9.890991,3,328,-2.026186705,0.296982437,8.866362572,0
1584527598,35.20516932,-97.42002658,0.9,9.810734,3,327,-1.65735364,0.26824221,9.527388573,0
1584527600,35.20533209,-97.42002536,1.1,8.452864,3,328,-0.632285178,-0.747246146,10.0782423,0
1584527601,35.20539066,-97.42002641,0.2,6.7300296,3,328,-1.959126115,-0.134121105,9.632768631,0
1584527602,35.20543675,-97.42003351,352,5.7142367,3,329,-1.609453201,-1.437011838,9.096284866,0
1584527603,35.20549004,-97.42005769,339.8,5.520734,3,327,-1.642983437,-2.011816502,8.487949371,0
1584527604,35.20552718,-97.42010053,318.6,5.580896,3,326,-2.759062529,-1.853745222,10.22194386,0
1584527605,35.2055315,-97.42014869,296.2,5.571517,3,328,-1.408271551,-1.528022528,9.982441902,0
1584527606,35.20554022,-97.42021484,281.3,5.8153763,3,328,-3.386557817,0.009580079,9.144185066,0
1584527607,35.20554363,-97.42028512,274.1,6.4844427,3,328,-3.118315458,0.56043458,9.76210022,0
1584527608,35.20554906,-97.42036163,270.5,7.20084,3,328,-3.166215897,1.192719817,8.468789101,0
1584527609,35.20554442,-97.42044895,269.2,7.902531,3,328,-3.147055864,0.383203149,9.369317055,0
1584527610,35.20555221,-97.42054277,270.1,8.660052,3,328,-2.926713943,0.4023633,10.19799328,0
1584527611,35.20555376,-97.42064191,269.4,9.180921,3,327,-1.336421013,0.881367207,9.077124596,0
1584527612,35.20555442,-97.42074084,269.6,9.060354,3,327,-2.28484869,0.574804723,9.862690926,0
1584527613,35.2055599,-97.42083525,270.7,8.86005,3,326,-2.107617378,0.713715851,9.192085266,0
1584527614,35.20556051,-97.42093126,271,8.650578,3,327,-1.796264768,0.886157274,7.965835094,0
1584527615,35.20556066,-97.42102479,270.5,8.520006,3,326,-2.241738319,0,8.540639877,0
1584527616,35.20556328,-97.42111461,271.2,8.341943,3,327,-2.265688658,0.062270511,9.709409714,0
1584527617,35.20555653,-97.42120081,268.9,8.282662,3,328,-2.313588858,0.617915094,8.622070313,0
1584527618,35.20555356,-97.42129217,269.3,8.220298,3,328,-2.495610476,0.670605481,10.93087006,0
1584527619,35.20555733,-97.42138076,269.4,8.232193,3,327,-2.452500105,0.613125026,8.679551125,0
1584527620,35.20555472,-97.42147317,269.3,8.28073,3,328,-2.84528327,0.732876003,9.465117455,0
1584527621,35.20555387,-97.42156761,271,8.311017,3,328,-2.562670946,0.641865253,8.392148972,0
1584527622,35.20555971,-97.42165372,270,8.330006,3,328,-2.610571384,0.522114277,9.441167831,0
1584527623,35.2055668,-97.42175147,270.2,8.410213,3,327,-1.585502982,0.407153338,8.574170113,0
1584527624,35.20556528,-97.42183887,270.4,8.231027,3,327,-1.968706131,0.440683603,8.626860619,0
