time,lat,lng,alt,spd,eps,epx,epv,ept,climb,track
1584527554,35.20442283,-97.41896767,353.9,1.779,4.84,2.112,6.9,0.005,0,221.83
1584527555,35.20441683,-97.41898133,354.2,1.615,4.84,2.112,6.9,0.005,0,238.23
1584527556,35.204412,-97.4190085,354.2,3.058,4.84,2.112,6.9,0.005,0,251.89
1584527557,35.2044085,-97.41904933,354.4,4.047,4.84,2.112,6.9,0.005,0,262.79
1584527558,35.204405,-97.41910133,355.2,4.828,4.84,2.112,6.9,0.005,0,265.87
1584527559,35.20440367,-97.41915783,355.4,5.112,4.84,2.112,6.9,0.005,0,267.38
1584527560,35.20440383,-97.41921417,355.2,5.002,4.84,2.112,6.9,0.005,0,268.16
1584527561,35.204404,-97.419268,355,4.788,4.84,2.112,6.9,0.005,0,268.1
1584527562,35.20440267,-97.41932167,354.9,4.678,4.84,2.112,6.9,0.005,0,268.25
1584527563,35.20440133,-97.419376,355.1,4.696,4.84,2.112,6.9,0.005,0,268.18
1584527564,35.2044025,-97.41943017,355,4.802,4.8,1.714,6.9,0.005,0,269.56
1584527565,35.20440283,-97.41949033,355.6,5.242,4.75,1.714,6.9,0.005,0,270.45
1584527566,35.204404,-97.41955133,355.6,5.217,4.72,1.589,6.9,0.005,0,270.25
1584527567,35.204405,-97.41961067,355.9,5.009,4.69,1.589,6.9,0.005,0,271.99
1584527568,35.2044075,-97.419666,356.2,4.752,4.69,1.589,6.9,0.005,0,273
1584527569,35.20441,-97.4197175,356.5,4.354,4.69,1.589,6.9,0.005,0,273.38
1584527570,35.20441133,-97.4197655,356.4,4.025,4.69,1.589,6.9,0.005,0,273.66
1584527571,35.2044125,-97.41980917,356.3,3.725,4.69,1.589,6.9,0.005,0,273.44
1584527572,35.20441267,-97.419848,356.2,3.169,4.69,1.589,6.9,0.005,0,274.54
1584527573,35.2044145,-97.41987683,356.1,2.388,4.69,1.589,6.9,0.005,0,274.5
1584527574,35.20441633,-97.4199005,356,2.112,4.69,1.589,6.9,0.005,0,275.1
1584527575,35.20441833,-97.4199205,355.7,1.696,4.69,1.589,6.9,0.005,0,275.95
1584527576,35.204419,-97.41993417,355.5,1.249,4.69,1.589,6.9,0.005,0,276.29
1584527577,35.20441917,-97.41994367,355.3,0.803,4.69,1.589,6.9,0.005,0,276.22
1584527578,35.20441867,-97.41994683,355.1,0.098,4.69,1.589,6.9,0.005,0,0
1584527579,35.20441783,-97.41994683,354.9,0.012,4.69,1.589,6.9,0.005,0,0
1584527580,35.20441717,-97.41994667,354.6,0.035,4.69,1.589,6.9,0.005,0,0
1584527581,35.204417,-97.41994833,354.7,0.117,4.69,1.589,6.9,0.005,0,0
1584527582,35.20441683,-97.41995383,354.8,0.511,4.69,1.589,6.9,0.005,0,0
1584527583,35.20441667,-97.41995967,354.8,0.431,4.76,1.774,6.9,0.005,0,0
1584527584,35.20441667,-97.4199635,354.9,0.179,4.76,1.589,6.9,0.005,0,0
1584527585,35.20441683,-97.41996517,355,0.056,4.69,1.589,6.9,0.005,0,0
1584527586,35.20441817,-97.41997783,355.1,1.543,4.69,1.589,6.9,0.005,0,274.21
1584527587,35.2044135,-97.42,355.2,2.381,4.69,1.589,6.9,0.005,0,261.2
1584527588,35.204417,-97.42002517,354.4,2.727,4.69,1.589,6.9,0.005,0,281.55
1584527589,35.20444517,-97.420049,354.8,3.675,4.69,1.589,7.36,0.005,0,316.33
1584527590,35.20449,-97.42005967,354.4,5.24,4.69,1.589,7.36,0.005,0,343.87
1584527591,35.20454883,-97.42006033,354,6.615,4.69,1.589,6.9,0.005,0,355.74
1584527592,35.20461817,-97.42005817,353.7,7.644,4.76,1.774,6.9,0.005,0,0.51
