time,latitude,longitude,bearing,speed,accuracy,altitude,acc_x,acc_y,acc_z,is_Stable
1584527554,35.20458728,-97.41884378,249.8,1.99,13.653,331,-3.577529907,-0.702392578,9.155715942,0
1584527555,35.20457561,-97.41886581,243.2,1.89,13.653,332,-3.405136108,-0.491699219,8.772644043,0
1584527556,35.20455722,-97.41889084,238,2.14,15.17,335,-3.156143188,-1.391921997,10.515625,0
1584527557,35.20453993,-97.41892136,243.2,2.62,15.17,334,-2.524078369,-1.334457397,9.902709961,0
1584527559,35.20452051,-97.418998,256.8,4.64,15.17,332,-2.06439209,-1.008850098,9.998474121,0
1584527560,35.20451189,-97.41905468,261.1,4.3,16.687,332,-1.85369873,-0.740692139,9.040802002,0
1584527561,35.20450583,-97.41917128,271.5,5.28,15.17,330,-1.949462891,-1.181228638,8.983337402,0
1584527562,35.20452419,-97.41923576,272.5,4.95,15.17,329,-2.25592041,-1.276992798,9.596252441,0
1584527563,35.20453408,-97.4192992,271.5,4.95,15.17,327,-2.10269165,-1.353607178,10.515625,0
1584527564,35.20451869,-97.41934358,266.6,4.88,15.17,325,-2.14100647,-0.510848999,9.711181641,0
1584527565,35.20449605,-97.41940307,262,5.14,16.687,324,-2.14100647,-0.970535278,9.155715942,0
1584527566,35.20452203,-97.41944013,270.6,4.9,16.687,324,-1.394012451,-1.449386597,11.10939026,0
1584527567,35.20448737,-97.41950378,262.2,5.17,19.720999,324,-1.96862793,-1.372772217,9.596252441,0
1584527568,35.20446066,-97.41954716,256.9,4.98,19.720999,325,-1.777084351,-0.779006958,10.6305542,0
1584527569,35.20441395,-97.41962156,250,5.67,21.237999,325,-1.872848511,-1.162078857,9.577102661,0
1584527570,35.20444339,-97.41970191,262,5.97,21.237999,326,-1.73878479,-1.564300537,9.423873901,0
1584527571,35.20442536,-97.41975435,259.4,5.69,21.237999,326,-1.66217041,-0.855621338,10.15170288,0
1584527572,35.20444759,-97.41973744,261.3,3.73,21.237999,324,-1.317398071,-1.257843018,9.443023682,0
1584527573,35.20440494,-97.4198056,249.9,4.51,22.755,323,-1.623855591,-1.315307617,9.711181641,0
1584527574,35.2044456,-97.41987017,266.6,4.6,22.755,322,-1.604705811,-0.702392578,9.672866821,0
1584527575,35.20443408,-97.41986385,263.3,3.24,21.237999,321,-1.623855591,-0.989685059,8.925872803,0
1584527576,35.20443448,-97.41989918,265.4,2.31,19.720999,320,-1.83454895,-0.932235718,9.366409302,0
1584527577,35.20441994,-97.41990804,265.1,1.67,18.203999,323,-1.259933472,-1.142913818,9.634567261,0
1584527578,35.20444253,-97.41991218,277.2,0.96,18.203999,322,-2.14100647,-1.200378418,9.768630981,0
1584527579,35.20448196,-97.41989829,331.8,0.77,18.203999,321,-2.198471069,-1.181228638,9.672866821,0
1584527580,35.2044596,-97.41992223,317.8,0.26,18.203999,322,-2.33253479,-1.238693237,9.538787842,0
1584527581,35.20445834,-97.41990959,315.1,0.25,16.687,324,-2.811386108,-1.123764038,9.519638062,0
1584527583,35.20447612,-97.41992095,320.7,0.74,16.687,325,-1.949462891,-1.027999878,9.615402222,0
1584527585,35.20447705,-97.41993346,0,0,15.17,323,-4.190444946,-1.238693237,9.079101563,0
1584527587,35.20447315,-97.41995613,282.1,1.01,15.17,322,-2.351699829,0.714981079,9.8644104,0
1584527588,35.20447452,-97.41997449,285.9,2.03,15.17,322,-2.907150269,0.849060059,9.692016602,0
1584527589,35.20449009,-97.42000483,303.1,3.47,15.17,320,-3.290222168,1.002288818,9.519638062,0
1584527590,35.20451766,-97.4200314,319.3,3.78,15.17,322,-3.309371948,-0.970535278,9.098266602,0
1584527591,35.20455664,-97.42004335,333.9,3.93,15.17,321,-2.983764648,-1.162078857,9.8644104,0
1584527592,35.20460412,-97.42004855,345.2,4.8,15.17,323,-2.46661377,-1.104614258,10.09425354,0
1584527593,35.20473347,-97.42000355,358.2,6.69,15.17,322,-2.38999939,-0.932235718,10.17086792,0
1584527594,35.20479312,-97.42000867,358.2,7.24,15.17,321,-2.23677063,-0.951385498,8.332122803,0
1584527595,35.20486787,-97.42001611,358.1,8.26,15.17,320,-2.63899231,-0.893920898,9.692016602,0
1584527596,35.20497703,-97.42001666,358.7,9.5,15.17,320,-1.604705811,-1.545150757,9.538787842,0
1584527597,35.20506711,-97.42002181,359.6,9.84,15.17,320,-2.294235229,-1.526000977,8.657730103,0
1584527598,35.20515722,-97.42001649,0.4,9.78,15.17,320,-1.432327271,-1.526000977,9.902709961,0
1584527599,35.20524846,-97.42001156,2,9.96,15.17,320,0.655426025,-2.043136597,11.05192566,0
1584527600,35.20530104,-97.41999496,2.4,9.2,15.17,318,-0.666183472,-1.851608276,9.902709961,0
1584527601,35.2053627,-97.42000438,2,8.17,15.17,318,-1.528091431,-2.617752075,9.232330322,0
1584527602,35.20544456,-97.41998944,4.2,8.37,16.687,318,-1.604705811,-3.019973755,9.462173462,0
1584527603,35.20546246,-97.42003576,345.3,5.88,15.17,318,-1.719619751,-3.154052734,9.136566162,0
1584527604,35.20552562,-97.42006777,331,6.26,15.17,318,-1.394012451,-3.345581055,8.925872803,0
1584527605,35.2055421,-97.42012886,309.4,5.78,15.17,319,-2.926300049,-3.077438354,9.653717041,0
1584527606,35.20556331,-97.42020746,296.6,6.34,16.687,319,-2.849685669,-1.257843018,9.692016602,0
1584527607,35.20555859,-97.42029365,276.7,6.39,15.17,317,-3.060379028,-0.874771118,9.404724121,0
1584527608,35.20556954,-97.4203611,275.8,6.6,15.17,318,-3.022064209,-1.430221558,9.213180542,0
1584527609,35.20555598,-97.42041538,271.6,6.07,16.687,318,-2.830535889,-1.104614258,9.615402222,0
1584527610,35.20556569,-97.42051062,273.5,6.94,18.203999,318,-1.470626831,-0.702392578,9.347259521,0
1584527611,35.20553102,-97.4205344,262.7,5.61,19.720999,317,-1.489776611,-1.008850098,8.887573242,0
1584527612,35.20549038,-97.42055853,250.3,4.9,21.237999,317,-1.643005371,-1.142913818,10.17086792,0
1584527613,35.20549398,-97.42067272,258.8,6.2,21.237999,317,-2.46661377,-0.893920898,10.17086792,0
1584527614,35.20549807,-97.42076293,262.6,6.67,22.755,316,-2.600692749,-0.798156738,8.925872803,0
1584527615,35.20551233,-97.42082234,266.9,6.35,27.306,316,-1.66217041,-1.755844116,9.557952881,0
