Time,Latitude,Longitude,Accuracy,Speed
1584527554,35.204437,-97.418943,5,1.83
1584527555,35.204429,-97.418966,5,2.5
1584527556,35.204422,-97.419004,5,2.5
1584527557,35.204418,-97.419055,5,3.7
1584527558,35.204418,-97.419114,5,5.1
1584527559,35.204418,-97.419174,5,5.1
1584527560,35.20442,-97.419231,5,5.05
1584527562,35.204426,-97.419348,5,4.79
1584527563,35.204422,-97.419405,5,4.92
1584527564,35.204418,-97.419462,5,5.01
1584527565,35.204413,-97.419519,5,5.01
1584527566,35.204416,-97.419575,5,5.09
1584527567,35.204413,-97.419628,5,4.8
1584527568,35.204411,-97.419679,5,4.44
1584527569,35.204412,-97.41973,5,4.12
1584527570,35.204419,-97.41977,5,3.81
1584527571,35.204422,-97.419807,5,3.46
1584527572,35.20443,-97.419827,5,2.63
1584527573,35.204433,-97.419852,5,2.19
1584527574,35.204434,-97.419871,5,1.87
1584527575,35.204436,-97.419887,5,1.47
1584527576,35.20444,-97.419899,5,1.07
1584527581,35.204449,-97.419895,5,0.36
1584527583,35.204453,-97.419899,5,0.36
1584527585,35.204458,-97.419905,5,0.74
1584527586,35.204464,-97.419926,5,2.41
1584527588,35.204224,-97.420077,65,-1
1584527589,35.20454,-97.419992,5,4.48
1584527590,35.20461,-97.419995,5,5.9
1584527591,35.204678,-97.419994,5,7.22
1584527592,35.204751,-97.419993,5,8.13
1584527593,35.204838,-97.419988,5,8.9
1584527594,35.204915,-97.419987,5,9.58
1584527595,35.204999,-97.419989,5,10.02
1584527596,35.205087,-97.41999,5,10.04
1584527607,35.205353,-97.420119,65,-1
1584527608,35.205548,-97.420411,5,8.04
1584527609,35.205543,-97.420515,5,8.64
1584527610,35.205525,-97.420622,5,9.13
1584527611,35.205527,-97.420728,5,9.02
1584527612,35.205519,-97.420833,5,8.85
1584527613,35.205517,-97.420927,5,8.65
1584527615,35.205516,-97.421111,5,8.39
1584527616,35.205508,-97.421207,5,8.29
1584527617,35.205502,-97.421291,5,8.24
1584527618,35.2055,-97.421385,5,8.22
1584527619,35.205497,-97.421473,5,8.27
1584527620,35.205485,-97.421571,5,8.31
1584527621,35.205486,-97.421661,5,8.34
1584527622,35.20549,-97.421755,5,8.36
1584527623,35.205489,-97.421847,5,8.27
1584527624,35.205491,-97.42194,5,8.15
1584527625,35.205491,-97.422033,5,8.14
1584527626,35.205491,-97.422127,5,8.39
1584527627,35.205487,-97.422218,5,8.45
1584527628,35.205479,-97.42231,5,8.38
1584527629,35.205481,-97.422397,5,8.28
1584527630,35.205483,-97.422487,5,8.32
1584527631,35.205488,-97.422582,5,8.55
1584527632,35.205492,-97.422676,5,8.88
1584527633,35.205497,-97.422772,5,8.85
1584527634,35.205502,-97.422867,5,8.73
1584527635,35.205503,-97.422958,5,8.57
1584527636,35.205503,-97.423046,5,8.3
1584527637,35.205508,-97.423135,5,8.05
1584527638,35.205508,-97.423213,5,7.6
1584527639,35.205505,-97.423282,5,6.16
1584527641,35.205508,-97.423376,5,4.22
1584527642,35.205501,-97.423396,5,2.5
1584527644,35.205503,-97.42341,5,1.42
1584527645,35.205508,-97.423427,5,1.37
1584527646,35.205511,-97.423439,5,0.78
1584527647,35.205512,-97.423455,5,1.71
1584527648,35.205523,-97.423478,5,2.52
1584527649,35.205544,-97.423499,5,3.48
1584527651,35.205643,-97.423538,5,7.12
1584527653,35.205814,-97.423531,5,9.94
1584527654,35.205928,-97.423528,5,11.87
1584527655,35.206044,-97.423529,5,12.94
1584527656,35.206184,-97.423537,5,14.53
1584527657,35.20632,-97.423543,5,15.36
1584527658,35.206465,-97.423547,5,16.57
1584527659,35.206634,-97.423562,5,17.530001
1584527661,35.206953,-97.423557,5,18.17
1584527662,35.2071,-97.423524,5,17.76
1584527663,35.207267,-97.423522,5,17.82
1584527664,35.207431,-97.423527,5,17.84
1584527666,35.207761,-97.423529,5,17.65
1584527667,35.20792,-97.423527,5,17.620001
1584527668,35.208082,-97.423527,5,17.32
1584527669,35.208239,-97.423537,5,17.370001
1584527671,35.208534,-97.423513,5,16.889999
1584527672,35.208707,-97.42351,5,17.389999
1584527673,35.208871,-97.423523,5,17.389999
1584527674,35.209044,-97.423519,5,17.440001
1584527675,35.209202,-97.423524,5,17.5
1584527684,35.210099,-97.423534,5,16.950001
1584527685,35.210651,-97.423541,5,14.13
1584527686,35.210753,-97.423553,5,12.95
1584527687,35.210861,-97.423547,5,11.77
1584527688,35.210951,-97.423542,5,10.56
1584527689,35.211017,-97.423542,5,9.28
1584527690,35.211091,-97.423549,5,9.03
1584527691,35.21119,-97.423546,5,9.7
1584527692,35.211278,-97.423542,5,11.01
1584527693,35.211384,-97.423539,5,12.27
1584527694,35.211516,-97.423549,5,13.41
1584527695,35.211655,-97.423554,5,14.58
1584527696,35.2118,-97.423561,5,15.68
1584527697,35.211955,-97.423564,5,16.68
1584527698,35.21211,-97.423568,5,17.540001
1584527699,35.212273,-97.423567,5,18.219999
1584527700,35.212439,-97.423568,5,18.370001
1584527701,35.212602,-97.42357,5,18.43
1584527702,35.212776,-97.423569,5,18.360001
1584527703,35.212931,-97.423561,5,17.98
1584527704,35.213099,-97.423566,5,18.08
1584527705,35.213264,-97.423572,5,17.969999
1584527706,35.213423,-97.423569,5,18.01
1584527707,35.213596,-97.423562,5,17.780001
1584527708,35.213768,-97.423573,5,17.9
1584527709,35.213933,-97.42357,5,17.75
1584527710,35.214101,-97.423574,5,17.66
1584527711,35.214251,-97.423551,5,17.33
1584527712,35.214395,-97.423546,5,17.290001
1584527713,35.214548,-97.423546,5,17.18
1584527714,35.214704,-97.423533,5,17.190001
1584527715,35.214861,-97.423535,5,17.209999
1584527716,35.215033,-97.423534,5,17.440001
1584527717,35.215193,-97.423535,5,17.610001
1584527718,35.215356,-97.423531,5,17.639999
1584527719,35.215513,-97.423534,5,17.9
1584527720,35.215683,-97.423532,5,18
1584527721,35.215848,-97.423534,5,17.98
1584527722,35.216011,-97.42353,5,17.719999
1584527723,35.216172,-97.423534,5,17.809999
1584527724,35.216332,-97.423523,5,17.690001
1584527725,35.216499,-97.423519,5,17.66
1584527726,35.21664,-97.423505,5,17.33
1584527727,35.216797,-97.423511,5,17.219999
1584527728,35.216948,-97.423513,5,16.860001
1584527729,35.217094,-97.423517,5,15.57
1584527730,35.217223,-97.423522,5,14.11
1584527731,35.217365,-97.423523,5,13.22
1584527732,35.217472,-97.423523,5,12.2
1584527733,35.217586,-97.423527,5,11.65
1584527734,35.217684,-97.423521,5,11.01
1584527735,35.217775,-97.423523,5,10.36
1584527736,35.217866,-97.423528,5,10.13
1584527737,35.217922,-97.423518,5,9.31
1584527738,35.218012,-97.423522,5,9.01
1584527739,35.218086,-97.423531,5,8.7
1584527740,35.218162,-97.42354,5,8.03
1584527741,35.218205,-97.423529,5,5.65
1584527742,35.21826,-97.423534,5,5.8
1584527743,35.218255,-97.423508,5,4.64
1584527744,35.218302,-97.423466,5,5.37
1584527745,35.218317,-97.423406,5,5.57
1584527746,35.218325,-97.423301,5,8.39
1584527747,35.218333,-97.423202,5,9.77
1584527748,35.218334,-97.423092,5,10.93
1584527749,35.218342,-97.422945,5,11.98
1584527750,35.218355,-97.42279,5,13.06
1584527751,35.218372,-97.422642,5,13.91
1584527752,35.21838,-97.422474,5,14.74
1584527757,35.218382,-97.421638,5,14.78
1584527758,35.218384,-97.421477,5,15.02
1584527759,35.218384,-97.421313,5,15.04
1584527760,35.218386,-97.421147,5,14.92
1584527761,35.218384,-97.420983,5,15.18
1584527762,35.218388,-97.42081,5,15.88
1584527763,35.21839,-97.420634,5,16.01
1584527764,35.218388,-97.420455,5,15.99
1584527765,35.218381,-97.420286,5,16
1584527766,35.218377,-97.420111,5,15.75
1584527767,35.218371,-97.419932,5,15.71
1584527768,35.218361,-97.419759,5,15.47
1584527769,35.218359,-97.419584,5,15.45
1584527770,35.218353,-97.41941,5,15.45
1584527771,35.218349,-97.419238,5,15.22
1584527772,35.218355,-97.419062,5,15.1
1584527773,35.218349,-97.418897,5,15.03
1584527774,35.218351,-97.418738,5,14.93
1584527775,35.218345,-97.418572,5,14.97
1584527776,35.218342,-97.418407,5,14.97
1584527777,35.218341,-97.418237,5,15.16
1584527778,35.218343,-97.418064,5,15.17
1584527779,35.218348,-97.417896,5,15.17
1584527780,35.218327,-97.417738,5,15.29
1584527781,35.218334,-97.417577,5,15.19
1584527782,35.21834,-97.417413,5,15.2
1584527783,35.218347,-97.417259,5,14.62
1584527784,35.218354,-97.417092,5,15.14
1584527785,35.21836,-97.416931,5,15.19
1584527786,35.218356,-97.416763,5,15.21
1584527787,35.218355,-97.416598,5,15.34
1584527788,35.218356,-97.416427,5,15.16
1584527789,35.218347,-97.416252,5,15.22
1584527790,35.218345,-97.416091,5,15.3
1584527791,35.218346,-97.415923,5,15.33
1584527792,35.218342,-97.415755,5,15.4
1584527793,35.218344,-97.415587,5,15.44
1584527794,35.218341,-97.415416,5,15.52
1584527795,35.218343,-97.415244,5,15.57
1584527796,35.218349,-97.415071,5,15.65
1584527797,35.21835,-97.4149,5,15.7
1584527798,35.218347,-97.414725,5,15.8
1584527799,35.218349,-97.41455,5,15.91
1584527800,35.218344,-97.414373,5,15.9
1584527801,35.218345,-97.414198,5,15.86
1584527802,35.218347,-97.414018,5,15.83
1584527803,35.21835,-97.413841,5,15.77
1584527804,35.218365,-97.413675,5,15.77
1584527805,35.218369,-97.413505,5,15.75
1584527806,35.218366,-97.413332,5,15.66
1584527807,35.218367,-97.413157,5,15.95
1584527808,35.218369,-97.412989,5,15.65
1584527809,35.218375,-97.412824,5,15.52
1584527810,35.218373,-97.412647,5,15.53
1584527811,35.218369,-97.412479,5,15.5
1584527812,35.218369,-97.412307,5,15.51
1584527813,35.218369,-97.412131,5,15.4
1584527814,35.218356,-97.411964,5,15.56
1584527815,35.218359,-97.411806,5,15.49
1584527816,35.218354,-97.411639,5,15.51
1584527817,35.218353,-97.411465,5,15.48
1584527818,35.218354,-97.411291,5,15.51
1584527819,35.218356,-97.411114,5,15.92
1584527820,35.218353,-97.410944,5,15.53
