time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
1562851808,35.20967023,-97.43903328,90.9,1.2703543,3,319,-2.751,-0.797,9.315,1
1562851809,35.20967023,-97.43903328,90.9,1.2703543,3,319,-3.879,-1.842,8.804,1
1562851810,35.20967218,-97.43901102,86.4,1.8696791,3,319,-2.815,-2.476,8.64,0
1562851811,35.20968065,-97.43898044,73.4,3.4242227,3,319,-2.563,-1.947,8.668,0
1562851812,35.20970479,-97.43894646,48,4.682734,3,318,-1.946,-2.898,8.407,0
1562851813,35.2097532,-97.43891418,26.8,6.062112,3,319,-3.26,-1.755,8.667,1
1562851814,35.20980782,-97.4388953,11.5,7.180564,3,319,-3.037,-1.887,9.025,1
1562851815,35.20987719,-97.43888462,3.7,8.380293,3,319,-3.136,-0.938,8.76,0
1562851816,35.20995927,-97.43888035,359.2,9.421359,4,319,-3.147,-1.021,8.76,0
1562851818,35.2100459,-97.43888137,359,10.280122,4,318,-2.588,-0.294,8.812,0
1562851819,35.21014653,-97.43888315,358.9,10.9705515,4,318,-2.048,-0.165,9.441,1
1562851820,35.21024056,-97.43888509,358.6,10.520803,4,318,-2.579,-0.418,8.29,0
1562851821,35.21033399,-97.43888502,359.3,10.400389,4,318,-2.176,-0.114,9.436,0
1562851822,35.21042995,-97.43888784,359.5,10.090243,4,318,-2.435,-0.431,8.833,1
1562851823,35.2105148,-97.43888965,359.3,9.710005,4,318,-2.448,-0.432,9.248,1
1562851824,35.21068432,-97.43889032,359.9,9.190544,9,318,-0.839,0.342,9.329,0
1562851825,35.21075681,-97.4388881,0.1,7.81064,9,318,-1.755,0.15,9.077,0
1562851826,35.21082564,-97.43888787,359.8,6.821239,9,318,-1.236,0.574,9.171,0
1562851827,35.21087347,-97.43888818,359.6,5.201384,9,318,-1.536,0.153,9.607,1
1562851828,35.21091571,-97.43889282,359.5,4.103523,9,318,-1.547,0.13,9.479,0
1562851829,35.21094501,-97.43889271,359.7,2.9120784,9,318,-1.738,-0.037,9.391,0
1562851830,35.21096416,-97.43889268,359.9,1.9026297,9,318,-2.685,-0.602,9.314,1
1562851831,35.21098319,-97.43889372,359.8,1.8327302,9,317,-2.47,-0.304,9.339,1
1562851832,35.21099692,-97.43889318,359.5,1.744133,9,317,-2.891,-0.279,9.178,1
1562851833,35.21101265,-97.43889231,359.4,1.9712433,9,317,-2.695,-0.435,9.107,0
1562851834,35.21103492,-97.43889383,359,2.7702887,9,318,-3.25,-2.727,8.502,1
1562851835,35.21106822,-97.43890342,346.2,4.952918,9,319,-2.003,-4.303,9.475,0
1562851836,35.21111032,-97.4389455,320,6.264224,9,318,-2.003,-3.688,8.719,1
1562851837,35.21113946,-97.43901533,292,7.620026,3,318,-2.835,-1.998,8.646,0
1562851838,35.2111532,-97.43910307,276.4,8.750023,3,319,-3.382,-1.76,8.775,1
1562851839,35.21115654,-97.43920944,270.3,10.24,3,319,-3.471,-1.231,8.949,1
1562851840,35.21115053,-97.43933207,268.7,11.630038,3,319,-3.708,-0.687,8.714,0
1562851841,35.21114912,-97.4394645,269.8,12.720319,3,319,-2.405,-0.002,9.158,1
1562851842,35.21115026,-97.43961164,270.4,12.820561,3,319,-2.505,0.165,9.147,0
1562851843,35.21114972,-97.43974631,270.6,12.440401,3,320,-2.848,-0.766,9.248,0
1562851844,35.21115026,-97.43988072,271,12.250066,3,319,-2.538,0.093,9.486,0
1562851845,35.21115296,-97.44001324,271.8,11.95,3,320,-2.101,-0.142,9.506,0
1562851846,35.21115499,-97.44014049,271.8,11.5,3,320,-2.167,-0.144,8.87,0
1562851847,35.21115964,-97.44026304,271.7,11.030018,3,320,-2.326,-0.096,9.591,0
1562851848,35.211165,-97.44037947,271.8,10.59,3,319,-2.117,-0.139,9.354,0
1562851849,35.21116897,-97.44049425,271.9,10.1100445,3,319,-1.661,0.233,9.394,0
1562851850,35.21117199,-97.44059731,271.9,8.950022,3,319,-1.53,-0.041,9.203,0
1562851851,35.21117491,-97.44068948,271,7.870025,3,319,-1.733,0.03,9.522,0
1562851852,35.21117232,-97.44076364,269.9,6.590008,3,319,-1.616,0.13,9.326,0
1562851853,35.21117422,-97.44083042,270,5.560144,3,319,-1.901,0.259,9.356,0
1562851855,35.2111742,-97.44088184,270.1,4.420283,3,319,-1.715,0.094,9.244,0
1562851856,35.21117495,-97.44092231,270,3.3902361,3,320,-1.61,0.106,9.774,0
1562851857,35.21117484,-97.44095199,269.9,2.280351,3,320,-2.095,-0.182,9.327,1
1562851858,35.21117503,-97.44097026,269.8,1.3401493,3,320,-1.97,0.053,9.292,1
1562851859,35.21117407,-97.44098167,269.7,0.7900633,3,320,-2.549,-0.406,9.355,1
1562851860,35.21117407,-97.44098167,269.7,0.7900633,3,320,-2.646,-0.39,9.148,1
1562851861,35.21117407,-97.44098167,269.7,0.7900633,3,320,-2.623,-0.389,9.258,1
1562851862,35.21117407,-97.44098167,269.7,0.7900633,3,320,-2.585,-0.425,9.21,1
1562851863,35.21117407,-97.44098167,269.7,0.7900633,3,320,-2.527,-0.435,9.259,1
1562851864,35.21117407,-97.44098167,269.7,0.7900633,3,320,-2.571,-0.452,9.348,1
1562851865,35.21117407,-97.44098167,269.7,0.7900633,3,320,-2.556,-0.44,9.187,1
1562851866,35.2111794,-97.44099172,0,0.04,5,319,-2.556,-0.471,9.301,1
1562851867,35.2111794,-97.44099172,0,0.04,5,319,-2.596,-0.433,9.247,1
1562851868,35.2111794,-97.44099172,0,0.04,5,319,-2.543,-0.454,9.293,1
1562851869,35.2111794,-97.44099172,0,0.04,5,319,-2.555,-0.455,9.322,1
1562851870,35.2111794,-97.44099172,0,0.04,5,319,-2.577,-0.433,9.256,1
1562851871,35.2111794,-97.44099172,0,0.04,5,319,-2.544,-0.457,9.271,1
1562851872,35.2111794,-97.44099172,0,0.04,5,319,-2.561,-0.446,9.243,1
1562851873,35.2111794,-97.44099172,0,0.04,5,319,-2.588,-0.437,9.301,1
1562851874,35.2111794,-97.44099172,0,0.04,5,319,-2.609,-0.425,9.297,1
1562851875,35.2111794,-97.44099172,0,0.04,5,319,-2.618,-0.418,9.209,1
1562851876,35.2111794,-97.44099172,0,0.04,5,319,-2.587,-0.43,9.232,1
1562851877,35.2111794,-97.44099172,0,0.04,5,319,-2.922,-0.671,9.002,1
1562851878,35.2111794,-97.44099172,0,0.04,5,319,-3.982,-1.346,8.795,1
1562851879,35.21118339,-97.44101187,269.2,1.8513238,3,321,-3.941,-1.321,8.867,1
1562851880,35.21118442,-97.44104415,268.6,3.4007206,3,321,-3.816,-1.276,8.873,1
1562851881,35.21118386,-97.44109004,268.4,4.8110394,3,321,-3.866,-0.971,8.897,0
1562851882,35.2111824,-97.44115473,268.5,6.130294,3,321,-3.444,-0.866,8.547,0
1562851883,35.21118258,-97.4412286,268.9,7.23056,3,321,-3.504,-0.799,8.846,0
1562851884,35.21118281,-97.4413149,269.5,8.110745,3,321,-3.395,-0.907,9.063,0
1562851885,35.21118219,-97.44141012,270,9.040796,3,322,-3.407,-0.945,8.432,0
1562851886,35.21118413,-97.44151571,270.3,9.950407,3,322,-2.971,-0.935,8.661,0
1562851887,35.21118394,-97.44163085,270.5,10.77091,3,322,-2.792,-0.95,8.777,0
1562851888,35.21118445,-97.44175187,269.7,11.490278,3,322,-2.929,-0.791,8.744,0
1562851889,35.21118328,-97.44188178,269.1,12.000338,3,322,-2.498,-0.45,8.724,0
1562851890,35.21117958,-97.44201391,268.5,12.110016,3,323,-2.964,-0.657,9.176,0
1562851891,35.21117778,-97.44215171,268.7,12.400257,3,322,-2.712,-0.496,8.662,0
1562851892,35.21117539,-97.44228407,269.5,12.490144,3,323,-3.024,-0.516,9.138,0
1562851893,35.21117527,-97.44242944,270,12.810036,3,323,-2.886,-0.38,9.183,0
1562851894,35.21117542,-97.44257092,269.9,12.820315,3,323,-2.826,-0.589,9.166,0
1562851895,35.21117558,-97.44270973,269.9,13.050188,3,323,-2.191,-0.757,9.756,0
1562851896,35.2111768,-97.44285473,269.9,13.010311,3,323,-1.569,0.159,9.716,0
1562851898,35.21117569,-97.4429851,270,11.880005,3,323,-1.205,0.518,9.251,0
1562851899,35.21117369,-97.44310848,269.9,10.120079,3,323,-1.413,-0.082,9.544,0
1562851900,35.21117191,-97.44320589,269.9,8.550023,9,323,-1.968,0.089,9.542,0
1562851901,35.21117147,-97.44329552,269.8,7.5200067,9,322,-1.437,0.291,9.525,0
1562851902,35.21117116,-97.44337221,269.7,6.1,9,322,-2.497,-0.36,9.227,1
1562851903,35.2111719,-97.44343083,269.7,5.2700095,9,322,-2.053,-0.102,9.521,1
1562851904,35.21117213,-97.44348554,269.7,4.8300104,9,322,-2.591,-0.327,9.187,1
1562851905,35.2111741,-97.44353341,269.8,4.3105683,9,322,-3.19,-0.597,8.969,1
1562851906,35.21117667,-97.44364374,271.3,6.270965,9,323,-4.678,-2.28,8.694,0
1562851907,35.21117678,-97.44372437,277.1,8.393724,9,323,-4.84,-2.146,8.258,0
1562851908,35.21117723,-97.44383278,276.6,10.772675,9,323,-4.522,-4.176,9.511,0
1562851909,35.21117863,-97.44396325,278.3,12.55249,9,323,-3.68,-2.156,8.196,1
1562851910,35.21118493,-97.44411187,277.5,13.900359,9,323,-3.164,-1.974,8.961,0
1562851911,35.21119031,-97.44426368,276.2,14.440124,9,323,-3.106,-1.898,8.719,1
1562851912,35.21118332,-97.44443256,273.7,15.1603985,9,322,-2.934,-1.646,8.998,1
1562851913,35.2111845,-97.44460358,272.7,15.66008,9,322,-2.416,-1.184,7.124,1
1562851914,35.21118378,-97.44478147,271.9,16.230602,9,321,-2.998,-1.44,8.691,0
1562851915,35.21118242,-97.44496407,271.2,16.73019,9,322,-2.928,-1.401,8.833,1
1562851916,35.21118337,-97.44514511,270.9,17.22029,9,321,-3.466,-1.506,8.322,0
1562851917,35.21118341,-97.44534297,270.6,17.560183,9,321,-2.354,-0.933,8.963,1
1562851918,35.21118571,-97.44553369,270.4,17.31014,9,321,-2.024,-1.104,9.177,0
1562851919,35.2111885,-97.44571587,270.2,16.970238,9,321,-2.067,-1.128,9.293,0
1562851920,35.21118868,-97.44590263,269.8,16.570679,9,321,-2.383,-0.891,9.007,0
1562851921,35.21119001,-97.44607936,269.4,16.260197,9,320,-2.462,-0.936,9.575,1
1562851922,35.21118969,-97.44626289,269,15.9202,9,321,-2.423,-0.744,8.724,0
1562851923,35.21118891,-97.44643486,269,15.58,9,321,-2.528,-0.828,9.219,0
1562851924,35.21118806,-97.44660071,268.7,15.25003,9,321,-2.428,-0.919,9.564,0
1562851925,35.21118697,-97.446772,268.6,14.890054,9,320,-2.464,-0.859,9.498,0
1562851926,35.21118636,-97.44692373,268.6,13.920004,9,320,-0.565,0.782,9.717,0
1562851927,35.21118521,-97.44705828,268.6,11.380005,9,320,-1.705,-0.596,9.52,0
1562851928,35.21118336,-97.44716981,268.4,10.020081,9,321,-2.081,-0.595,9.545,0
1562851929,35.21118291,-97.44727344,268.2,9.120006,9,320,-1.646,-0.562,9.671,0
1562851930,35.21118527,-97.4473681,268.1,8.090025,9,320,-1.892,-0.613,9.311,1
1562851931,35.21118396,-97.4474532,267.9,7.2500277,9,319,-2.019,-0.809,9.35,1
1562851932,35.21118154,-97.44752718,267.7,6.5500307,9,319,-1.563,-0.483,9.145,0
1562851933,35.21118192,-97.44759101,267.9,5.420037,9,319,-1.53,-0.328,9.78,1
1562851934,35.21118135,-97.44764412,267.7,4.4100113,9,319,-1.605,-0.124,9.658,1
1562851935,35.21117917,-97.44768265,267.4,3.2603834,9,319,-1.918,-0.465,9.225,1
1562851936,35.21117621,-97.44770803,267,1.9520758,9,320,-1.585,-0.109,9.471,1
1562851937,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.512,-1.103,9.014,1
1562851938,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.532,-1.102,9.145,1
1562851939,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.547,-1.144,9.258,1
1562851940,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.533,-1.119,8.993,1
1562851942,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.587,-1.102,9.126,1
1562851943,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.573,-1.134,9.144,1
1562851944,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.561,-1.121,9.095,1
1562851945,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.545,-1.132,9.057,1
1562851946,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.576,-1.136,9.179,1
1562851947,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.551,-1.129,9.072,1
1562851948,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.582,-1.116,9.141,1
1562851949,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.552,-1.135,9.075,1
1562851950,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.573,-1.121,9.162,1
1562851951,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.551,-1.132,9.2,1
1562851952,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.56,-1.132,9.138,1
1562851953,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.57,-1.129,9.093,1
1562851954,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.583,-1.127,9.141,1
1562851955,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.54,-1.13,9.052,1
1562851956,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.526,-1.122,9.021,1
1562851957,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.577,-1.116,9.033,1
1562851958,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.547,-1.13,9.056,1
1562851959,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.563,-1.128,9.071,1
1562851960,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.561,-1.14,9.068,1
1562851961,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.548,-1.13,9.09,1
1562851962,35.2111751,-97.44771998,266.7,0.7433034,9,320,-2.901,-1.491,8.818,1
1562851963,35.2111751,-97.44771998,266.7,0.7433034,9,320,-4.622,-3.208,8.116,0
1562851964,35.21117049,-97.44775844,264.5,3.7702122,9,319,-4.039,-2.832,7.942,0
1562851965,35.21116271,-97.44781968,264.5,6.2301283,9,319,-3.915,-2.368,8.462,0
1562851966,35.21115528,-97.44790047,264.1,8.090223,9,320,-3.419,-2.27,8.328,1
1562851967,35.21115091,-97.44800114,264.4,9.550257,9,320,-3.358,-2.187,8.077,1
1562851968,35.21114527,-97.44811262,264.6,10.881177,9,320,-2.734,-1.574,8.978,1
1562851969,35.21113721,-97.44824213,264.5,11.881519,9,321,-2.825,-1.565,8.745,1
1562851970,35.21115042,-97.44838406,267.3,12.583343,9,320,-3.088,-1.504,8.773,0
1562851971,35.21114708,-97.44852539,267.7,13.092582,9,321,-3.185,-1.504,9.188,0
1562851972,35.21114673,-97.44867625,268.4,13.84117,9,321,-3.257,-1.226,9.022,0
1562851973,35.21114549,-97.44883164,269.1,14.490777,9,320,-2.558,-1.809,8.388,0
1562851974,35.21114378,-97.44899621,269.5,15.040332,9,320,-2.931,-1.522,9.115,0
1562851975,35.21114669,-97.44916328,269.7,15.59063,9,320,-2.73,-1.101,9.048,1
1562851976,35.21115017,-97.44933769,270.1,15.830534,9,321,-2.527,-1.249,9.635,0
1562851977,35.21115302,-97.44950599,270.1,15.9012575,9,320,-2.381,-1.43,8.985,0
1562851978,35.21115256,-97.44968887,269.9,16.190079,9,320,-2.693,-1.343,8.989,0
1562851979,35.21115241,-97.44986853,269.8,16.450077,9,320,-2.064,-0.887,8.57,0
1562851980,35.21115229,-97.45004224,269.8,16.25005,9,320,-2.452,-0.852,9.537,1
1562851981,35.21115318,-97.45022624,269.8,15.890004,9,320,-2.414,-1.164,8.871,0
1562851982,35.21115166,-97.45039565,269.7,15.810156,9,320,-2.499,-1.41,9.43,0
1562851983,35.21115387,-97.45057039,270,15.87005,9,320,-2.359,-1.047,9.001,0
1562851984,35.21115568,-97.45074094,270.1,15.820113,9,320,-2.499,-0.697,8.124,0
1562851986,35.21115735,-97.45091342,270.2,15.560723,9,320,-2.422,-1.486,8.626,0
1562851987,35.21115723,-97.45108761,269.9,15.590116,9,320,-2.683,-1.168,8.645,1
1562851988,35.21115809,-97.45125605,269.9,15.710052,9,320,-2.373,-1.463,8.618,0
1562851989,35.21115799,-97.45143049,269.9,15.890013,9,320,-2.235,-0.904,8.851,1
1562851990,35.21115792,-97.4516066,269.7,15.850013,9,319,-2.396,-1.254,8.676,1
1562851991,35.2111573,-97.45178066,270.1,15.770204,9,320,-2.418,-1.252,8.766,1
1562851992,35.21115753,-97.45195143,270.2,16.01125,9,319,-2.139,-1.095,9.349,1
1562851993,35.21116173,-97.45212565,270.4,15.821023,9,319,-2.331,-1.408,9.214,1
1562851994,35.21116537,-97.4524742,270.3,16.013,9,318,-2.153,-1.538,8.358,0
1562851995,35.21116682,-97.45265264,270.4,16.274439,9,318,-2.281,-1.201,9.655,0
