time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
1563890565,35.21051211,-97.43881972,0,0,12,311,-0.309,7.676,8.48,0
1563890566,35.21049292,-97.438776,0,0.11,12,323,-3.372,7.959,5.834,0
1563890567,35.21053375,-97.43880733,0,0,10,314,-0.853,7.51,7.592,0
1563890568,35.2105276,-97.43881734,0,0,9,313,0.01,8.738,5.949,0
1563890569,35.2105276,-97.43881734,0,0,9,313,1.832,9.579,0.083,0
1563890571,35.2105276,-97.43881734,0,0,9,313,-0.339,10.488,-2.659,0
1563890572,35.2105276,-97.43881734,0,0,9,313,-1.05,10.732,-1.481,0
1563890573,35.2105276,-97.43881734,0,0,9,313,-0.992,10.773,-1.544,0
1563890574,35.2105276,-97.43881734,0,0,9,313,-1.002,10.752,-1.588,0
1563890575,35.21051446,-97.43881375,0,0,9,311,-0.998,10.758,-1.565,0
1563890576,35.21051446,-97.43881375,0,0,9,311,-1.014,10.778,-1.608,0
1563890577,35.21051446,-97.43881375,0,0,9,311,-0.999,10.749,-1.57,0
1563890578,35.21051446,-97.43881375,0,0,9,311,-0.996,10.77,-1.591,0
1563890579,35.21051446,-97.43881375,0,0,9,311,-0.758,10.791,-1.611,0
1563890580,35.21051446,-97.43881375,0,0,9,311,0.552,10.859,-1.401,0
1563890581,35.21052733,-97.43883665,355.1,1.4803041,9,308,0.494,10.909,-1.509,0
1563890582,35.21056439,-97.43884039,357.5,2.8808506,9,309,0.326,10.876,-1.546,0
1563890583,35.21061138,-97.43884174,359,4.1907635,9,309,-0.082,10.933,-1.6,0
1563890584,35.21065492,-97.43883821,357.7,5.230038,9,308,-0.986,10.698,-1.465,0
1563890585,35.21070153,-97.43884063,357.8,5.320038,9,307,-1.224,10.75,-1.519,0
1563890586,35.2107479,-97.43884193,358,5.130039,9,307,-1.201,10.742,-1.486,0
1563890587,35.21078636,-97.43883892,358.6,4.8905005,9,307,-1.284,10.847,-1.327,0
1563890588,35.21082645,-97.43883922,359.3,4.590011,9,307,-1.213,10.949,-1.468,0
1563890589,35.2108642,-97.43884028,0.4,4.3200116,9,307,-1.682,10.791,-1.426,0
1563890590,35.21090104,-97.43884339,0.7,3.8600128,9,307,-1.645,10.706,-1.382,0
1563890591,35.21094954,-97.43884307,1.5,2.6100764,9,310,-0.489,10.896,-1.376,0
1563890592,35.21098133,-97.43883989,0.8,3.21,9,310,-1.099,10.721,-1.325,0
1563890593,35.21100756,-97.43884755,359.4,2.9500678,9,310,-1.211,10.895,-1.224,0
1563890594,35.21102845,-97.43885237,359.4,2.38,9,310,-1.939,10.818,-0.994,0
1563890595,35.21104641,-97.43885498,0.7,1.9730687,9,310,1.068,10.841,-0.412,0
1563890596,35.21107941,-97.43885344,1.7,4.0320964,9,310,-0.43,10.732,-3.656,0
1563890598,35.21111891,-97.43886657,339.3,4.491603,9,310,-0.039,10.467,-4.438,0
1563890599,35.21115589,-97.43888348,345.3,4.1707673,9,311,1.344,10.527,-4.437,0
1563890600,35.2111867,-97.4389094,329,4.210107,10,310,1.273,10.762,-2.296,0
1563890601,35.21117275,-97.43901942,286.8,5.110352,10,311,0.657,10.82,-1.126,0
1563890602,35.21117693,-97.43913164,277.6,6.880029,11,311,-0.156,10.881,-0.997,0
1563890603,35.21117716,-97.43926805,273.9,8.65,12,311,-0.281,10.915,-0.637,0
1563890604,35.21117621,-97.43948583,270.9,12.730015,11,310,-0.711,11.177,-1.213,0
1563890605,35.21118357,-97.43964776,271,13.240015,11,310,-1.187,10.611,-2.108,0
1563890606,35.21118549,-97.4398077,271.4,13.020016,11,310,-1.438,10.86,-1.144,0
1563890607,35.21119553,-97.43993942,272.1,12.590064,10,309,-1.547,10.833,-1.441,0
1563890608,35.21118301,-97.44008653,272.6,11.980149,10,310,-1.409,10.786,-1.028,0
1563890609,35.21119001,-97.44021433,272.5,11.570017,10,310,-1.678,10.715,-1.449,0
1563890610,35.21119319,-97.44034731,272.2,11,10,307,-2.076,10.664,-1.611,0
1563890611,35.21119421,-97.4404623,271.2,10.0005,10,313,-1.96,10.548,-1.324,0
1563890612,35.21120252,-97.44058341,274.1,9.823181,10,311,-1.622,10.639,-1.229,0
1563890613,35.211207,-97.4406792,274.9,9.137494,10,310,-1.907,10.613,-0.747,0
1563890614,35.21120239,-97.44075256,271.6,6.8400073,10,309,-2.102,10.672,-1.498,0
1563890615,35.21120323,-97.44082088,271.8,5.650717,10,308,-1.774,10.843,-1.174,0
1563890616,35.21120589,-97.44086511,270.3,4.67,10,308,-1.913,10.728,-1.109,0
1563890617,35.21120236,-97.44091095,270.2,3.977248,10,307,-1.798,10.798,-1.39,0
1563890618,35.2112035,-97.44094496,269.9,2.8000178,10,306,-1.676,10.839,-1.388,0
1563890619,35.21120226,-97.44096623,270.1,1.8322119,10,305,-1.537,10.817,-1.045,0
1563890620,35.2112018,-97.44098158,270.1,1.3793114,9,305,-1.648,10.796,-1.209,0
1563890621,35.2112018,-97.44098158,270.1,1.3793114,9,305,-1.012,10.82,-1.118,0
1563890622,35.2112018,-97.44098158,270.1,1.3793114,9,305,-0.915,10.834,-1.254,0
1563890623,35.2112018,-97.44098158,270.1,1.3793114,9,305,-0.888,10.816,-1.188,0
1563890624,35.2112018,-97.44098158,270.1,1.3793114,9,305,-0.884,10.816,-1.154,0
1563890625,35.2112018,-97.44098158,270.1,1.3793114,9,305,-0.879,10.836,-1.222,0
1563890626,35.21120633,-97.44099109,0,0,10,304,-0.871,10.848,-1.235,0
1563890627,35.21120633,-97.44099109,0,0,10,304,-0.872,10.829,-1.212,0
1563890628,35.21120633,-97.44099109,0,0,10,304,-0.884,10.84,-1.243,0
1563890629,35.21120633,-97.44099109,0,0,10,304,-0.887,10.848,-1.227,0
1563890630,35.21120633,-97.44099109,0,0,10,304,-0.884,10.838,-1.191,0
1563890631,35.21120633,-97.44099109,0,0,10,304,-0.886,10.811,-1.199,0
1563890633,35.21120633,-97.44099109,0,0,10,304,-0.884,10.843,-1.237,0
1563890634,35.21120633,-97.44099109,0,0,10,304,-0.885,10.835,-1.205,0
1563890635,35.21120633,-97.44099109,0,0,10,304,-0.892,10.812,-1.276,0
1563890636,35.21120633,-97.44099109,0,0,10,304,-0.872,10.826,-1.199,0
1563890637,35.21120633,-97.44099109,0,0,10,304,-0.869,10.845,-1.163,0
1563890638,35.21120633,-97.44099109,0,0,10,304,-0.88,10.832,-1.246,0
1563890639,35.21120633,-97.44099109,0,0,10,304,-0.884,10.846,-1.218,0
1563890640,35.21120633,-97.44099109,0,0,10,304,-0.884,10.826,-1.249,0
1563890641,35.21120633,-97.44099109,0,0,10,304,-0.881,10.844,-1.264,0
1563890642,35.21120633,-97.44099109,0,0,10,304,-0.886,10.816,-1.267,0
1563890643,35.21120633,-97.44099109,0,0,10,304,-0.869,10.831,-1.185,0
1563890644,35.21120633,-97.44099109,0,0,10,304,-0.863,10.826,-1.176,0
1563890645,35.21120633,-97.44099109,0,0,10,304,-0.884,10.829,-1.243,0
