time,lat,lng,alt,spd,eps,epx,epv,ept,climb,track
1569095005,35.20943208,-97.44050644,342.31,1.972,1.53,15.385,72.45,0.005,0.381,14.4389
1569095006,35.2094479,-97.44050269,343.914,1.849,1.31,15.385,72.45,0.005,0.56,16.704
1569095007,35.20947167,-97.44048552,nan,2.128,1.59,15.385,nan,0.005,nan,0.8539
1569095008,35.20949703,-97.44048702,nan,2.778,2.86,15.385,nan,0.005,nan,332.4045
1569095009,35.2095235,-97.44050172,nan,3.588,3.86,15.385,nan,0.005,nan,317.7571
1569095010,35.20954864,-97.44052863,nan,4.515,4.63,15.385,nan,0.005,nan,306.3336
1569095011,35.2095767,-97.44057731,nan,6.203,5.21,15.385,nan,0.005,nan,298.9238
1569095012,35.20961008,-97.44064844,nan,8.183,5.66,15.385,nan,0.005,nan,298.0725
1569095013,35.20964553,-97.44072392,nan,8.303,6.09,15.385,nan,0.005,nan,297.9782
1569095014,35.20967838,-97.4407931,nan,7.793,6.45,15.385,nan,0.005,nan,300.3257
1569095015,35.2095677,-97.4403627,313.597,2.664,2.03,15.385,22.77,0.005,-0.48,86.4012
1569095016,35.20956927,-97.44026308,318.589,2.402,0.95,15.385,72.45,0.005,0.256,65.8711
1569095017,35.20957586,-97.44023481,321.212,2.362,1.15,15.385,72.45,0.005,0.744,62.4924
1569095018,35.20958176,-97.44022096,322.904,1.456,1.64,15.385,72.45,0.005,1.041,39.3854
1569095019,35.20958357,-97.44021181,323.295,0.722,1.36,15.385,72.45,0.005,0.768,67.3651
1569095020,35.20959817,-97.44019642,323.203,1.411,1.53,15.385,72.45,0.005,0.39,22.4377
1569095021,35.20961289,-97.44019502,324.322,1.568,1.27,15.385,72.45,0.005,0.409,5.7897
1569095022,35.20962281,-97.44018885,324.602,1.218,1.04,15.385,72.45,0.005,0.321,2.0453
1569095023,35.20963222,-97.4401825,326.122,1.394,1.45,15.385,72.45,0.005,0.342,14.4655
1569095024,35.20964932,-97.44017695,327.665,2.161,1.56,15.385,72.45,0.005,0.465,20.719
1569095025,35.20965939,-97.44017295,329.222,1.691,1.32,15.385,72.45,0.005,0.537,35.0836
1569095026,35.20966852,-97.44014629,330.474,2.794,1.19,15.385,72.45,0.005,0.591,63.4924
1569095027,35.20967484,-97.44011432,332.256,2.936,1.5,15.385,72.45,0.005,0.685,73.4066
1569095028,35.20968052,-97.44006493,332.698,4.12,1.62,15.385,72.22,0.005,0.568,80.5542
1569095029,35.20967603,-97.44001074,333.04,4.489,1.9,15.385,72.22,0.005,0.483,92.6339
1569095030,35.20967391,-97.43994809,333.789,5.27,1.68,15.385,72.22,0.005,0.477,89.2663
1569095031,35.20967053,-97.43987675,333.819,6.018,1.2,15.385,72.22,0.005,0.401,90.5971
1569095032,35.20966276,-97.439806,333.86,6.432,1.52,15.385,72.22,0.005,0.269,97.6011
1569095033,35.20965693,-97.43975598,333.65,4.557,1.56,15.385,72.22,0.005,0.107,98.3682
1569095034,35.20965064,-97.43968692,334.153,6.166,1.45,15.385,72.22,0.005,0.128,95.3963
1569095035,35.20964707,-97.43960859,333.708,6.848,1.32,15.385,72.22,0.005,0.057,92.8992
1569095036,35.20964164,-97.43952829,335.274,7.454,1.34,15.385,72.22,0.005,0.174,94.8077
1569095037,35.20965104,-97.4394552,336.292,6.968,1.25,15.385,72.22,0.005,0.139,87.7853
1569095038,35.20965376,-97.43938971,338.329,6.084,1.3,15.385,72.22,0.005,0.312,89.9962
1569095039,35.2096504,-97.43932846,338.545,5.352,1.4,15.385,72.22,0.005,0.328,96.6839
1569095040,35.2096514,-97.4392735,339.687,5.082,2.32,15.385,72.22,0.005,0.425,91.7295
1569095042,35.20965103,-97.4392106,338.706,2.493,1.96,15.385,72.22,0.005,0.105,80.9734
1569095043,35.20965881,-97.43918362,nan,1.508,2.44,15.385,nan,0.005,nan,69.3014
1569095044,35.20966361,-97.43915729,nan,1.543,2.55,15.385,nan,0.005,nan,59.7191
1569095045,35.20967076,-97.43913808,nan,1.821,1.38,15.385,nan,0.005,nan,26.9317
1569095046,35.20967856,-97.43913693,nan,1.808,3.18,15.385,nan,0.005,nan,345.0744
1569095047,35.20969124,-97.43913887,nan,1.99,4.07,15.385,nan,0.005,nan,335.884
1569095048,35.20970033,-97.43914232,nan,1.571,5.14,15.385,nan,0.005,nan,322.7226
1569095049,35.20964107,-97.43900439,296.513,1.243,3.08,15.385,23,0.005,-1.888,76.4202
1569095050,35.20964717,-97.4389857,298.484,0.692,2.89,15.385,72.22,0.005,-1.825,35.1476
1569095051,35.20965053,-97.43898016,299.222,0.264,2.47,15.385,72.22,0.005,-1.227,39.0297
1569095052,35.20964705,-97.43896438,300.411,1.051,2.04,15.385,72.22,0.005,-0.809,84.2389
1569095053,35.20965249,-97.43894952,301.325,1.331,1.69,15.385,72.22,0.005,-0.67,66.3581
1569095054,35.20968315,-97.43890766,309.114,2.749,1.51,15.385,72.22,0.005,-0.35,55.5134
1569095055,35.20972314,-97.43887221,312.816,3.597,1.11,15.385,72.22,0.005,-0.561,36.1476
1569095056,35.20975785,-97.43884924,312.077,4.366,1.64,15.385,71.99,0.005,-0.7,27.1588
1569095057,35.20979546,-97.43883625,313.153,3.955,1.88,15.385,71.99,0.005,-0.587,15.8919
1569095058,35.2098406,-97.43883132,314.468,4.879,1.82,15.385,71.99,0.005,-0.337,7.28
1569095059,35.20990622,-97.43881473,nan,6.228,1.41,15.385,nan,0.005,nan,3.345
1569095060,35.20997821,-97.43879081,nan,7.039,1.27,15.385,nan,0.005,nan,1.4734
1569095061,35.2100547,-97.43877303,nan,7.711,1.26,15.385,nan,0.005,nan,359.3646
1569095062,35.21013714,-97.43875882,nan,8.381,1.25,15.385,nan,0.005,nan,0.8682
1569095063,35.21022342,-97.43874451,nan,8.886,1.25,15.385,nan,0.005,nan,1.3775
1569095064,35.21031011,-97.43873408,nan,8.967,1.32,15.385,nan,0.005,nan,358.8965
1569095065,35.21039745,-97.438726,nan,9.142,1.31,15.385,nan,0.005,nan,0.3983
1569095066,35.21048644,-97.43871501,297.652,8.934,1.63,15.385,23,0.005,-0.051,0.4381
1569095067,35.21057925,-97.43870847,298.307,8.777,1.47,15.385,71.99,0.005,0.085,359.9593
1569095068,35.21065192,-97.43871294,299.803,8.159,2.24,15.385,71.99,0.005,0.528,359.2695
1569095069,35.21072314,-97.43872929,303.902,8.282,1.92,15.385,71.99,0.005,1.516,356.7411
1569095070,35.21081209,-97.43870972,nan,7.851,1.92,15.385,nan,0.005,nan,358.0764
1569095071,35.21087888,-97.4386996,nan,6.506,1.95,15.385,nan,0.005,nan,357.5691
1569095072,35.21093994,-97.43869501,nan,5.616,1.91,15.385,nan,0.005,nan,356.2191
1569095073,35.2109924,-97.43868955,nan,4.851,1.88,15.385,nan,0.005,nan,0.1943
1569095074,35.21103163,-97.43868594,nan,3.882,1.87,15.385,nan,0.005,nan,358.4048
1569095075,35.21105571,-97.43868213,nan,2.546,1.38,15.385,nan,0.005,nan,359.6464
1569095076,35.21107409,-97.43867908,nan,1.791,1.31,15.385,nan,0.005,nan,1.8028
1569095077,35.21108511,-97.43867822,nan,1.011,1.44,15.385,nan,0.005,nan,353.4087
1569095078,35.21109097,-97.43868032,nan,0.696,1.39,15.385,nan,0.005,nan,339.7128
1569095079,35.21108504,-97.43870237,283.461,2.396,2.34,15.385,22.77,0.005,-5.256,35.1471
1569095080,35.21109447,-97.43869381,280.73,2.218,2.08,15.385,71.99,0.005,-4.19,34.3297
1569095081,35.21110085,-97.438683,278.356,1.49,2.04,15.385,71.99,0.005,-3.787,41.3545
1569095082,35.2110986,-97.43868537,277.289,0.815,1.9,15.385,71.99,0.005,-3.18,55.9065
1569095083,35.21109215,-97.43868054,275.232,0.545,1.79,15.385,71.99,0.005,-3.172,59.0324
1569095084,35.21109388,-97.43867247,272.238,0.743,1.76,15.385,71.76,0.005,-3.395,51.4945
1569095085,35.21109409,-97.43866548,271.129,1.119,1.75,15.385,71.76,0.005,-3.139,56.1013
