time,latitude,longitude,bearing,speed,accuracy,altitude,acc_x,acc_y,acc_z,is_Stable
1569095005,35.20944471,-97.44052119,20.4,2.2437692,4,320,-0.498,-1.217,9.298,1
1569095006,35.20946558,-97.44051438,6.8,2.25,4,320,-0.928,-1.213,9.318,1
1569095007,35.20948492,-97.44050837,10.8,2.0229928,4,320,-1.575,-1.029,9.287,1
1569095008,35.2095011,-97.44049862,20.2,1.9250973,4,320,-1.745,-1.08,9.182,1
1569095009,35.20951511,-97.44048437,63.9,2.06,3,320,-1.345,-1.137,9.294,1
1569095010,35.20952444,-97.44046112,83.6,2.3801892,3,319,-1.059,-1.291,9.25,1
1569095011,35.20952882,-97.44043307,78.7,2.3000216,3,319,-0.805,-1.274,9.386,1
1569095012,35.20952837,-97.44040568,88.2,2.38,4,320,-0.55,-1.047,9.429,1
1569095013,35.20952489,-97.44037457,93.7,2.6501698,3,319,-0.591,-1.001,9.373,1
1569095014,35.2095213,-97.44034519,93.4,2.5500195,3,318,-0.198,-1.058,9.276,1
1569095015,35.20951856,-97.44031637,93,2.54,3,318,0.614,-1.138,9.327,1
1569095016,35.20951666,-97.44028468,90.9,2.770018,3,318,0.871,-0.904,9.381,1
1569095017,35.20952184,-97.44025777,51.2,2.3257256,3,319,0.515,-1.304,9.264,1
1569095019,35.20955488,-97.44022513,10.6,2.40304,3,319,0.337,-1.33,9.222,1
1569095020,35.20957979,-97.44021842,8.3,2.4651978,3,320,-0.151,-1.201,9.329,1
1569095021,35.20960268,-97.44021681,8.1,2.0829067,3,319,-0.283,-0.635,9.385,1
1569095022,35.2096205,-97.4402177,6.5,1.5339491,3,319,-0.303,-0.992,9.353,1
1569095023,35.20963521,-97.44021767,6.6,1.4748899,3,318,-0.626,-1.48,9.19,1
1569095024,35.20965025,-97.44021554,14.9,1.6498485,3,318,-0.856,-1.28,9.224,1
1569095025,35.20966577,-97.44020578,31.8,2.0100996,3,319,-1.295,-1.888,9.202,1
1569095026,35.20967857,-97.44018588,50.7,2.520972,3,318,-1.532,-2.093,8.908,1
1569095027,35.20968655,-97.44015359,68.5,3.1204004,3,318,-0.698,-2.274,8.972,1
1569095028,35.20969129,-97.44011788,76.7,3.15192,4,320,-0.132,-2.203,9.081,1
1569095029,35.20969294,-97.44007558,82.5,3.7716045,4,321,0.013,-1.993,9.045,1
1569095030,35.20969375,-97.44002208,83.9,4.43,5,320,0.222,-1.475,9.207,1
1569095031,35.20968351,-97.43992179,84.2,5.200471,5,320,0.176,-1.57,9.133,1
1569095032,35.20968346,-97.4398514,86.6,5.430083,7,320,0.221,-1.681,9.07,1
1569095033,35.20967348,-97.43977723,89.5,5.790035,8,319,0.063,-1.607,9.34,1
1569095034,35.20967302,-97.4396986,89.7,6.150008,8,320,0.139,-1.397,9.396,1
1569095035,35.20968394,-97.43965513,87.1,5.6100802,10,320,0.014,-1.393,9.423,1
1569095036,35.20967234,-97.43956791,91.2,6.59,7,321,0.019,-1.214,9.314,1
1569095037,35.20966268,-97.43945553,91.7,6.890181,7,323,0.355,-0.98,9.343,1
1569095038,35.209657,-97.43938787,92.9,6.6600676,7,324,0.361,-0.987,9.503,1
1569095039,35.20965603,-97.43932512,90.1,4.81026,6,325,0.341,-0.459,9.568,1
1569095040,35.20964892,-97.43925982,90,4.8400106,6,326,0.265,-0.134,9.602,1
1569095041,35.20964308,-97.43922431,92.2,4.170108,6,327,0.191,-0.862,9.425,1
1569095042,35.20964068,-97.43918926,90.8,3.8010654,6,327,0.255,-0.972,9.342,1
1569095043,35.20964107,-97.43916035,90.4,3.13,6,329,0.236,-0.952,9.288,1
1569095044,35.20963559,-97.43915077,92,2.6119149,6,330,0.306,-1.363,9.247,1
1569095045,35.20963038,-97.43911257,93.9,2.76,6,330,0.31,-1.435,9.181,1
1569095046,35.20963038,-97.43911257,93.9,2.76,6,330,0.345,-1.186,9.201,1
1569095047,35.20964423,-97.43908992,84.1,2.070024,7,330,0.257,-1.024,9.372,1
1569095048,35.20963461,-97.43903803,92.9,2.6901672,8,330,0.222,-0.594,9.496,1
1569095049,35.20962639,-97.43898664,97.9,3.53,11,330,0.117,-0.355,9.532,1
1569095050,35.20961755,-97.43894085,101.4,3.5900557,11,330,0.07,-1.483,9.223,1
1569095051,35.2096219,-97.43892696,95.4,1.7906982,11,331,0.023,-2.317,8.978,1
1569095052,35.2096219,-97.43892696,95.4,1.7906982,11,331,0.265,-2.137,8.979,1
1569095053,35.2096219,-97.43892696,95.4,1.7906982,11,331,0.94,-2.081,8.94,1
1569095054,35.2096219,-97.43892696,95.4,1.7906982,11,331,1.041,-1.987,9.013,1
1569095055,35.20964295,-97.43889919,63.9,3.365947,7,330,1.438,-2.162,8.886,1
1569095056,35.20967683,-97.43887161,47,4.180048,7,323,1.264,-2.062,9.023,1
1569095058,35.20982572,-97.43886997,5.3,5.221618,6,321,0.524,-2.087,8.998,1
1569095059,35.20988371,-97.43886578,1,5.400593,6,320,0.039,-2.17,9.087,1
1569095060,35.2099387,-97.43885812,0.4,5.780865,8,320,-0.112,-2.176,8.875,1
1569095061,35.21000318,-97.43885158,0.7,6.393786,10,320,-0.359,-2.163,9.102,1
1569095062,35.21007481,-97.43884715,1,6.9112225,11,320,-0.493,-1.89,9.189,1
1569095063,35.21014225,-97.43884427,1,7.4003315,9,321,-0.154,-1.943,8.749,1
1569095064,35.21022031,-97.4388397,0.9,7.920764,9,321,-0.122,-1.612,9.329,1
1569095065,35.21032857,-97.43883814,0.4,8.750366,9,320,0.083,-1.464,9.297,1
1569095066,35.21039494,-97.43883592,0.1,8.490094,7,320,0.057,-1.329,9.459,1
1569095067,35.21049615,-97.43883207,0.1,8.990451,7,320,-0.16,-1.308,9.369,1
1569095068,35.21053885,-97.43882775,359.8,8.361172,7,320,-0.041,-1.254,9.222,1
1569095069,35.21059708,-97.43882538,359.6,7.780058,6,320,0.1,-1.041,9.133,1
1569095070,35.21065007,-97.43882626,359.9,7.240835,7,322,0.021,-0.442,9.261,1
1569095071,35.21075587,-97.43882329,0.2,7.9709034,8,319,-0.116,-0.649,9.406,1
1569095072,35.21081949,-97.43882092,0,7.5003266,8,319,-0.27,-0.747,9.408,1
1569095073,35.21084617,-97.43881946,0.1,5.4509172,6,319,-0.241,-0.44,9.385,1
1569095074,35.21089047,-97.4388197,0.7,5.3004622,6,318,-0.011,0.021,9.64,1
1569095075,35.21091632,-97.43881295,1,3.6150932,6,318,0.004,-0.431,9.512,1
