time,latitude,longitude,bearing,speed,accuracy,altitude,acc_x,acc_y,acc_z,is_Stable
1568580483,35.27178167,-97.48552434,0,31.460001,3,322,-1.061,-1.23,9.3,1
1568580484,35.27206778,-97.48552648,359.7,31.42,3,323,-1.125,-1.158,9.21,1
1568580485,35.27234698,-97.48552505,359.8,31.410015,3,323,-1.103,-1.226,9.225,1
1568580486,35.27263082,-97.4855233,0.1,31.42,3,324,-1.108,-1.306,9.172,1
1568580487,35.27291973,-97.4855236,0.2,31.520311,3,323,-0.936,-1.386,9.465,1
1568580488,35.27320726,-97.48552552,0.1,31.570057,3,323,-0.981,-1.319,9.232,1
1568580489,35.27349935,-97.4855279,359.8,31.670013,3,322,-1.087,-1.448,9.099,1
1568580490,35.2737776,-97.48553193,359.7,31.760077,3,322,-1.088,-1.469,9.185,1
1568580491,35.27407004,-97.4855314,359.9,32.06,3,322,-1.087,-1.414,9.154,1
1568580493,35.27466212,-97.48552995,0.1,32.55001,3,322,-1.086,-1.432,9.328,1
1568580494,35.27496308,-97.48552826,0,32.79,3,323,-1.066,-1.299,9.388,1
1568580495,35.27525787,-97.48553058,0,32.900223,3,323,-1.02,-1.294,9.335,1
1568580496,35.27554907,-97.48553166,359.9,32.980255,3,323,-0.934,-1.387,9.549,1
1568580497,35.27584974,-97.48553082,359.8,33.130024,3,323,-0.951,-1.34,9.344,1
1568580498,35.27615122,-97.48553504,359.7,33.10012,3,323,-0.993,-1.371,9.423,1
1568580499,35.27645348,-97.48553491,0,33.17012,3,323,-1.407,-1.458,9.527,1
1568580500,35.27673703,-97.48552786,1.1,33.000183,3,323,-1.571,-1.353,9.152,1
1568580501,35.27704403,-97.48551786,1.5,33.35005,4,323,-1.493,-1.422,9.301,1
1568580502,35.27735313,-97.48548356,3.2,33.730213,5,325,-2.318,-1.433,9.455,1
1568580503,35.27765792,-97.48543134,6.1,33.650932,4,326,-3.116,-1.378,9.237,1
1568580504,35.27794915,-97.48533633,10.6,33.540596,5,326,-3.123,-1.236,9.243,1
1568580505,35.27822554,-97.48520034,17.8,33.021187,4,324,-1.334,-1.099,9.159,1
1568580506,35.27851495,-97.48508228,18.6,32.890297,3,324,-0.571,-0.888,8.346,1
1568580507,35.27879798,-97.48496612,18.6,32.59022,3,325,-0.548,-1.1,9.165,1
1568580508,35.27907744,-97.48485833,18.5,32.200157,3,325,-0.564,-1.269,9.215,1
1568580509,35.27934595,-97.4847351,18.2,32.08016,3,325,-0.832,-1.318,9.426,1
1568580510,35.2796116,-97.48462317,18,31.98004,3,325,-1.074,-1.495,9.205,1
1568580511,35.27988193,-97.48452923,17.3,31.610357,3,324,0.019,-1.718,9.371,1
1568580512,35.28015552,-97.48443181,16.5,31.760057,3,324,0.099,-1.749,9.511,1
1568580513,35.28043877,-97.48433866,14.9,32.140156,3,325,0.549,-1.745,9.299,1
