time,latitude,longitude,bearing,speed,accuracy,altitude,acc_x,acc_y,acc_z,is_Stable
1568580483,35.27181935,-97.48549689,0,31.51,12.136,321,8.531,-0.044,4.004,1
1568580484,35.27211937,-97.48542445,359.8,31.58,4.5509996,316,8.664,0.088,3.778,1
1568580485,35.27240652,-97.48544869,359.8,31.5,4.5509996,319,8.654,0.134,4.038,1
1568580486,35.27269341,-97.48545705,359.7,31.31,4.5509996,321,8.681,0.041,4.208,1
1568580487,35.27297504,-97.48545615,0.1,31.42,4.5509996,320,8.525,-0.198,4.084,1
1568580488,35.27324765,-97.48546308,0.1,31.48,4.5509996,321,8.381,-0.24,3.926,1
1568580489,35.27353621,-97.48545818,359.8,31.64,4.5509996,321,8.516,-0.1,4.08,1
1568580490,35.27382535,-97.48545799,359.7,31.79,4.5509996,320,8.498,0.179,4.321,1
1568580491,35.2741175,-97.48546473,359.7,32.09,4.5509996,320,8.559,-0.128,4.278,1
1568580492,35.27440298,-97.48546512,0.1,32.24,4.5509996,320,8.502,-0.124,4.214,1
1568580493,35.27468623,-97.48547625,0,32.5,4.5509996,320,8.555,-0.046,3.962,0
1568580494,35.27497768,-97.48548984,359.8,32.62,4.5509996,320,8.678,-0.028,4.104,1
1568580495,35.27527295,-97.48547923,0.2,32.83,4.5509996,320,8.563,-0.17,4.156,1
1568580496,35.27556615,-97.48548388,359.9,32.88,4.5509996,320,8.739,-0.069,4.328,1
1568580497,35.27586955,-97.48548381,359.7,33.01,4.5509996,320,8.798,0.086,4.223,1
1568580498,35.27616189,-97.48549401,359.8,33.08,4.5509996,320,8.873,0.333,4.33,0
1568580499,35.2764617,-97.4854939,0.4,33.22,4.5509996,322,8.444,0.459,4.012,1
1568580500,35.27675833,-97.48550201,0.9,33.32,4.5509996,324,8.65,0.27,4.026,0
1568580501,35.27705894,-97.48548754,2.6,33.4,6.068,325,8.611,0.832,3.793,1
1568580502,35.27735961,-97.48547069,2.6,33.39,9.101999,325,8.138,2.177,4.136,0
1568580503,35.27764077,-97.48539939,8.4,32.4,6.068,325,8.051,2.118,4.698,1
1568580504,35.27792598,-97.48534096,9.2,32.58,9.101999,327,8.086,0.071,4.771,1
1568580505,35.27820381,-97.48527643,9.9,32.34,12.136,327,8.264,-0.718,4.802,1
1568580506,35.27847802,-97.48518827,11.6,32.02,15.17,327,8.193,-0.675,4.937,0
1568580507,35.2787301,-97.48511562,12.2,31.28,16.687,324,8.129,-0.563,4.719,1
1568580508,35.27903052,-97.48497207,16.6,32.34,13.653,323,8.102,-0.573,5.161,1
1568580509,35.27930243,-97.48485098,17.5,31.94,13.653,322,8,-0.009,5.009,1
1568580510,35.27956064,-97.48473633,18.1,31.68,12.136,324,7.921,-0.676,5.209,1
