time,lat,lng,alt,spd,eps,epx,epv,ept,climb,track
1568584435,35.60532225,-97.53013485,342.947,0.573,0.87,10.378,44.16,0.005,-0.035,63.1756
1568584436,35.60532284,-97.53012972,342.906,0.419,0.71,10.378,102.35,0.005,-0.051,79.8619
1568584437,35.60532137,-97.53012136,343.46,0.754,0.9,10.378,53.82,0.005,0.042,92.2896
1568584438,35.60531951,-97.53011237,343.663,0.742,0.98,10.378,53.82,0.005,-0.028,104.7341
1568584439,35.60531684,-97.53010289,344.403,0.709,0.87,10.378,44.16,0.005,0.003,108.3834
1568584440,35.6053136,-97.53009385,344.819,0.828,1.13,10.378,44.16,0.005,0.035,110.9266
1568584441,35.60531506,-97.5300883,345.486,0.453,1.21,10.378,44.16,0.005,0.096,58.2133
1568584442,35.6053116,-97.53008022,345.266,0.66,0.98,10.378,44.16,0.005,0.012,101.4793
1568584443,35.60530701,-97.53007298,344.534,0.723,0.91,10.378,44.16,0.005,-0.108,119.2579
1568584444,35.60530254,-97.53006354,344.437,0.814,0.95,10.378,44.16,0.005,-0.158,113.8586
1568584445,35.60530111,-97.53005892,345.123,0.082,0.91,10.378,44.16,0.005,-0.081,83.7049
1568584446,35.60531424,-97.53005739,345.201,1.585,1.24,10.378,44.16,0.005,-0.007,4.7024
1568584447,35.60532771,-97.53005691,345.93,1.663,1.21,10.378,44.16,0.005,0.137,356.7989
1568584449,35.60534192,-97.53005111,345.944,1.027,1.26,10.378,44.16,0.005,0.228,19.5276
1568584450,35.60534219,-97.53004952,346.177,0.271,1.2,10.378,44.16,0.005,0.257,359.2899
1568584451,35.60534164,-97.5300507,346.263,0.235,1.1,10.378,45.31,0.005,0.228,320.1798
1568584452,35.60534016,-97.53005236,346.629,0.202,0.88,10.378,45.31,0.005,0.21,286.8549
1568584453,35.60534406,-97.53005517,347.004,0.492,1.3,10.378,45.31,0.005,0.221,338.1843
1568584453,35.60534406,-97.53005517,347.004,0.492,1.3,10.378,45.31,0.005,0.221,338.1843
1568584455,35.60536146,-97.53005538,346.901,1.587,1.18,10.378,44.16,0.005,0.137,358.6732
1568584456,35.60538569,-97.53005365,346.531,3.076,1.12,10.378,44.16,0.005,0.062,4.3727
1568584457,35.60541034,-97.53005779,346.404,2.929,1.47,10.378,44.16,0.005,0.038,350.3602
1568584458,35.60542982,-97.53007091,346.271,2.826,1.62,10.378,44.16,0.005,-0.015,332.5203
1568584459,35.60544242,-97.53008713,345.985,2.439,1.52,10.378,44.16,0.005,-0.042,319.3388
1568584460,35.60545606,-97.53010514,345.4,2.726,1.23,10.378,44.16,0.005,-0.103,321.724
1568584461,35.60547588,-97.53011505,345.284,2.732,1.38,10.378,44.16,0.005,-0.107,343.6751
1568584462,35.60549318,-97.53011407,345.23,2.304,1.2,10.378,44.16,0.005,-0.118,4.0696
1568584463,35.60550769,-97.53010414,345.095,2.126,0.92,10.378,44.16,0.005,-0.147,28.0552
