time,lat,lng,alt,spd,eps,epx,epv,ept,climb,track
1584529119,35.24722417,-97.23936233,322.1,3.958,4.19,1.648,5.405,0.005,0,144.81
1584529120,35.24719167,-97.23933533,322.3,4.313,4.22,1.648,5.405,0.005,0,144.03
1584529121,35.24715483,-97.23930733,322.3,4.803,4.22,1.648,5.405,0.005,0,145.44
1584529122,35.24711533,-97.23927967,322.6,5.234,4.22,1.648,5.405,0.005,0,150.45
1584529123,35.2470695,-97.23925333,322.8,5.736,4.22,1.648,5.405,0.005,0,154.56
1584529124,35.247019,-97.23922583,323.2,6.24,4.22,1.648,5.405,0.005,0,156.44
1584529125,35.246965,-97.2391995,323.6,6.602,4.19,1.713,5.405,0.005,0,158.13
1584529126,35.24690733,-97.23917783,324.1,6.846,4.15,1.713,5.405,0.005,0,162.8
1584529127,35.24684467,-97.239161,324.2,7.228,4.15,1.713,5.405,0.005,0,168.11
1584529128,35.24677933,-97.23914517,324.6,7.588,4.09,1.686,5.98,0.005,0,170.26
1584529129,35.24670967,-97.239138,325,8.02,4.09,1.713,5.98,0.005,0,174.67
1584529130,35.24663583,-97.23913217,325.6,8.339,4.15,1.713,5.98,0.005,0,176.88
1584529131,35.246559,-97.23912683,326.1,8.517,4.38,1.543,5.635,0.005,0,176.98
1584529132,35.24648033,-97.23912367,326.8,8.809,4.6,1.543,5.635,0.005,0,178.45
1584529133,35.24639883,-97.23912133,327.6,9.374,4.32,1.686,5.635,0.005,0,178.11
1584529134,35.24631233,-97.23912017,328.1,9.897,4.04,1.686,5.635,0.005,0,179.38
1584529135,35.24621817,-97.2391185,328,10.366,4.04,1.686,5.635,0.005,0,179.36
1584529136,35.24611967,-97.2391175,328,10.805,4.04,1.686,5.635,0.005,0,179.92
1584529137,35.24601933,-97.2391165,328.2,11.199,4.15,1.955,6.67,0.005,0,179.48
1584529138,35.24591583,-97.239115,328.6,11.56,4.77,1.986,6.67,0.005,0,179.61
1584529139,35.24581467,-97.23911367,329.1,11.127,5.28,1.986,6.67,0.005,0,179.16
1584529140,35.24571583,-97.23911233,329.6,10.96,4.77,1.955,6.67,0.005,0,179.24
1584529141,35.24561783,-97.239111,330.2,10.861,4.26,1.955,6.67,0.005,0,179.74
1584529142,35.24552067,-97.239113,330.6,10.837,4.61,2.067,6.785,0.005,0,181.22
1584529143,35.24542383,-97.23912017,330.7,11.015,5.12,1.986,6.785,0.005,0,182.73
1584529144,35.245331,-97.23913917,330.4,11.164,4.66,1.686,6.67,0.005,0,186.69
1584529145,35.2452335,-97.23915917,330.8,11.014,4.15,1.955,6.67,0.005,0,190.94
1584529146,35.24513717,-97.2391855,331.5,10.986,4.26,1.955,6.67,0.005,0,193.3
1584529147,35.245042,-97.2392185,331.6,11,4.26,1.955,5.98,0.005,0,196.86
1584529148,35.24494733,-97.2392615,331.8,11.224,4.26,1.955,5.98,0.005,0,201.56
1584529149,35.24485533,-97.23931733,332.2,11.406,4.26,1.955,5.98,0.005,0,207.96
1584529150,35.2447665,-97.2393805,332.6,11.478,4.26,1.955,5.98,0.005,0,211.02
1584529151,35.24467783,-97.23944583,332.9,11.561,4.26,1.955,5.98,0.005,0,212.29
1584529152,35.24459033,-97.2395145,333.1,11.657,4.26,1.955,5.98,0.005,0,213.28
1584529153,35.24450483,-97.23958467,333.4,11.518,4.26,1.955,5.98,0.005,0,214.07
1584529154,35.24441883,-97.239657,333.9,11.595,4.26,1.955,5.98,0.005,0,214.71
1584529155,35.244333,-97.23972983,334.3,11.602,4.26,1.955,6.153,0.005,0,215.05
1584529156,35.24424883,-97.23980433,334.8,11.487,4.26,1.955,6.153,0.005,0,216.39
1584529157,35.24416417,-97.23987767,335.1,11.381,4.26,1.955,6.153,0.005,0,215.88
1584529158,35.24408133,-97.23995183,335.5,11.459,4.26,1.955,6.153,0.005,0,216.34
1584529159,35.24399567,-97.2400225,336,11.53,4.26,1.955,6.153,0.005,0,214.07
1584529160,35.2439095,-97.2400955,336.3,11.741,4.77,1.986,6.727,0.005,0,214.93
1584529161,35.24382267,-97.24016833,336.3,11.724,5.17,1.648,6.727,0.005,0,214.12
1584529162,35.24373367,-97.240244,336.5,12.078,5.17,1.986,6.727,0.005,0,214.63
1584529163,35.24364333,-97.24032067,336.6,12.312,5.29,1.986,6.727,0.005,0,214.63
1584529164,35.24354983,-97.24039817,336.6,12.691,5.29,1.98,6.727,0.005,0,213.95
1584529165,35.24345383,-97.240479,336.8,13.041,5.29,1.98,6.727,0.005,0,214.9
1584529166,35.24335633,-97.24056217,336.9,13.251,5.29,1.98,6.727,0.005,0,214.98
1584529167,35.24326183,-97.2406465,336.9,12.957,4.78,1.951,6.727,0.005,0,216.33
1584529168,35.24316817,-97.24073167,337,13.076,4.78,1.981,6.727,0.005,0,217.05
1584529169,35.24307467,-97.2408185,337.2,13.069,4.95,1.542,6.727,0.005,0,217.27
1584529170,35.24298067,-97.24090433,337.4,13.062,4.39,1.711,6.727,0.005,0,217.01
1584529171,35.24288683,-97.240988,337.3,12.839,4.2,1.646,6.727,0.005,0,215.68
1584529172,35.24279217,-97.24106967,337.7,12.846,4.25,1.951,6.727,0.005,0,215.01
1584529173,35.24269883,-97.24115267,337.5,12.813,4.27,1.951,6.727,0.005,0,215.56
1584529174,35.242606,-97.241239,337.5,12.995,4.27,1.951,6.727,0.005,0,217.66
1584529175,35.24251017,-97.2413255,337.6,13.267,4.25,1.644,5.98,0.005,0,215.83
1584529176,35.2424115,-97.24141133,338,13.49,4.23,1.644,5.98,0.005,0,215.74
1584529177,35.24231117,-97.2414985,338.3,13.691,4.25,1.951,6.038,0.005,0,215.69
1584529178,35.24220867,-97.241587,338.9,13.869,4.27,1.951,6.038,0.005,0,215.79
1584529179,35.24210583,-97.24167667,339.1,14.078,4.27,1.951,6.038,0.005,0,215.36
1584529180,35.24200267,-97.241766,339.5,14.12,4.27,1.951,6.038,0.005,0,215.12
1584529181,35.24189967,-97.24185833,339.7,14.185,4.25,1.644,6.038,0.005,0,216.53
1584529182,35.2417955,-97.24195,340,14.155,4.25,1.951,6.038,0.005,0,216.06
1584529183,35.24169117,-97.2420405,339.7,13.892,4.78,1.982,7.015,0.005,0,216.24
1584529184,35.24158967,-97.2421285,339.7,13.487,4.78,1.955,6.153,0.005,0,216.06
1584529185,35.24149117,-97.24221533,340.1,13.279,4.28,1.954,6.153,0.005,0,215.93
1584529186,35.24139033,-97.24229033,340.9,12.972,4.26,1.645,6.153,0.005,0,210.13
1584529187,35.24128967,-97.24235833,341.6,12.71,4.67,1.645,7.015,0.005,0,208.22
1584529188,35.241184,-97.24241983,341.8,13.073,4.67,1.645,6.038,0.005,0,204.37
1584529189,35.24107283,-97.2424695,342.5,13.218,4.78,1.988,6.727,0.005,0,199.44
1584529190,35.24095833,-97.24251383,343,13.42,5.35,1.839,7.418,0.005,0,196.41
1584529191,35.240843,-97.24255633,343.3,13.535,5.55,2.266,7.418,0.005,0,194.08
1584529192,35.24072283,-97.242586,343,13.577,5.52,1.988,7.418,0.005,0,191.86
1584529193,35.24059867,-97.24260617,343.1,13.761,5.33,1.988,7.418,0.005,0,189.52
1584529194,35.24047683,-97.24262433,343.3,13.548,5.52,2.266,7.418,0.005,0,186.82
1584529195,35.24035717,-97.24263667,343.4,13.354,5.4,1.645,7.418,0.005,0,183.61
1584529196,35.24023567,-97.2426415,343.8,13.416,5.21,1.988,7.418,0.005,0,180.75
1584529197,35.2401135,-97.24263733,344.2,13.686,5.52,2.266,7.418,0.005,0,175.4
1584529198,35.23999183,-97.24261783,344.4,13.728,5.27,2.235,8.51,0.005,0,170.88
1584529199,35.23987483,-97.2425875,343.9,13.329,4.79,1.725,7.418,0.005,0,166.81
1584529200,35.23976133,-97.242547,343.5,13.302,4.49,1.645,6.785,0.005,0,162.4
1584529201,35.23964867,-97.24249933,343.5,13.618,4.24,1.645,7.418,0.005,0,159.22
1584529202,35.23953767,-97.24243517,343.3,13.709,4.26,1.954,6.038,0.005,0,153.71
1584529203,35.23943417,-97.24236233,342.9,13.264,4.28,1.954,6.038,0.005,0,147.78
1584529204,35.23934433,-97.24226617,342.6,13.255,4.28,1.954,6.038,0.005,0,135.59
1584529205,35.23927383,-97.242157,341.7,12.049,4.28,1.954,6.038,0.005,0,124.5
1584529206,35.2392255,-97.24203917,341.7,11.958,4.28,1.954,6.038,0.005,0,114.93
1584529207,35.23918783,-97.24191,341.7,12.375,4.8,1.988,6.727,0.005,0,108.58
1584529208,35.23915833,-97.24177583,342.1,12.721,4.8,1.954,6.727,0.005,0,103.83
1584529209,35.239134,-97.24163783,342.2,12.993,4.28,1.954,6.727,0.005,0,100.72
1584529210,35.23910283,-97.24149533,342.6,13.198,4.28,1.954,6.727,0.005,0,105.61
1584529211,35.23906767,-97.24135233,343.3,13.346,4.28,1.954,6.038,0.005,0,106.76
1584529212,35.23904033,-97.24120517,342.8,13.716,4.28,1.954,6.038,0.005,0,102.98
1584529213,35.23900083,-97.2410635,343.4,13.677,4.28,1.954,6.038,0.005,0,109.96
