Time,Latitude,Longitude,Accuracy,Speed
1584529119,35.247245,-97.239342,5,4.17
1584529120,35.247193,-97.239311,5,4.59
1584529125,35.246901,-97.239174,5,6.16
1584529126,35.246827,-97.239154,5,6.67
1584529130,35.246551,-97.239107,5,7.73
1584529131,35.246469,-97.239107,5,8.68
1584529132,35.2464,-97.239095,5,9.08
1584529133,35.246315,-97.239096,5,9.28
1584529134,35.246223,-97.239106,5,10.12
1584529135,35.246125,-97.239105,5,10.6
1584529136,35.246029,-97.239111,5,10.84
1584529138,35.245826,-97.239112,5,11.1
1584529139,35.245729,-97.239117,5,10.94
1584529140,35.245638,-97.239115,5,10.85
1584529141,35.245536,-97.239123,5,10.85
1584529142,35.245441,-97.239129,5,10.92
1584529143,35.245347,-97.239146,5,10.82
1584529144,35.245252,-97.239169,5,11.15
1584529145,35.245154,-97.239194,5,11.09
1584529146,35.245058,-97.239231,5,10.97
1584529147,35.244964,-97.239272,5,11.14
1584529148,35.244875,-97.239326,5,11.16
1584529149,35.24479,-97.239381,5,11.4
1584529151,35.244612,-97.23952,5,11.55
1584529152,35.244527,-97.239591,5,11.62
1584529153,35.244443,-97.239662,5,11.57
1584529155,35.244278,-97.239806,5,11.48
1584529156,35.244196,-97.239886,5,11.48
1584529157,35.244111,-97.239961,5,11.42
1584529158,35.244026,-97.240035,5,11.4
1584529159,35.243942,-97.240105,5,11.52
1584529160,35.243859,-97.240179,5,11.5
1584529161,35.243782,-97.24027,5,11.85
1584529162,35.243691,-97.240343,5,12.35
1584529163,35.243601,-97.240418,5,12.45
1584529164,35.243516,-97.240514,5,13.13
1584529165,35.243421,-97.240593,5,13.21
1584529166,35.243325,-97.240678,5,13.22
1584529167,35.24323,-97.240765,5,12.26
1584529168,35.243157,-97.240838,5,12.23
1584529169,35.243046,-97.240929,5,12.98
1584529170,35.242958,-97.241027,5,13.01
1584529171,35.242851,-97.241117,5,12.95
1584529172,35.242757,-97.2412,5,12.95
1584529173,35.242664,-97.241279,5,13
1584529174,35.242565,-97.241365,5,13.22
1584529175,35.242475,-97.241444,5,13.31
1584529176,35.242347,-97.241542,5,13.75
1584529177,35.242247,-97.241631,5,13.74
1584529178,35.242151,-97.241716,5,13.77
1584529179,35.242049,-97.241804,5,13.9
1584529180,35.241963,-97.241881,5,13.98
1584529181,35.241861,-97.241977,5,14.04
1584529182,35.241784,-97.242061,5,13.66
1584529183,35.241689,-97.242138,5,13.1
1584529184,35.241594,-97.242223,5,13.09
1584529185,35.241497,-97.242305,5,12.87
1584529187,35.241249,-97.242459,5,12.98
1584529188,35.241141,-97.242514,5,12.98
1584529189,35.241044,-97.242546,5,12.98
1584529190,35.240917,-97.242596,5,13.31
1584529191,35.240803,-97.242625,5,13.46
1584529193,35.240554,-97.242664,5,13.45
1584529194,35.240433,-97.242679,5,13.44
1584529195,35.240319,-97.24268,5,13.33
1584529196,35.240201,-97.242674,5,13.35
1584529197,35.240062,-97.242649,5,13.67
1584529198,35.239949,-97.242612,5,13.34
1584529208,35.239269,-97.24205,5,12.14
1584529209,35.239076,-97.241522,5,13.28
1584529210,35.239046,-97.241374,5,13.47
1584529211,35.239019,-97.241238,5,13.67
1584529212,35.238997,-97.241085,5,13.76
1584529213,35.238967,-97.24093,5,13.86
1584529214,35.238928,-97.240778,5,13.98
1584529215,35.23885,-97.240635,5,14.47
1584529216,35.238772,-97.240507,5,13.85
1584529217,35.238692,-97.240393,5,13.69
1584529218,35.238614,-97.240285,5,13.47
1584529219,35.238522,-97.240188,5,13.86
1584529220,35.238433,-97.240086,5,13.95
1584529221,35.238339,-97.239987,5,14.08
1584529222,35.238246,-97.239885,5,14.06
1584529223,35.238156,-97.239789,5,13.78
1584529224,35.238062,-97.239702,5,13.46
1584529225,35.23797,-97.239614,5,13.44
1584529226,35.237857,-97.239535,5,13.48
1584529227,35.237752,-97.239462,5,13.57
1584529228,35.237646,-97.239391,5,13.54
1584529229,35.237545,-97.239321,5,13.23
1584529230,35.237434,-97.239259,5,13.12
1584529231,35.237328,-97.239188,5,13.12
