time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
1564034902,35.19405383,-97.42248867,0,0,3,318,-2.789,1.134,9.404,1
1564034903,35.19405383,-97.42248867,0,0,3,318,-3.776,1.041,9.107,1
1564034904,35.19406158,-97.4224989,0.8,1.4028898,3,317,-3.897,0.776,9.21,0
1564034905,35.19408575,-97.42250106,359,3.1507778,3,317,-3.113,-0.243,9.222,0
1564034906,35.19412148,-97.42250703,353.7,4.0607877,3,317,-2.716,-1.006,9.318,0
1564034907,35.19416338,-97.42252292,344.6,4.7965193,3,317,-2.601,-1.36,9.118,0
1564034908,35.19419379,-97.42261101,297.2,5.280152,3,317,-3.186,-0.47,9.099,0
1564034909,35.19420418,-97.42268055,282.4,6.450496,3,317,-3.056,-0.16,9.185,0
1564034910,35.19420765,-97.4227648,274.9,7.61111,3,317,-2.723,0.472,9.317,0
1564034911,35.19421054,-97.42286416,271.7,8.347341,3,316,-2.608,0.979,9.134,0
1564034912,35.19421375,-97.42295655,272.6,8.810499,3,316,-2.569,1.018,9.362,1
1564034913,35.19423016,-97.42306393,275.1,9.240963,3,314,-2.439,1.008,9.359,1
1564034914,35.19424007,-97.42316994,275.9,9.691011,3,314,-1.987,1.071,9.902,0
1564034915,35.19425174,-97.42327555,277.8,9.681674,3,314,-1.314,1.226,9.847,0
1564034916,35.19426647,-97.42336968,279.9,8.980673,3,314,-1.143,0.921,9.622,0
1564034917,35.19429116,-97.4235156,281.9,6.4913015,3,313,-1.34,0.817,9.587,0
1564034918,35.19430428,-97.4235704,283.4,5.1618986,3,312,-1.014,0.935,9.635,0
1564034919,35.19431235,-97.42360683,284.3,3.790475,3,312,-0.956,0.917,9.691,0
1564034920,35.19431753,-97.42362949,284.6,2.3317375,3,312,-1.503,0.987,9.622,0
1564034921,35.19431938,-97.42364238,284.7,1.770706,3,313,-2.954,0.954,9.259,0
1564034922,35.19432672,-97.42367323,287.8,2.600942,3,312,-3.638,1.557,9.061,0
1564034924,35.19434387,-97.42371094,304.3,3.6200826,3,311,-3.483,2.342,9.174,0
1564034925,35.19437171,-97.42374054,323.8,4.4509096,3,312,-3.391,3.044,9.188,0
1564034926,35.19441603,-97.42375184,344.7,5.1618795,3,312,-3.906,2.863,9.022,0
1564034927,35.19446808,-97.42376395,348,5.6207204,3,312,-4.196,1.673,9.124,0
1564034928,35.19454675,-97.42372354,12.4,7.7203174,3,312,-3.912,0.92,8.827,0
1564034929,35.19462827,-97.42369881,16.1,9.07108,3,312,-3.827,0.575,8.882,0
1564034930,35.19471694,-97.42366611,15.5,10.300019,3,312,-3.792,0.408,9.129,0
1564034931,35.19481196,-97.42363031,14.2,11.19,3,312,-3.641,0.657,9.328,0
1564034932,35.19491445,-97.42359178,13,12.030415,3,313,-3.732,0.375,9.01,0
1564034933,35.1950313,-97.42356256,10.9,12.890016,3,313,-3.613,0.339,8.891,0
1564034934,35.19514547,-97.42355307,8.4,13.740713,3,314,-3.685,0.21,9.408,0
1564034935,35.19527876,-97.42353992,6,14.480345,3,314,-3.583,0.112,9.394,0
1564034936,35.19541234,-97.42352817,3.7,15.100212,3,315,-3.67,0.515,9.081,0
1564034937,35.19555155,-97.42352922,1.9,15.670817,3,315,-3.421,0.755,9.703,0
1564034938,35.19571251,-97.42352563,0.2,16.500437,3,314,-3.564,0.589,8.774,0
1564034939,35.19586325,-97.42353051,359.7,16.720299,3,314,-3.344,0.766,9.131,0
1564034940,35.19602384,-97.42352212,0.1,17.29029,4,315,-3.506,0.493,8.859,0
1564034941,35.19618426,-97.42352333,359.6,17.680477,4,315,-3.09,0.559,9.177,0
1564034942,35.19634539,-97.42351914,0.3,17.990137,4,315,-3.166,0.286,9.48,0
1564034943,35.19650823,-97.42352169,359.6,18.180223,4,316,-3.184,0.274,9.305,0
