time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
1564007185,35.1940699,-97.42250504,358.8,2.7803776,9,318,-0.794,-0.466,9.346,1
1564007186,35.19408665,-97.42251092,354.1,2.7209005,9,317,-1.516,-1.218,9.538,0
1564007187,35.19410198,-97.42251869,350.2,2.5378928,10,318,-1.431,-0.727,9.26,0
1564007188,35.19409731,-97.42261527,299.7,5.1600385,9,319,-1.105,-0.587,9.618,1
1564007189,35.19412231,-97.42268387,290.1,6.012695,9,318,-0.75,-0.303,9.71,1
1564007190,35.19413829,-97.42275162,279.3,6.350504,9,318,-0.936,0.39,9.871,1
1564007191,35.19413712,-97.42282561,274.4,6.6801195,9,317,-0.93,0.557,9.869,0
1564007192,35.1941481,-97.42290063,275.3,7.000114,9,317,-0.945,0.733,9.593,0
1564007193,35.19415857,-97.4229918,274.3,7.6901627,9,317,-0.455,0.664,9.659,0
1564007194,35.19417231,-97.42307466,275.6,7.8406377,9,316,-0.131,0.56,9.645,0
1564007195,35.19418651,-97.42315729,276.5,7.8107743,9,315,-0.523,0.807,10.04,0
1564007197,35.19419662,-97.42322685,277.6,7.5529203,9,316,-0.069,0.885,10.283,0
1564007198,35.19421248,-97.42329421,279.2,7.240442,9,317,0.157,0.828,9.929,0
1564007199,35.19422909,-97.42336011,281,6.3600707,9,321,0.047,0.639,10.105,0
1564007200,35.19424051,-97.42340538,282.3,5.650566,9,319,-0.265,0.935,9.852,0
1564007201,35.19424993,-97.42346031,283.6,5.00081,9,318,0.451,0.721,9.899,0
1564007202,35.19426866,-97.4234946,283.7,4.2302957,9,318,-0.039,0.437,10.057,0
1564007203,35.19427488,-97.42352913,284.5,2.880434,9,317,0.311,0.834,10.025,0
1564007204,35.19427873,-97.42355519,289,1.9990249,9,316,-0.659,0.635,9.808,0
1564007205,35.19428169,-97.42356906,288.7,1.1803813,9,315,-3.245,0.356,9.516,0
1564007206,35.19428195,-97.42358326,287.9,1.3324039,9,315,-2.414,1.065,9.812,0
1564007207,35.19429355,-97.42361728,289.4,2.880625,9,315,-2.31,2.554,10.106,0
1564007208,35.19431519,-97.42366086,301.6,4.1005974,9,314,-2.175,2.998,9,0
1564007209,35.19435183,-97.42369631,319.2,4.766047,9,317,-2.397,3.805,9.35,0
1564007210,35.19439736,-97.42373275,324.8,5.5115333,9,317,-2.539,0.79,9.34,0
1564007211,35.19445868,-97.4237705,331.5,6.653007,10,316,-2.379,0.562,9.331,0
1564007212,35.19455206,-97.42369571,14.8,9.01,9,314,-2.117,0.501,9.556,0
1564007213,35.1946373,-97.423665,15.7,10.012877,9,313,-1.865,0.207,9.107,0
1564007214,35.19472661,-97.42363577,14.7,10.650042,9,313,-1.874,-0.087,8.931,0
1564007215,35.19483693,-97.42360724,13.4,11.8,9,313,-1.873,-0.217,9.145,0
1564007216,35.19508405,-97.42354648,7.6,13.360134,9,311,-1.79,-0.053,9.768,0
1564007217,35.19522222,-97.42352083,4.6,14.170088,9,309,-1.756,0.117,9.632,0
1564007218,35.19535984,-97.42351772,1.5,14.850337,9,310,-1.907,0.566,9.689,0
1564007219,35.19550233,-97.42352172,0.3,15.510545,9,310,-2.012,1.028,10.459,0
1564007220,35.19564702,-97.42352207,0.1,16.170012,9,311,-1.864,0.955,9.068,0
1564007221,35.19579676,-97.42352474,0,16.740505,9,311,-1.596,0.385,9.005,0
1564007222,35.19594803,-97.42352244,359.9,17.290003,9,311,-1.288,0.567,9.666,0
1564007223,35.19610586,-97.42352408,359.8,17.550182,9,312,-1.454,0.697,9.773,0
1564007224,35.19625813,-97.4235345,359.4,17.340487,9,311,-1.206,0.609,9.709,0
1564007225,35.19641163,-97.42353588,359.8,17.243353,9,312,-1.156,0.597,9.922,0
1564007226,35.19656754,-97.42353049,0.1,17.200943,9,312,-1.169,0.259,9.597,0
1564007227,35.19672385,-97.42353238,0.2,17.072296,9,312,-1.236,0.421,9.654,1
1564007228,35.19688087,-97.4235375,359.8,17.151543,9,313,-1.352,0.401,9.806,0
1564007229,35.19703881,-97.42352607,0.1,17.18057,10,313,-1.276,0.143,9.765,0
1564007230,35.19719288,-97.42351867,0.1,17.190235,9,314,-1.44,0.354,9.386,0
1564007231,35.19734384,-97.42351942,359.8,17.260567,9,314,-1.233,0.134,9.43,0
1564007232,35.19750018,-97.42353018,359.7,17.340738,9,314,-1.311,0.175,9.691,0
1564007234,35.19765488,-97.42353405,359.7,17.340935,9,313,-1.325,0.375,9.723,0
1564007235,35.1978095,-97.4235324,359.7,17.410486,9,314,-1.299,0.438,9.944,0
1564007236,35.19796549,-97.4235359,359.8,17.440289,9,314,-1.349,0.28,9.742,0
1564007237,35.19812084,-97.42353512,0.4,17.390932,9,315,-1.175,0.142,9.323,0
1564007238,35.198286,-97.42352934,0.1,17.590002,9,315,-1.235,0.178,9.671,0
1564007239,35.19845609,-97.42352485,359.8,17.660011,9,314,-1.308,0.311,9.766,1
1564007240,35.19861326,-97.42353451,359.4,17.690002,9,315,-1.309,0.489,9.639,0
1564007241,35.19877796,-97.4235306,359.4,17.760012,9,314,-1.249,0.248,9.69,0
1564007242,35.19894114,-97.42354789,359.2,17.850227,9,312,-1.169,0.543,10.052,0
1564007243,35.19910194,-97.42354672,359.6,17.89161,9,312,-1.064,0.117,9.446,0
1564007244,35.19926222,-97.42355016,359.8,17.941008,9,314,-1.098,0.452,9.982,0
1564007245,35.1994202,-97.42354591,359.9,17.931475,9,313,-1.07,0.429,9.476,0
1564007246,35.19958178,-97.42354866,0,17.960625,9,314,-0.968,-0.147,9.874,0
1564007247,35.19974863,-97.42355486,0,18.010225,9,315,-1.068,0.053,9.696,0
1564007248,35.19990793,-97.42355364,359.6,17.890278,9,316,-1.078,0.33,9.812,0
1564007249,35.20006854,-97.4235646,359.1,17.860281,9,321,-1.189,0.631,9.63,0
1564007250,35.20023374,-97.42356083,359.2,17.85007,9,320,-1.156,0.531,9.497,0
1564007251,35.20038186,-97.42356768,359.3,17.77034,9,318,-1.06,0.309,9.792,0
1564007252,35.20054778,-97.42357329,359.5,17.740227,9,318,-1.147,0.379,9.586,0
1564007253,35.20071062,-97.42356181,359.7,17.760044,9,320,-1.049,0.233,9.58,0
1564007254,35.20087029,-97.42356243,359.6,17.71034,9,319,-1.208,0.48,9.783,0
1564007255,35.20103443,-97.423564,359.3,17.78,9,318,-1.163,0.329,9.606,0
1564007256,35.20119467,-97.42356926,359.4,17.73007,9,318,-1.071,0.396,9.482,0
1564007257,35.20135492,-97.42357236,359.5,17.740282,9,317,-1.19,0.475,9.518,0
1564007258,35.20167685,-97.42357965,359.4,17.70014,9,316,-1.211,0.763,9.897,0
1564007259,35.20184279,-97.42357758,359.4,17.65177,9,315,-1.23,0.239,10.068,0
1564007260,35.20199823,-97.42357806,0.1,17.680553,9,315,-0.822,0.409,9.302,0
1564007261,35.20214979,-97.4235736,0.9,17.580822,9,315,-0.967,0.073,10.579,0
1564007262,35.20230492,-97.423567,0.9,17.48014,9,320,-0.324,0.1,9.695,0
1564007263,35.20245849,-97.42356496,1.1,16.860012,9,318,0.304,-0.018,9.511,0
1564007264,35.20259971,-97.42356789,0.6,15.720029,9,318,-0.1,0.274,9.788,0
1564007265,35.20273797,-97.4235739,0,14.600014,9,318,0.087,0.307,10.153,0
1564007266,35.20285919,-97.42358557,0.8,13.240034,9,318,-0.05,0.42,10.173,0
1564007267,35.20296047,-97.42358525,1,12.010338,9,318,-0.047,0.45,10.163,0
1564007268,35.20305255,-97.42357487,0.6,10.890225,9,321,0.237,0.854,10.041,0
1564007269,35.20313488,-97.42357339,0.7,9.671324,9,322,0.023,0.598,10.254,0
1564007270,35.20321106,-97.4235647,359.8,8.540094,9,322,-0.163,0.442,9.953,0
1564007271,35.20327219,-97.42356401,358.9,7.590237,9,321,-0.112,0.56,9.757,0
1564007272,35.20332825,-97.42356133,358.6,6.8218765,9,321,-0.111,0.39,10.051,0
1564007273,35.20336681,-97.42355776,0,5.590224,9,321,-0.151,0.679,9.832,0
1564007274,35.20340222,-97.42354979,359.9,4.442882,9,320,-0.086,0.614,10.073,0
1564007275,35.20342122,-97.42354374,0.1,3.1801414,9,320,-0.066,0.689,9.899,0
1564007276,35.2034367,-97.42354854,358.3,1.9706345,9,319,-0.19,0.595,10.06,0
1564007278,35.20344591,-97.4235551,357.9,0.83006024,9,319,-1.379,0.47,9.516,0
1564007279,35.20344591,-97.4235551,357.9,0.83006024,9,319,-1.147,0.47,9.61,1
1564007280,35.20344591,-97.4235551,357.9,0.83006024,9,319,-1.17,0.489,9.638,1
1564007281,35.20344591,-97.4235551,357.9,0.83006024,9,319,-1.16,0.489,9.623,1
1564007282,35.20344591,-97.4235551,357.9,0.83006024,9,319,-1.165,0.483,9.695,1
1564007283,35.20344591,-97.4235551,357.9,0.83006024,9,319,-1.169,0.481,9.787,1
1564007284,35.20345282,-97.42354747,0,0,9,318,-1.169,0.468,9.812,1
1564007285,35.20345282,-97.42354747,0,0,9,318,-1.163,0.464,9.655,1
1564007286,35.20345282,-97.42354747,0,0,9,318,-1.171,0.482,9.747,1
1564007287,35.20345282,-97.42354747,0,0,9,318,-1.295,0.453,9.765,1
1564007288,35.20345282,-97.42354747,0,0,9,318,-3.776,0.128,9.306,0
1564007289,35.20345282,-97.42354747,0,0,9,318,-2.931,0.223,9.342,0
1564007290,35.20346416,-97.42354631,358.1,1.1211156,9,320,-2.713,0.277,9.477,0
1564007291,35.20351407,-97.42354395,1.6,3.1400638,9,319,-1.146,0.377,9.884,0
1564007292,35.20356769,-97.42352596,5.7,4.560702,10,320,-1.811,0.442,9.82,0
1564007293,35.20362587,-97.42355061,359.6,5.7204285,9,317,-2.096,0.519,8.961,0
1564007294,35.20369888,-97.42353274,359.4,6.3900704,9,317,-1.964,0.557,9.347,0
1564007295,35.20375333,-97.42352054,0.1,7.090176,9,317,-1.926,0.568,9.836,0
1564007296,35.20383212,-97.42353159,359.8,7.850159,9,316,-1.989,0.513,9.645,0
1564007297,35.20390777,-97.42354769,359.6,8.470479,9,316,-1.74,0.502,9.807,0
1564007298,35.20398913,-97.42354758,359.7,9.190348,9,317,-1.638,0.464,9.557,0
1564007299,35.20408916,-97.42355123,359.4,9.881295,9,316,-1.71,0.378,9.476,0
1564007300,35.20419034,-97.42353801,0.2,10.440076,9,316,-1.685,0.104,10.306,0
1564007301,35.20429558,-97.42353528,0.1,11.020005,9,316,-1.787,0.379,9.782,0
1564007302,35.20439928,-97.42353889,359.8,11.47011,9,316,-1.502,0.336,9.841,0
1564007303,35.20462223,-97.42355146,0,12.440016,9,315,-1.62,0.158,9.979,0
1564007304,35.20474219,-97.42356307,359.7,12.870097,9,314,-1.319,0.38,9.441,0
1564007305,35.20486285,-97.42358009,359.2,13.220035,9,312,-1.662,-0.043,9.626,0
1564007306,35.20498174,-97.42357977,359.1,13.650234,9,312,-1.726,0.114,10.426,0
1564007307,35.20510789,-97.42358312,358.7,14.141022,9,312,-1.657,0.613,8.886,0
1564007308,35.20523908,-97.42358995,358.4,14.640123,9,319,-1.809,0.375,10.496,0
1564007309,35.20537333,-97.42359212,357.9,15.060213,9,318,-1.496,0.605,9.594,0
1564007310,35.20551278,-97.42358702,358.5,15.420392,9,317,-1.679,0.441,9.6,0
1564007311,35.20565619,-97.4235707,358.7,15.700003,9,316,-1.419,0.194,9.417,0
1564007312,35.20579914,-97.42357296,358.7,15.980529,9,315,-1.614,0.809,9.336,0
1564007313,35.20595294,-97.42357811,358.9,16.311226,9,315,-1.435,0.662,9.469,0
1564007314,35.20610284,-97.42357828,359.3,16.610434,9,315,-1.995,0.359,10.597,0
1564007315,35.20625437,-97.42357487,359.4,16.872162,9,314,-1.587,0.438,9.85,0
1564007316,35.20640953,-97.42356962,359.4,17.230568,10,314,-1.446,0.605,9.383,0
1564007317,35.20656349,-97.42356958,359.7,17.560284,10,315,-1.447,0.463,9.932,0
1564007318,35.20672326,-97.42356549,0.1,17.850138,10,316,-1.101,0.46,9.782,0
1564007319,35.2068848,-97.42356101,0.2,17.840025,9,315,-1.1,0.322,9.786,0
1564007320,35.20705284,-97.42355656,0.5,17.780102,9,315,-1.145,0.123,9.629,0
1564007321,35.20721142,-97.4235566,0.2,17.720634,9,317,-1.085,0.413,9.618,0
1564007323,35.20736831,-97.42356506,0,17.71018,9,317,-1.1,0.386,9.626,0
1564007324,35.20751796,-97.42357056,0,17.700071,9,316,-1.235,0.365,9.903,0
1564007325,35.20768031,-97.42356525,0,17.72034,9,315,-1.224,0.538,9.614,0
1564007326,35.20784475,-97.42356906,359.9,17.810001,9,316,-1.191,0.427,9.878,0
1564007327,35.20801139,-97.42357332,0,17.800001,9,316,-1.179,0.108,9.907,0
1564007328,35.20817507,-97.42356518,359.6,18.250792,9,315,-1.187,0.414,9.704,0
1564007329,35.20833933,-97.423567,359.9,17.86081,9,313,-1.009,0.435,9.667,0
1564007330,35.20849526,-97.42356641,0,17.75,9,313,-1.173,0.498,9.805,0
1564007331,35.20865354,-97.42356556,0,17.7301,9,311,-1.138,0.524,9.59,0
1564007332,35.20881053,-97.42356029,359.9,17.730043,9,311,-1.116,0.261,9.472,0
1564007333,35.20897214,-97.42355695,0.1,17.671913,9,310,-1.275,0.46,9.922,0
1564007334,35.20912727,-97.42355417,0.2,17.680723,9,310,-1.225,0.448,9.855,0
1564007335,35.20928666,-97.42354173,0.3,17.720228,9,310,-1.217,0.406,9.715,0
1564007336,35.20944362,-97.42354238,0.3,17.720024,9,308,-1.178,0.504,9.727,0
1564007337,35.20960881,-97.42354143,0.4,17.740044,9,309,-1.098,0.407,9.715,0
1564007338,35.20977221,-97.42352289,0.4,17.74034,9,310,-1.158,0.448,9.955,0
1564007339,35.20992728,-97.4235279,0.3,17.710722,9,309,-1.246,0.629,9.781,0
1564007340,35.21008561,-97.42353618,0.1,17.67007,9,309,-1.18,0.473,9.784,0
1564007341,35.21024974,-97.42354112,0.5,17.740002,9,310,-1.182,0.583,9.874,0
1564007342,35.21040444,-97.42354255,0.7,17.710915,9,312,-1.094,0.336,9.472,0
1564007343,35.21056108,-97.42352842,1,17.800137,9,313,-1.147,0.215,9.552,0
1564007344,35.21072127,-97.42349735,1.4,17.860071,9,311,-1.071,0.186,9.678,0
1564007345,35.21087936,-97.42349616,0.8,17.960224,9,312,-1.114,0.223,9.752,0
1564007346,35.21103372,-97.42349862,0.2,18.000002,9,313,-1.074,0.397,9.898,0
1564007347,35.21119042,-97.42350216,359.9,18.070135,9,314,-1.134,0.592,10.062,0
1564007348,35.21152156,-97.42350929,359.9,18.150024,9,319,-1.044,0.361,9.76,0
1564007349,35.21168855,-97.42351563,359.5,18.160795,9,319,-1.215,0.53,9.984,0
1564007350,35.21184676,-97.42350944,359.7,18.140177,9,318,-0.905,0.277,9.785,0
