time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
1545060857,35.20951409,-97.43989213,92.4,3.350537,3.0,324.0,-0.23,1.864,9.686,1
1545060858,35.20951436,-97.43985442,91.7,3.3309608,3.0,324.0,-0.342,2.314,9.578,1
1545060859,35.2095149,-97.43981617,90.8,3.3914747,3.0,323.0,-0.297,2.276,9.653,1
1545060860,35.20951621,-97.43977523,90.0,3.7008648,3.0,324.0,-0.203,2.425,9.706,0
1545060861,35.20951779,-97.43972992,89.2,4.0201993,3.0,324.0,-0.038,2.242,9.61,0
1545060862,35.20951944,-97.43968134,89.2,4.38,3.0,323.0,0.233,2.088,9.448,0
1545060863,35.20951971,-97.43963128,90.6,4.3405647,3.0,323.0,-0.227,1.621,9.576,0
1545060864,35.2095178,-97.43958338,93.2,4.160192,3.0,322.0,-0.683,1.903,9.597,0
1545060865,35.20951508,-97.43953934,94.4,3.7404814,3.0,322.0,-1.125,1.48,9.663,0
1545060866,35.20951514,-97.4395008,90.7,3.2839003,3.0,323.0,-1.637,1.393,9.847,0
1545060868,35.20951968,-97.43947023,64.5,2.5553863,3.0,323.0,-1.183,1.772,9.644,0
1545060869,35.20952986,-97.43944701,47.2,2.321379,3.0,323.0,-1.038,2.006,9.588,0
1545060870,35.20954502,-97.43943252,45.1,1.9002368,3.0,323.0,-0.634,2.537,9.489,0
1545060871,35.20956271,-97.43942621,27.6,1.7204651,3.0,323.0,-0.318,2.724,9.489,0
1545060872,35.20958147,-97.43942519,12.3,1.6750523,3.0,323.0,-0.341,2.585,9.501,0
1545060873,35.20960079,-97.43942766,6.4,1.6819037,3.0,323.0,-0.358,2.068,9.601,0
1545060874,35.20961849,-97.43942915,5.8,1.4716657,3.0,323.0,-0.326,2.411,9.5,0
1545060875,35.20963191,-97.43942983,5.7,0.95336246,3.0,323.0,0.004,3.358,9.411,0
1545060876,35.20964428,-97.43943029,5.6,1.3038404,3.0,323.0,0.642,3.234,9.249,0
1545060877,35.20966224,-97.43942465,31.7,2.1645324,3.0,323.0,0.83,3.046,9.499,0
1545060878,35.20968199,-97.43940918,52.3,2.620305,3.0,323.0,0.269,3.369,9.348,0
1545060879,35.20969819,-97.43937729,58.7,3.6511095,3.0,322.0,-0.84,3.26,9.299,0
1545060880,35.20970648,-97.43932583,91.5,4.900092,3.0,323.0,-1.041,3.168,9.584,0
1545060881,35.20968694,-97.43922467,89.9,5.8900337,3.0,324.0,-0.804,1.921,9.596,0
1545060882,35.20968933,-97.43915026,89.1,6.54,3.0,324.0,-0.667,1.084,9.587,0
1545060883,35.20969161,-97.439034,89.2,4.6900105,3.0,323.0,-0.725,0.958,9.658,0
1545060884,35.20969493,-97.438997,89.1,3.4703603,3.0,324.0,-0.663,0.698,9.744,0
1545060885,35.2096955,-97.43897721,87.6,2.03,3.0,323.0,-0.53,0.774,9.757,0
1545060886,35.2096955,-97.43897721,87.6,2.03,3.0,323.0,-0.472,1.424,9.669,0
1545060887,35.2096955,-97.43897721,87.6,2.03,3.0,323.0,-0.524,2.534,9.545,0
1545060888,35.20969425,-97.43895471,88.2,1.3813038,3.0,324.0,-0.038,3.511,9.37,0
1545060889,35.20968043,-97.43892441,106.5,2.660921,3.0,324.0,1.271,2.382,9.496,0
1545060890,35.20966069,-97.43890044,132.5,3.212787,3.0,323.0,1.621,2.898,9.425,0
1545060891,35.20962174,-97.43888795,161.7,4.0507903,3.0,324.0,1.421,3.155,9.485,0
1545060892,35.20956296,-97.43888847,176.8,5.8602133,3.0,324.0,0.376,3.4,9.46,0
1545060893,35.20949574,-97.43889009,179.4,7.053432,3.0,323.0,-0.262,3.158,9.451,0
1545060894,35.20942076,-97.43889177,180.4,8.532116,3.0,323.0,-0.647,2.912,9.6,0
1545060895,35.20932996,-97.43889261,178.9,9.440005,3.0,324.0,-0.747,2.839,9.544,0
1545060896,35.20924022,-97.43888946,178.0,10.210705,3.0,323.0,-0.206,2.739,9.639,0
1545060897,35.20914184,-97.43889136,179.8,10.85078,3.0,324.0,-0.326,2.726,9.637,0
1545060898,35.20903832,-97.4388995,181.2,11.171451,3.0,325.0,-0.888,2.744,9.503,0
1545060899,35.20893168,-97.43890559,180.9,11.621898,3.0,325.0,-0.865,2.814,9.429,0
1545060900,35.20882193,-97.43890431,179.9,11.871684,3.0,326.0,-0.678,2.91,9.217,0
1545060901,35.2087061,-97.4389027,180.6,12.720475,3.0,327.0,0.208,2.437,9.531,0
1545060902,35.20858861,-97.43890322,179.3,12.470577,3.0,328.0,0.174,1.874,9.121,0
1545060903,35.20847701,-97.43890371,179.1,11.980004,3.0,328.0,-0.013,1.95,9.441,0
1545060904,35.20836743,-97.43890811,181.4,12.031345,3.0,328.0,-0.105,1.71,9.67,0
1545060905,35.20826646,-97.43891093,180.7,11.682072,3.0,328.0,-0.27,1.786,9.5,0
1545060906,35.20815945,-97.43891212,180.2,11.420355,3.0,328.0,-0.155,1.778,9.576,0
1545060907,35.20805912,-97.43890863,180.3,11.260639,3.0,329.0,-0.434,1.78,9.807,0
1545060908,35.20795783,-97.43890696,179.9,11.12045,3.0,329.0,-0.101,1.825,9.739,0
1545060909,35.20786235,-97.43890953,180.4,10.490386,3.0,329.0,-0.216,1.006,9.646,0
1545060910,35.20777586,-97.43891046,181.6,9.531516,3.0,330.0,-0.071,0.31,9.715,0
1545060911,35.20770989,-97.43890872,181.9,7.6226244,3.0,331.0,-0.11,0.283,9.799,0
1545060912,35.20766086,-97.4389094,180.9,5.560009,3.0,331.0,-0.006,0.592,9.699,0
1545060913,35.20762224,-97.43891035,177.9,3.92,3.0,331.0,0.011,0.836,9.696,0
1545060914,35.20760041,-97.43891165,182.2,2.4452403,3.0,331.0,-0.026,1.749,9.569,0
1545060915,35.20758389,-97.43891111,182.1,1.9109421,3.0,331.0,0.002,1.749,9.565,1
1545060916,35.20756829,-97.43890981,180.8,1.6400305,3.0,331.0,-0.094,1.926,9.565,1
1545060917,35.20756829,-97.43890981,180.8,1.6400305,3.0,331.0,-0.575,3.496,9.312,0
1545060918,35.20754038,-97.43890376,172.4,2.1911185,3.0,331.0,-1.467,3.398,9.459,0
1545060919,35.20750706,-97.43888683,160.2,3.7708488,3.0,331.0,-2.61,3.149,9.364,0
1545060920,35.2074758,-97.43884066,130.3,5.2613688,3.0,332.0,-2.845,3.232,9.678,0
1545060921,35.20746743,-97.43877058,106.7,6.592738,3.0,331.0,-1.844,3.592,9.476,0
1545060922,35.20746877,-97.43866847,92.6,8.3206005,3.0,331.0,-1.022,4.139,9.32,0
1545060923,35.20747735,-97.43855137,89.1,10.190176,3.0,330.0,-0.731,3.822,8.98,0
1545060924,35.20748345,-97.43841903,89.1,11.89042,3.0,330.0,-0.335,3.256,9.167,0
1545060925,35.20748806,-97.43826824,89.6,13.321085,3.0,330.0,-0.466,2.325,9.325,0
1545060926,35.20748729,-97.43811029,90.2,14.131415,3.0,329.0,-0.231,1.805,9.635,0
1545060927,35.20748818,-97.43795417,89.7,14.142578,3.0,329.0,-0.543,1.646,9.29,0
1545060928,35.20749295,-97.43779596,89.3,14.091877,3.0,328.0,-0.597,1.657,9.385,0
1545060929,35.20749338,-97.43764019,89.8,14.05157,3.0,328.0,-0.131,1.967,9.618,0
1545060930,35.20749163,-97.43748466,90.3,13.981291,3.0,328.0,-0.075,1.825,9.693,1
1545060932,35.20749188,-97.43733236,90.3,13.901741,3.0,327.0,-0.291,1.9,9.539,0
1545060933,35.20749242,-97.43718035,90.1,13.821751,3.0,326.0,-0.139,1.889,9.823,0
1545060934,35.20749962,-97.4370294,89.5,13.711458,3.0,326.0,-0.312,1.997,10.042,0
1545060935,35.20749995,-97.43687982,90.2,13.530092,3.0,325.0,-0.369,1.841,9.57,0
1545060936,35.207501,-97.43673519,90.2,13.310035,3.0,325.0,-0.186,2.026,10.053,0
1545060937,35.20750275,-97.43659018,90.8,12.980035,3.0,325.0,-0.27,1.753,9.359,0
