time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
1544271084,35.20924652,-97.43947835,78.7,1.55,13.653,342,0.361,2.718,9.179,1
1544271085,35.209326,-97.43951586,112.1,2.09,16.687,340,0.388,2.602,9.173,1
1544271086,35.20932799,-97.43945341,85.2,1.9,18.203999,327,0.4,2.556,9.212,1
1544271087,35.20934233,-97.439433,89.3,2.39,16.687,323,0.503,2.515,9.192,1
1544271088,35.20936379,-97.4394034,87.9,2.48,16.687,317,0.648,2.503,9.162,1
1544271089,35.20932492,-97.43935985,91.8,2.53,15.17,318,0.656,2.011,9.334,1
1544271090,35.20925602,-97.43928296,87.5,2.51,19.720999,347,0.557,2.089,9.367,1
1544271091,35.20928798,-97.43931938,88.1,2.27,16.687,350,0.446,2.325,9.317,1
1544271092,35.20924914,-97.43927629,86.2,2.45,15.17,346,0.467,2.404,9.223,1
1544271093,35.20928755,-97.43925948,87.8,2.48,13.653,342,0.356,2.392,9.257,1
1544271094,35.20929183,-97.43921292,90.1,2.66,10.6189995,339,0.277,2.345,9.321,1
1544271095,35.20930866,-97.43919025,85,2.52,9.101999,335,0.3,2.375,9.244,1
1544271096,35.2093079,-97.43916203,85.3,2.59,7.585,335,0.216,2.183,9.365,1
1544271097,35.20931148,-97.4391438,88.3,2.81,6.068,335,-0.701,2.127,9.394,1
1544271098,35.20932135,-97.43911549,72.6,2.7,4.5509996,335,-1.015,2.011,9.37,1
1544271101,35.20938762,-97.43907634,28.5,2.7,4.5509996,323,-0.875,2.295,9.389,1
1544271102,35.20941054,-97.43906649,30.2,2.35,6.068,324,-0.704,2.385,9.245,1
1544271103,35.20943359,-97.43905781,19.2,2.65,6.068,324,-0.461,2.832,9.133,1
1544271104,35.20945675,-97.4390561,11.1,2.47,6.068,325,-0.676,2.735,9.176,1
1544271105,35.20947631,-97.43906007,3.7,2.07,4.5509996,324,-1.292,2.33,9.318,1
1544271106,35.20950235,-97.4390693,350.7,3.47,4.5509996,324,-1.427,1.979,9.43,1
1544271107,35.20953017,-97.43909146,331.7,3.47,4.5509996,325,-0.836,2.177,9.358,1
1544271108,35.20954814,-97.43912375,313,3.15,4.5509996,326,-0.258,2.732,9.158,1
1544271109,35.20955443,-97.43916349,289.3,3.34,4.5509996,325,-0.073,2.804,9.131,1
1544271110,35.20955316,-97.43921196,274.1,3.95,4.5509996,325,0.034,2.748,9.151,1
1544271111,35.2095463,-97.43926499,267.1,4.37,4.5509996,325,0.19,2.476,9.23,1
1544271112,35.20953646,-97.43931993,265.5,4.56,4.5509996,325,0.268,1.557,9.569,1
1544271113,35.20952713,-97.43937151,264.1,4.28,4.5509996,325,1.045,1.263,9.646,1
1544271114,35.20952084,-97.43941331,264.7,3.21,4.5509996,324,1.284,1.674,9.495,1
1544271115,35.20952029,-97.43944091,272,2.08,4.5509996,324,0.723,2.093,9.351,1
1544271116,35.20952276,-97.43945738,288.7,1.39,4.5509996,325,0.41,2.765,9.101,1
1544271117,35.20954232,-97.43946344,357.5,1.53,4.5509996,325,0.293,3.469,8.904,1
1544271118,35.20956086,-97.43946071,355.8,1.89,4.5509996,325,0.193,2.986,9.039,1
1544271119,35.20957408,-97.43945899,355.7,1.18,4.5509996,325,0.149,2.361,9.27,1
1544271120,35.20957408,-97.43945899,355.7,1.18,4.5509996,325,0.114,2.63,9.177,1
1544271121,35.20957408,-97.43945899,355.7,1.18,4.5509996,325,0.152,2.718,9.161,1
1544271122,35.2095838,-97.439446,355.6,1.41,4.5509996,324,0.509,3.361,8.892,1
1544271123,35.20959847,-97.43943834,21.2,2.02,4.5509996,324,0.917,3.518,8.829,1
1544271124,35.2096187,-97.43941703,59.3,3.31,4.5509996,323,1.161,3.224,8.919,1
1544271125,35.20963789,-97.43938008,59,3.87,4.5509996,323,0.861,3.222,8.929,1
1544271126,35.20964823,-97.43933024,75.1,4.64,6.068,320,-0.144,3.029,9.036,1
1544271127,35.20963566,-97.43924022,89,5.44,6.068,320,-0.428,2.786,9.136,1
1544271128,35.20963551,-97.43917582,89,5.72,6.068,319,-0.414,2.574,9.235,1
1544271129,35.20963772,-97.43910605,90,5.78,6.068,319,-0.486,2.12,9.301,1
1544271130,35.20963717,-97.4390488,92.3,5.31,6.068,321,-0.585,1.224,9.654,1
1544271131,35.20963542,-97.4390049,94.2,3.9,6.068,321,-0.561,0.929,9.753,1
1544271132,35.20963571,-97.43897963,91.8,2.4,6.068,321,-0.447,1.209,9.642,1
1544271133,35.20963697,-97.43896425,92.6,1.52,6.068,321,-0.353,1.717,9.468,1
