time,latitude,longitude,bearing,speed,accuracy,altitude,acc_x,acc_y,acc_z,is_Stable
1584483338,35.27160992,-97.50194073,359.9,3.93,21.237999,333,-3.405136108,0.5234375,9.098266602,0
1584483339,35.27165324,-97.5019347,359.3,4.55,19.720999,333,-4.018066406,0.561752319,9.500488281,0
1584483340,35.27169749,-97.50193213,0.3,4.38,19.720999,332,-3.577529907,0.5234375,8.945037842,0
1584483341,35.27174273,-97.50192948,0,4.67,19.720999,331,-3.424301147,0.1978302,9.577102661,0
1584483342,35.27178804,-97.50192468,3.1,4.41,19.720999,332,-3.520065308,0.12121582,9.098266602,0
1584483343,35.27183166,-97.50191993,5.4,4.27,19.720999,332,-3.634979248,0.04460144,9.596252441,0
1584483344,35.27187708,-97.50190704,12.8,4.76,19.720999,333,-3.788223267,-0.14692688,8.753494263,0
1584483345,35.27192143,-97.50189181,18,4.75,19.720999,332,-3.998901367,-0.855621338,8.408737183,0
1584483346,35.27197928,-97.50184065,27.6,5.09,21.237999,333,-3.826522827,-0.1277771,9.232330322,0
1584483347,35.27202611,-97.50182076,26.7,5.32,21.237999,333,-3.577529907,-0.204391479,9.577102661,0
1584483348,35.27206304,-97.50179247,26.6,5.48,22.755,333,-3.443450928,0.12121582,9.347259521,0
1584483349,35.27213415,-97.5017638,28.1,6.19,22.755,334,-3.596679688,-0.204391479,8.657730103,0
1584483350,35.27216304,-97.50175118,31.6,6.03,22.755,334,-3.692443848,-0.472549438,8.925872803,0
1584483351,35.27221517,-97.50172624,31.9,5.91,24.272,335,-3.711593628,-0.30015564,9.462173462,0
1584483352,35.27223983,-97.50170058,36,5.82,22.755,333,-3.596679688,-0.510848999,9.155715942,0
1584483353,35.27228064,-97.50166543,37.8,5.34,21.237999,336,-3.730758667,-0.415084839,9.577102661,0
1584483354,35.27234026,-97.50163115,33.1,5.67,21.237999,335,-3.634979248,-0.625778198,9.251495361,0
1584483355,35.27239043,-97.501567,32.8,5.91,21.237999,334,-3.500915527,-0.453384399,8.466186523,0
