Time,Latitude,Longitude,Accuracy,Speed
1584483338,35.271756,-97.502018,6.000906,3.712589
1584483339,35.271792,-97.502013,6.000906,3.969553
1584483340,35.271829,-97.502008,6.000906,3.969553
1584483341,35.271869,-97.502001,6.000906,3.969553
1584483342,35.271914,-97.501988,6.000906,4.483482
1584483343,35.271958,-97.501966,6.000906,5.024956
1584483344,35.272002,-97.501947,6.000906,5.062655
1584483345,35.272046,-97.501924,6.000906,5.431971
1584483346,35.272091,-97.501895,6.000906,5.431971
1584483347,35.272133,-97.501859,6.000906,5.526664
1584483348,35.272175,-97.501829,6.000906,5.526664
1584483349,35.272216,-97.501795,6.000906,5.385425
1584483350,35.27226,-97.501765,6.000906,5.690621
1584483351,35.272301,-97.501726,6.000906,5.690621
1584483352,35.272346,-97.50169,6.000906,5.70448
1584483353,35.272388,-97.501659,6.000906,5.742512
1584483354,35.272437,-97.501622,6.000906,5.873133
1584483355,35.272451,-97.501612,6.000906,5.873133
1584483356,35.272538,-97.501561,6.000906,5.873133
1584483357,35.272583,-97.501537,6.000906,6.094609
1584483358,35.272635,-97.501511,6.000906,6.230871
1584483359,35.272689,-97.501487,6.000906,6.351676
1584483360,35.272743,-97.501465,6.000906,6.351676
1584483361,35.272796,-97.501444,6.000906,6.043075
1584483362,35.272849,-97.501428,6.000906,6.043075
1584483363,35.272903,-97.501411,6.000906,6.282578
1584483364,35.272957,-97.501401,6.000906,6.121318
1584483365,35.272998,-97.501394,6.000906,6.121318
1584483366,35.273064,-97.501388,6.000906,6.121318
1584483367,35.273116,-97.501383,6.000906,6.027322
1584483368,35.27316,-97.501379,6.000906,5.850397
1584483369,35.273221,-97.501378,4.000604,5.254726
1584483370,35.273271,-97.501377,4.000604,5.303241
1584483371,35.273312,-97.501377,4.000604,5.254726
1584483372,35.273352,-97.501379,4.000604,4.54229
1584483373,35.273386,-97.50138,4.000604,3.863861
1584483374,35.273414,-97.501382,4.000604,3.604131
1584483375,35.273428,-97.501292,4.000604,4.134513
1584483376,35.27343,-97.501243,4.000604,4.134513
1584483377,35.273432,-97.501192,4.000604,4.710799
1584483378,35.273436,-97.501128,4.000604,5.270418
1584483379,35.273439,-97.501064,4.000604,6.143596
1584483380,35.273442,-97.500992,4.000604,6.410781
1584483381,35.273446,-97.500922,4.000604,6.295551
1584483382,35.273449,-97.500853,6.000906,6.295551
1584483383,35.273453,-97.500788,6.000906,5.466683
1584483384,35.273456,-97.500723,6.000906,5.466683
1584483385,35.273459,-97.500663,6.000906,5.355689
