Time,Latitude,Longitude,Accuracy,Speed
1584483338,35.271756,-97.502038,5,4.47
1584483339,35.271796,-97.502036,5,4.16
1584483340,35.271837,-97.502029,5,4.52
1584483341,35.271878,-97.502017,5,4.71
1584483342,35.271917,-97.502002,5,4.39
1584483343,35.271959,-97.501982,5,4.93
1584483344,35.272019,-97.501943,5,5.14
1584483345,35.27206,-97.501918,5,5.14
1584483346,35.272099,-97.501886,5,5.48
1584483347,35.272137,-97.501855,5,5.34
1584483348,35.272177,-97.501822,5,5.34
1584483349,35.272219,-97.501795,5,5.25
1584483350,35.272263,-97.501761,5,5.36
1584483351,35.272301,-97.501727,5,5.38
1584483352,35.272343,-97.501699,5,5.46
1584483353,35.272404,-97.501648,5,5.81
1584483354,35.272442,-97.501609,5,5.89
1584483355,35.272486,-97.50158,5,6.05
1584483356,35.272535,-97.50155,5,6.05
1584483357,35.272587,-97.501533,5,6.24
1584483358,35.27264,-97.50151,5,6.3
1584483359,35.272693,-97.501488,5,6.35
1584483360,35.272748,-97.501465,5,6.2
1584483361,35.272795,-97.501446,5,6.2
1584483362,35.272854,-97.501427,5,6.31
1584483363,35.272913,-97.501409,5,6.2
1584483364,35.272964,-97.5014,5,6.08
1584483365,35.273011,-97.501392,5,6.14
1584483366,35.273064,-97.501388,5,6.14
1584483367,35.273109,-97.501384,5,6.14
1584483368,35.273165,-97.501379,5,5.98
1584483369,35.273206,-97.501378,5,5.53
1584483370,35.273255,-97.501377,5,5.54
1584483371,35.273292,-97.501377,5,4.43
1584483373,35.273363,-97.501379,8.212071,3.48
1584483374,35.273393,-97.501381,10.21276,3.82
1584483375,35.273423,-97.501368,5,4.22
1584483376,35.273432,-97.501199,5,4.33
1584483377,35.273435,-97.501143,5,5.18
1584483378,35.273438,-97.501083,5,5.77
1584483379,35.273441,-97.501029,5,5.91
1584483380,35.273443,-97.500974,5,6.29
1584483381,35.273447,-97.500904,5,6.04
1584483382,35.27345,-97.50084,5,5.78
1584483383,35.273453,-97.500773,5,5.46
1584483384,35.273456,-97.500717,5,5.46
1584483385,35.273459,-97.500666,5,5.36
1584483386,35.273461,-97.50062,5,4.8
1584483387,35.273463,-97.500574,5,3.6
1584483388,35.273464,-97.50055,5,2.24
1584483389,35.273465,-97.500532,5,1.66
1584483390,35.273466,-97.500507,5,2.65
1584483391,35.273468,-97.500474,5,2.99
1584483392,35.273469,-97.500455,5,2.99
1584483393,35.273435,-97.500432,5,3.8
1584483395,35.27336,-97.500372,5,5.05
1584483396,35.273305,-97.500368,5,5.87
1584483397,35.273243,-97.500363,5,6.81
1584483398,35.273179,-97.500359,5,7.69
1584483399,35.27311,-97.500354,5,7.79
1584483400,35.273065,-97.500351,5,7.7
1584483401,35.272974,-97.500348,5,7.76
1584483402,35.272911,-97.500347,5,7.83
1584483403,35.272842,-97.500345,5,7.82
1584483404,35.272771,-97.500344,5,7.82
1584483405,35.272711,-97.500342,5,7.84
1584483406,35.272658,-97.500342,5,7.03
1584483407,35.272576,-97.500341,5,8.02
1584483408,35.272514,-97.500341,5,8.15
1584483409,35.272441,-97.500341,5,8.15
1584483410,35.27237,-97.50034,5,8.05
1584483411,35.272294,-97.50034,5,8.1
1584483412,35.272217,-97.500339,5,7.81
1584483413,35.27216,-97.500339,5,7.63
1584483414,35.272086,-97.500338,5,7.43
1584483415,35.272034,-97.500338,5,7.27
1584483416,35.271968,-97.500337,5,7.1
1584483417,35.271905,-97.500337,5,6.83
1584483418,35.271843,-97.500337,5,6.83
1584483419,35.271792,-97.500336,5,5.49
1584483420,35.271742,-97.500336,5,5.35
1584483421,35.27169,-97.500336,5,5.36
1584483422,35.271649,-97.500335,5,4.08
1584483423,35.271612,-97.500335,5,4.08
1584483424,35.271585,-97.500335,5,4.11
1584483425,35.271549,-97.500335,5,3.88
1584483426,35.271521,-97.500335,5,3.79
1584483427,35.271501,-97.500334,5,3.61
1584483428,35.271377,-97.50037,12.238264,3.21
1584483429,35.271368,-97.500335,11.878181,3.81
1584483430,35.271374,-97.500304,12.388481,4.43
1584483431,35.271435,-97.500164,5,5.06
1584483432,35.271435,-97.500114,5,5.92
1584483433,35.271435,-97.500044,5,6.54
1584483434,35.271435,-97.499972,5,6.54
1584483435,35.271435,-97.499889,5,7.34
1584483436,35.271435,-97.4998,5,7.51
1584483437,35.271435,-97.49974,5,7.16
1584483438,35.271437,-97.49966,5,7.32
1584483439,35.271439,-97.49959,5,7.12
1584483440,35.271445,-97.499509,5,7.01
1584483441,35.271454,-97.499422,5,7.09
1584483442,35.271468,-97.499347,5,7.1
1584483443,35.271484,-97.499294,5,6.64
1584483444,35.271486,-97.499288,5,7.24
1584483445,35.271538,-97.499154,5,7.31
1584483446,35.271568,-97.499089,5,7.31
1584483447,35.271606,-97.499013,5,7.77
1584483448,35.27165,-97.498935,5,7.76
1584483449,35.271694,-97.498867,5,7.36
1584483450,35.271724,-97.498829,5,7.66
1584483451,35.2718,-97.498747,5,7.67
1584483452,35.271853,-97.49869,5,7.56
1584483453,35.271902,-97.498635,5,7.67
1584483454,35.271946,-97.498584,5,7.67
1584483455,35.272004,-97.498509,5,7.41
1584483456,35.272039,-97.498455,5,7.12
1584483457,35.272071,-97.498398,5,6.16
1584483458,35.272084,-97.498374,5,4.83
1584483459,35.272114,-97.498306,5,4.83
1584483460,35.272127,-97.498275,5,3.55
1584483461,35.272144,-97.498231,5,4.06
1584483462,35.272156,-97.4982,5,5.21
1584483463,35.272179,-97.49813,5,5.21
1584483464,35.272197,-97.498064,5,6.43
1584483465,35.272214,-97.497999,5,7.2
1584483466,35.272227,-97.497926,5,6.86
1584483467,35.272235,-97.497877,5,6.83
1584483468,35.272244,-97.497808,5,6.8
1584483469,35.272249,-97.497749,5,6.39
1584483470,35.272253,-97.497671,5,6.38
1584483471,35.272254,-97.497602,5,6.21
1584483472,35.272254,-97.497535,5,6.05
1584483473,35.272254,-97.497468,5,6.04
1584483474,35.272254,-97.497385,5,6.33
1584483475,35.272254,-97.497311,5,5.97
1584483476,35.272254,-97.497247,5,5.97
1584483477,35.272254,-97.497203,5,4.36
1584483478,35.272254,-97.497184,5,3.99
1584483481,35.272254,-97.497033,5,3.96
1584483482,35.272254,-97.496995,5,5.33
1584483483,35.272254,-97.496933,5,5.32
1584483484,35.272254,-97.496873,5,7.46
1584483485,35.272254,-97.496813,5,7.05
1584483486,35.272254,-97.496737,5,7.22
1584483487,35.272254,-97.496659,5,7.22
1584483488,35.272254,-97.49656,5,7.1
1584483489,35.272254,-97.496477,5,6.77
1584483490,35.272254,-97.496409,5,6.28
1584483491,35.272254,-97.496338,5,5.3
1584483492,35.272255,-97.496297,5,4.34
1584483493,35.272255,-97.496258,5,2.83
1584483494,35.272255,-97.496224,5,2.29
