time,latitude,longitude,bearing,speed,accuracy,altitude,acc_x,acc_y,acc_z,is_Stable
1584393723,35.20464476,-97.41887577,267.5,0.48,9.939796,324.4022827,0.139613077,9.564371109,1.951776505,1
1584393725,35.20464366,-97.41889416,265.1,1.17,9.95462,324.6547852,-0.60243243,9.703678131,1.540675282,1
1584393726,35.20463909,-97.41891239,257.3,1.95,9.957157,324.3458252,-1.378936052,9.452152252,2.466066837,0
1584393727,35.2046257,-97.41893384,238.4,2.71,9.99733,324.4525146,-1.257872224,9.382867813,2.623615742,0
1584393728,35.20460342,-97.41895056,211.5,3.05,9.956076,324.6219482,-0.832582712,9.592564583,1.955830216,0
1584393729,35.20457338,-97.41895355,185.6,3.53,10.009857,324.6147461,0.062589213,9.235453606,1.755531192,0
1584393730,35.20454126,-97.41895153,173.8,3.9,9.959832,324.4835815,1.419351459,9.521989822,1.628755331,0
1584393731,35.20450277,-97.41895385,180.6,4.22,9.95158,324.4819336,2.363169909,9.383420944,2.013321638,0
1584393732,35.20446649,-97.41896691,196.7,4,9.959095,324.7374268,1.627757907,9.316717148,2.375591755,0
1584393733,35.20443884,-97.41899375,217.8,4,9.956245,325.048584,1.261065602,9.805025101,2.171975851,0
1584393734,35.20442427,-97.41903118,242.4,3.89,10.002962,325.098877,0.526390791,9.359098434,1.410213947,0
1584393735,35.20441757,-97.41907624,260,4.59,9.952287,324.5871582,0.201527014,9.971419334,1.599456549,0
1584393736,35.20441457,-97.41913609,266.3,5.76,9.943279,324.9902344,0.341754615,9.685803413,1.509902477,0
1584393737,35.20441327,-97.41920261,268.6,6.32,10.013375,325.1348877,0.070697002,9.610807419,1.960989594,0
1584393738,35.20441332,-97.41927642,270.9,6.75,10.031491,325.0958862,0.144956842,9.311740875,2.35053134,0
1584393739,35.20441512,-97.41934959,272.7,6.73,9.961036,324.8215332,-0.3448264,9.07053566,2.116695881,0
1584393740,35.20441764,-97.41942221,272.5,6.45,9.952619,325.0557251,0.391875386,9.616888046,2.056992769,0
1584393741,35.20442038,-97.41949196,271.7,6.53,9.951924,324.8397217,0.508885324,9.545945168,2.740441561,0
1584393742,35.20442278,-97.41955967,271.3,6.16,9.950062,324.4871826,0.504462838,9.603252411,3.110266447,0
1584393743,35.20442358,-97.41962196,271.2,5.55,9.947419,324.5244141,0.228798628,9.522174835,2.689583302,0
1584393744,35.20442411,-97.41967985,271,4.92,9.94981,324.5056152,0.371605933,9.5020895,2.630433559,0
1584393745,35.2044246,-97.41973248,270.9,4.42,9.9542885,325.3137207,0.543343365,9.333668709,2.744495153,0
1584393746,35.20442548,-97.41977841,270.8,4.19,9.999814,325.2747192,0.399246097,9.832849503,2.592658758,0
1584393747,35.20442601,-97.41982459,270.4,4,9.964913,325.3898926,-0.372650802,9.247615814,2.773977995,0
1584393748,35.20442663,-97.41986801,270.3,3.8,10.005987,325.3790894,0.909667313,8.631240845,3.211061001,0
1584393749,35.20442749,-97.41990575,270.2,3.14,10.01559,325.2908936,0.268416107,9.265859604,2.410418034,0
1584393750,35.20442666,-97.41993414,270.1,2.2,10.006851,325.1608887,-0.020883994,9.265489578,2.329524755,0
1584393751,35.20442671,-97.41995663,269.8,1.87,10.00613,325.2485352,0.761516273,9.409401894,1.689010739,0
1584393752,35.20442751,-97.41997797,269.8,2,10.005871,325.2452393,1.527700901,9.791021347,1.399710417,0
1584393753,35.20443663,-97.42000865,282.1,3.25,9.961413,325.2699585,3.533085108,9.531388283,0.624128401,0
1584393754,35.20446058,-97.4200361,313.4,4.13,9.958358,325.4138184,0.563981354,10.10095882,0.924484372,0
1584393755,35.20449994,-97.42004173,347.9,5.11,10.055923,325.755127,0.241144508,9.378076553,1.153160572,0
1584393756,35.20455732,-97.42004663,359,6.67,9.940653,326.0739746,-0.251586974,9.797102928,1.262431026,0
1584393757,35.20462426,-97.42004757,359.4,7.74,9.948772,326.0819702,-0.223578349,9.328325272,1.349774003,0
1584393758,35.20469857,-97.42004572,359.8,8.58,9.948279,326.3778687,0.010625794,9.505222321,1.590795994,0
1584393759,35.2047784,-97.42004423,0,9.4,9.949504,326.460083,-0.57774061,10.00458717,2.319758654,0
1584393760,35.20486663,-97.42004197,0.2,9.82,9.951488,326.4099731,-0.467548579,9.325008392,2.522821188,0
1584393761,35.20495525,-97.42004176,359.2,9.82,9.94882,326.5039063,-0.263748676,8.240962029,2.158340216,0
1584393762,35.2050429,-97.42004378,358.7,9.8,9.951006,326.5394287,0.361471236,10.26974869,3.305221558,0
1584393763,35.20512892,-97.42004712,358.7,9.56,9.953523,326.6986084,0.266757727,9.622232437,2.676685095,0
1584393764,35.20521302,-97.42004851,359.2,9.12,9.954263,326.71521,0.697943807,9.660927773,2.834970713,0
1584393765,35.20529314,-97.42004818,359.7,8.79,9.953499,326.6757813,0.341017544,8.891795158,3.588072538,0
1584393766,35.20536476,-97.42004752,0.3,7.64,9.948663,325.5432739,-2.388353825,10.20083237,4.338594437,0
1584393768,35.20547215,-97.4200707,339.1,5.62,9.952284,325.9645996,-2.054461002,9.148480415,3.312961102,0
1584393769,35.20550979,-97.42011888,311.1,6.27,10.015385,326.0244141,-3.286105156,9.818844795,2.875325441,0
1584393770,35.20552953,-97.42018587,284.2,7.01,10.009016,326.383667,-1.530772567,8.92035675,1.112805963,0
1584393771,35.2055305,-97.42025914,270.2,7.43,9.959204,326.4630127,-1.049097061,9.269174576,1.58121419,0
1584393772,35.20552975,-97.42034833,268.3,8.47,9.954788,326.0984497,0.259202749,9.765591621,1.621200085,0
1584393773,35.20552988,-97.42045072,268.7,9.42,9.965066,326.4581299,-0.186171994,9.519411087,1.209914923,0
1584393774,35.20552848,-97.42056347,268.9,10.46,9.956949,326.7016602,-0.241268009,9.627206802,1.822052002,0
1584393775,35.20552747,-97.42067927,269.1,10.61,9.961224,326.7576904,0.314667255,9.257935524,2.138807774,0
1584393776,35.20552613,-97.42079399,269.2,10.48,9.954651,326.2650757,-0.045760103,9.242640495,2.385910988,0
1584393777,35.20552697,-97.42091013,269.6,10.51,9.953571,325.7950439,0.006019074,8.930307388,2.139913559,0
1584393778,35.20552701,-97.42102731,269.8,10.66,9.957299,325.7556152,0.690941691,9.722105026,1.784092665,0
1584393779,35.20552838,-97.42114046,270.3,10.56,10.002178,325.6185303,0.170754269,10.04567814,2.146362782,0
1584393780,35.20552934,-97.42125815,270.1,10.57,10.014175,325.5362549,0.138507485,9.155481339,2.13567543,0
1584393781,35.20553047,-97.42137544,269.8,10.64,9.957991,325.2851563,0.299557328,10.08990383,2.863716364,0
