time,lat,lng,alt,spd,eps,epx,epv,ept,climb,track
1564393469,35.1935825,-97.42299244,304.953,3.254,0.9,33.669,114.31,0.005,0.05,107.4778
1564393470,35.1935737,-97.42293104,305.644,3.959,0.82,33.669,114.08,0.005,0.054,102.1527
1564393471,35.19357439,-97.42287898,306.09,4.207,0.84,33.669,114.08,0.005,0.059,96.7473
1564393472,35.19357605,-97.42282964,306.367,4.265,0.94,33.669,114.08,0.005,0.061,94.0295
1564393473,35.19357646,-97.42278515,306.666,4.112,0.95,33.669,114.08,0.005,0.065,92.8543
1564393474,35.19357946,-97.42274501,307.046,3.845,0.91,33.669,114.08,0.005,0.065,91.0521
1564393475,35.19358291,-97.42270843,307.353,3.528,0.88,33.669,114.08,0.005,0.063,87.5419
1564393476,35.19358189,-97.42267619,307.669,3.168,0.94,33.669,114.08,0.005,0.07,88.2357
1564393477,35.19360143,-97.42263523,307.961,3.439,1.06,33.669,114.08,0.005,0.063,73.8128
1564393478,35.19362254,-97.42260847,308.249,3.21,1.13,33.669,114.08,0.005,0.07,61.3106
1564393479,35.19365515,-97.42258567,308.619,3.392,1.03,33.669,114.08,0.005,0.072,44.7528
1564393480,35.19369748,-97.42258597,309.023,3.645,1.01,33.669,114.31,0.005,0.074,22.2191
1564393481,35.19374553,-97.42258199,309.653,4.329,0.91,33.669,114.31,0.005,0.075,8.7009
1564393482,35.19379319,-97.42257692,310.137,4.791,0.86,33.669,114.31,0.005,0.08,4.2576
1564393483,35.19383883,-97.42257425,310.313,4.976,0.87,33.669,114.31,0.005,0.081,2.304
1564393484,35.19388345,-97.42256906,310.755,4.902,0.93,33.669,114.31,0.005,0.088,3.2419
1564393485,35.19391828,-97.42256925,311.052,4.376,0.99,33.669,114.31,0.005,0.085,2.9529
1564393486,35.19395934,-97.42257379,311.517,4.526,1.05,33.669,114.31,0.005,0.093,357.996
1564393487,35.19399426,-97.42258169,312.131,4.32,1.13,33.669,137.54,0.005,0.11,354.9268
1564393488,35.19400895,-97.42258218,312.387,3.28,1.08,33.669,137.54,0.005,0.105,358.5362
1564393489,35.19401601,-97.4225836,312.578,2.372,1.01,33.669,114.31,0.005,0.108,1.3381
1564393490,35.19403,-97.42259473,312.772,2.181,1,33.669,114.31,0.005,0.106,350.7112
1564393491,35.19404973,-97.42260404,312.982,2.344,1.08,33.669,114.54,0.005,0.102,345.0953
1564393492,35.19408078,-97.4226261,313.302,3.126,0.94,33.669,114.54,0.005,0.105,335.7872
1564393493,35.19411151,-97.42266562,313.726,4,0.85,33.669,114.54,0.005,0.11,324.3706
1564393494,35.19412529,-97.42271982,313.814,4.345,0.97,33.669,114.54,0.005,0.108,309.6923
1564393495,35.19413264,-97.42280176,314.098,5.463,0.91,33.669,114.54,0.005,0.111,293.4438
1564393496,35.19413869,-97.4228914,314.516,6.57,0.87,33.669,114.54,0.005,0.116,284.7051
1564393497,35.19414249,-97.42298362,315.115,7.369,0.85,33.669,114.54,0.005,0.13,279.513
1564393498,35.19415264,-97.42307832,315.791,8.039,0.82,33.669,115.23,0.005,0.135,278.1556
1564393499,35.19416492,-97.42317506,316.306,8.493,0.79,33.669,115.23,0.005,0.13,278.1614
1564393500,35.19417783,-97.42327112,316.6,8.728,0.72,33.669,115.23,0.005,0.131,278.4217
1564393501,35.19418975,-97.42335907,317.033,8.464,0.7,33.669,115.23,0.005,0.138,278.5672
1564393502,35.19420504,-97.42343616,317.264,7.8,0.68,33.669,115.23,0.005,0.136,280.3185
1564393503,35.1942204,-97.42350585,317.762,7.08,0.68,33.669,115.46,0.005,0.137,281.473
1564393504,35.19423258,-97.42356335,318.119,6.028,0.69,33.669,115.46,0.005,0.141,281.9349
1564393505,35.19424242,-97.42360565,318.602,4.818,0.69,33.669,115.46,0.005,0.144,282.5709
1564393506,35.1942449,-97.42363473,318.454,3.453,0.74,33.669,115.46,0.005,0.13,280.7226
1564393507,35.19424949,-97.42364709,318.843,2.153,0.7,33.669,114.77,0.005,0.132,280.9426
1564393508,35.19425243,-97.4236559,319.214,1.426,0.68,33.669,114.77,0.005,0.138,281.404
1564393509,35.19425676,-97.42367083,319.659,1.54,0.69,33.669,114.77,0.005,0.145,282.6889
1564393510,35.19426687,-97.42369214,319.648,2.026,0.78,33.669,114.77,0.005,0.133,293.2527
1564393511,35.19428909,-97.42372232,319.727,2.993,0.79,33.669,114.77,0.005,0.132,303.0504
1564393512,35.19432824,-97.42375631,319.953,4.154,0.76,33.669,114.77,0.005,0.132,313.6651
1564393513,35.19437947,-97.42377676,320.014,4.861,0.77,33.669,114.77,0.005,0.125,326.3869
1564393514,35.19443722,-97.42378936,320.384,5.315,0.9,33.669,115,0.005,0.128,335.9489
