time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
1564375469,35.19364926,-97.42293546,115.6,4.10078,3,324,9.94,0.255,-2.194,0
1564375470,35.1936445,-97.42288,93.7,4.660869,3,324,9.902,0.887,-2.08,0
1564375471,35.19364531,-97.42282091,93.3,4.790042,3,323,10.093,1.157,-1.96,0
1564375472,35.19364844,-97.42276525,91.1,4.4009204,3,322,9.893,1.207,-1.809,0
1564375473,35.19365235,-97.42271457,90,4.0504446,3,322,9.867,1.36,-1.912,0
1564375474,35.19365561,-97.4226706,90.4,3.5205114,3,321,9.893,1.177,-2.182,0
1564375475,35.19365659,-97.42263414,90.8,3.100145,3,320,9.866,0.931,-2.446,0
1564375476,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1564375477,35.1936664,-97.42257212,77.3,2.6715164,3,320,9.725,0.768,-2.909,0
1564375478,35.19368167,-97.42254372,57.7,3.1426902,3,320,9.812,0.689,-2.946,0
1564375479,35.19370839,-97.42252114,36.9,3.5431767,3,320,9.798,0.512,-2.723,0
1564375480,35.19374307,-97.42250774,21.8,3.6600547,3,320,9.975,0.525,-2.224,0
1564375481,35.19378673,-97.42250012,6.9,4.8901634,3,320,10.104,0.572,-2.105,0
1564375482,35.19386078,-97.42251898,3.7,5.2000384,3,320,9.948,1.025,-2.363,0
1564375483,35.1939118,-97.42250613,4,5.4,3,320,9.909,1.486,-2.021,0
1564375484,35.1939462,-97.42250787,0.9,4.951454,3,320,9.939,2.053,-2.171,0
1564375485,35.19398361,-97.42251014,359.9,4.033175,3,320,9.977,2.7,-2.05,0
1564375486,35.19400425,-97.42250656,1.3,2.84176,3,320,10.028,2.438,-1.927,0
1564375487,35.19402678,-97.42250633,0.8,2.0003998,3,320,10.083,2.003,-1.795,0
1564375488,35.1940415,-97.42251313,0.7,1.622498,3,319,10.072,2.159,-1.869,0
1564375489,35.19405264,-97.42250983,0.3,1.1344161,3,318,9.992,0.835,-1.858,0
1564375490,35.19406684,-97.42251097,0.3,1.525549,3,318,9.793,1.005,-2.375,0
1564375491,35.19408699,-97.42251934,337.2,2.270088,3,318,9.728,0.427,-2.882,0
1564375492,35.1941207,-97.42253725,334.1,3.6654603,3,318,9.65,0.003,-3.038,0
1564375493,35.19414405,-97.42258042,307.8,4.7423725,3,317,9.627,0.223,-3.432,0
1564375494,35.19416933,-97.42264113,292.8,5.8562274,3,317,9.576,0.267,-3.504,0
1564375495,35.19418381,-97.42272817,286.8,7.3824453,3,317,9.669,0.851,-2.553,0
1564375496,35.19419572,-97.42281611,281.4,7.8518405,4,317,9.755,1.07,-2.158,0
1564375497,35.19419461,-97.42291187,274.8,8.40859,3,315,9.98,1.196,-1.924,0
1564375498,35.19419974,-97.42301276,276,8.92809,3,315,10.024,1.507,-2.074,0
1564375499,35.19420293,-97.42311363,277.1,9.214564,3,314,10.097,1.779,-2.226,0
