time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
1564375469,35.19371256,-97.42298416,98.1,4.1722894,9,315,-1.319,-0.439,9.654,1
1564375470,35.19370488,-97.42292847,94.4,4.66,9,314,-1.107,0.086,9.568,1
1564375471,35.19369789,-97.42286947,90.5,4.68,9,313,-0.724,0.311,9.683,1
1564375472,35.19369543,-97.42281128,91.6,4.3911386,9,313,-0.594,0.663,9.646,1
1564375473,35.19369268,-97.42275823,90.3,4.0101123,9,312,-0.513,0.683,9.69,1
1564375474,35.19369025,-97.4227108,90.3,3.5716944,9,310,-0.395,0.695,9.53,1
1564375475,35.19368713,-97.42266913,90.3,3.1104016,9,310,-0.623,-0.024,9.54,1
1564375476,35.19368759,-97.42263096,86.3,2.980151,9,310,-0.591,-0.329,9.542,1
1564375477,35.19369438,-97.42259373,75.8,2.9681644,9,312,-0.6,-0.582,9.568,1
1564375478,35.19371091,-97.42255835,58.9,3.3118572,9,312,-0.582,-0.663,9.527,1
1564375479,35.19373724,-97.42252852,41,3.5608988,9,311,-0.769,-0.404,9.541,1
1564375480,35.19377213,-97.42250599,27.4,3.9600127,9,312,-0.962,0.137,9.733,1
1564375481,35.19381071,-97.42249395,15.9,3.9002054,9,312,-0.877,0.064,9.63,1
1564375482,35.1938514,-97.42248912,8.6,4.200583,10,312,-0.619,0.496,9.596,1
1564375483,35.19389978,-97.42248808,4.1,4.9712167,10,311,-0.013,0.736,9.586,1
1564375484,35.19394965,-97.42248962,2.1,4.9219913,9,312,0.555,1.23,9.651,1
1564375485,35.19399518,-97.42249254,1.9,4.2402945,9,311,0.733,1.39,9.658,1
1564375486,35.19403449,-97.42249348,2.2,3.8603237,9,312,0.262,1.289,9.674,1
1564375487,35.19406329,-97.42249345,2.9,2.5114937,9,313,0.022,1.132,9.617,1
1564375488,35.19408218,-97.42249193,3.2,2.040882,9,313,-0.325,0.955,9.653,1
1564375489,35.19409619,-97.42249051,4.2,1.6800296,9,313,-1.19,0.263,9.628,1
1564375490,35.19410748,-97.42248961,5.2,1.6814576,9,313,-0.656,-0.157,9.601,1
1564375491,35.19412499,-97.42248629,344.1,2.6915052,9,309,-0.98,-0.784,9.652,1
1564375492,35.19415241,-97.42249732,339.7,3.721626,9,311,-1.012,-1.009,9.577,1
1564375493,35.19417956,-97.4225196,330.7,3.6998649,9,310,-0.767,-1.153,9.519,1
1564375494,35.19418691,-97.42263083,294.2,6.1039658,9,312,-0.459,-0.703,9.489,1
1564375495,35.19419637,-97.42271254,282.9,7.0041127,9,312,-0.449,0.067,9.643,1
1564375496,35.19418394,-97.42278588,278.8,6.8901157,10,311,-0.563,0.572,9.663,1
1564375497,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1564375498,35.19419387,-97.4229819,276.2,8.86163,10,313,-0.642,0.689,9.609,1
1564375499,35.19420123,-97.42310554,276.8,9.216274,10,314,-0.23,0.741,9.832,1
1564375500,35.19420746,-97.42319974,276.4,9.037173,10,312,0.133,0.658,9.486,0
1564375501,35.19421618,-97.42330358,277.5,8.663901,10,312,0.235,1.311,10.007,0
1564375502,35.1942342,-97.42339368,281,7.771261,9,312,0.421,1.237,9.781,0
1564375503,35.19425785,-97.4234561,283.5,6.8723574,9,312,0.62,0.871,9.798,0
1564375504,35.19427028,-97.42352045,283.8,5.6807127,9,312,0.954,1.189,9.652,0
1564375505,35.19427733,-97.42357509,280.8,4.90001,10,311,1.093,1.18,9.662,0
1564375506,35.19427483,-97.42361261,275.3,3.8504674,10,311,0.777,1.008,9.693,0
1564375507,35.19428106,-97.42360087,283.6,1.4503103,10,311,0.302,0.83,9.652,0
1564375508,35.19428106,-97.42360087,-1,-1,-1,-1,-0.46,0.553,9.59,0
1564375509,35.19428714,-97.42362139,293.2,1.1652038,9,317,-1.526,0.214,9.597,1
1564375510,35.1942919,-97.42364268,287.9,2.3700843,9,316,-2.069,0.512,9.663,1
1564375511,35.19431405,-97.42366073,299.8,2.9124732,9,315,-2.287,1.717,9.661,0
1564375512,35.19435588,-97.4237,315.6,4.9873137,9,314,-2.716,2.592,9.835,0
1564375513,35.19440567,-97.42372217,341.9,5.9502096,9,313,-2.87,2.113,9.6,0
1564375514,35.1944548,-97.4237319,358,7.5621424,9,311,-2.629,1.399,9.689,0
1564375515,35.19454949,-97.42370752,8.2,9.240087,9,311,-2.255,0.36,9.669,0
