time,lat,lng,alt,spd,eps,epx,epv,ept,climb,track
1564393469,35.19367652,-97.42289778,353.978,4.415,0.8,2.63,12.592,0.005,-0.186,101.7156
1564393470,35.19366651,-97.42284779,353.715,4.736,0.62,2.63,12.592,0.005,-0.106,94.1363
1564393471,35.19366345,-97.42279846,353.71,4.485,0.73,2.63,12.592,0.005,-0.053,91.8695
1564393472,35.19366065,-97.42275126,353.422,4.287,0.82,2.63,12.592,0.005,-0.055,89.3179
1564393473,35.19365484,-97.42270971,353.278,3.723,0.77,2.63,12.592,0.005,0.013,91.8406
1564393474,35.19365016,-97.42267323,352.764,3.284,0.72,2.63,12.592,0.005,0.009,91.1775
1564393475,35.19364997,-97.4226402,352.69,2.924,0.9,2.63,12.592,0.005,-0.031,87.1757
1564393476,35.19364665,-97.42260931,351.858,2.883,0.74,2.63,12.592,0.005,-0.063,78.3297
1564393477,35.19365202,-97.4225765,350.321,3.056,0.94,2.63,12.592,0.005,-0.081,60.5779
1564393478,35.19367141,-97.42255064,349.994,3.236,0.81,2.63,12.592,0.005,-0.083,43.1804
1564393479,35.19370575,-97.42253684,349.902,3.773,0.64,2.63,12.592,0.005,-0.07,19.8182
1564393480,35.19375066,-97.42251278,350.315,4.354,0.89,2.63,12.592,0.005,-0.053,10.3464
1564393481,35.19380223,-97.42249293,350.113,4.995,0.77,2.63,12.592,0.005,-0.09,5.6818
1564393482,35.19384572,-97.42249507,349.413,5.248,0.5,2.63,12.592,0.005,-0.077,2.4397
1564393483,35.19389157,-97.42249523,348.881,5.245,0.47,2.63,12.592,0.005,-0.08,1.0037
1564393484,35.19393394,-97.42249281,348.114,4.519,0.46,2.63,12.592,0.005,-0.125,1.2846
1564393485,35.19396317,-97.42249425,347.559,3.465,0.46,2.63,12.592,0.005,-0.107,359.6775
1564393486,35.19398777,-97.42249433,347.141,2.362,0.41,2.63,12.592,0.005,-0.104,0.8107
