time,latitude,longitude,bearing,speed,accuracy,altitude,acc_x,acc_y,acc_z,is_Stable
1565124328,35.21843273,-97.51333951,0,0.05,3,324,3.492,5.305,7.942,0
1565124329,35.21843273,-97.51333951,0,0.05,3,324,-0.252,5.548,7.546,0
1565124330,35.21843273,-97.51333951,0,0.05,3,324,-5.25,5.617,0.522,0
1565124331,35.218442,-97.5133343,0,0,3,323,-8.381,3.733,-3.826,0
1565124332,35.218442,-97.5133343,0,0,3,323,-2.796,7.689,-1.401,0
1565124333,35.218442,-97.5133343,0,0,3,323,3.848,10.443,-3.687,0
1565124334,35.218442,-97.5133343,0,0,3,323,8.86,4.126,-1.686,0
1565124335,35.218442,-97.5133343,0,0,3,323,9.728,2.705,-2.066,0
1565124336,35.21843359,-97.51332967,0,0,3,323,9.865,2.439,-2.103,0
1565124337,35.21843359,-97.51332967,0,0,3,323,9.92,2.308,-2.07,0
1565124338,35.21843359,-97.51332967,0,0,3,323,10.049,1.425,-2.185,0
1565124339,35.21843359,-97.51332967,0,0,3,323,9.952,1.348,-2.753,0
1565124340,35.21843833,-97.51334478,272.7,1.3064837,3,322,9.698,2.548,-3.131,0
1565124341,35.21844059,-97.51336081,269.8,2.2428775,3,324,9.683,2.761,-2.955,0
1565124342,35.21843693,-97.51338221,241.2,2.0915306,3,324,9.592,2.887,-3.258,0
1565124344,35.21841122,-97.51341223,217,2.1276276,3,323,9.574,2.782,-3.201,0
1565124345,35.21839039,-97.51341161,148.7,2.3821,3,323,9.632,2.653,-3.353,0
1565124346,35.21836788,-97.51339514,150.5,2.7100737,3,323,9.68,2.231,-3.131,0
1565124347,35.2183515,-97.51335914,121.1,3.5114243,3,322,9.913,1.726,-2.602,0
1565124348,35.2183431,-97.51331126,105.3,4.0010123,3,322,9.94,1.729,-2.198,0
1565124349,35.21834055,-97.51325449,96.4,4.78,3,321,9.939,2.23,-2.153,0
1565124350,35.21835868,-97.51315934,90.6,5.150039,3,321,9.948,2.058,-2.102,0
1565124351,35.21835719,-97.51309724,88.6,5.7100086,3,322,9.83,1.993,-2.077,0
1565124352,35.21835245,-97.51303138,90.8,6.01,3,322,9.975,2.026,-2.27,0
1565124353,35.21835502,-97.5129582,89.8,6.6802692,3,322,9.867,1.916,-2.122,0
1565124354,35.21835464,-97.51288374,89.6,7.140252,3,322,9.956,1.95,-2.167,0
1565124355,35.21835058,-97.51280292,90.1,7.6200066,3,321,9.919,1.869,-1.9,0
1565124356,35.21834979,-97.51270942,90.4,8.150005,3,320,10.074,2.009,-2.051,0
1565124357,35.21834914,-97.51261655,91.2,8.600053,3,321,9.937,2.365,-2.095,0
1565124358,35.21834545,-97.51252176,91.4,8.65,3,320,9.887,2.516,-2.129,0
1565124359,35.21834146,-97.5124311,91.2,8.530005,3,320,9.921,2.558,-2.141,0
1565124360,35.21833897,-97.51234109,90.8,8.370024,3,320,9.751,2.578,-2.094,0
1565124361,35.21833563,-97.51225067,90.2,8.2,3,319,9.741,3.899,-2.079,0
1565124362,35.2183371,-97.51217212,89.2,7.3001094,3,319,9.771,4.565,-2.053,0
1565124363,35.21833726,-97.51211216,88.9,5.5803223,3,319,9.713,4.824,-2.17,0
1565124364,35.21833665,-97.51208198,88,3.2903798,3,319,9.638,4.298,-2.024,0
1565124365,35.21833665,-97.51208198,88,3.2903798,3,319,9.83,3.046,-2.053,0
1565124366,35.21832348,-97.51208353,0,0,3,319,9.92,2.357,-2.014,0
1565124367,35.21832348,-97.51208353,0,0,3,319,10.218,0.411,-2.038,0
1565124368,35.21832238,-97.51206949,93.9,0.9000555,3,318,10.171,0.068,-2.042,0
1565124369,35.21832074,-97.51203135,94.4,3.1903918,3,318,10.105,0.244,-1.97,0
1565124370,35.21831889,-97.51196661,92.5,5.3302345,3,318,10.108,0.492,-2.028,0
1565124371,35.21832327,-97.51187939,91.2,7.46006,3,318,9.869,1.093,-2.054,0
1565124373,35.218321,-97.51166217,90.8,10.13,3,319,9.878,1.331,-2.162,0
1565124374,35.2183261,-97.51153735,90.4,10.980041,3,319,9.798,1.46,-2.115,0
1565124375,35.21832878,-97.51140701,90.1,11.660017,3,318,9.798,1.909,-2.102,0
1565124376,35.21832847,-97.51127416,89.5,11.930005,3,319,9.97,2.075,-2.171,0
1565124377,35.2183369,-97.51113276,89.6,12.080016,3,318,9.978,2.137,-1.974,0
1565124378,35.21833806,-97.51100288,89.9,12.160037,3,316,9.957,2.087,-2.083,0
1565124379,35.21834339,-97.51085735,90,12.320036,3,316,9.88,2.039,-1.917,0
1565124380,35.21834064,-97.51071899,90.5,12.410065,3,316,9.751,2.136,-2.122,0
1565124381,35.2183527,-97.51057825,90,12.54,3,317,9.681,2.022,-2.085,0
1565124382,35.21836191,-97.51043577,89.6,12.630254,3,317,10.298,2.133,-2.325,0
1565124383,35.21836027,-97.51029811,89.5,12.69,3,318,9.928,2.21,-2.264,0
1565124384,35.21836437,-97.51015545,89.5,12.730015,3,317,9.931,2.18,-2.226,0
1565124385,35.21836649,-97.51001429,90.1,12.810005,3,318,9.779,2.103,-2.133,0
1565124386,35.21836994,-97.50987489,90.6,12.850316,3,317,10.049,2.209,-2.203,0
1565124387,35.21837166,-97.50973105,90.2,12.900139,3,317,9.84,2.215,-2.31,0
1565124388,35.21837063,-97.50958393,90.2,12.960312,3,317,10.177,2.206,-2.418,0
1565124389,35.21837181,-97.50944067,90.1,13.050004,3,320,9.489,2.013,-2.045,0
1565124390,35.21836548,-97.50930142,89.9,13.170061,3,318,9.962,2.163,-2.218,0
1565124391,35.21836542,-97.5091575,89.7,13.250034,3,317,9.68,2.075,-2.184,0
1565124392,35.21836426,-97.50900821,90.1,13.25,3,317,9.994,2.051,-2.087,0
1565124393,35.21836314,-97.50886247,89.7,13.380239,3,316,10.193,2.093,-2.011,0
1565124394,35.21836605,-97.5087102,90.2,13.490004,3,315,10.01,2.013,-1.871,0
1565124395,35.21836591,-97.50856383,89.8,13.590015,3,314,9.927,2.047,-1.886,0
1565124396,35.21836429,-97.50841347,90,13.630092,3,313,9.795,2.181,-1.8,0
1565124397,35.21836049,-97.50826058,90.5,13.680034,3,314,9.948,2.049,-2,0
1565124398,35.21835744,-97.5081049,90.8,13.74,3,313,10.035,2.156,-2.357,0
1565124399,35.21835639,-97.50795327,90.5,13.800091,3,313,9.877,1.995,-2.185,0
1565124400,35.21835269,-97.50780073,90.1,13.830032,3,314,9.675,2.144,-2.154,0
1565124401,35.21835618,-97.50764686,89.9,13.840014,3,314,10.014,2.763,-2.035,0
1565124402,35.21835091,-97.50749903,89.9,13.560015,3,314,9.688,2.448,-1.767,0
1565124403,35.21834738,-97.50736174,90.1,13.14,3,315,10.365,2.711,-2.4,0
1565124404,35.21834746,-97.50722476,90.1,12.73,3,314,10.239,2.322,-2.264,0
1565124405,35.21834332,-97.50708859,90.1,12.320146,3,314,9.884,2.034,-2.017,0
1565124406,35.21834058,-97.50694942,90.1,12.330101,3,313,10.408,1.952,-2.073,0
1565124407,35.21834212,-97.50681276,90.1,12.380146,3,314,10.209,1.853,-2.075,0
1565124408,35.21835365,-97.50666833,90.2,12.4201975,3,314,9.836,2.27,-1.843,0
1565124409,35.21835293,-97.50653579,90.4,12.390259,3,315,9.667,2.453,-1.609,0
1565124411,35.21834598,-97.50627899,92.2,11.470005,3,316,9.813,2.036,-1.877,0
1565124412,35.21834287,-97.50615259,92,11.420215,3,317,9.947,2.326,-2.154,0
