time,latitude,longitude,bearing,speed,accuracy,altitude,acc_x,acc_y,acc_z,is_Stable
1565124328,35.21843291,-97.51329793,0,0,5,317,-1.915,3.497,9.198,0
1565124329,35.21843291,-97.51329793,0,0,5,317,-1.926,3.506,9.197,0
1565124330,35.21843291,-97.51329793,0,0,5,317,-1.95,3.514,9.179,0
1565124331,35.21843291,-97.51329793,0,0,5,317,-1.946,3.509,9.188,0
1565124332,35.21843291,-97.51329793,0,0,5,317,-1.925,3.517,9.127,0
1565124333,35.21843291,-97.51329793,0,0,5,317,-1.951,3.527,9.15,0
1565124334,35.21843291,-97.51329793,0,0,5,317,-1.966,3.497,9.173,0
1565124335,35.21843291,-97.51329793,0,0,5,317,-2.218,4.369,8.863,0
1565124336,35.21843291,-97.51329793,0,0,5,317,-3.217,4.342,8.675,0
1565124340,35.21844255,-97.51331528,309.2,1.4701362,3,318,-3.341,3.007,9.058,0
1565124341,35.21844377,-97.51334604,279.8,2.3707592,3,318,-3.123,2.586,9.109,0
1565124342,35.21844329,-97.51336807,260.4,2.3521266,3,318,-3.447,2.501,9.204,0
1565124343,35.21842969,-97.51338626,220.2,2.2032702,3,317,-3.451,2.505,9.11,0
1565124345,35.21839448,-97.5133987,160.9,2.5323703,3,316,-3.647,2.487,9.218,0
1565124346,35.21837152,-97.51338214,154.3,2.9548943,3,316,-3.525,2.943,8.96,0
1565124347,35.21835165,-97.51335391,126.8,3.4614449,3,317,-2.979,3.519,8.956,0
1565124348,35.21834003,-97.51330923,106.9,4.2002974,3,317,-2.618,3.744,8.912,0
1565124349,35.21833416,-97.51325411,90.9,4.940091,3,317,-2.408,3.517,9.025,0
1565124350,35.21834222,-97.51317427,89.9,5.2,3,317,-2.386,3.639,8.928,0
1565124351,35.21834343,-97.51311923,88.7,5.6003213,3,317,-2.27,3.686,9.007,0
1565124352,35.21834713,-97.51305263,90,6.001008,3,316,-2.553,3.593,9.35,0
1565124353,35.21834552,-97.51297255,89,6.6801195,3,316,-2.498,3.786,9.127,0
1565124354,35.21834254,-97.51289461,89,7.080113,3,317,-2.52,3.751,8.859,0
1565124355,35.21834739,-97.51281954,89.6,7.39,3,318,-2.131,3.805,8.892,0
1565124356,35.21834594,-97.51272837,90.1,8.160024,3,318,-2.251,3.793,9.13,0
1565124357,35.2183415,-97.51262948,90.9,8.590006,3,319,-2.242,3.383,9.32,0
1565124358,35.21833946,-97.51253364,91.5,8.640006,3,320,-2.236,3.181,9.219,0
1565124359,35.21834087,-97.5124369,91,8.540052,3,321,-2.171,3.16,9.347,0
1565124360,35.21834092,-97.51233871,91.3,8.310386,3,321,-2.029,3.031,8.981,0
1565124361,35.21833703,-97.51224869,90.4,8.200055,3,321,-1.469,1.996,9.421,0
1565124362,35.21833723,-97.51217192,89.8,7.3100066,3,321,-1.347,1.465,9.735,0
1565124363,35.21833548,-97.51211143,90,5.4600368,3,321,-1.274,1.051,9.612,0
1565124364,35.21833822,-97.51207439,89,3.261242,3,321,-1.506,1.647,9.424,0
1565124365,35.21833822,-97.51207439,89,3.261242,3,321,-1.825,2.548,9.132,0
1565124366,35.21833822,-97.51207439,89,3.261242,3,321,-2.193,3.395,9.109,0
1565124367,35.21833822,-97.51207439,89,3.261242,3,321,-2.721,4.834,8.648,0
1565124368,35.21834017,-97.51205784,89.6,0.9702062,3,322,-2.962,5.328,8.632,0
1565124369,35.21834058,-97.51201956,90.4,3.420234,3,322,-2.944,5.125,8.261,0
1565124370,35.21833834,-97.51195506,90.1,5.5500813,3,322,-2.817,4.932,8.485,0
1565124371,35.2183359,-97.51187128,90.2,7.5900593,3,322,-2.66,4.411,9.068,0
1565124372,35.21833475,-97.51177592,90.4,9.060022,3,322,-2.455,4.107,8.897,0
1565124373,35.21833806,-97.51165906,90.2,10.2,3,322,-2.434,3.974,8.965,0
1565124374,35.21833704,-97.51153137,90.4,11.0001135,3,321,-2.382,3.439,9.219,0
1565124375,35.21833801,-97.51139904,90,11.720017,3,321,-2.199,3.444,8.826,0
1565124376,35.21833735,-97.51126906,89.5,11.950105,3,321,-2.202,3.443,8.905,0
1565124378,35.21833357,-97.51099706,89.8,12.1800165,3,321,-2.146,3.469,8.983,0
1565124379,35.218334,-97.51086007,90.3,12.290005,3,321,-2.011,3.44,9.232,0
1565124380,35.21833042,-97.51072076,90.5,12.400016,3,321,-2.333,3.437,8.884,0
1565124381,35.21832891,-97.51058103,89.9,12.570004,3,321,-2.106,3.262,8.732,0
1565124382,35.21832631,-97.51044649,89.7,12.650003,3,321,-2.236,3.176,8.91,0
1565124383,35.21832632,-97.51030889,89.5,12.68,3,322,-2.228,3.222,8.849,0
1565124384,35.218327,-97.51016546,89.5,12.76,3,322,-2.094,3.321,9.014,0
1565124385,35.21832565,-97.51002162,89.9,12.790016,3,322,-2.229,3.349,9.39,0
