time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
1562776397,35.21052208,-97.43953535,0,0.01,10,316,-3.004,0.214,8.905,1
1562776398,35.21052208,-97.43953535,0,0.01,10,316,-2.976,0.2,8.883,1
1562776399,35.21052208,-97.43953535,0,0.01,10,316,-3.043,0.163,9.417,1
1562776400,35.21052208,-97.43953535,0,0.01,10,316,-3.035,0.119,9.361,1
1562776401,35.21052208,-97.43953535,0,0.01,10,316,-3.02,0.122,9.474,1
1562776402,35.21052208,-97.43953535,0,0.01,10,316,-2.918,0.206,8.957,0
1562776404,35.21052208,-97.43953535,0,0.01,10,316,-2.97,0.186,8.845,1
1562776405,35.210516,-97.43952628,0,0.01,10,316,-2.955,0.183,9.177,1
1562776406,35.210516,-97.43952628,0,0.01,10,316,-2.787,0.236,8.92,1
1562776407,35.210516,-97.43952628,0,0.01,10,316,-2.621,0.302,8.92,0
1562776408,35.210516,-97.43952628,0,0.01,10,316,-2.974,0.106,9.078,0
1562776409,35.210516,-97.43952628,0,0.01,10,316,-2.633,0.232,9.388,1
1562776410,35.21052814,-97.43952516,179.9,0.7940403,10,316,-3.207,0.085,9.231,0
1562776411,35.21054381,-97.43952607,172.4,0.8220097,10,317,-3.34,0.123,9.342,0
1562776412,35.21054381,-97.43952607,172.4,0.8220097,10,317,-2.831,0.141,8.898,1
1562776413,35.21055537,-97.43952718,155.5,0.74464756,9,318,-3.143,0.418,9.141,0
1562776414,35.21055537,-97.43952718,155.5,0.74464756,9,318,-3.069,0.36,9.115,1
1562776415,35.21056889,-97.43953213,134,0.6016643,9,317,-3.146,0.223,9.31,1
1562776416,35.21056889,-97.43953213,134,0.6016643,9,317,-3.868,-0.113,8.875,1
1562776417,35.21056889,-97.43953213,134,0.6016643,9,317,-3.787,-1.156,8.685,1
1562776418,35.21056768,-97.43951473,120.4,1.9864541,9,318,-3.659,-1.623,8.527,1
1562776419,35.21056403,-97.4394847,102,3.293691,9,319,-4.256,-0.668,8.911,0
1562776420,35.21055853,-97.43943855,98.7,4.6104336,9,319,-2.817,-0.253,9.194,0
1562776421,35.21055203,-97.43938579,96.1,4.856439,9,319,-2.95,-0.45,9.887,0
1562776422,35.21055207,-97.4393283,92.6,5.0239825,9,319,-2.865,0.207,9.059,0
1562776423,35.21055328,-97.43927405,91.3,5.093545,9,319,-2.845,0.079,9.053,0
1562776424,35.21055194,-97.43921811,91.5,5.015277,9,319,-3.195,0.154,9.97,0
1562776425,35.21055086,-97.4391659,92.8,4.8337355,9,319,-2.386,0.291,8.919,0
1562776426,35.21054855,-97.43911584,94,4.3056245,9,319,-2.399,0.206,9.694,0
1562776427,35.21054693,-97.43907473,94.4,3.4264414,9,319,-1.996,0.514,9.727,0
1562776428,35.21054607,-97.43904572,93.8,2.225062,9,319,-2.919,0.206,9.628,0
1562776429,35.21054439,-97.43902138,93.2,2.0729206,9,319,-2.421,0.271,8.695,0
1562776430,35.21054297,-97.4390007,92.5,1.8339303,3,320,-3.091,-0.136,9.189,0
1562776431,35.21054472,-97.43897884,91.7,1.9916074,3,319,-2.817,-1.085,9.127,0
1562776432,35.21054763,-97.43895101,84.6,2.891401,3,320,-2.374,-2.203,9.602,0
1562776433,35.21056281,-97.43891474,67.6,3.8042607,3,320,-2.676,-1.847,8.705,0
1562776434,35.21059021,-97.43888065,44.4,4.4036803,3,320,-2.778,-1.752,9.202,1
1562776435,35.21063137,-97.43885648,21.8,5.060089,3,320,-3.097,-1.693,9.387,0
1562776436,35.21068095,-97.43884618,7.4,5.860853,3,320,-3.004,-0.089,7.861,0
1562776437,35.21074386,-97.43884191,1.8,6.6300077,4,319,-2.724,-0.429,8.792,0
1562776438,35.21080344,-97.43883889,1.3,6.5600686,4,319,-2.285,0.288,8.694,0
1562776439,35.21085896,-97.43883781,1.1,6.1602025,4,319,-1.41,0.152,9.716,0
1562776440,35.21090685,-97.43883885,0.9,4.950091,4,319,-0.94,0.492,9.966,0
1562776442,35.21094083,-97.4388393,0.9,3.1801414,4,319,-2.585,-0.34,9.422,1
1562776443,35.21096707,-97.438838,0.8,2.420186,4,319,-2.273,0.091,9.093,0
1562776444,35.21098601,-97.43884036,0.8,1.9006578,3,319,-2.263,-0.048,9.263,0
1562776445,35.21099847,-97.43884081,1.2,1.24,3,319,-2.572,0.047,9.2,0
1562776446,35.21099847,-97.43884081,1.2,1.24,3,319,-2.74,0.095,8.961,0
1562776447,35.2110129,-97.43884117,1.4,0.59,3,319,-2.518,0.182,9.623,1
1562776448,35.2110129,-97.43884117,1.4,0.59,3,319,-2.815,0.057,9.057,1
1562776449,35.2110129,-97.43884117,1.4,0.59,3,319,-2.809,0,9.184,1
1562776450,35.2110129,-97.43884117,1.4,0.59,3,319,-2.861,0.028,9.353,1
1562776451,35.2110129,-97.43884117,1.4,0.59,3,319,-2.804,0.014,9.087,1
1562776452,35.2110129,-97.43884117,1.4,0.59,3,319,-2.836,0.028,9.112,1
1562776453,35.2110129,-97.43884117,1.4,0.59,3,319,-2.84,0.024,9.31,1
1562776454,35.2110129,-97.43884117,1.4,0.59,3,319,-3.63,-0.396,8.992,1
1562776455,35.21102772,-97.43883482,1.3,1.6714664,3,319,-4.688,-1.288,8.593,0
1562776456,35.21105248,-97.43883798,356.5,3.75012,3,319,-3.774,-1.917,9.202,0
1562776457,35.21108945,-97.43885573,341.6,4.8030095,3,319,-2.749,-2.692,8.02,0
1562776458,35.2111236,-97.43889786,314.5,5.6900353,3,319,-2.371,-3.497,8.769,0
1562776459,35.21114232,-97.43896665,287.8,6.6102724,4,319,-3.691,-1.331,8.746,1
1562776460,35.21115131,-97.4390524,276.1,7.7203174,3,320,-4.053,-1.567,8.663,0
1562776461,35.21115708,-97.43915876,272.1,9.630083,4,320,-4.174,-0.724,8.752,0
1562776462,35.21116083,-97.43927707,271.8,11.130005,5,320,-4.227,-0.482,8.489,0
1562776463,35.2111654,-97.43940649,272.7,12.500036,5,319,-4.058,-0.417,8.659,0
1562776464,35.21116195,-97.43955626,271.6,13.740058,5,319,-3.567,-0.736,8.711,0
1562776465,35.21116361,-97.43970974,271,14.640014,5,319,-3.416,-0.092,8.001,0
1562776466,35.21116781,-97.43988088,271.6,15.12,4,320,-2.83,-0.032,9.609,0
1562776467,35.2111752,-97.44004753,272.1,15.2201185,4,320,-2.691,-0.191,10.37,0
1562776468,35.21117974,-97.44021031,272.3,15.130053,4,320,-2.704,-0.154,9.952,0
1562776469,35.21118608,-97.4403817,271.8,14.770004,4,320,-2.456,-0.261,9.175,0
