time,latitude,longitude,bearing,speed,accuracy,altitude,acc_x,acc_y,acc_z,is_Stable
1583461048,35.20171715,-97.44022668,0.0,0.0,371.66498,355.0,-0.3661041259765625,5.6135101318359375,7.6314239501953125,0
1583461182,35.2027704,-97.44188745,26.9,3.53,28.823,324.0,-2.7730712890625,2.1515045166015625,9.002487182617188,0
1583461183,35.20281184,-97.44185452,0.0,0.0,19.720999,325.0,-3.1944580078125,1.098052978515625,9.864410400390625,0
1583461184,35.20284313,-97.44180854,73.7,4.92,16.687,324.0,-3.5200653076171875,0.580902099609375,9.979324340820312,0
1583461185,35.20289965,-97.44168277,0.0,0.0,15.17,319.0,-3.347686767578125,0.42767333984375,8.657730102539062,0
1583461186,35.20290045,-97.44161544,0.0,0.0,15.17,318.0,-2.7922210693359375,0.3510589599609375,8.849258422851562,0
1583461187,35.20289113,-97.44155453,0.0,0.0,15.17,317.0,-3.0029144287109375,0.0446014404296875,9.50048828125,0
1583461188,35.20285944,-97.44150293,0.0,0.0,12.136,317.0,-2.3516998291015625,0.1595306396484375,9.577102661132812,0
1583461189,35.20286572,-97.44146418,93.6,4.23,7.585,317.0,-2.5049285888671875,0.178680419921875,9.653717041015625,0
1583461190,35.20285769,-97.44143959,93.1,3.17,6.068,317.0,-2.715606689453125,0.178680419921875,9.9027099609375,0
1583461191,35.20286435,-97.44143036,92.0,1.68,6.068,317.0,-3.041229248046875,0.274444580078125,9.711181640625,0
1583461193,35.20286388,-97.44141614,91.9,0.49,7.585,317.0,-4.5543670654296875,0.3127593994140625,8.657730102539062,0
1583461194,35.20286031,-97.44140195,92.1,0.8,9.101999,317.0,-5.1481170654296875,-0.7598419189453125,8.561965942382812,0
1583461195,35.20286214,-97.4413691,92.2,2.22,9.101999,318.0,-5.3205108642578125,-1.3344573974609375,8.447036743164062,0
1583461196,35.20286545,-97.44133268,92.4,3.01,9.101999,319.0,-4.93743896484375,-0.951385498046875,9.213180541992188,0
1583461197,35.20286656,-97.44129666,0.0,0.0,9.101999,319.0,-5.1098175048828125,-1.21954345703125,8.447036743164062,0
1583461198,35.20288462,-97.44126585,0.0,0.0,10.6189995,320.0,-5.282196044921875,-0.223541259765625,9.462173461914062,0
1583461199,35.20292251,-97.44124246,0.0,0.0,12.136,319.0,-4.30535888671875,-0.0511627197265625,8.868423461914062,0
1583461200,35.20301032,-97.44122782,0.0,0.0,10.6189995,319.0,-3.749908447265625,0.02545166015625,9.270645141601562,0
1583461201,35.20308765,-97.44120323,0.0,0.0,12.136,320.0,-3.443450927734375,-0.223541259765625,9.155715942382812,0
1583461202,35.2032024,-97.44122131,1.8,8.9,9.101999,322.0,-3.232757568359375,-0.127777099609375,9.80694580078125,0
