time,latitude,longitude,bearing,speed,accuracy,altitude,acc_x,acc_y,acc_z,is_Stable
1582909942,35.21118743,-97.43941965,269.1,12.980866,3,320,-2.941084146,2.371069431,10.24110413,0
1582909943,35.21118706,-97.43956252,269.3,13.28166,3,320,-1.326840878,2.08366704,10.21715355,0
1582909944,35.21118767,-97.43970721,270.4,13.400182,3,320,-2.246528387,2.093247175,8.243657112,0
1582909945,35.21119075,-97.4398561,271.4,13.210379,3,321,-2.241738319,1.973496199,8.588540077,0
1582909946,35.21119461,-97.44000212,272.1,13.120461,3,321,-1.710044026,1.638193488,7.95146513,0
1582909947,35.21119895,-97.44014385,272.9,13.10031,3,321,-2.203418016,2.08366704,9.407637596,0
1582909948,35.21120386,-97.44028907,272.6,12.830063,3,321,-2.155517578,1.848955154,8.646020889,0
1582909949,35.21120709,-97.44042686,272.4,12.5300045,3,322,-2.476450205,2.117197275,9.508228302,0
1582909950,35.21121144,-97.44056012,272.1,12.19059,3,322,-2.208208084,1.130449295,9.599238396,0
1582909951,35.21121377,-97.44069337,271.8,11.810106,3,322,-2.007026434,1.767524481,9.220825195,0
1582909952,35.2112147,-97.4408205,270.5,11.5708475,3,322,-2.62015152,1.504072309,9.321416855,0
1582909953,35.21121527,-97.44094956,270.4,11.41,3,322,-2.375859499,2.380649567,10.02076244,0
1582909954,35.21121432,-97.44107245,269.8,11.28004,3,322,-2.850073338,1.848955154,9.771679878,0
1582909955,35.21121419,-97.44119589,269.9,11.230071,3,322,-1.868115306,1.757944465,9.13939476,0
1582909956,35.21121422,-97.44132185,270.1,11.180448,3,323,-2.730322361,0.934057653,9.824370384,0
1582909957,35.21121437,-97.44144771,270.1,11.130544,3,323,-2.802172899,2.078876972,9.493857384,0
1582909958,35.21121243,-97.44156891,269.2,11.141297,3,323,-2.672842026,2.208208084,7.793394089,0
1582909959,35.21121019,-97.44169062,269.3,11.181293,3,323,-2.878813505,1.973496199,10.03992271,0
1582909960,35.21120987,-97.44181223,269.6,11.190446,3,324,-2.476450205,1.973496199,8.406518936,0
1582909961,35.21120844,-97.44193774,269.1,11.110544,3,324,-2.912343979,1.336421013,9.896221161,0
1582909962,35.21120592,-97.4420569,268.8,11.000768,3,324,-2.189048052,1.614243269,9.522598267,0
1582909963,35.21120392,-97.44217491,268.6,10.780784,3,324,-2.452500105,1.901645541,8.626860619,0
1582909964,35.21120126,-97.44229711,268.2,10.460387,3,324,-2.438129902,1.939965844,9.996811867,0
1582909966,35.21119606,-97.4425169,268.5,9.84,3,324,-1.92559576,1.844165087,9.441167831,0
1582909967,35.21119379,-97.4426234,269,9.70002,3,324,-1.901645541,1.130449295,9.182505608,0
1582909968,35.21119356,-97.44272601,269.3,9.420048,3,324,-2.605781317,1.254990339,9.527388573,0
1582909969,35.21119208,-97.44282921,269.7,9.050006,3,325,-2.141147614,1.638193488,9.077124596,0
1582909970,35.21119177,-97.44292647,270.1,8.69,3,325,-1.916015744,1.762734413,9.881851196,0
1582909971,35.21119189,-97.44301821,270,8.3,3,325,-1.810634851,1.456171989,10.17404366,0
1582909972,35.21119208,-97.4431055,269.9,7.370061,3,325,-1.676513791,1.480122089,9.239985466,0
1582909973,35.21119124,-97.44318177,269.5,6.823548,3,325,-2.859653473,1.216669917,9.886641502,0
1582909974,35.21119078,-97.44325393,269.7,6.650481,3,325,-2.715952158,2.184257984,9.580078125,0
1582909975,35.21118974,-97.4433298,269.8,6.8200073,3,325,-2.356699228,2.433339834,8.756192207,0
1582909976,35.21118893,-97.44340584,269.8,7,3,326,-2.816543102,2.102827311,9.934541702,0
1582909977,35.21118812,-97.44348515,269.8,7.2800617,3,326,-2.730322361,2.078876972,8.890313148,0
1582909978,35.21118661,-97.44356769,270.1,7.830006,3,326,-3.44882822,1.671723723,9.742939949,0
1582909979,35.21118698,-97.44365714,270.6,8.390006,3,326,-3.396137953,2.859653473,11.72122574,0
1582909980,35.21118712,-97.44375317,271,8.65037,3,326,-2.84528327,1.561552763,9.005273819,0
1582909981,35.2111877,-97.44385018,270.6,8.930454,3,326,-3.142265797,2.05971694,10.62430668,0
1582909982,35.21118734,-97.44394975,270.7,9.130198,3,326,-2.811753035,1.757944465,9.129815102,0
1582909983,35.21118762,-97.44405194,270.3,9.520005,3,326,-3.079995155,1.518442392,10.25068378,0
1582909984,35.21118814,-97.44415705,270.6,9.930045,3,326,-2.28484869,1.920805693,8.875943184,0
1582909985,35.21118889,-97.44426698,271.1,9.900004,3,326,-2.495610476,1.393901467,9.307045937,0
1582909986,35.21118991,-97.44437304,270.9,9.670083,3,326,-2.715952158,1.437011838,9.469907761,0
1582909987,35.21118999,-97.44448079,270.7,9.610021,3,326,-2.581831217,1.868115306,9.225615501,0
1582909988,35.21119084,-97.44458789,270.9,9.63,3,326,-3.242856503,1.513652444,9.182505608,0
1582909989,35.21119101,-97.4446916,270.7,9.6,3,327,-4.52179718,1.494492292,11.61105537,0
1582909990,35.21119106,-97.4447947,270.4,9.430005,3,327,-2.385439634,1.757944465,9.311836243,0
1582909991,35.21119212,-97.44489677,270.7,9.3,3,326,-2.327959061,1.738784313,10.06387234,0
1582909992,35.2111935,-97.44499591,271,9.030005,3,326,-2.294428825,1.767524481,9.752519608,0
1582909993,35.21119495,-97.44509762,271.4,8.69,3,326,-2.050136805,1.695673943,9.589658737,0
1582909994,35.2111958,-97.4451868,271.3,7.9200253,3,326,-1.288520575,1.686093807,9.699829102,0
1582909995,35.21119641,-97.44526636,270.8,6.870007,3,326,-1.039438486,1.65735364,9.460327148,0
1582909996,35.21119596,-97.44533303,270.4,5.4700823,3,326,-1.039438486,1.767524481,9.987232208,0
1582909997,35.21119592,-97.4453794,270.3,3.600347,3,326,-1.489702225,1.863325238,9.671089172,0
1582909998,35.21119629,-97.44541324,270.4,2.600077,3,326,-2.577041149,1.848955154,9.225615501,0
1582909999,35.21119631,-97.44543769,270.6,2.130094,3,326,-2.361489296,1.978286266,9.522598267,0
1582910000,35.21119696,-97.44546032,270.9,2.0400245,3,326,-1.561552763,1.839375019,9.824370384,0
1582910001,35.21119709,-97.44547911,271.1,1.510033,3,326,-1.561552763,1.748364329,9.608819008,0
1582910035,35.21119107,-97.44548817,272,0.27,3,327,-4.421206474,2.447710037,8.947793007,0
1582910036,35.21119124,-97.44550283,272,1.86,3,327,-4.627177715,2.342329264,9.134604454,0
1582910037,35.21119145,-97.4455365,272,3.82,3,327,-4.009263039,2.629731655,9.086704254,0
1582910038,35.21119205,-97.44558886,271.9,5.45,3,327,-3.899091959,2.165097713,9.465117455,0
1582910039,35.21119272,-97.44565853,271.6,6.870007,3,327,-3.903882027,2.270478725,9.057964325,0
1582910040,35.21119355,-97.44574316,271,8.310386,3,327,-3.295547009,1.796264768,8.555009842,0
1582910041,35.21119358,-97.44584585,270.5,9.520337,3,327,-3.40571785,1.662143588,9.445957184,0
1582910042,35.21119278,-97.44595782,270.1,10.380077,3,327,-3.621269703,2.131567478,8.655600548,0
1582910043,35.21119274,-97.44608024,270,11.720005,3,327,-3.400927782,2.155517578,8.947793007,0
1582910044,35.21119299,-97.44622094,270.1,12.880015,3,327,-3.036884785,1.748364329,7.688013077,0
1582910045,35.21119288,-97.44636642,270.3,13.740033,3,327,-2.466870308,1.877695441,10.23152351,0
1582910046,35.21119311,-97.44651796,270.2,14.060004,3,327,-2.155517578,1.595083117,9.618398666,0
1582910047,35.21119306,-97.44667323,270.1,13.88,3,327,-2.270478725,1.796264768,10.11656284,0
1582910048,35.21119307,-97.44682216,270,13.6,3,327,-1.504072309,1.532812595,6.715634823,0
1582910049,35.21119339,-97.44697354,270.2,13.400093,3,327,-2.826123238,1.829795003,9.953701973,0
1582910050,35.2111939,-97.44711942,270.4,13.450372,3,327,-2.797382832,2.208208084,10.39917564,0
1582910051,35.21119376,-97.44726555,269.9,13.520015,3,327,-2.960244179,1.786684632,8.636441231,0
1582910052,35.21119457,-97.44741812,270.3,13.680015,3,327,-3.218906403,1.326840878,10.42791557,0
1582910053,35.21119597,-97.44756732,270.6,13.850177,3,327,-2.385439634,2.093247175,9.522598267,0
1582910054,35.21119676,-97.44772216,270.1,13.840058,3,327,-2.725532293,1.096918941,8.301137924,0
1582910055,35.21119572,-97.44787223,269.5,13.88013,3,327,-2.385439634,1.935175896,10.0782423,0
1582910056,35.21119457,-97.44802206,269.3,13.81,3,327,-2.438129902,1.686093807,9.412426949,0
1582910057,35.21119406,-97.4481764,269.6,13.750014,3,327,-2.476450205,1.719624043,9.077124596,0
1582910058,35.21119299,-97.44832563,269.5,13.730014,3,327,-2.562670946,1.695673943,10.18362331,0
1582910059,35.21119155,-97.44847413,269.2,13.68,3,327,-2.150727749,2.169887781,9.029224396,0
1582910060,35.21119048,-97.4486258,269,13.45,3,327,-2.658471823,1.317260742,10.18362331,0
1582910061,35.21118978,-97.44877452,269.7,13.300034,3,327,-2.327959061,1.470542073,9.316626549,0
1582910063,35.21118883,-97.4490581,269.9,13.000312,3,327,-1.887275457,1.575922966,8.377779007,0
1582910064,35.21118789,-97.44920081,269.4,12.930387,3,327,-1.88248539,2.169887781,8.813672066,0
1582910065,35.21118735,-97.44934652,269.7,13.010311,3,327,-2.639311552,2.145937681,8.751401901,0
1582910066,35.21118777,-97.4494933,270.3,13.290184,3,327,-2.864443541,1.59029305,9.005273819,0
1582910067,35.21118629,-97.44963853,269.9,13.530532,3,327,-2.902763844,1.729204178,9.671089172,0
1582910068,35.2111863,-97.44979165,269.8,13.7002325,3,327,-2.778222799,2.035766602,9.704619408,0
1582910069,35.21118636,-97.44993979,269.9,13.740091,3,327,-2.117197275,2.150727749,8.943003654,0
1582910070,35.21118746,-97.45008767,270.2,13.560133,3,327,-1.460961938,1.513652444,6.188730717,0
1582910071,35.2111885,-97.45023286,270.4,13.250135,3,327,-2.591411352,2.126777411,8.234077454,0
1582910072,35.2111904,-97.45038073,270.5,13.090187,3,326,-2.519560575,2.294428825,9.398056984,0
1582910073,35.21119167,-97.45052948,270.3,13.260095,3,326,-2.912343979,2.203418016,9.805210114,0
1582910074,35.21119205,-97.45067535,270,13.450015,3,326,-2.797382832,1.542392612,9.426796913,0
1582910075,35.21119202,-97.45082235,270,13.630014,3,326,-2.648891687,1.671723723,11.45298386,0
1582910076,35.21119397,-97.45097551,270.5,13.61072,3,326,-2.035766602,1.427431703,9.718989372,0
1582910077,35.21119468,-97.45112183,270.5,13.530092,3,326,-2.768642664,1.777104616,9.790840149,0
1582910078,35.21119531,-97.45126997,269.8,13.6202345,3,326,-2.145937681,1.580712914,8.430469513,0
1582910079,35.21119481,-97.45142217,269.4,13.450133,3,326,-2.117197275,1.518442392,10.52850628,0
1582910080,35.21119426,-97.4515659,269.9,13.180137,3,326,-2.471660376,2.050136805,10.20757389,0
1582910081,35.2111953,-97.45171028,270.3,12.863735,3,326,-2.236948252,1.513652444,8.722661972,0
