time,latitude,longitude,bearing,speed,accuracy,altitude,acc_x,acc_y,acc_z,is_Stable
1582909942,35.21116752,-97.43944946,270.2,12.62,9.101999,335,-3.175292969,0.791595459,9.787796021,0
1582909943,35.21117272,-97.43957465,270.4,12.74,9.101999,331,-1.643005371,0.50428772,10.4581604,0
1582909944,35.21115699,-97.43970805,270.2,13.04,7.585,333,-2.447463989,0.37020874,9.443023682,0
1582909945,35.21115261,-97.43982062,270.2,13.09,7.585,335,-2.753921509,0.42767334,9.270645142,0
1582909946,35.21116542,-97.43995708,272.8,13.22,6.068,335,-2.370849609,-0.357620239,9.308944702,0
1582909947,35.21116412,-97.44009729,272.4,13.15,6.068,333,-2.23677063,0.02545166,8.025665283,0
1582909948,35.21117037,-97.44023196,272.4,13.03,6.068,333,-2.48576355,0.75328064,10.05593872,0
1582909949,35.21117195,-97.44036902,271.9,12.53,4.5509996,332,-2.351699829,0.542602539,9.787796021,0
1582909950,35.21117333,-97.44050131,271.6,12.31,4.5509996,331,-2.504928589,-0.0703125,9.079101563,0
1582909951,35.21117716,-97.4406311,271.9,12.09,4.5509996,330,-2.753921509,0.23614502,9.806945801,0
1582909952,35.21117241,-97.44075362,270,11.82,4.5509996,330,-2.428314209,0.29359436,9.232330322,0
1582909953,35.21117273,-97.44087817,270.9,11.53,4.5509996,329,-2.56237793,0.485137939,10.15170288,0
1582909954,35.21117885,-97.44100149,270.3,11.26,4.5509996,331,-2.600692749,0.60005188,9.213180542,0
1582909955,35.21117899,-97.44112385,270.5,11.25,4.5509996,332,-2.964614868,0.33190918,9.806945801,0
1582909956,35.21118061,-97.44123947,270.6,11.07,4.5509996,333,-2.945449829,0.063751221,9.711181641,0
1582909957,35.21118488,-97.44135399,269.7,10.86,4.5509996,333,-2.926300049,0.33190918,10.11340332,0
1582909958,35.21118417,-97.44148235,268.7,10.97,4.5509996,333,-2.581542969,-0.261856079,9.040802002,0
1582909959,35.21118366,-97.44159802,269.2,10.86,6.068,334,-2.48576355,-0.281005859,8.504501343,0
1582909960,35.21118177,-97.44169385,269.7,10.2,7.585,335,-3.385986328,-0.166091919,10.64970398,0
1582909961,35.21117017,-97.44182283,267.4,10.74,10.6189995,335,-2.48576355,0.15953064,9.500488281,0
1582909962,35.21118325,-97.44200038,270,12.09,12.136,334,-2.792221069,0.29359436,9.711181641,0
1582909964,35.21119547,-97.4423057,271,12.92,13.653,334,-2.31338501,0.02545166,9.711181641,0
1582909965,35.21122465,-97.44244221,274.5,12.75,12.136,335,-2.16015625,0.485137939,8.964187622,0
1582909966,35.21122489,-97.44258958,274.1,12.8,12.136,335,-2.198471069,0.312759399,8.887573242,0
1582909967,35.21130226,-97.44272497,283,12.68,13.653,336,-2.428314209,0.23614502,9.615402222,0
1582909968,35.21123754,-97.44278399,273.7,11.08,15.17,336,-2.10269165,0.29359436,9.232330322,0
1582909969,35.21117405,-97.44280851,264.8,9.43,15.17,336,-2.40914917,0.15953064,9.385559082,0
1582909970,35.21119754,-97.4429445,268.9,10.04,13.653,337,-2.351699829,-0.032012939,9.366409302,0
1582909971,35.2111501,-97.44295636,262.7,8.22,12.136,337,-2.17930603,-0.30015564,9.921859741,0
1582909972,35.21114042,-97.443008,262.7,7.41,13.653,337,-2.275085449,0.02545166,9.998474121,0
1582909973,35.21113867,-97.44307775,263.1,7.18,15.17,336,-2.619842529,-0.089477539,10.1325531,0
1582909974,35.21116396,-97.44318257,269,7.62,15.17,336,-2.983764648,0.485137939,9.366409302,0
1582909975,35.21115191,-97.44324853,268.6,7.2,10.6189995,338,-3.041229248,0.40852356,9.883560181,0
1582909976,35.21114944,-97.44334756,266.3,7.44,10.6189995,337,-3.079528809,0.561752319,9.347259521,0
1582909977,35.21116124,-97.44346602,268.1,7.44,9.101999,337,-3.041229248,0.542602539,8.600265503,0
