Time,Latitude,Longitude,Accuracy,Speed
1570056859,35.209316,-97.44055,10,0.69
1570056861,35.209307,-97.440547,5,1.91
1570056862,35.209303,-97.440537,5,2.16
1570056863,35.209301,-97.440523,5,2.67
1570056864,35.209308,-97.440464,5,3.29
1570056865,35.209312,-97.440402,5,3.83
1570056866,35.209315,-97.440336,5,4.61
1570056867,35.209316,-97.440272,5,4.97
1570056868,35.209313,-97.440225,5,4.82
1570056869,35.209317,-97.440178,5,5.43
1570056870,35.209322,-97.440119,5,5.56
1570056871,35.209314,-97.440063,5,5.27
1570056872,35.20931,-97.44001,5,5.35
1570056873,35.20931,-97.439949,5,5.73
1570056874,35.209312,-97.43988,5,5.84
1570056875,35.209319,-97.439809,5,5.81
1570056876,35.209321,-97.43974,5,5.78
1570056877,35.209322,-97.439675,5,5.68
1570056878,35.209322,-97.439617,5,5.51
1570056879,35.209324,-97.439554,5,5.53
1570056880,35.209326,-97.43949,5,5.47
1570056881,35.209328,-97.43943,5,5.29
1570056882,35.209325,-97.439373,5,5.15
1570056883,35.209323,-97.439314,5,5.13
1570056884,35.209324,-97.43926,5,4.94
1570056885,35.209326,-97.439205,5,4.85
1570056886,35.209336,-97.439153,5,5.02
1570056887,35.20936,-97.439112,5,4.9
1570056888,35.209397,-97.439082,5,4.75
1570056889,35.209431,-97.439066,5,3.73
1570056890,35.209471,-97.439074,5,4.04
1570056891,35.209502,-97.439091,5,3.61
1570056892,35.209518,-97.439121,5,3.31
1570056893,35.20952,-97.439155,5,3.49
1570056894,35.209527,-97.439218,5,4.98
1570056895,35.209525,-97.439272,5,5.3
1570056896,35.209522,-97.43933,5,5.09
1570056897,35.209519,-97.439376,5,4.7
1570056898,35.209535,-97.439415,5,3.79
1570056899,35.20956,-97.439433,5,3.07
1570056900,35.209586,-97.439437,5,3.1
1570056901,35.209608,-97.43944,5,2.12
1570056902,35.209622,-97.439438,5,1.3
1570056904,35.209624,-97.439445,5,0.99
1570056905,35.209639,-97.439428,5,2.76
1570056906,35.209666,-97.439389,5,4.24
1570056907,35.209672,-97.439346,5,4.03
1570056908,35.209671,-97.439294,5,5.03
1570056909,35.209669,-97.439236,5,5.37
1570056910,35.209665,-97.439175,5,5.3
1570056911,35.209661,-97.439118,5,5.08
1570056912,35.209656,-97.439068,5,4.32
1570056913,35.209667,-97.439023,5,2.74
1570056914,35.209667,-97.439001,5,1.24
1570056915,35.209659,-97.438999,5,0.27
1570056917,35.209668,-97.438975,5,3
1570056918,35.209698,-97.438942,5,4.27
1570056919,35.209754,-97.438919,5,5.26
1570056920,35.209836,-97.438888,5,8.49
1570056921,35.20993,-97.438881,5,9.88
1570056922,35.210012,-97.438905,5,10.31
1570056923,35.210106,-97.438906,5,10.36
1570056924,35.210207,-97.438906,5,10.31
1570056925,35.210292,-97.438907,5,10.22
1570056926,35.210386,-97.438908,5,10.04
1570056927,35.210478,-97.438909,5,9.8
1570056928,35.210574,-97.438909,5,9.24
1570056929,35.210651,-97.43891,5,8.95
1570056930,35.210733,-97.438911,5,8.68
1570056931,35.210794,-97.438911,5,6.67
1570056932,35.210836,-97.438912,5,4.19
1570056933,35.210855,-97.438912,5,2.14
1570056934,35.210863,-97.438912,5,1.05
1570056935,35.210887,-97.438912,5,1.18
1570056936,35.210913,-97.438912,5,1.24
1570056964,35.210927,-97.438912,5,0.24
1570056966,35.210921,-97.438912,5,0
1570056969,35.21093,-97.438912,5,1.05
1570056970,35.210947,-97.438912,5,1.77
