time,latitude,longitude,bearing,speed,accuracy,altitude,acc_x,acc_y,acc_z,is_Stable
1570056841,35.20924449,-97.44041352,0,0,3,327,0.525,0.644,9.848,1
1570056842,35.20924449,-97.44041352,0,0,3,327,0.546,0.642,9.883,1
1570056843,35.20924449,-97.44041352,0,0,3,327,0.6,0.628,9.869,1
1570056844,35.20924449,-97.44041352,0,0,3,327,0.571,0.671,9.891,1
1570056845,35.20924449,-97.44041352,0,0,3,327,0.548,0.659,9.892,0
1570056846,35.20924449,-97.44041352,0,0,3,327,0.57,0.627,9.899,0
1570056847,35.20924449,-97.44041352,0,0,3,327,0.828,0.702,9.906,0
1570056848,35.20924449,-97.44041352,0,0,3,327,0.707,0.653,9.817,1
1570056849,35.20924449,-97.44041352,0,0,3,327,0.865,0.652,9.768,0
1570056850,35.20924449,-97.44041352,0,0,3,327,0.567,0.5,9.937,0
1570056851,35.2092584,-97.4404169,24.3,0.7510659,3,328,0.808,0.514,9.715,0
1570056852,35.2092584,-97.4404169,24.3,0.7510659,3,328,0.745,0.738,9.866,0
1570056853,35.20927492,-97.44041859,5.1,0.8605231,3,328,0.732,0.656,9.836,0
1570056854,35.20928403,-97.44041914,5.1,0.9093404,3,328,0.237,0.876,9.839,0
1570056855,35.2092933,-97.44042048,5.2,0.84999996,3,328,0.961,0.636,9.848,0
1570056856,35.2092933,-97.44042048,5.2,0.84999996,3,328,-0.151,-0.081,9.819,0
1570056857,35.2092933,-97.44042048,5.2,0.84999996,3,328,-0.289,-1.072,9.698,1
1570056858,35.2092933,-97.44042048,5.2,0.84999996,3,328,-0.125,-0.398,9.441,0
1570056859,35.2092913,-97.44038782,106.8,3.23,3,328,0.357,0.413,9.944,0
1570056860,35.20928437,-97.44034238,99.4,4.5103993,3,328,0.257,0.302,9.92,0
1570056861,35.20929122,-97.4402644,88.3,5.5405774,3,328,0.045,0.243,9.739,0
1570056862,35.20929766,-97.44019165,86.9,6.6014843,3,328,0.761,0.623,9.948,0
1570056863,35.20930348,-97.44010905,87.6,7.5113053,3,328,0.721,0.374,9.658,0
1570056864,35.20930648,-97.4400235,88.1,7.74093,3,328,1.318,0.77,10.533,0
1570056865,35.20931,-97.43993704,88.3,7.780643,3,328,1.315,0.968,10.249,0
1570056866,35.20931423,-97.43985603,89.2,7.600421,3,327,1.231,0.757,9.55,0
1570056867,35.20931886,-97.4397762,90.3,7.2300067,3,328,1.12,0.863,9.664,0
1570056868,35.20932043,-97.43969708,90.4,6.8901157,3,328,0.975,0.779,10.253,0
1570056870,35.20932226,-97.43955589,89.5,6.5600686,3,328,0.783,1.02,10.216,0
1570056871,35.20932268,-97.43948476,90.3,6.4201245,3,327,0.79,0.894,9.751,0
1570056872,35.2093205,-97.43941655,89.7,6.310008,3,327,0.47,1.487,8.984,0
1570056873,35.209322,-97.43934744,90.7,6.1402035,3,327,0.726,1.366,9.929,0
1570056874,35.20932047,-97.43928667,92.9,6.0033326,3,326,0.754,1.108,10.246,0
1570056875,35.20931938,-97.43922174,92.8,5.890076,3,326,2.01,-0.827,10.07,0
1570056876,35.20932617,-97.43916456,83.5,5.3415823,3,326,2.265,-2.186,10.289,0
1570056877,35.20935118,-97.43911779,61.5,5.150039,3,326,1.615,-1.369,10.266,0
1570056878,35.20939138,-97.43909293,30.1,4.903978,3,327,1.435,-1.275,10.101,0
1570056879,35.20943321,-97.43908238,10.5,4.9773283,3,326,0.732,-0.952,9.996,0
1570056880,35.20947415,-97.43909262,353.8,4.6402693,3,326,1.272,-1.843,9.354,0
1570056881,35.2095083,-97.43911899,327,4.4119153,3,327,1.527,-1.532,9.905,0
1570056882,35.20953115,-97.43915944,305.8,4.20019,3,327,0.886,-0.671,9.226,0
1570056883,35.209528,-97.43921236,274.1,4.2826276,3,327,-0.048,0.321,9.341,0
1570056884,35.20952791,-97.43926329,265.8,4.4000454,3,327,0.05,0.318,9.568,0
1570056885,35.2095245,-97.43931234,264.4,4.480547,3,327,0.17,-0.084,9.728,0
1570056886,35.20951706,-97.43936139,260,4.570536,3,327,0.257,2.594,9.587,0
1570056887,35.20951057,-97.43940509,267.6,4.1501927,3,327,0.294,2.672,10.169,0
1570056888,35.20952138,-97.43944418,296.9,3.560688,3,327,0.421,1.115,9.651,0
1570056889,35.20954493,-97.43946781,329.7,3.120785,3,327,0.416,1.381,9.351,0
1570056890,35.20956742,-97.43947868,351.4,2.37,3,327,0.991,0.533,9.786,0
1570056891,35.20958428,-97.43948381,352,1.7601136,3,327,0.844,0.474,9.733,0
1570056892,35.20959537,-97.43948198,358.9,0.7433034,3,326,-0.225,0.066,9.811,1
1570056893,35.20959537,-97.43948198,358.9,0.7433034,3,326,-0.984,0.152,9.751,1
1570056894,35.2096077,-97.43947284,359.6,1.1200447,3,326,-0.94,0.516,10.11,0
1570056895,35.20962378,-97.43946367,20.8,2.2042232,3,326,-0.659,1.015,9.811,0
1570056896,35.20964581,-97.43944531,31.1,2.9722888,3,326,-1.28,0.915,9.936,0
1570056897,35.20966582,-97.43941455,49.5,3.520696,3,326,-0.399,-0.33,10.039,0
1570056898,35.20967974,-97.43936797,68.2,4.3500113,3,326,-0.387,-0.281,9.612,0
1570056899,35.20966564,-97.43924741,89.3,6.270032,3,326,1.111,-0.391,9.761,0
1570056900,35.20966545,-97.43917073,90.2,6.730007,3,326,2.161,0.305,10.158,0
1570056901,35.20966567,-97.43910288,89.3,6.2102013,3,326,3.365,0.884,9.713,0
1570056902,35.20966215,-97.43905224,88.7,4.720678,3,326,1.788,0.03,9.766,0
1570056903,35.20965819,-97.43903257,91.3,2.1703687,3,326,1.495,0.043,9.8,1
1570056904,35.20965819,-97.43903257,91.3,2.1703687,3,326,0.408,-0.377,9.741,1
1570056905,35.20966193,-97.43901513,91.3,0.2,3,325,0.603,-0.245,9.688,1
1570056906,35.20966193,-97.43901513,91.3,0.2,3,325,0.728,-0.245,9.788,1
1570056907,35.20966193,-97.43901513,91.3,0.2,3,325,-0.247,-0.59,9.713,1
1570056908,35.20966193,-97.43901513,91.3,0.2,3,325,-1.245,-1.119,9.634,1
1570056909,35.20966273,-97.43900109,91.3,1.1016805,3,325,0.223,-2.478,9.332,0
1570056910,35.20966757,-97.43896349,84.3,2.9210958,3,324,0.532,-1.697,9.57,0
1570056911,35.20969495,-97.43892189,57.8,4.8181424,3,325,0.347,-2.427,9.793,0
1570056913,35.20980446,-97.43886359,14,6.9604597,3,326,-0.018,-1.55,9.656,0
1570056914,35.20988018,-97.43886116,2.7,8.081046,3,326,-0.774,-0.498,9.862,0
1570056915,35.20996483,-97.43885728,0.9,9.230195,3,326,0.122,-0.061,10.042,0
1570056916,35.21005661,-97.43885587,1.1,10.160044,3,326,0.399,0.244,9.506,0
1570056917,35.21015277,-97.43885495,0.7,10.280122,3,326,0.598,0.092,9.297,0
1570056918,35.21024622,-97.43885546,0.6,10.150177,3,325,0.842,-0.036,9.628,0
1570056919,35.21033654,-97.43885491,0.3,9.900126,3,326,0.997,0.132,9.679,0
1570056920,35.21042415,-97.43885878,359.9,9.530021,3,325,0.809,0.01,9.694,0
1570056921,35.21050982,-97.43885999,359.7,9.220656,3,326,1.006,-0.222,10.124,0
1570056922,35.2105903,-97.43885843,0.3,8.8700905,3,326,0.76,0.196,9.584,0
1570056923,35.21066904,-97.43885304,0.1,8.570146,3,326,0.682,0.071,9.319,0
1570056924,35.21074338,-97.43885372,0.4,8.270024,3,326,0.989,0.418,8.673,0
1570056925,35.21081158,-97.43885372,0.8,7.7802315,3,326,1.425,0.924,9.644,0
1570056926,35.21087445,-97.43885516,0.6,6.870029,3,326,2.051,0.39,9.973,0
1570056927,35.21092436,-97.43885458,0.4,5.380009,3,326,2.393,0.518,10.212,0
1570056928,35.21095657,-97.43885361,1.1,3.6100137,3,326,1.404,-0.07,9.698,0
1570056929,35.21097334,-97.43885277,1.4,2.1900914,3,326,1.298,0.257,9.737,0
1570056930,35.21098387,-97.43885254,1.4,1.37,3,326,0.934,0.286,9.776,0
1570056931,35.21098387,-97.43885254,1.4,1.37,3,326,0.329,0.076,9.795,1
1570056932,35.21098387,-97.43885254,1.4,1.37,3,326,0.582,0.187,9.875,1
1570056933,35.21098387,-97.43885254,1.4,1.37,3,326,0.441,0.142,9.822,1
