time,latitude,longitude,bearing,speed,accuracy,altitude,acc_x,acc_y,acc_z,is_Stable
1,35.19364278,-97.42322435,0,0,15.17,325,-0.578,2.399,9.147,1
2,35.19364278,-97.42322435,0,0,15.17,325,-2.122,-0.102,9.664,0
3,35.19364278,-97.42322435,0,0,15.17,325,-2.121,-0.101,9.694,1
4,35.19365178,-97.42323319,0,0,15.17,325,-2.112,-0.088,9.645,1
5,35.19365178,-97.42323319,0,0,15.17,325,-2.113,-0.076,9.712,1
6,35.19365178,-97.42323319,0,0,15.17,325,-2.126,-0.088,9.627,1
7,35.19365178,-97.42323319,0,0,15.17,325,-2.123,-0.072,9.678,1
8,35.19365178,-97.42323319,0,0,15.17,325,-2.114,-0.096,9.645,1
9,35.19364433,-97.4232269,0,0,15.17,324,-2.103,-0.089,9.674,1
10,35.19364433,-97.4232269,0,0,15.17,324,-2.101,-0.082,9.665,1
11,35.19364433,-97.4232269,0,0,15.17,324,-2.119,-0.087,9.685,1
12,35.19364433,-97.4232269,0,0,15.17,324,-2.121,-0.076,9.636,1
13,35.19364433,-97.4232269,0,0,15.17,324,-2.116,-0.088,9.674,1
14,35.19364433,-97.4232269,0,0,15.17,324,-2.108,-0.087,9.691,1
15,35.19364433,-97.4232269,0,0,15.17,324,-2.111,-0.079,9.648,1
16,35.19364433,-97.4232269,0,0,15.17,324,-2.11,-0.093,9.643,1
17,35.19364433,-97.4232269,0,0,15.17,324,-2.122,-0.076,9.642,1
18,35.19364433,-97.4232269,0,0,15.17,324,-2.117,-0.081,9.672,1
19,35.19364433,-97.4232269,0,0,15.17,324,-2.103,-0.103,9.674,1
20,35.19364433,-97.4232269,0,0,15.17,324,-2.103,-0.077,9.667,1
21,35.19364433,-97.4232269,0,0,15.17,324,-2.109,-0.063,9.671,1
22,35.19364433,-97.4232269,0,0,15.17,324,-2.104,-0.085,9.627,1
23,35.19364433,-97.4232269,0,0,15.17,324,-2.113,-0.095,9.676,1
24,35.19364433,-97.4232269,0,0,15.17,324,-2.102,-0.099,9.663,1
25,35.19364433,-97.4232269,0,0,15.17,324,-2.086,-0.073,9.69,1
26,35.19364433,-97.4232269,0,0,15.17,324,-2.108,-0.07,9.642,1
27,35.19364433,-97.4232269,0,0,15.17,324,-2.107,-0.082,9.679,1
28,35.19364433,-97.4232269,0,0,15.17,324,-2.129,-0.079,9.681,1
29,35.19364433,-97.4232269,0,0,15.17,324,-2.518,-0.091,9.532,1
30,35.19364433,-97.4232269,0,0,15.17,324,-3.383,-0.024,9.413,0
31,35.19364433,-97.4232269,0,0,15.17,324,-4.039,0.205,9.403,0
32,35.19364433,-97.4232269,0,0,15.17,324,-2.623,-0.023,9.444,0
33,35.19364433,-97.4232269,0,0,15.17,324,-2.23,-0.485,9.928,0
34,35.19363583,-97.42316544,80.6,4.63,15.17,323,-2.047,-0.271,9.781,0
35,35.19363487,-97.42309795,84.8,4.62,13.653,322,-1.901,-0.175,9.941,0
36,35.19363601,-97.42303429,85,4.69,13.653,322,-1.931,0.073,9.714,0
37,35.19363591,-97.42296992,83.3,4.68,13.653,321,-1.976,0.097,9.916,0
38,35.19363989,-97.42290966,83.2,4.34,13.653,322,-2.015,-0.103,9.631,0
39,35.19364469,-97.42285206,84.9,4.25,15.17,323,-2.439,-0.034,9.689,0
40,35.19364857,-97.42280207,86,3.57,13.653,323,-2.742,-0.016,9.615,0
41,35.19365256,-97.42275723,87.6,3.77,13.653,324,-2.499,-0.143,9.464,0
42,35.19365507,-97.42271128,87.9,3.79,15.17,323,-0.559,-0.406,10.023,0
43,35.1936558,-97.42267187,88.9,2.71,15.17,323,-0.716,-0.246,9.887,0
44,35.19365552,-97.4226439,90.6,2.09,15.17,323,-3.004,-0.118,9.451,0
