time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
1557768094,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.292,3.255,9.488,0
1557768095,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.274,3.262,9.128,0
1557768096,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.282,3.268,8.865,0
1557768097,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.287,3.277,9.002,0
1557768098,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.299,3.282,8.997,0
1557768099,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.272,3.268,8.973,0
1557768100,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.292,3.263,9.333,0
1557768101,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.318,3.239,9.657,0
1557768102,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.31,3.257,9.496,0
1557768103,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.291,3.277,9.101,0
1557768104,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.286,3.274,8.98,0
1557768105,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.313,3.262,9.312,0
1557768106,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.288,3.266,9.453,0
1557768107,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.285,3.253,9.724,0
1557768108,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.292,3.303,9.688,0
1557768109,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.328,3.287,9.707,0
1557768110,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.315,3.273,9.577,0
1557768111,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.286,3.303,9.177,0
1557768112,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.301,3.301,8.985,0
1557768113,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.289,3.3,8.956,0
1557768114,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.285,3.302,8.905,0
1557768115,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.291,3.31,8.832,0
1557768116,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.307,3.316,9.108,0
1557768117,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.302,3.306,9.193,0
1557768118,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.291,3.3,9.322,1
1557768119,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.305,3.624,9.241,1
1557768120,35.21060625,-97.4393083,0.0,0.0,3.0,323.0,-0.362,4.521,9.079,0
1557768121,35.21062154,-97.43930053,357.1,1.6400305,3.0,322.0,-0.347,3.292,9.204,0
1557768122,35.21063935,-97.43930156,357.2,1.66,3.0,323.0,-0.228,3.389,9.343,0
1557768123,35.21065718,-97.43930359,359.2,1.8300273,3.0,323.0,0.071,3.361,9.405,0
1557768124,35.21067559,-97.43930465,359.4,1.8504324,3.0,323.0,0.403,3.143,9.471,0
1557768126,35.21069479,-97.43930114,11.8,2.1134095,3.0,323.0,0.289,3.204,9.36,0
1557768127,35.21071385,-97.43929187,26.6,2.0300984,3.0,324.0,0.4,3.017,9.268,0
1557768128,35.21072903,-97.43927364,54.0,2.252221,3.0,322.0,0.186,2.618,9.649,0
1557768129,35.21073875,-97.4392539,70.2,1.7364907,3.0,323.0,0.309,3.087,9.419,0
1557768130,35.21074297,-97.43923167,88.2,1.9501027,3.0,323.0,0.554,2.936,9.164,0
1557768131,35.21074189,-97.43920752,115.1,1.8602419,3.0,321.0,0.677,2.807,9.147,0
1557768132,35.21073367,-97.43918646,115.2,1.6404878,3.0,321.0,0.558,2.836,9.424,0
1557768133,35.21072109,-97.4391714,115.2,1.64,3.0,320.0,0.118,3.222,9.695,0
1557768134,35.21070465,-97.43916256,157.5,1.61,3.0,320.0,-0.12,3.305,9.719,0
1557768135,35.21068366,-97.43916079,189.0,2.0209155,3.0,317.0,-0.249,3.194,9.121,0
1557768136,35.2106601,-97.43916324,183.7,2.2714093,3.0,316.0,-0.361,3.128,9.617,0
1557768137,35.21063496,-97.43916676,181.1,2.4105186,3.0,316.0,-0.764,3.091,9.237,0
1557768138,35.21060974,-97.43917084,170.7,2.4210122,3.0,316.0,-0.903,3.02,9.438,0
1557768139,35.21058537,-97.43916916,169.1,2.50098,3.0,316.0,-0.895,2.976,9.404,0
1557768140,35.21056489,-97.43916034,136.4,2.4707286,3.0,315.0,-0.672,2.991,9.665,0
1557768141,35.21054867,-97.43914397,140.1,2.32,3.0,315.0,-0.523,2.865,9.468,0
1557768142,35.21053761,-97.43912262,126.3,2.19,3.0,315.0,-0.299,3.255,9.308,0
1557768143,35.21053138,-97.43909999,116.4,1.920026,3.0,316.0,-0.219,3.289,9.201,0
1557768144,35.21053045,-97.4390781,103.9,1.811077,3.0,316.0,-0.071,3.113,9.1,0
1557768145,35.21053328,-97.43905354,93.3,2.23,4.0,316.0,-0.16,2.303,9.688,0
1557768146,35.21053607,-97.43902627,90.9,2.2403572,3.0,316.0,-0.29,3.834,9.256,0
1557768147,35.21053936,-97.43900121,88.0,1.89,3.0,317.0,-1.955,3.312,9.069,0
1557768148,35.21055442,-97.43892334,55.4,4.580044,3.0,317.0,-2.599,3.085,9.35,0
1557768149,35.21057644,-97.43887604,61.1,4.4301014,3.0,317.0,-2.587,3.028,9.394,0
1557768150,35.21060872,-97.43883896,46.0,4.45,3.0,317.0,-1.449,2.563,9.447,0
1557768151,35.2107167,-97.43885486,5.3,6.1501303,3.0,317.0,-1.069,2.003,9.41,0
1557768152,35.21077422,-97.43885596,1.9,5.95,3.0,318.0,-0.858,2.074,9.645,0
1557768153,35.21082652,-97.43885569,0.3,5.680079,3.0,318.0,-1.119,1.567,9.829,0
1557768154,35.2108775,-97.4388519,0.8,5.160242,3.0,317.0,-0.406,0.937,9.508,0
1557768155,35.21091307,-97.43885265,2.6,4.3660626,3.0,317.0,-0.603,1.55,9.596,0
1557768156,35.21093419,-97.43885411,2.0,3.1722705,4.0,317.0,-0.687,1.169,9.546,0
1557768157,35.21093419,-97.43885411,2.0,3.1722705,4.0,317.0,-0.663,0.892,9.649,0
1557768158,35.21092429,-97.43886236,0.0,0.0,3.0,317.0,-0.663,2.152,9.548,0
1557768159,35.21092429,-97.43886236,0.0,0.0,3.0,317.0,-0.666,2.334,9.529,0
1557768161,35.21091602,-97.43886974,0.0,0.0,3.0,317.0,-0.636,2.342,9.441,0
1557768162,35.21091602,-97.43886974,0.0,0.0,3.0,317.0,-0.635,2.333,9.486,1
1557768163,35.21091602,-97.43886974,0.0,0.0,3.0,317.0,-0.65,2.363,9.513,1
1557768164,35.21091602,-97.43886974,0.0,0.0,3.0,317.0,-0.656,2.384,9.531,1
1557768165,35.21091602,-97.43886974,0.0,0.0,3.0,317.0,-0.655,2.388,9.495,1
1557768166,35.21091602,-97.43886974,0.0,0.0,3.0,317.0,-0.659,2.382,9.523,1
1557768167,35.21091602,-97.43886974,0.0,0.0,3.0,317.0,-0.665,2.378,9.503,1
1557768168,35.21090972,-97.43888106,0.0,0.0,3.0,317.0,-0.655,2.385,9.521,1
1557768169,35.21090972,-97.43888106,0.0,0.0,3.0,317.0,-0.658,2.383,9.527,1
1557768170,35.21090972,-97.43888106,0.0,0.0,3.0,317.0,-0.654,2.377,9.498,1
1557768171,35.21090972,-97.43888106,0.0,0.0,3.0,317.0,-0.653,2.367,9.519,1
1557768172,35.21090972,-97.43888106,0.0,0.0,3.0,317.0,-0.658,2.378,9.516,1
1557768173,35.21090972,-97.43888106,0.0,0.0,3.0,317.0,-0.659,2.376,9.533,1
1557768174,35.21090972,-97.43888106,0.0,0.0,3.0,317.0,-0.661,2.373,9.528,1
1557768175,35.21090972,-97.43888106,0.0,0.0,3.0,317.0,-0.661,2.387,9.52,1
1557768176,35.21090972,-97.43888106,0.0,0.0,3.0,317.0,-0.652,2.377,9.508,1
1557768177,35.21090972,-97.43888106,0.0,0.0,3.0,317.0,-0.66,2.386,9.524,1
1557768178,35.21090972,-97.43888106,0.0,0.0,3.0,317.0,-0.654,2.384,9.52,1
1557768179,35.21090972,-97.43888106,0.0,0.0,3.0,317.0,-0.657,2.377,9.518,1
1557768180,35.21090972,-97.43888106,0.0,0.0,3.0,317.0,-0.656,2.373,9.508,1
1557768181,35.21090972,-97.43888106,0.0,0.0,3.0,317.0,-0.654,2.384,9.51,1
1557768182,35.21090972,-97.43888106,0.0,0.0,3.0,317.0,-0.66,2.379,9.512,1
1557768183,35.21090972,-97.43888106,0.0,0.0,3.0,317.0,-0.658,2.39,9.517,1
