time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
1557768108,35.2106061,-97.4392585,0.0,0.0,3.0,325.0,-0.036,9.746,5.023,0
1557768109,35.2106061,-97.4392585,0.0,0.0,3.0,325.0,0.221,9.562,5.356,0
1557768110,35.2106061,-97.4392585,0.0,0.0,3.0,325.0,0.026,9.607,4.996,0
1557768111,35.2106061,-97.4392585,0.0,0.0,3.0,325.0,-0.038,9.222,5.932,0
1557768112,35.2106061,-97.4392585,0.0,0.0,3.0,325.0,0.654,8.113,7.05,0
1557768113,35.21061805,-97.43925806,85.6,0.8509407,3.0,326.0,-0.113,7.731,7.135,0
1557768114,35.21063399,-97.43926441,346.3,1.4812157,3.0,326.0,0.153,7.648,7.366,0
1557768115,35.21065387,-97.43927347,341.4,1.8500271,3.0,327.0,0.566,6.485,8.445,0
1557768116,35.21067512,-97.43928178,348.6,2.0235612,3.0,328.0,0.463,6.556,8.536,0
1557768117,35.21069385,-97.43928397,2.9,1.7813758,3.0,329.0,1.174,5.564,8.263,0
1557768118,35.21070843,-97.43927714,19.5,1.7123668,3.0,329.0,1.686,4.664,8.16,0
1557768119,35.21071793,-97.43926345,44.6,1.3852075,3.0,328.0,1.522,5.779,9.157,0
1557768121,35.21072152,-97.4392464,65.7,1.4303147,3.0,329.0,3.636,4.897,8.285,0
1557768122,35.21071947,-97.43922875,85.9,1.4305593,3.0,329.0,-2.414,2.252,16.028,0
1557768123,35.21071232,-97.43920974,102.8,1.6610839,3.0,329.0,-1.715,1.78,9.61,0
1557768124,35.21070035,-97.43919442,125.0,1.6111176,3.0,328.0,-2.423,2.168,9.451,0
1557768125,35.21068295,-97.43918677,147.5,1.7600284,3.0,328.0,-3.146,2.304,9.481,0
1557768126,35.21066489,-97.43918944,171.6,1.6758579,3.0,328.0,-4.703,2.27,8.466,0
1557768127,35.21064426,-97.43919322,178.6,2.100595,3.0,327.0,-5.431,1.964,7.901,1
1557768128,35.21062172,-97.43919558,177.6,2.2100227,3.0,327.0,1.803,7.631,7.397,0
1557768129,35.21059895,-97.43919331,173.6,2.2697356,3.0,327.0,-0.1,10.368,4.273,0
1557768130,35.21057868,-97.43919522,192.3,2.2649724,3.0,326.0,-0.092,10.283,3.77,0
1557768131,35.21055472,-97.43918769,176.8,2.2931418,3.0,326.0,-0.05,10.314,3.685,0
1557768132,35.21053765,-97.43916954,163.1,1.9144189,3.0,326.0,0.339,10.386,3.657,0
1557768133,35.21052385,-97.43914585,147.5,1.9226024,3.0,325.0,0.436,10.127,3.416,0
1557768134,35.2105142,-97.4391166,130.7,2.0312064,3.0,325.0,0.618,10.055,4.006,0
1557768135,35.21050804,-97.43908349,119.2,2.4681168,3.0,325.0,0.834,10.08,3.918,0
