time,lat,lng,bearing,spd,acc,alt,accx,accy,accz,stable
1557769207,35.23243058,-97.28250645,0.0,0.0,3.0,302.0,1.034,11.252,4.061,0
1557769208,35.23243058,-97.28250645,0.0,0.0,3.0,302.0,0.602,10.09,3.646,0
1557769209,35.23242426,-97.28249313,82.0,0.9124143,3.0,301.0,0.159,10.015,3.766,0
1557769210,35.23242571,-97.28248051,72.4,1.1601723,3.0,302.0,0.357,10.181,4.134,0
1557769211,35.23244052,-97.28245437,48.0,1.5600319,3.0,302.0,0.107,9.987,3.691,0
1557769212,35.23245284,-97.28244275,32.5,1.5563097,3.0,302.0,0.047,10.059,4.114,0
1557769213,35.23247068,-97.28243444,31.4,1.7600284,3.0,302.0,-0.111,10.04,4.204,0
1557769214,35.23248764,-97.28242909,12.3,1.610031,3.0,302.0,0.641,10.096,4.004,0
1557769215,35.23250475,-97.28242658,2.2,1.7600284,3.0,303.0,0.589,9.871,3.814,0
1557769216,35.23252284,-97.28242671,352.8,1.7602557,3.0,302.0,0.043,10.111,4.295,0
1557769217,35.2325381,-97.28242986,345.0,1.610031,3.0,302.0,0.868,10.179,3.904,0
1557769218,35.23254997,-97.28243351,339.0,1.2876335,3.0,302.0,0.862,10.113,4.468,0
1557769219,35.23254997,-97.28243351,339.0,1.2876335,3.0,302.0,0.639,10.455,3.241,0
1557769220,35.23254997,-97.28243351,339.0,1.2876335,3.0,302.0,0.625,10.423,3.292,0
1557769221,35.23254997,-97.28243351,339.0,1.2876335,3.0,302.0,0.649,10.429,3.218,0
1557769222,35.23255867,-97.28243939,0.0,0.0,3.0,300.0,0.641,10.434,3.218,0
1557769224,35.23255867,-97.28243939,0.0,0.0,3.0,300.0,0.653,10.432,3.224,0
1557769225,35.23255867,-97.28243939,0.0,0.0,3.0,300.0,0.645,10.442,3.203,0
1557769226,35.23255867,-97.28243939,0.0,0.0,3.0,300.0,0.661,10.417,3.26,0
1557769227,35.23255867,-97.28243939,0.0,0.0,3.0,300.0,0.666,10.45,3.173,0
1557769228,35.23255867,-97.28243939,0.0,0.0,3.0,300.0,0.566,10.868,2.302,0
1557769229,35.23255867,-97.28243939,0.0,0.0,3.0,300.0,0.404,11.234,1.717,0
1557769230,35.2325702,-97.28244782,335.9,1.56,3.0,300.0,-0.372,10.74,2.15,0
1557769231,35.23258802,-97.28246362,313.8,2.6169064,3.0,300.0,-1.231,10.581,3.053,0
